Orthogroup	V_vinifera.proteins	A_vesiculosa.proteins
OG0001794	VIT_200s0317g00130.1, VIT_206s0004g04020.3, VIT_206s0004g04020.1, VIT_206s0004g04020.2	Av_00014332-RA
OG0001795	VIT_204s0008g03440.4, VIT_204s0008g03440.3, VIT_204s0008g03440.1, VIT_204s0008g03440.2, VIT_204s0008g03440.6, VIT_204s0008g03440.5	Av_00005764-RA
OG0001797	VIT_206s0004g00710.1	Av_00001186-RA, Av_00011890-RA, Av_00007021-RA, Av_00021552-RA
OG0001799	VIT_208s0040g03220.4, VIT_208s0040g03220.1, VIT_208s0040g03220.6, VIT_208s0040g03220.5, VIT_208s0040g03220.3, VIT_208s0040g03220.2	Av_00002877-RA, Av_00012563-RA
OG0001801	VIT_214s0006g01210.1	Av_00024782-RA
OG0001801	VIT_201s0011g05250.1, VIT_214s0006g02980.1	Av_00000274-RA, Av_00003339-RA, Av_00018450-RA, Av_00006336-RA
OG0001802	VIT_205s0102g01050.1, VIT_213s0047g01240.1	Av_00000790-RA, Av_00017820-RA
OG0001803	VIT_204s0023g01950.1, VIT_204s0023g01950.2	Av_00016332-RA, Av_00021593-RA
OG0001803	VIT_218s0001g12660.2, VIT_218s0001g12660.1	Av_00004442-RA
OG0001804	VIT_201s0011g00420.1, VIT_215s0107g00540.1	Av_00005236-RA, Av_00002733-RA
OG0001804	VIT_214s0068g00290.1	Av_00006320-RA, Av_00007668-RA, Av_00006319-RA
OG0001805	VIT_216s0050g02180.1, VIT_216s0050g02180.2	Av_00002025-RA
OG0001806	VIT_205s0020g02000.4, VIT_205s0020g02000.3, VIT_205s0020g02000.8, VIT_205s0020g02000.9, VIT_205s0020g02000.6, VIT_205s0020g02000.5, VIT_205s0020g02000.2, VIT_205s0020g02000.7, VIT_205s0020g02000.1	Av_00017868-RA, Av_00017866-RA
OG0001808	VIT_201s0146g00310.1	Av_00000079-RA, Av_00011485-RA
OG0001809	VIT_200s2725g00005.1	Av_00017097-RA, Av_00017618-RA
OG0001810	VIT_207s0141g00220.3, VIT_207s0141g00220.2, VIT_207s0141g00220.1	Av_00024872-RA
OG0001810	VIT_214s0030g02230.3, VIT_214s0030g02230.4, VIT_214s0030g02230.2, VIT_214s0030g02230.1, VIT_205s0020g04620.1, VIT_205s0020g04620.2	Av_00021212-RA
OG0001811	VIT_200s0181g00070.1, VIT_215s0048g02360.2, VIT_215s0048g02360.1, VIT_200s0181g00110.1	Av_00007678-RA
OG0001812	VIT_201s0026g00730.1	Av_00005310-RA
OG0001813	VIT_215s0048g00970.1	Av_00021526-RA
OG0001813	VIT_213s0019g05000.6, VIT_213s0019g05000.2, VIT_213s0019g05000.1, VIT_213s0019g05000.4, VIT_213s0019g05000.7	Av_00005507-RA
OG0001815	VIT_217s0000g06860.1	Av_00013769-RA, Av_00001784-RA, Av_00011242-RA, Av_00000529-RA
OG0001815	VIT_201s0011g00670.1	Av_00005246-RA, Av_00002726-RA
OG0001816	VIT_214s0083g00680.1, VIT_214s0083g00683.1, VIT_214s0083g00674.1, VIT_214s0083g00676.1, VIT_214s0083g00672.1, VIT_214s0083g00670.1	Av_00003950-RA
OG0001817	VIT_211s0037g01030.1	Av_00017118-RA, Av_00020720-RA, Av_00018199-RA
OG0001818	VIT_212s0028g03800.1	Av_00023654-RA, Av_00019895-RA, Av_00023653-RA, Av_00013369-RA, Av_00023808-RA, Av_00023809-RA
OG0001819	VIT_201s0026g01570.3, VIT_201s0026g01570.2, VIT_201s0026g01570.1	Av_00006428-RA, Av_00007534-RA
OG0001820	VIT_200s0291g00090.1	Av_00015474-RA
OG0001821	VIT_216s0039g01840.1, VIT_216s0039g01840.2	Av_00017606-RA, Av_00013062-RA, Av_00018899-RA
OG0001821	VIT_202s0012g01810.1	Av_00021125-RA, Av_00021124-RA, Av_00021707-RA
OG0001822	VIT_206s0004g06250.10, VIT_206s0004g06250.11, VIT_206s0004g06250.8, VIT_206s0004g06250.2, VIT_206s0004g06250.5, VIT_206s0004g06250.7, VIT_206s0004g06250.3, VIT_206s0004g06250.4, VIT_206s0004g06250.6, VIT_206s0004g06250.1, VIT_206s0004g06250.9	Av_00016911-RA
OG0001833	VIT_215s0045g01260.1	Av_00017963-RA, Av_00003612-RA
OG0001834	VIT_214s0060g01170.2, VIT_214s0060g01170.1	Av_00001447-RA, Av_00002282-RA
OG0001835	VIT_208s0007g03340.1	Av_00005085-RA, Av_00022172-RA, Av_00022224-RA
OG0001836	VIT_214s0030g01760.1, VIT_214s0030g01760.4, VIT_214s0030g01760.2, VIT_214s0030g01760.3	Av_00001285-RA, Av_00015087-RA, Av_00021218-RA, Av_00016160-RA
OG0001837	VIT_208s0007g03830.2	Av_00012603-RA, Av_00002922-RA, Av_00020955-RA, Av_00003817-RA
OG0001839	VIT_208s0058g00940.4, VIT_208s0058g00940.5, VIT_208s0058g00940.2, VIT_208s0058g00940.9, VIT_208s0058g00940.6, VIT_208s0058g00940.1, VIT_208s0058g00940.3, VIT_208s0058g00940.7, VIT_208s0058g00940.8	Av_00008046-RA
OG0001841	VIT_207s0141g00800.1, VIT_207s0141g00800.4, VIT_207s0141g00800.3, VIT_207s0141g00800.2	Av_00000811-RA, Av_00021393-RA
OG0001841	VIT_214s0081g00440.1, VIT_214s0081g00440.2, VIT_214s0081g00440.4, VIT_214s0081g00440.3, VIT_214s0081g00440.5	Av_00006699-RA, Av_00016153-RA
OG0001842	VIT_219s0090g01160.1	Av_00011563-RA
OG0001843	VIT_205s0062g00310.1, VIT_205s0062g00270.1, VIT_205s0062g00300.1, VIT_205s0062g00700.1, VIT_205s0062g00710.1, VIT_205s0062g00350.1, VIT_209s0002g06590.1, VIT_205s0062g00540.1, VIT_205s0062g00520.1, VIT_205s0062g00460.1, VIT_205s0062g00570.1, VIT_205s0062g00430.1, VIT_205s0062g00590.1, VIT_205s0062g00470.1, VIT_205s0062g00400.1, VIT_205s0062g00640.1, VIT_205s0062g00630.1	Av_00000723-RA, Av_00020300-RA
OG0001845	VIT_204s0008g05070.1	Av_00020199-RA
OG0001846	VIT_213s0019g02050.3, VIT_213s0019g02050.1, VIT_213s0019g02050.4	Av_00003886-RA
OG0001846	VIT_206s0004g05180.1, VIT_206s0004g05180.2, VIT_206s0004g05180.3, VIT_206s0004g05180.4, VIT_213s0019g02050.2, VIT_208s0007g00840.2, VIT_208s0007g00840.1	Av_00005728-RA
OG0001847	VIT_216s0098g01720.2, VIT_216s0098g01720.1, VIT_216s0098g01720.3, VIT_216s0098g01720.4	Av_00024021-RA, Av_00013021-RA, Av_00009461-RA
OG0001848	VIT_201s0011g03470.1	Av_00011576-RA, Av_00021132-RA, Av_00007617-RA, Av_00005402-RA, Av_00002605-RA
OG0001849	VIT_200s0246g00115.1, VIT_212s0055g00100.1	Av_00014815-RA
OG0001850	VIT_205s0102g00070.1, VIT_205s0102g00070.2	Av_00002164-RA, Av_00009588-RA
OG0001850	VIT_200s0207g00060.1, VIT_200s0207g00020.1	Av_00006973-RA, Av_00011827-RA, Av_00006974-RA, Av_00011828-RA
OG0001851	VIT_217s0000g00320.1	Av_00017724-RA, Av_00010994-RA, Av_00000924-RA, Av_00009240-RA, Av_00015035-RA
OG0001852	VIT_207s0005g00950.2	Av_00009610-RA, Av_00002188-RA
OG0001852	VIT_201s0011g03920.1, VIT_201s0011g03920.2	Av_00006357-RA, Av_00007627-RA
OG0001853	VIT_204s0023g02130.1, VIT_218s0001g12830.1	Av_00021582-RA, Av_00000464-RA, Av_00017908-RA
OG0001854	VIT_208s0058g00750.5, VIT_208s0058g00750.6, VIT_208s0058g00750.2, VIT_208s0058g00750.3, VIT_208s0058g00750.1, VIT_208s0058g00750.7, VIT_208s0058g00750.4	Av_00010301-RA
OG0001855	VIT_213s0019g04660.2, VIT_213s0019g04660.5, VIT_213s0019g04660.6, VIT_213s0019g04660.7, VIT_213s0019g04660.4, VIT_213s0019g04660.3, VIT_213s0019g04660.1	Av_00014356-RA, Av_00001165-RA
OG0001857	VIT_205s0049g01860.2, VIT_205s0049g01860.1	Av_00019198-RA, Av_00000576-RA, Av_00017053-RA
OG0001859	VIT_208s0056g00610.1, VIT_208s0056g00610.5, VIT_208s0056g00610.2, VIT_208s0056g00610.3, VIT_208s0056g00610.4, VIT_208s0056g00610.6	Av_00005046-RA
OG0001860	VIT_204s0023g02700.1	Av_00011706-RA, Av_00017903-RA, Av_00001951-RA
OG0001860	VIT_218s0001g13250.1	Av_00011098-RA
OG0001862	VIT_218s0001g11060.1	Av_00012255-RA, Av_00009854-RA
OG0001863	VIT_207s0031g00350.1	Av_00020772-RA
OG0001865	VIT_212s0028g03420.3, VIT_212s0028g03420.1, VIT_212s0028g03420.4, VIT_212s0028g03420.5, VIT_212s0028g03420.2, VIT_209s0096g00110.1, VIT_209s0096g00040.1	Av_00020652-RA
OG0001865	VIT_201s0010g01065.1	Av_00000782-RA
OG0001865	VIT_209s0096g00325.1	Av_00000780-RA
OG0001866	VIT_200s0207g00280.3, VIT_200s0207g00280.2, VIT_200s0207g00280.1	Av_00022935-RA, Av_00002022-RA
OG0001867	VIT_207s0031g02320.3, VIT_207s0031g02320.2, VIT_207s0031g02320.1, VIT_200s0208g00090.1	Av_00006619-RA, Av_00001274-RA
OG0001867	VIT_211s0016g00820.1, VIT_211s0016g00820.2	Av_00012338-RA, Av_00009794-RA
OG0001868	VIT_218s0001g12090.3, VIT_218s0001g12090.4, VIT_218s0001g12090.5	Av_00017761-RA, Av_00016446-RA
OG0001869	VIT_204s0023g01250.1	Av_00022398-RA
OG0001869	VIT_218s0001g12020.1	Av_00011146-RA, Av_00009928-RA, Av_00016443-RA, Av_00004447-RA
OG0001870	VIT_211s0052g00880.1	Av_00004486-RA, Av_00017104-RA
OG0001871	VIT_218s0001g09300.2, VIT_218s0001g09300.1	Av_00004198-RA
OG0001871	VIT_203s0091g00580.1	Av_00011411-RA
OG0001872	VIT_203s0038g02280.1, VIT_203s0038g02280.2, VIT_203s0038g02280.3, VIT_203s0038g02280.4, VIT_203s0038g02280.5	Av_00018305-RA
OG0001872	VIT_204s0023g03670.1	Av_00001927-RA
OG0001873	VIT_203s0063g00120.3, VIT_203s0063g00120.4, VIT_203s0063g00120.2, VIT_203s0063g00120.1	Av_00020622-RA, Av_00018186-RA, Av_00012365-RA, Av_00004527-RA
OG0001874	VIT_206s0004g06830.1	Av_00021081-RA
OG0001875	VIT_204s0023g03030.2, VIT_204s0023g03030.3, VIT_204s0023g03030.1	Av_00011329-RA, Av_00000971-RA, Av_00008821-RA
OG0001876	VIT_218s0001g11890.6, VIT_218s0001g11890.3, VIT_218s0001g11890.2, VIT_218s0001g11890.1, VIT_201s0010g02110.1, VIT_218s0001g11890.4, VIT_218s0001g11890.5	Av_00001048-RA
OG0001877	VIT_206s0004g08300.2, VIT_206s0004g08300.3, VIT_206s0004g08300.4, VIT_206s0004g08300.1, VIT_208s0056g00440.1, VIT_208s0056g00440.3, VIT_208s0056g00440.4, VIT_208s0056g00440.2	Av_00017988-RA, Av_00010324-RA, Av_00002981-RA, Av_00005040-RA, Av_00003832-RA
OG0001878	VIT_219s0014g03190.1, VIT_219s0014g03190.2, VIT_219s0014g03190.3, VIT_219s0014g03190.4	Av_00003110-RA
OG0001878	VIT_200s0652g00020.3, VIT_200s0652g00020.2, VIT_200s0652g00020.1	Av_00008724-RA
OG0001880	VIT_217s0000g02680.1	Av_00007806-RA, Av_00017499-RA, Av_00011753-RA
OG0001881	VIT_210s0003g00060.1	Av_00020669-RA, Av_00014106-RA
OG0001882	VIT_219s0014g03320.1, VIT_219s0014g03320.4, VIT_219s0014g03320.2, VIT_219s0014g03320.3	Av_00007864-RA, Av_00000199-RA
OG0001882	VIT_212s0059g01850.1, VIT_212s0059g01850.2, VIT_212s0059g01850.4, VIT_212s0059g01850.3	Av_00020258-RA
OG0001883	VIT_201s0150g00070.1	Av_00009212-RA
OG0001883	VIT_214s0068g01070.3, VIT_214s0068g01070.1, VIT_214s0068g01070.2	Av_00011745-RA
OG0001884	VIT_212s0028g03310.1, VIT_212s0028g03310.2, VIT_212s0028g03310.3	Av_00022616-RA
OG0001884	VIT_219s0014g02340.3, VIT_219s0014g02340.1	Av_00017220-RA, Av_00002367-RA
OG0001886	VIT_205s0062g01190.1, VIT_205s0062g01190.2	Av_00002797-RA, Av_00022813-RA
OG0001886	VIT_219s0090g01530.1	Av_00015862-RA
OG0001887	VIT_219s0014g01780.2, VIT_219s0014g01780.1	Av_00002356-RA, Av_00018417-RA, Av_00017468-RA
OG0001888	VIT_202s0033g01400.1	Av_00018800-RA, Av_00020796-RA, Av_00019592-RA, Av_00024835-RA
OG0001889	VIT_216s0022g00960.1	Av_00012889-RA, Av_00014758-RA
OG0001889	VIT_200s0323g00050.1	Av_00010378-RA, Av_00014541-RA
OG0001890	VIT_214s0068g00340.3, VIT_214s0068g00340.1, VIT_214s0068g00340.2	Av_00006318-RA, Av_00007670-RA
OG0001890	VIT_208s0040g01420.1	Av_00015706-RA, Av_00012573-RA, Av_00002887-RA
OG0001891	VIT_216s0039g02230.1	Av_00018208-RA
OG0001892	VIT_211s0052g00670.1	Av_00018216-RA, Av_00001024-RA, Av_00023591-RA, Av_00009836-RA, Av_00011041-RA
OG0001894	VIT_215s0048g01320.1	Av_00012907-RA
OG0001894	VIT_216s0022g02310.1	Av_00002068-RA, Av_00009375-RA, Av_00001602-RA
OG0001895	VIT_211s0016g03330.2, VIT_211s0016g03330.1	Av_00019297-RA, Av_00008880-RA
OG0001895	VIT_204s0008g03350.1	Av_00012051-RA
OG0001896	VIT_204s0008g05730.1	Av_00018264-RA, Av_00004674-RA
OG0001896	VIT_211s0118g00200.2, VIT_211s0118g00200.1	Av_00004009-RA
OG0001897	VIT_209s0002g00470.1, VIT_209s0002g00470.4, VIT_209s0002g00470.2, VIT_209s0002g00470.5, VIT_209s0002g00470.3	Av_00015818-RA, Av_00017342-RA, Av_00017341-RA, Av_00004087-RA, Av_00023070-RA
OG0001898	VIT_202s0025g04910.1	Av_00013002-RA, Av_00007247-RA, Av_00004572-RA, Av_00004307-RA, Av_00011365-RA, Av_00000935-RA
OG0001899	VIT_211s0037g00560.3, VIT_211s0037g00560.1, VIT_211s0037g00560.2	Av_00001000-RA, Av_00012328-RA, Av_00004500-RA
OG0001900	VIT_211s0118g00170.1, VIT_211s0118g00170.2, VIT_211s0118g00170.3, VIT_211s0118g00170.4	Av_00004010-RA
OG0001900	VIT_204s0008g05720.1	Av_00020213-RA
OG0001902	VIT_211s0016g05700.1, VIT_211s0016g05700.3, VIT_211s0016g05700.2, VIT_211s0016g05700.8, VIT_211s0016g05700.6, VIT_211s0016g05700.7, VIT_211s0016g05700.9, VIT_211s0016g05700.5, VIT_211s0016g05700.4	Av_00004014-RA, Av_00004909-RA
OG0001903	VIT_216s0098g01850.1	Av_00013018-RA, Av_00024026-RA, Av_00001663-RA, Av_00009458-RA, Av_00021010-RA, Av_00021965-RA, Av_00016051-RA, Av_00008600-RA, Av_00024512-RA
OG0001904	VIT_209s0002g04220.1	Av_00006230-RA, Av_00010074-RA, Av_00012779-RA
OG0001904	VIT_203s0063g02420.1, VIT_203s0063g02420.2	Av_00001066-RA
OG0001906	VIT_213s0019g01040.1, VIT_212s0059g00030.1	Av_00013345-RA, Av_00008220-RA, Av_00004382-RA, Av_00020101-RA, Av_00001127-RA
OG0001909	VIT_203s0063g02610.1	Av_00024973-RA, Av_00001063-RA, Av_00004432-RA, Av_00012276-RA
OG0001910	VIT_206s0004g03410.1, VIT_213s0019g03640.1, VIT_208s0040g02420.1	Av_00021341-RA, Av_00024313-RA, Av_00023476-RA
OG0001911	VIT_212s0059g01460.1, VIT_207s0031g02760.1	Av_00010183-RA, Av_00019130-RA, Av_00004765-RA, Av_00017751-RA, Av_00011940-RA
OG0001911	VIT_219s0090g01080.1	Av_00000158-RA, Av_00011565-RA, Av_00008414-RA
OG0001912	VIT_208s0058g00740.2, VIT_208s0058g00740.1, VIT_208s0058g00740.5, VIT_208s0058g00740.4, VIT_208s0058g00740.3, VIT_208s0058g00730.1	Av_00012634-RA
OG0001913	VIT_219s0014g01020.3, VIT_219s0014g01020.1	Av_00016863-RA, Av_00004468-RA
OG0001914	VIT_210s0003g01040.1	Av_00014093-RA, Av_00003642-RA
OG0001915	VIT_201s0011g01480.2, VIT_201s0011g01480.3, VIT_201s0011g01480.1	Av_00024439-RA
OG0001916	VIT_208s0007g01780.2, VIT_208s0007g01780.1	Av_00004714-RA, Av_00016903-RA
OG0001917	VIT_219s0090g00510.4, VIT_219s0090g00510.1, VIT_219s0090g00510.2, VIT_219s0090g00510.3	Av_00003075-RA, Av_00012027-RA
OG0001919	VIT_218s0072g00870.3, VIT_218s0072g00870.5, VIT_218s0072g00870.8, VIT_218s0072g00870.2, VIT_218s0072g00870.6, VIT_218s0072g00870.1, VIT_218s0072g00870.7, VIT_218s0072g00870.4	Av_00007092-RA
OG0001920	VIT_208s0007g03390.1	Av_00005082-RA, Av_00015663-RA
OG0001921	VIT_212s0059g01690.1, VIT_212s0059g01690.5, VIT_212s0059g01690.3, VIT_212s0059g01690.4, VIT_212s0059g01690.2	Av_00012744-RA
OG0001921	VIT_201s0026g01700.2, VIT_201s0026g01700.1	Av_00005280-RA
OG0001922	VIT_207s0005g03830.1	Av_00002196-RA
OG0001923	VIT_207s0005g04710.2, VIT_207s0005g04710.3, VIT_207s0005g04710.1, VIT_207s0005g04710.4	Av_00002217-RA, Av_00009623-RA
OG0001924	VIT_204s0023g01290.1	Av_00015358-RA
OG0001926	VIT_200s0391g00070.1	Av_00021696-RA, Av_00000361-RA
OG0001926	VIT_218s0001g06250.1	Av_00003161-RA, Av_00010952-RA
OG0001927	VIT_203s0132g00210.6, VIT_203s0132g00210.7, VIT_203s0132g00210.5, VIT_203s0132g00210.1, VIT_203s0132g00210.4, VIT_203s0132g00210.8, VIT_203s0132g00210.3, VIT_203s0132g00210.2	Av_00022795-RA
OG0001927	VIT_203s0132g00200.1	Av_00007299-RA
OG0001928	VIT_214s0066g02320.5, VIT_214s0066g02320.4, VIT_214s0066g02320.3, VIT_214s0066g02320.2, VIT_214s0066g02320.1, VIT_219s0085g00060.1	Av_00005548-RA
OG0001930	VIT_219s0027g01660.1, VIT_219s0027g01660.2	Av_00019070-RA
OG0001931	VIT_217s0000g05630.2, VIT_217s0000g05630.1	Av_00011270-RA, Av_00013866-RA
OG0001931	VIT_201s0026g01550.3, VIT_201s0026g01550.1, VIT_201s0026g01550.2	Av_00002694-RA, Av_00016955-RA, Av_00015501-RA, Av_00000895-RA
OG0001932	VIT_215s0021g00220.2, VIT_215s0021g00220.1	Av_00011518-RA
OG0001933	VIT_201s0026g01240.3, VIT_201s0026g01240.2, VIT_201s0026g01240.1	Av_00002691-RA, Av_00005294-RA
OG0001933	VIT_217s0000g05410.1	Av_00017680-RA, Av_00001739-RA, Av_00010536-RA, Av_00018764-RA
OG0001935	VIT_217s0000g08370.1, VIT_217s0000g08370.5, VIT_217s0000g08370.3, VIT_217s0000g08370.4, VIT_217s0000g08370.2	Av_00013851-RA, Av_00011294-RA
OG0001936	VIT_204s0079g00200.6, VIT_204s0079g00200.7, VIT_204s0079g00200.5, VIT_204s0079g00200.2, VIT_204s0079g00200.4, VIT_204s0079g00200.3, VIT_204s0079g00200.1	Av_00016085-RA, Av_00016123-RA, Av_00024346-RA, Av_00016222-RA
OG0001937	VIT_217s0000g05500.1	Av_00017677-RA, Av_00001743-RA
OG0001938	VIT_217s0000g06190.1, VIT_214s0108g00830.1, VIT_214s0108g00830.2	Av_00011257-RA, Av_00000538-RA, Av_00013785-RA
OG0001939	VIT_214s0066g02590.1	Av_00017674-RA
OG0001941	VIT_200s0203g00110.1, VIT_200s0203g00110.4, VIT_200s0203g00110.2, VIT_200s0203g00110.3	Av_00020697-RA
OG0001958	VIT_200s0252g00040.1	Av_00019801-RA, Av_00000687-RA
OG0001959	VIT_201s0011g05400.4, VIT_201s0011g05400.1, VIT_201s0011g05400.3, VIT_201s0011g05400.2	Av_00010850-RA
OG0001960	VIT_214s0030g00440.1, VIT_214s0030g00440.2	Av_00001298-RA, Av_00016268-RA
OG0001960	VIT_207s0104g00930.1	Av_00020836-RA
OG0001961	VIT_206s0080g00290.1	Av_00017355-RA, Av_00008488-RA
OG0001961	VIT_216s0100g00700.1	Av_00009395-RA
OG0001962	VIT_219s0014g02520.1	Av_00023675-RA, Av_00025028-RA, Av_00024706-RA, Av_00005583-RA
OG0001963	VIT_206s0061g00530.1, VIT_206s0061g00530.2	Av_00016916-RA
OG0001964	VIT_210s0003g01310.1	Av_00024098-RA
OG0001965	VIT_208s0007g04250.1	Av_00023818-RA, Av_00024231-RA, Av_00023817-RA, Av_00012594-RA
OG0001966	VIT_205s0102g00270.4, VIT_205s0102g00270.1, VIT_205s0102g00270.3, VIT_205s0102g00270.2	Av_00000548-RA
OG0001967	VIT_207s0005g04380.1, VIT_207s0005g04380.3, VIT_207s0005g04380.7, VIT_207s0005g04380.6, VIT_207s0005g04380.5, VIT_207s0005g04380.4, VIT_207s0005g04380.2	Av_00001482-RA, Av_00019878-RA, Av_00002208-RA
OG0001968	VIT_207s0104g01320.2, VIT_207s0104g01320.1, VIT_214s0030g01240.4, VIT_214s0030g01240.3, VIT_214s0030g01240.1, VIT_214s0030g01240.2	Av_00021224-RA, Av_00015095-RA, Av_00001292-RA
OG0001969	VIT_219s0014g03160.4, VIT_219s0014g03160.1, VIT_219s0014g03160.2	Av_00002389-RA, Av_00018409-RA, Av_00000201-RA, Av_00007861-RA
OG0001970	VIT_212s0035g02180.1	Av_00024345-RA, Av_00023523-RA
OG0001970	VIT_200s0340g00050.1	Av_00011832-RA
OG0001971	VIT_213s0019g01540.1, VIT_213s0019g01520.1, VIT_213s0019g01550.1, VIT_213s0019g01560.1	Av_00008731-RA, Av_00023133-RA, Av_00007486-RA
OG0001972	VIT_206s0004g05800.2, VIT_206s0004g05800.3, VIT_206s0004g05800.1, VIT_208s0007g01510.2, VIT_208s0007g01510.1	Av_00021729-RA, Av_00012680-RA, Av_00014484-RA
OG0001973	VIT_206s0004g04010.1	Av_00006127-RA, Av_00022916-RA
OG0001974	VIT_203s0017g01950.2, VIT_203s0017g01950.1	Av_00022393-RA, Av_00022940-RA
OG0001974	VIT_208s0007g04480.1	Av_00002905-RA
OG0001975	VIT_211s0149g00060.1	Av_00020861-RA, Av_00019786-RA
OG0001976	VIT_214s0083g00840.3, VIT_214s0083g00840.2, VIT_214s0083g00840.1, VIT_214s0083g00830.1, VIT_213s0019g00770.1	Av_00004955-RA
OG0001977	VIT_206s0004g07940.1, VIT_206s0004g07940.2, VIT_213s0067g02700.1	Av_00005034-RA
OG0001978	VIT_207s0005g03170.1	Av_00001428-RA
OG0001978	VIT_200s2071g00010.1	Av_00012478-RA, Av_00022746-RA
OG0001979	VIT_207s0005g00840.1	Av_00024361-RA, Av_00006916-RA, Av_00016283-RA, Av_00021030-RA
OG0001979	VIT_205s0077g01840.1	Av_00020011-RA
OG0001981	VIT_205s0020g00390.5, VIT_205s0020g00390.1, VIT_205s0020g00390.3, VIT_205s0020g00390.2, VIT_205s0020g00390.4, VIT_207s0005g02110.1, VIT_207s0005g02110.5, VIT_207s0005g02110.2, VIT_207s0005g02110.3, VIT_207s0005g02110.6, VIT_207s0005g02110.7, VIT_207s0005g02110.4	Av_00009663-RA, Av_00002263-RA, Av_00000773-RA
OG0001982	VIT_203s0038g00350.2, VIT_203s0038g00350.1	Av_00009883-RA, Av_00000966-RA
OG0001983	VIT_203s0038g02420.2, VIT_203s0038g02420.3, VIT_203s0038g02420.1	Av_00004591-RA, Av_00011382-RA
OG0001984	VIT_204s0044g01330.1, VIT_204s0044g01330.4, VIT_204s0044g01330.3, VIT_204s0044g01330.2	Av_00013694-RA, Av_00001868-RA
OG0001985	VIT_218s0001g09490.1	Av_00024792-RA, Av_00004196-RA
OG0001985	VIT_207s0129g00620.1, VIT_207s0129g00620.2	Av_00001986-RA, Av_00015322-RA
OG0001986	VIT_200s0415g00040.2, VIT_200s0415g00040.1, VIT_200s0262g00150.1, VIT_200s1916g00010.1	Av_00001894-RA
OG0001987	VIT_212s0028g03850.1, VIT_219s0014g02890.1, VIT_200s0238g00110.1	Av_00018403-RA, Av_00002385-RA, Av_00003116-RA
OG0001989	VIT_207s0191g00250.6, VIT_207s0191g00250.3, VIT_207s0191g00250.4, VIT_207s0191g00250.2, VIT_207s0191g00250.5, VIT_207s0191g00250.1	Av_00015390-RA
OG0001990	VIT_203s0038g01350.1	Av_00007298-RA, Av_00022783-RA, Av_00004610-RA, Av_00022792-RA
OG0001990	VIT_211s0037g00890.1, VIT_211s0037g00890.2, VIT_211s0037g00890.3	Av_00009809-RA
OG0001991	VIT_203s0091g00670.1, VIT_207s0129g00330.1	Av_00001983-RA, Av_00017922-RA, Av_00000442-RA, Av_00015316-RA, Av_00023972-RA, Av_00016351-RA, Av_00012502-RA
OG0001992	VIT_218s0001g05060.4, VIT_218s0001g05060.2, VIT_218s0001g05060.1, VIT_218s0001g05060.6, VIT_218s0001g05060.5, VIT_218s0001g05060.3	Av_00014703-RA, Av_00008683-RA
OG0001993	VIT_207s0031g00220.3, VIT_207s0031g00220.2, VIT_207s0031g00220.1	Av_00017943-RA, Av_00002004-RA, Av_00007711-RA, Av_00000308-RA
OG0001994	VIT_211s0016g05840.1	Av_00004013-RA, Av_00004910-RA, Av_00003799-RA, Av_00021645-RA
OG0001994	VIT_202s0154g00310.1	Av_00010365-RA
OG0001995	VIT_200s0647g00010.1, VIT_200s0586g00010.1, VIT_200s0586g00010.6, VIT_200s0586g00010.7, VIT_200s0586g00010.3, VIT_200s0586g00010.4, VIT_200s0586g00010.5, VIT_200s0586g00010.2	Av_00008721-RA
OG0001996	VIT_212s0028g02440.1	Av_00006194-RA
OG0001996	VIT_210s0003g01070.1	Av_00007499-RA, Av_00003641-RA
OG0001997	VIT_219s0014g01740.2, VIT_219s0014g01710.1, VIT_219s0014g01710.2, VIT_219s0014g01740.3, VIT_219s0014g01740.4, VIT_219s0014g01740.1, VIT_212s0028g02570.2	Av_00020050-RA, Av_00012038-RA
OG0001998	VIT_219s0014g01850.1, VIT_219s0014g01850.2, VIT_203s0097g00680.1, VIT_203s0088g00930.1, VIT_203s0088g01090.1	Av_00007841-RA, Av_00000212-RA, Av_00023002-RA
OG0001999	VIT_208s0056g00470.1	Av_00011107-RA, Av_00009907-RA
OG0002000	VIT_219s0090g01070.1	Av_00002500-RA
OG0002000	VIT_212s0059g01320.2, VIT_212s0059g01320.1, VIT_212s0059g01320.3	Av_00006196-RA
OG0002001	VIT_203s0063g01510.1, VIT_212s0028g01670.1	Av_00017494-RA, Av_00012055-RA
OG0002002	VIT_210s0003g01460.1, VIT_210s0003g01460.2, VIT_210s0003g01460.4	Av_00003633-RA, Av_00008705-RA
OG0002002	VIT_212s0059g01280.4, VIT_212s0059g01280.3, VIT_212s0059g01280.2, VIT_212s0059g01280.1	Av_00010188-RA
OG0002003	VIT_211s0016g04820.9, VIT_211s0016g04820.6, VIT_211s0016g04820.3, VIT_211s0016g04820.1, VIT_211s0016g04820.5, VIT_211s0016g04820.8, VIT_211s0016g04820.7, VIT_211s0016g04820.2, VIT_211s0016g04820.4, VIT_204s0008g05040.2, VIT_204s0008g05040.1	Av_00004040-RA, Av_00012132-RA, Av_00005866-RA
OG0002004	VIT_209s0002g04440.2, VIT_209s0002g04440.1, VIT_204s0008g03900.1	Av_00007991-RA, Av_00012780-RA, Av_00014322-RA
OG0002005	VIT_204s0008g01260.3, VIT_204s0008g01260.1, VIT_204s0008g01260.4, VIT_204s0008g01260.2	Av_00012304-RA, Av_00019178-RA
