Orthogroup	V_vinifera.proteins	A_vesiculosa.proteins
OG0000028	VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA
OG0000031	VIT_210s0003g04920.1	Av_00023882-RA
OG0000031	VIT_204s0023g03790.1, VIT_204s0023g03810.1	Av_00004188-RA, Av_00015999-RA, Av_00023881-RA, Av_00019981-RA
OG0000031	VIT_204s0023g02170.2, VIT_204s0023g02170.1	Av_00023880-RA
OG0000032	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1	Av_00017613-RA, Av_00005837-RA
OG0000034	VIT_200s0532g00070.1	Av_00010139-RA
OG0000034	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1	Av_00014124-RA, Av_00014125-RA
OG0000034	VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA
OG0000037	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1	Av_00005925-RA
OG0000038	VIT_219s0015g00070.1, VIT_217s0000g09550.1	Av_00017653-RA
OG0000040	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1	Av_00004970-RA
OG0000041	VIT_204s0023g03710.1, VIT_203s0038g02310.1	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA
OG0000041	VIT_217s0000g02660.1, VIT_214s0006g01620.1, VIT_201s0011g04760.1	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1, VIT_205s0077g01360.1	Av_00023746-RA, Av_00022768-RA
OG0000041	VIT_211s0016g01300.1, VIT_209s0002g01400.1	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA
OG0000041	VIT_208s0007g07230.1	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA
OG0000042	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4	Av_00019089-RA
OG0000042	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1	Av_00009478-RA, Av_00008427-RA
OG0000044	VIT_204s0023g01430.1	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA
OG0000044	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1	Av_00012555-RA, Av_00002870-RA
OG0000044	VIT_209s0002g02300.1, VIT_204s0008g01160.1	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA
OG0000044	VIT_200s0179g00170.1	Av_00002322-RA, Av_00009708-RA
OG0000046	VIT_203s0063g02440.1	Av_00024394-RA, Av_00011655-RA, Av_00014209-RA, Av_00001876-RA
OG0000046	VIT_211s0016g03880.1	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA
OG0000046	VIT_214s0083g00330.3, VIT_214s0083g00330.1	Av_00009129-RA, Av_00005749-RA
OG0000046	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3	Av_00024073-RA, Av_00006807-RA
OG0000047	VIT_207s0031g01140.1	Av_00021683-RA
OG0000047	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA
OG0000047	VIT_203s0097g00160.2, VIT_203s0097g00160.1, VIT_200s0211g00150.1, VIT_203s0097g00160.3, VIT_203s0097g00160.4	Av_00021866-RA
OG0000047	VIT_215s0048g01240.1	Av_00011450-RA, Av_00000054-RA
OG0000047	VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1	Av_00015234-RA, Av_00010903-RA
OG0000047	VIT_212s0059g02675.1	Av_00011809-RA
OG0000050	VIT_216s0098g01340.1	Av_00009969-RA, Av_00012807-RA, Av_00021668-RA
OG0000050	VIT_209s0054g01090.1	Av_00018938-RA
OG0000055	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4	Av_00002758-RA
OG0000055	VIT_205s0020g01770.1	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA
OG0000055	VIT_207s0005g06450.1	Av_00017818-RA
OG0000055	VIT_219s0014g00940.1, VIT_219s0090g00030.1	Av_00024743-RA, Av_00019729-RA
OG0000055	VIT_210s0116g00850.1	Av_00008958-RA
OG0000055	VIT_208s0040g03060.3, VIT_208s0040g03060.1, VIT_208s0040g03060.2, VIT_213s0067g03410.1, VIT_206s0004g03670.1	Av_00016413-RA, Av_00013445-RA
OG0000058	VIT_206s0004g05630.1, VIT_206s0009g01220.1, VIT_206s0009g01260.1, VIT_206s0004g05590.1, VIT_206s0004g05610.1, VIT_206s0004g04830.1	Av_00008430-RA
OG0000058	VIT_208s0007g03650.1	Av_00002928-RA
OG0000059	VIT_218s0041g00030.1	Av_00013645-RA
OG0000060	VIT_203s0110g00150.1	Av_00019407-RA, Av_00013026-RA, Av_00002915-RA, Av_00025088-RA, Av_00009650-RA
OG0000063	VIT_212s0028g01830.1, VIT_212s0028g01840.1	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA
OG0000065	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1	Av_00001967-RA
OG0000067	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA
OG0000067	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5	Av_00002873-RA, Av_00024311-RA, Av_00023884-RA, Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA
OG0000070	VIT_204s0044g00580.1	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA
OG0000070	VIT_212s0178g00200.4	Av_00000389-RA
OG0000070	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA
OG0000071	VIT_217s0000g09810.1, VIT_214s0219g00230.2, VIT_214s0219g00230.1	Av_00011182-RA, Av_00001686-RA
OG0000071	VIT_208s0007g04820.1	Av_00021173-RA
OG0000071	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4	Av_00011924-RA
OG0000071	VIT_205s0051g00590.1	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA
OG0000071	VIT_207s0005g05520.4, VIT_207s0005g05520.1	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA
OG0000071	VIT_201s0137g00240.2, VIT_201s0137g00240.1	Av_00002646-RA, Av_00005357-RA
OG0000072	VIT_200s2837g00010.1	Av_00013714-RA, Av_00000367-RA
