Orthogroup	V_vinifera.proteins	P_amilis.proteins
OG0000030	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1, FUN_046131-T1, FUN_046111-T1, FUN_046117-T1, FUN_046121-T1, FUN_046133-T1, FUN_046120-T1, FUN_046114-T1, FUN_046125-T1, FUN_046123-T1, FUN_046129-T1, FUN_046110-T1, FUN_046122-T1, FUN_046116-T1, FUN_046128-T1, FUN_046126-T1, FUN_046113-T1, FUN_046132-T1, FUN_046137-T1, FUN_046135-T1, FUN_046136-T1, FUN_002402-T1
OG0000030	VIT_200s0976g00010.1, VIT_200s1235g00020.1	FUN_004132-T1
OG0000031	VIT_210s0003g04920.1	FUN_047053-T1
OG0000031	VIT_204s0023g03790.1, VIT_204s0023g03810.1	FUN_009433-T1
OG0000031	VIT_204s0023g02260.1, VIT_204s0023g02320.1, VIT_204s0023g02230.1, VIT_204s0023g02240.1, VIT_204s0023g02290.3, VIT_204s0023g02290.1, VIT_204s0023g02290.2, VIT_204s0023g02290.4, VIT_204s0023g02280.1, VIT_204s0023g02310.1, VIT_204s0023g02220.1	FUN_018873-T1, FUN_018874-T1, FUN_003563-T1
OG0000031	VIT_204s0023g02170.2, VIT_204s0023g02170.1	FUN_009434-T1
OG0000031	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1	FUN_038338-T1
OG0000032	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1	FUN_047445-T1, FUN_047444-T1, FUN_047446-T1, FUN_047439-T1, FUN_047440-T1, FUN_047438-T1, FUN_047441-T1, FUN_047436-T1, FUN_047442-T1, FUN_010876-T1, FUN_010877-T1, FUN_031303-T1, FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1
OG0000034	VIT_200s0532g00070.1	FUN_012533-T1, FUN_018515-T1, FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1, FUN_035395-T1
OG0000034	VIT_200s2745g00010.1, VIT_200s2659g00010.1	FUN_017645-T1
OG0000034	VIT_200s0262g00080.1, VIT_200s0429g00010.1, VIT_200s0437g00070.1, VIT_200s0262g00010.1, VIT_200s0262g00120.1	FUN_012518-T1
OG0000034	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1
OG0000034	VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1	FUN_012547-T1
OG0000034	VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1	FUN_035333-T2, FUN_035333-T1, FUN_035332-T1
OG0000037	VIT_212s0035g00580.1, VIT_218s0001g11440.1, VIT_218s0001g11410.1, VIT_218s0001g11450.1	FUN_001430-T1
OG0000037	VIT_204s0044g01610.1, VIT_212s0035g00610.1, VIT_212s0035g00560.1, VIT_212s0035g00570.1, VIT_200s1216g00020.1, VIT_209s0002g09270.1, VIT_209s0002g09200.1, VIT_209s0002g09250.1	FUN_000651-T1
OG0000038	VIT_219s0015g00070.1, VIT_217s0000g09550.1	FUN_004360-T1, FUN_050362-T1
OG0000038	VIT_217s0000g09610.1	FUN_025082-T1
OG0000038	VIT_217s0000g09570.1, VIT_217s0000g09510.1	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1
OG0000040	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1
OG0000041	VIT_204s0023g03710.1, VIT_203s0038g02310.1	FUN_051962-T1, FUN_045720-T1
OG0000041	VIT_207s0130g00040.1	FUN_002730-T1
OG0000041	VIT_205s0049g01020.1, VIT_207s0005g03340.1	FUN_015112-T1
OG0000041	VIT_207s0005g01210.2, VIT_207s0005g01210.1	FUN_010340-T1
OG0000041	VIT_215s0046g00170.1	FUN_037490-T1
OG0000041	VIT_211s0016g01300.1, VIT_209s0002g01400.1	FUN_027799-T1
OG0000041	VIT_208s0007g07230.1	FUN_003721-T1
OG0000042	VIT_213s0019g02170.3, VIT_213s0019g02170.2, VIT_213s0019g02170.1, VIT_213s0019g02170.5, VIT_213s0019g02170.6, VIT_213s0019g02170.4	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1
OG0000042	VIT_206s0004g05280.4, VIT_206s0004g05280.3, VIT_206s0004g05280.1, VIT_206s0004g05280.2	FUN_047986-T1
OG0000042	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1
OG0000043	VIT_200s0790g00020.1, VIT_200s0705g00010.1, VIT_207s0129g00800.1, VIT_207s0129g00760.1, VIT_207s0129g00710.1, VIT_207s0129g00730.1, VIT_207s0129g00810.1, VIT_207s0129g00820.1, VIT_214s0030g01940.1, VIT_207s0129g00850.1	FUN_032854-T1, FUN_004646-T1
OG0000043	VIT_218s0001g09660.1	FUN_024518-T1
OG0000043	VIT_218s0001g09650.1	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1
OG0000043	VIT_209s0002g06450.1, VIT_209s0002g06440.1, VIT_209s0002g06470.1, VIT_209s0002g06480.1	FUN_024185-T1, FUN_024184-T1, FUN_024186-T1, FUN_024187-T1, FUN_024769-T1, FUN_030446-T1, FUN_030447-T1, FUN_041873-T1, FUN_041870-T1, FUN_041871-T1, FUN_041872-T1, FUN_041876-T1, FUN_041875-T1, FUN_025703-T1
OG0000044	VIT_204s0023g01430.1	FUN_001129-T1
OG0000044	VIT_201s0010g02100.2, VIT_201s0010g02100.1	FUN_020670-T1
OG0000044	VIT_208s0040g02100.2, VIT_208s0040g02100.1, VIT_208s0040g02100.4, VIT_208s0040g02100.3, VIT_208s0040g02100.5, VIT_206s0004g03070.2, VIT_206s0004g03070.1	FUN_039424-T1
OG0000044	VIT_212s0028g03030.2, VIT_212s0028g03030.1	FUN_012688-T1
OG0000044	VIT_200s0179g00170.1	FUN_050905-T1
OG0000046	VIT_203s0063g02440.1	FUN_001154-T1, FUN_030219-T1
OG0000046	VIT_211s0016g03880.1	FUN_015529-T1, FUN_026427-T1
OG0000046	VIT_214s0083g00330.3, VIT_214s0083g00330.1	FUN_016469-T1, FUN_029956-T1
OG0000046	VIT_209s0002g04210.2, VIT_209s0002g04210.1, VIT_209s0002g04210.6, VIT_209s0002g04210.5, VIT_209s0002g04210.4, VIT_209s0002g04210.3	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1
OG0000047	VIT_207s0031g01140.1	FUN_016927-T1, FUN_029662-T1
OG0000047	VIT_203s0167g00100.2, VIT_203s0167g00100.1, VIT_203s0017g00360.1, VIT_215s0024g02000.1, VIT_200s0729g00010.1, VIT_203s0017g00450.1, VIT_203s0017g00440.1, VIT_215s0024g01860.1	FUN_052024-T1
OG0000047	VIT_200s0211g00150.1, VIT_203s0097g00160.3, VIT_203s0097g00160.4	FUN_038585-T1
OG0000047	VIT_201s0010g03896.1, VIT_214s0068g01800.1	FUN_025284-T1
OG0000047	VIT_215s0048g01240.1, VIT_216s0022g02400.4, VIT_216s0022g02400.3, VIT_216s0022g02400.2, VIT_216s0022g02400.1	FUN_011417-T1
OG0000048	VIT_208s0058g01230.1, VIT_206s0004g08060.1, VIT_208s0058g01210.1	FUN_004047-T1, FUN_020331-T1, FUN_020329-T1, FUN_020334-T1, FUN_020328-T1, FUN_004032-T1, FUN_004039-T1, FUN_053006-T1, FUN_004044-T1, FUN_004042-T1, FUN_004048-T1
OG0000048	VIT_213s0320g00050.1	FUN_020326-T1
OG0000050	VIT_216s0098g01340.1	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1, FUN_028422-T1, FUN_010388-T1, FUN_043838-T1, FUN_004521-T1, FUN_046746-T1, FUN_008570-T1, FUN_053084-T1, FUN_053186-T1, FUN_026082-T1, FUN_047850-T1, FUN_029523-T1, FUN_042954-T1, FUN_033625-T1, FUN_015539-T1, FUN_031844-T1, FUN_047921-T1, FUN_023523-T1, FUN_001245-T1, FUN_012030-T1
OG0000055	VIT_201s0146g00250.1, VIT_201s0146g00250.5, VIT_201s0146g00250.3, VIT_201s0146g00250.2, VIT_201s0146g00250.4	FUN_025259-T1, FUN_025259-T2
OG0000055	VIT_205s0020g01770.1	FUN_020259-T1
OG0000055	VIT_214s0068g01540.3, VIT_214s0068g01540.4, VIT_214s0068g01540.1, VIT_214s0068g01540.2	FUN_020601-T1
OG0000055	VIT_207s0005g06450.1	FUN_043526-T1, FUN_024966-T1
OG0000055	VIT_204s0043g01030.1	FUN_051595-T1
OG0000055	VIT_219s0014g00940.1, VIT_219s0090g00030.1	FUN_045967-T1, FUN_049882-T1
OG0000055	VIT_210s0116g00850.1	FUN_014867-T1
OG0000055	VIT_206s0004g03670.1	FUN_007699-T1
OG0000056	VIT_210s0003g01010.1	FUN_036761-T1, FUN_036761-T2
OG0000056	VIT_214s0060g02080.1	FUN_051500-T1
OG0000056	VIT_214s0060g02720.1	FUN_004783-T1, FUN_013626-T1, FUN_014936-T1
OG0000058	VIT_206s0004g05630.1, VIT_206s0009g01220.1, VIT_206s0009g01260.1, VIT_206s0004g05590.1, VIT_206s0004g05610.1, VIT_206s0004g04830.1	FUN_009655-T1, FUN_009655-T2
OG0000058	VIT_206s0080g00085.1	FUN_000928-T1
OG0000058	VIT_208s0007g03650.1	FUN_020519-T1, FUN_000927-T1
OG0000059	VIT_218s0001g01320.1, VIT_218s0001g01370.1	FUN_020369-T1, FUN_020373-T1, FUN_020369-T2, FUN_020377-T1, FUN_020374-T1
OG0000059	VIT_217s0000g04380.1, VIT_217s0000g04370.1, VIT_217s0000g02410.1, VIT_217s0000g04360.1, VIT_217s0000g04405.1, VIT_217s0000g04430.1, VIT_217s0000g04393.1, VIT_203s0132g00380.1, VIT_203s0132g00340.1, VIT_203s0132g00450.1	FUN_026705-T1, FUN_036105-T1, FUN_036107-T1, FUN_036112-T1, FUN_036129-T1, FUN_036113-T1, FUN_036123-T1, FUN_036122-T1, FUN_036124-T1, FUN_036130-T1, FUN_036128-T1, FUN_036114-T1, FUN_012167-T1, FUN_036111-T1, FUN_036108-T1, FUN_036106-T1, FUN_036101-T1, FUN_036102-T1, FUN_036102-T2, FUN_036098-T1, FUN_036099-T1, FUN_049926-T1, FUN_052447-T1
OG0000059	VIT_218s0041g00030.1	FUN_001172-T1, FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1
OG0000060	VIT_203s0110g00150.1	FUN_019328-T1, FUN_053291-T1, FUN_053219-T1, FUN_053226-T1, FUN_053013-T1, FUN_053171-T1
OG0000063	VIT_212s0028g01830.1, VIT_212s0028g01840.1	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1
OG0000063	VIT_218s0001g06850.3, VIT_218s0001g06850.6, VIT_218s0001g06850.1, VIT_218s0001g06850.2, VIT_218s0001g06850.5, VIT_218s0001g06850.4, VIT_206s0004g07740.1	FUN_049359-T1
OG0000063	VIT_206s0004g07770.1	FUN_007710-T1
OG0000063	VIT_213s0067g02360.1, VIT_213s0067g02360.2, VIT_213s0067g02360.4, VIT_213s0067g02360.3	FUN_029311-T1, FUN_019002-T1, FUN_019000-T1, FUN_018999-T1
OG0000065	VIT_208s0007g01410.1, VIT_208s0007g01400.1, VIT_208s0007g01420.1	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1
OG0000065	VIT_207s0005g04880.1, VIT_207s0005g04870.1, VIT_207s0005g04890.1	FUN_043594-T1
OG0000067	VIT_206s0004g03400.1, VIT_206s0004g03400.5, VIT_206s0004g03400.3, VIT_206s0004g03400.4, VIT_206s0004g03400.6, VIT_206s0004g03400.2	FUN_027482-T1
OG0000067	VIT_208s0040g02400.3, VIT_208s0040g02400.4, VIT_208s0040g02400.2, VIT_208s0040g02400.6, VIT_208s0040g02400.1, VIT_208s0040g02400.5	FUN_038294-T1
OG0000068	VIT_210s0003g04510.1	FUN_045069-T1, FUN_045070-T1, FUN_035301-T1, FUN_012468-T3, FUN_012468-T1, FUN_012468-T2, FUN_029024-T1, FUN_045170-T1, FUN_045068-T1, FUN_004607-T1, FUN_038067-T1, FUN_004616-T1, FUN_004614-T1, FUN_005998-T1, FUN_004619-T1
OG0000068	VIT_201s0010g01370.1, VIT_201s0010g01380.2, VIT_201s0010g01380.4, VIT_201s0010g01380.5, VIT_201s0010g01380.1, VIT_201s0010g01380.3	FUN_014800-T1
OG0000070	VIT_212s0178g00200.4	FUN_010235-T2, FUN_038594-T1
OG0000070	VIT_213s0019g01240.2, VIT_213s0019g01240.1, VIT_213s0019g01240.3	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1
OG0000070	VIT_204s0044g00580.2, VIT_213s0019g01240.4	FUN_038597-T1
OG0000071	VIT_217s0000g09810.1	FUN_025121-T1, FUN_050310-T1
OG0000071	VIT_214s0219g00230.2, VIT_214s0219g00230.1	FUN_031359-T1, FUN_031363-T1
OG0000071	VIT_208s0007g04820.1	FUN_006200-T1
OG0000071	VIT_213s0019g04910.5, VIT_213s0019g04910.2, VIT_213s0019g04910.1, VIT_213s0019g04910.3, VIT_213s0019g04910.4	FUN_017402-T1
OG0000071	VIT_205s0051g00590.1	FUN_005720-T1
OG0000071	VIT_207s0005g05520.4, VIT_207s0005g05520.1	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2
OG0000071	VIT_201s0137g00240.2, VIT_201s0137g00240.1	FUN_032036-T1
OG0000072	VIT_218s0001g13680.2	FUN_025445-T1
OG0000072	VIT_218s0072g00800.1	FUN_036489-T1
OG0000072	VIT_204s0044g00560.1	FUN_029141-T1
OG0000072	VIT_213s0064g01340.1	FUN_011881-T1
OG0000076	VIT_215s0021g00810.1	FUN_021898-T1, FUN_042051-T1, FUN_032174-T1, FUN_047060-T1, FUN_030675-T1, FUN_029162-T1, FUN_026104-T1, FUN_007816-T1, FUN_023546-T1, FUN_033496-T1, FUN_048289-T1, FUN_041797-T1, FUN_012690-T1, FUN_040419-T1, FUN_038716-T1, FUN_018002-T1, FUN_014882-T1, FUN_006014-T1, FUN_029617-T1, FUN_012389-T1, FUN_032437-T1, FUN_004161-T1, FUN_030217-T1, FUN_027898-T1, FUN_052590-T1, FUN_032879-T1, FUN_020273-T1, FUN_032942-T1, FUN_045100-T1, FUN_047103-T1, FUN_038886-T1, FUN_001158-T1, FUN_034641-T1, FUN_004883-T1, FUN_001989-T1, FUN_018147-T1, FUN_020267-T1, FUN_029677-T1, FUN_006263-T1, FUN_036010-T1, FUN_049769-T1, FUN_020684-T1, FUN_045843-T1, FUN_041680-T1, FUN_026563-T1, FUN_008655-T1, FUN_001810-T1, FUN_016859-T1, FUN_037603-T1, FUN_007989-T1, FUN_036065-T1, FUN_049253-T1, FUN_050980-T1, FUN_023822-T1, FUN_037806-T1, FUN_051438-T1, FUN_016257-T1, FUN_005236-T1, FUN_018146-T1, FUN_038753-T1, FUN_043921-T1, FUN_033899-T1, FUN_016695-T1, FUN_050571-T1, FUN_052464-T1, FUN_019910-T1, FUN_024278-T1, FUN_006264-T1, FUN_038183-T1, FUN_019359-T1, FUN_026269-T1, FUN_015273-T1, FUN_041773-T1, FUN_003908-T1, FUN_030844-T1, FUN_045193-T1, FUN_009909-T1, FUN_001826-T1, FUN_029709-T1, FUN_020726-T1, FUN_017024-T1, FUN_005730-T1, FUN_015794-T1, FUN_040754-T1, FUN_023607-T1, FUN_020926-T1, FUN_001244-T1, FUN_041593-T1, FUN_051211-T1, FUN_038103-T1, FUN_035957-T1, FUN_029766-T1, FUN_018392-T1, FUN_010513-T1, FUN_041319-T1, FUN_014955-T1, FUN_011939-T1, FUN_029338-T1, FUN_006396-T1, FUN_027881-T1, FUN_048737-T1, FUN_025793-T1, FUN_037866-T1, FUN_020480-T1, FUN_000168-T1, FUN_002310-T1, FUN_017423-T1, FUN_017093-T1, FUN_028430-T1, FUN_002574-T1, FUN_052380-T1, FUN_009231-T1, FUN_037969-T1, FUN_042845-T1, FUN_012766-T1, FUN_043189-T1, FUN_043920-T1, FUN_040136-T1, FUN_012861-T1
OG0000077	VIT_203s0038g02060.1	FUN_051935-T1
