Orthogroup	V_vinifera.proteins	P_amilis.proteins
OG0001079	VIT_214s0108g01070.1, VIT_214s0108g01070.3, VIT_214s0108g01070.4, VIT_214s0108g01070.2, VIT_217s0000g06400.3, VIT_217s0000g06400.2, VIT_217s0000g06400.1	FUN_010166-T1, FUN_029166-T1, FUN_011113-T1, FUN_045304-T1
OG0001080	VIT_202s0012g00550.2, VIT_202s0012g00550.4, VIT_202s0012g00550.3, VIT_202s0012g00550.1, VIT_202s0012g00550.5	FUN_017424-T1, FUN_017424-T2, FUN_017424-T3, FUN_041466-T1, FUN_041466-T2, FUN_041466-T3
OG0001081	VIT_200s0203g00200.1	FUN_045841-T1
OG0001082	VIT_203s0017g00980.1, VIT_210s0003g05640.1	FUN_031475-T1
OG0001083	VIT_214s0108g01270.5, VIT_214s0108g01270.1, VIT_214s0108g01270.3, VIT_214s0108g01270.2, VIT_214s0108g01270.4	FUN_029148-T1, FUN_003073-T1
OG0001083	VIT_217s0000g06650.1	FUN_011136-T1, FUN_045378-T1
OG0001086	VIT_218s0076g00250.1, VIT_218s0076g00250.4, VIT_218s0076g00250.2, VIT_218s0076g00250.3	FUN_037842-T2, FUN_037842-T1, FUN_048432-T3, FUN_048432-T2, FUN_048432-T1
OG0001086	VIT_218s0076g00220.1	FUN_037840-T1, FUN_048431-T1, FUN_037841-T1
OG0001091	VIT_200s0332g00140.1, VIT_200s0246g00070.1, VIT_200s0246g00010.1	FUN_006733-T1
OG0001091	VIT_200s0332g00160.1, VIT_200s0246g00080.1	FUN_006731-T1
OG0001092	VIT_206s0004g06730.1, VIT_206s0004g06720.1	FUN_018048-T1
OG0001092	VIT_208s0105g00430.3, VIT_208s0105g00430.2	FUN_019104-T1, FUN_030368-T2
OG0001093	VIT_200s1995g00010.1, VIT_200s1995g00010.2	FUN_033216-T1
OG0001095	VIT_218s0001g15110.1, VIT_218s0001g15100.1, VIT_218s0001g15190.1	FUN_019131-T1, FUN_019129-T1, FUN_030319-T1
OG0001095	VIT_207s0104g01250.1, VIT_207s0104g01260.1	FUN_024664-T1, FUN_024665-T2, FUN_024665-T1
OG0001096	VIT_204s0023g00950.1, VIT_204s0023g00950.2, VIT_204s0023g00960.1	FUN_052528-T1
OG0001096	VIT_204s0023g00970.1	FUN_036507-T1
OG0001097	VIT_206s0004g05020.2, VIT_206s0004g05020.1	FUN_009679-T1
OG0001097	VIT_208s0007g00540.1, VIT_208s0007g00540.2	FUN_039781-T1, FUN_039781-T2
OG0001098	VIT_217s0000g08890.3, VIT_217s0000g08890.2, VIT_217s0000g08890.1	FUN_000758-T1, FUN_000758-T6, FUN_000758-T5, FUN_000758-T3, FUN_010533-T1
OG0001099	VIT_205s0029g00440.1	FUN_003495-T1, FUN_034097-T1, FUN_034097-T2
OG0001099	VIT_217s0000g07330.1, VIT_217s0000g07330.2	FUN_011195-T1
OG0001100	VIT_200s0265g00020.2, VIT_200s0265g00020.1, VIT_200s0265g00020.4, VIT_203s0017g01640.3, VIT_203s0017g01640.2, VIT_203s0017g01640.4, VIT_203s0017g01640.1, VIT_200s0265g00020.3	FUN_033537-T1
OG0001100	VIT_204s0008g06470.1, VIT_204s0008g06470.3, VIT_204s0008g06470.2	FUN_039391-T1, FUN_039391-T2
OG0001101	VIT_204s0044g00460.1, VIT_204s0044g00483.1, VIT_204s0044g00480.1	FUN_024597-T1
OG0001101	VIT_204s0044g00390.1, VIT_204s0044g00410.1, VIT_204s0044g00370.1, VIT_204s0044g00430.1, VIT_204s0044g00360.1, VIT_204s0044g00380.1, VIT_204s0044g00420.1, VIT_204s0044g00455.1, VIT_204s0044g00350.1, VIT_204s0044g00400.1, VIT_204s0044g00330.1, VIT_204s0044g00450.1	FUN_048171-T1
OG0001102	VIT_203s0088g01240.1	FUN_052086-T1, FUN_005632-T1
OG0001102	VIT_200s1314g00010.1, VIT_200s0899g00005.1, VIT_200s0927g00010.1, VIT_200s1314g00010.2, VIT_207s0205g00180.1, VIT_207s0205g00190.1, VIT_207s0205g00170.1	FUN_028994-T1, FUN_003916-T1, FUN_003915-T1
OG0001106	VIT_214s0066g02000.1	FUN_032354-T1
OG0001107	VIT_209s0018g01220.1, VIT_209s0018g01230.1	FUN_050152-T1, FUN_023564-T1, FUN_050153-T1
OG0001109	VIT_210s0003g02760.1	FUN_047837-T1
OG0001109	VIT_209s0002g01710.4	FUN_017373-T1
OG0001110	VIT_216s0022g02020.1	FUN_040646-T1, FUN_025902-T1, FUN_006561-T1
OG0001110	VIT_202s0025g04960.7, VIT_202s0025g04960.3, VIT_202s0025g04960.5, VIT_202s0025g04960.8, VIT_202s0025g04960.11, VIT_202s0025g04960.10, VIT_202s0025g04960.9, VIT_202s0025g04960.2, VIT_202s0025g04960.6, VIT_202s0025g04960.4, VIT_202s0025g04960.1	FUN_040647-T1
OG0001111	VIT_209s0002g01750.1	FUN_050026-T1
OG0001111	VIT_204s0008g01020.1	FUN_005265-T1, FUN_001864-T1
OG0001112	VIT_202s0025g00130.3	FUN_040956-T2
OG0001113	VIT_214s0036g01400.1	FUN_021364-T1, FUN_005352-T1
OG0001113	VIT_217s0000g06805.1, VIT_214s0108g01450.4, VIT_214s0108g01450.1, VIT_214s0108g01450.5, VIT_214s0108g01450.2, VIT_214s0108g01450.3, VIT_214s0108g01450.6	FUN_029129-T1
OG0001114	VIT_215s0048g02000.6, VIT_215s0048g02000.2, VIT_215s0048g02000.3, VIT_215s0048g02000.1, VIT_215s0048g02000.5, VIT_215s0048g02000.4	FUN_037133-T3, FUN_037133-T2, FUN_037133-T1, FUN_049189-T2, FUN_049189-T1
OG0001115	VIT_209s0002g09090.1	FUN_005490-T1
OG0001115	VIT_204s0008g06050.4, VIT_204s0008g06050.3, VIT_204s0008g06050.2, VIT_204s0008g06050.1	FUN_010379-T1
OG0001116	VIT_211s0016g03750.1, VIT_211s0016g03750.2, VIT_204s0008g03780.3, VIT_204s0008g03780.4, VIT_204s0008g03780.5, VIT_204s0008g03780.2, VIT_204s0008g03780.1	FUN_004964-T1, FUN_015091-T1
OG0001117	VIT_204s0008g02390.3, VIT_204s0008g02390.2, VIT_204s0008g02390.4, VIT_204s0008g02390.5, VIT_204s0008g02390.1	FUN_005349-T3, FUN_005349-T1, FUN_005349-T2
OG0001118	VIT_206s0004g03180.1	FUN_027289-T1
OG0001119	VIT_213s0067g03600.3, VIT_213s0067g03600.1, VIT_213s0067g03600.4, VIT_213s0067g03600.2, VIT_208s0040g02860.1	FUN_000925-T2, FUN_000925-T1, FUN_022402-T1
OG0001120	VIT_201s0026g01770.1, VIT_201s0026g01770.3, VIT_201s0026g01770.4, VIT_201s0026g01770.2	FUN_023214-T1
OG0001121	VIT_213s0019g00940.1	FUN_001057-T1, FUN_001055-T1, FUN_001053-T1
OG0001122	VIT_210s0003g02670.1, VIT_210s0003g02670.4, VIT_210s0003g02670.6, VIT_210s0003g02670.8, VIT_210s0003g02670.2, VIT_210s0003g02670.3, VIT_210s0003g02670.5, VIT_210s0003g02670.7	FUN_034879-T1, FUN_034879-T4, FUN_034879-T5, FUN_034879-T2, FUN_034879-T3
OG0001123	VIT_208s0007g07400.8, VIT_208s0007g07400.10, VIT_208s0007g07400.4, VIT_208s0007g07400.6, VIT_208s0007g07400.2, VIT_208s0007g07400.7, VIT_208s0007g07400.5, VIT_208s0007g07400.11, VIT_208s0007g07400.1, VIT_208s0007g07400.3, VIT_208s0007g07400.9, VIT_216s0039g02740.1	FUN_005693-T1
OG0001124	VIT_211s0118g00490.2, VIT_211s0118g00490.1, VIT_211s0118g00490.3	FUN_001786-T1
OG0001124	VIT_204s0008g06310.1, VIT_204s0008g06310.2	FUN_020842-T1
OG0001125	VIT_214s0108g01030.2, VIT_214s0108g01030.3, VIT_214s0108g01030.5	FUN_029170-T2, FUN_029170-T1
OG0001125	VIT_216s0050g02640.3, VIT_216s0050g02640.5	FUN_008961-T1
OG0001126	VIT_218s0072g00380.1	FUN_047804-T1, FUN_001307-T1, FUN_026968-T1, FUN_001305-T1
OG0001128	VIT_218s0001g11740.10, VIT_218s0001g11740.11, VIT_218s0001g11740.4, VIT_218s0001g11740.8, VIT_218s0001g11740.5, VIT_218s0001g11740.2, VIT_218s0001g11740.3, VIT_218s0001g11740.1, VIT_218s0001g11740.6, VIT_218s0001g11740.7, VIT_218s0001g11740.9	FUN_043392-T1
OG0001129	VIT_201s0010g02810.1, VIT_201s0010g02810.2, VIT_201s0010g02810.3	FUN_025337-T1, FUN_025337-T2
OG0001130	VIT_201s0137g00360.1	FUN_025401-T1, FUN_032057-T1
OG0001130	VIT_217s0000g09730.1	FUN_050332-T1
OG0001130	VIT_201s0026g00880.1	FUN_009103-T1, FUN_032353-T1
OG0001130	VIT_217s0000g07690.1	FUN_010937-T1
OG0001131	VIT_214s0083g01100.1	FUN_016827-T1, FUN_029746-T1
OG0001131	VIT_217s0000g05030.1	FUN_011241-T1, FUN_045540-T1
OG0001132	VIT_214s0006g02910.4, VIT_214s0006g02910.3, VIT_214s0006g02910.1, VIT_214s0006g02910.2	FUN_010493-T2, FUN_010493-T1, FUN_029867-T1
OG0001132	VIT_201s0011g03580.2, VIT_201s0011g03580.1, VIT_201s0011g03580.3	FUN_033557-T1
OG0001133	VIT_214s0006g00520.1, VIT_214s0006g00520.4, VIT_214s0006g00520.2, VIT_214s0006g00520.3	FUN_029054-T1, FUN_029054-T2
OG0001133	VIT_201s0011g05500.6, VIT_201s0011g05500.5, VIT_201s0011g05500.4, VIT_201s0011g05500.1, VIT_201s0011g05500.2, VIT_201s0011g05500.3	FUN_033314-T2, FUN_033314-T1
OG0001134	VIT_214s0108g00390.2, VIT_214s0108g00390.1	FUN_030922-T1
OG0001134	VIT_201s0026g01950.1	FUN_023240-T1, FUN_032505-T1
OG0001135	VIT_201s0010g01590.3, VIT_201s0010g01590.1, VIT_201s0010g01590.6, VIT_201s0010g01590.2, VIT_201s0010g01590.5, VIT_201s0010g01590.9, VIT_201s0010g01590.7, VIT_201s0010g01590.4, VIT_201s0010g01590.8	FUN_031680-T1, FUN_031680-T2, FUN_031679-T1
OG0001136	VIT_217s0000g01860.1, VIT_217s0000g01860.2	FUN_002046-T1, FUN_016946-T1
OG0001141	VIT_204s0008g06420.1	FUN_018726-T1
OG0001143	VIT_200s0184g00110.1	FUN_050385-T1, FUN_050391-T1, FUN_025061-T1
OG0001143	VIT_200s0231g00070.1	FUN_014138-T1
OG0001144	VIT_206s0004g06810.1, VIT_206s0004g06800.1	FUN_049000-T1, FUN_023887-T1, FUN_049002-T1
OG0001145	VIT_201s0244g00030.1	FUN_047041-T1
OG0001146	VIT_208s0007g01030.2, VIT_208s0007g01040.1	FUN_042082-T1, FUN_008098-T1, FUN_008098-T2
OG0001146	VIT_208s0007g01050.1	FUN_039759-T1
OG0001147	VIT_208s0007g03520.1, VIT_208s0007g03520.2, VIT_208s0007g03520.4, VIT_208s0007g03520.3	FUN_018526-T1, FUN_039096-T1
OG0001147	VIT_208s0007g03500.1, VIT_208s0007g03500.3, VIT_208s0007g03500.2, VIT_208s0007g03500.4	FUN_043661-T1, FUN_039094-T1
OG0001148	VIT_208s0056g00190.5, VIT_208s0056g00190.1, VIT_208s0056g00190.2, VIT_208s0056g00190.3, VIT_208s0056g00190.4, VIT_210s0071g01060.2, VIT_210s0071g01060.1	FUN_027916-T1, FUN_027912-T2, FUN_027912-T1
OG0001149	VIT_216s0098g00830.1	FUN_045099-T1
OG0001149	VIT_208s0040g00600.1, VIT_213s0067g00710.1	FUN_019545-T1
OG0001150	VIT_208s0040g01215.1	FUN_033944-T1, FUN_033945-T1
OG0001151	VIT_207s0005g06290.1	FUN_024980-T1, FUN_043503-T1
OG0001151	VIT_216s0098g01230.1	FUN_008781-T1, FUN_044974-T1
OG0001152	VIT_213s0074g00210.2, VIT_213s0074g00210.1	FUN_002070-T1, FUN_002070-T2
OG0001152	VIT_208s0007g04170.1	FUN_020539-T2, FUN_020539-T1, FUN_020538-T1, FUN_020538-T2
OG0001153	VIT_216s0039g00740.7, VIT_216s0039g00740.3, VIT_216s0039g00740.2, VIT_216s0039g00740.4, VIT_216s0039g00740.1, VIT_216s0039g00740.6, VIT_216s0039g00740.5, VIT_216s0039g00740.8, VIT_216s0039g00740.9, VIT_216s0039g00740.10	FUN_014668-T2, FUN_014668-T1
OG0001154	VIT_208s0007g07570.17, VIT_208s0007g07570.16, VIT_208s0007g07570.4, VIT_208s0007g07570.8, VIT_208s0007g07570.6, VIT_208s0007g07570.3, VIT_208s0007g07570.13, VIT_208s0007g07570.19, VIT_208s0007g07570.20, VIT_208s0007g07570.18, VIT_208s0007g07570.14, VIT_208s0007g07570.7, VIT_208s0007g07570.2, VIT_208s0007g07570.15, VIT_208s0007g07570.12, VIT_208s0007g07570.10, VIT_208s0007g07570.11, VIT_208s0007g07570.9, VIT_208s0007g07570.1, VIT_208s0007g07570.5	FUN_033077-T1
OG0001155	VIT_207s0151g00440.1	FUN_030620-T1
OG0001155	VIT_218s0001g08610.1	FUN_024355-T1
OG0001157	VIT_218s0001g09320.1	FUN_030529-T1
OG0001157	VIT_207s0129g00410.1	FUN_017806-T1
OG0001157	VIT_207s0129g00270.2, VIT_207s0129g00270.1	FUN_013125-T2, FUN_013125-T1
OG0001158	VIT_203s0063g00100.3, VIT_203s0063g00100.2, VIT_203s0063g00100.1, VIT_203s0063g00100.6, VIT_203s0063g00100.4, VIT_203s0063g00100.5, VIT_207s0031g00250.9, VIT_207s0031g00250.8, VIT_207s0031g00250.6, VIT_207s0031g00250.2, VIT_207s0031g00250.1, VIT_207s0031g00250.3, VIT_207s0031g00250.5, VIT_207s0031g00250.4, VIT_207s0031g00250.10, VIT_207s0031g00250.7	FUN_029394-T1, FUN_029394-T3, FUN_029394-T2
OG0001159	VIT_212s0034g01780.2, VIT_212s0034g01780.7, VIT_212s0034g01780.9, VIT_212s0034g01780.6, VIT_212s0034g01780.4, VIT_212s0034g01780.10, VIT_212s0034g01780.1, VIT_212s0034g01780.3, VIT_212s0034g01780.5, VIT_212s0034g01780.8	FUN_031397-T1
OG0001160	VIT_218s0122g01440.4, VIT_218s0122g01440.5, VIT_218s0122g01440.1, VIT_218s0122g01440.2, VIT_218s0122g01440.3, VIT_218s0122g01440.6	FUN_025650-T1, FUN_025651-T1
OG0001161	VIT_219s0085g00830.6, VIT_219s0085g00830.5, VIT_219s0085g00830.8, VIT_219s0085g00830.9, VIT_219s0085g00830.10, VIT_219s0085g00830.11, VIT_219s0085g00830.7, VIT_219s0085g00830.2, VIT_219s0085g00830.1, VIT_219s0085g00830.4, VIT_219s0085g00830.3	FUN_016672-T1
OG0001162	VIT_218s0122g00970.7, VIT_218s0122g00970.4, VIT_218s0122g00970.6, VIT_218s0122g00970.3, VIT_218s0122g00970.5, VIT_218s0122g00970.1, VIT_218s0122g00970.2	FUN_042640-T1, FUN_042640-T4, FUN_042640-T3, FUN_042640-T5, FUN_042640-T6, FUN_042640-T2
OG0001162	VIT_207s0031g02180.2, VIT_207s0031g02180.4, VIT_207s0031g02180.1, VIT_207s0031g02180.3	FUN_007797-T1, FUN_007797-T3, FUN_007797-T2
OG0001163	VIT_203s0180g00140.1	FUN_047236-T1, FUN_047231-T1
OG0001163	VIT_218s0001g09880.1	FUN_024531-T1
OG0001163	VIT_218s0001g09870.1, VIT_218s0001g09870.2	FUN_042708-T2, FUN_042708-T1
OG0001164	VIT_203s0017g00530.2, VIT_203s0017g00530.1, VIT_203s0017g00530.5, VIT_203s0017g00530.4, VIT_203s0017g00530.3, VIT_203s0017g00530.6, VIT_203s0017g00530.7	FUN_006127-T4, FUN_006127-T2, FUN_006127-T3, FUN_006127-T1
OG0001165	VIT_204s0023g03220.1, VIT_204s0023g03220.2, VIT_218s0001g13970.1, VIT_218s0001g13970.2, VIT_218s0001g13970.3, VIT_218s0001g13970.5, VIT_218s0001g13970.4	FUN_024164-T2, FUN_024164-T1, FUN_024164-T3
OG0001166	VIT_200s0187g00260.1, VIT_200s0187g00305.1, VIT_200s2300g00010.1	FUN_012173-T1, FUN_012229-T1, FUN_035770-T1
OG0001166	VIT_219s0090g01410.1, VIT_219s0090g01420.1	FUN_047291-T1, FUN_047289-T1
OG0001167	VIT_210s0116g00810.1, VIT_200s0125g00430.1	FUN_020084-T2
OG0001168	VIT_215s0021g02570.1, VIT_215s0021g02570.3, VIT_215s0021g02570.2	FUN_036907-T1
OG0001169	VIT_218s0001g14170.1, VIT_218s0001g14170.2	FUN_025662-T1
OG0001170	VIT_203s0063g02530.6, VIT_203s0063g02530.1, VIT_203s0063g02530.2, VIT_203s0063g02530.8, VIT_203s0063g02530.5, VIT_203s0063g02530.7, VIT_203s0063g02530.3, VIT_203s0063g02530.4	FUN_002262-T1
OG0001171	VIT_203s0038g03200.2, VIT_203s0038g03200.3, VIT_203s0038g03200.1	FUN_002412-T2, FUN_002412-T3, FUN_002412-T1
OG0001172	VIT_210s0116g00480.1	FUN_046299-T1, FUN_046299-T2
OG0001173	VIT_210s0116g00760.1	FUN_012440-T1, FUN_035277-T1, FUN_035278-T1
OG0001173	VIT_219s0177g00300.1	FUN_049865-T1, FUN_045959-T1
OG0001174	VIT_210s0003g00880.4, VIT_210s0003g00880.2, VIT_210s0003g00880.5, VIT_210s0003g00880.3, VIT_210s0003g00880.1	FUN_043394-T1
OG0001175	VIT_213s0084g00170.5, VIT_213s0084g00170.4, VIT_213s0084g00170.3, VIT_213s0084g00170.1, VIT_213s0084g00170.2	FUN_007924-T1, FUN_042644-T1, FUN_042644-T2
OG0001176	VIT_200s0516g00020.1	FUN_012248-T1, FUN_012248-T2, FUN_035799-T1
OG0001176	VIT_219s0090g01130.1, VIT_219s0090g01130.2	FUN_044106-T1
OG0001177	VIT_215s0048g01090.3, VIT_215s0048g01090.2, VIT_215s0048g01090.1, VIT_215s0048g01090.4	FUN_049226-T2, FUN_049226-T1
OG0001177	VIT_202s0025g04540.1, VIT_202s0025g04540.2	FUN_018740-T1
OG0001178	VIT_217s0000g09780.1	FUN_050313-T1
OG0001178	VIT_216s0013g00620.2, VIT_216s0013g00620.1, VIT_216s0013g00620.3	FUN_017345-T1, FUN_041330-T1
OG0001179	VIT_209s0002g01540.1, VIT_209s0002g01540.2	FUN_050047-T1
OG0001179	VIT_211s0016g01460.5, VIT_211s0016g01460.3, VIT_211s0016g01460.2, VIT_211s0016g01460.1, VIT_211s0016g01460.4	FUN_049964-T1
OG0001180	VIT_201s0011g05480.1	FUN_033322-T1
OG0001180	VIT_211s0016g05000.1	FUN_007862-T1
OG0001182	VIT_215s0048g01870.4, VIT_215s0048g01870.6, VIT_215s0048g01870.2, VIT_215s0048g01870.3, VIT_215s0048g01870.8, VIT_215s0048g01870.1, VIT_215s0048g01870.10, VIT_215s0048g01870.5, VIT_215s0048g01870.7, VIT_215s0048g01870.9	FUN_037114-T1
OG0001183	VIT_216s0050g01180.2, VIT_216s0050g01180.1	FUN_009081-T3, FUN_009081-T2, FUN_009081-T4, FUN_009081-T1, FUN_013787-T1
OG0001183	VIT_215s0046g02260.1, VIT_215s0046g02260.2	FUN_048062-T1, FUN_037299-T1
OG0001184	VIT_205s0102g00120.2, VIT_205s0102g00120.1	FUN_014820-T1
OG0001184	VIT_202s0025g03590.1	FUN_007951-T1
OG0001185	VIT_201s0011g06180.2, VIT_201s0011g06180.1, VIT_207s0005g04330.1, VIT_201s0011g06180.3	FUN_026891-T1, FUN_026894-T1
OG0001186	VIT_211s0118g00480.1, VIT_211s0118g00480.2	FUN_001787-T1
OG0001187	VIT_202s0087g00880.3, VIT_202s0087g00880.1, VIT_202s0087g00880.2	FUN_041898-T1, FUN_041896-T1
OG0001188	VIT_202s0025g00040.1	FUN_040937-T1, FUN_040937-T2
OG0001188	VIT_215s0046g01790.1	FUN_048039-T1
OG0001189	VIT_219s0176g00090.1	FUN_019268-T2, FUN_019268-T1
OG0001190	VIT_212s0059g01820.2, VIT_212s0059g01820.3, VIT_212s0059g01820.1	FUN_015688-T1, FUN_015687-T2, FUN_015687-T1
OG0001191	VIT_208s0105g00230.1, VIT_208s0105g00230.2	FUN_042063-T1
OG0001191	VIT_206s0009g00410.2, VIT_206s0009g00410.1	FUN_048893-T1
OG0001192	VIT_210s0116g00410.3, VIT_210s0116g00410.1, VIT_210s0116g00410.2	FUN_012478-T1, FUN_035305-T1
OG0001193	VIT_206s0061g01240.1, VIT_206s0009g03080.1, VIT_203s0132g00020.1, VIT_208s0007g03940.2, VIT_208s0007g03940.1	FUN_005809-T2, FUN_005809-T1
OG0001194	VIT_219s0090g01120.2, VIT_219s0090g01120.3, VIT_219s0090g01120.1	FUN_046176-T1, FUN_044141-T1
OG0001194	VIT_200s0399g00030.1, VIT_210s0523g00050.1, VIT_210s0523g00050.2	FUN_012249-T3, FUN_012249-T1, FUN_012249-T2
OG0001195	VIT_208s0058g00960.1, VIT_208s0058g00960.2, VIT_208s0058g00960.3	FUN_003990-T1
OG0001196	VIT_208s0007g07580.6, VIT_208s0007g07580.5, VIT_208s0007g07580.3, VIT_208s0007g07580.1, VIT_208s0007g07580.2, VIT_208s0007g07580.4	FUN_005713-T1
OG0001197	VIT_203s0017g00990.2, VIT_203s0017g00990.3, VIT_203s0017g00990.1	FUN_002011-T2, FUN_002011-T1
OG0001197	VIT_219s0027g00490.2, VIT_219s0027g00490.1	FUN_002888-T1
OG0001198	VIT_201s0127g00750.2, VIT_201s0127g00750.1, VIT_201s0127g00800.4, VIT_201s0127g00800.2, VIT_201s0127g00800.1, VIT_201s0127g00800.3, VIT_201s0127g00780.2, VIT_201s0127g00780.1, VIT_201s0127g00780.4, VIT_201s0127g00780.3	FUN_010844-T1, FUN_047412-T1
OG0001199	VIT_219s0014g02310.9, VIT_219s0014g02310.8, VIT_219s0014g02310.7, VIT_219s0014g02310.6, VIT_219s0014g02310.3, VIT_219s0014g02310.4, VIT_219s0014g02310.2, VIT_219s0014g02310.1, VIT_219s0014g02310.5	FUN_046642-T1
OG0001200	VIT_217s0000g00340.2, VIT_217s0000g00340.1	FUN_011346-T2, FUN_047048-T1, FUN_047048-T2
OG0001200	VIT_214s0068g01220.1	FUN_011346-T1
OG0001201	VIT_201s0026g01610.9, VIT_201s0026g01610.3, VIT_201s0026g01610.4, VIT_201s0026g01610.2, VIT_201s0026g01610.8, VIT_201s0026g01610.6, VIT_201s0026g01610.1, VIT_201s0026g01610.5, VIT_201s0026g01610.7, VIT_201s0026g01610.10, VIT_202s0087g00130.5, VIT_202s0087g00130.6, VIT_202s0087g00130.10, VIT_202s0087g00130.8, VIT_202s0087g00130.11, VIT_202s0087g00130.9, VIT_202s0087g00130.1, VIT_202s0087g00130.2, VIT_202s0087g00130.4, VIT_202s0087g00130.7, VIT_202s0087g00130.3	FUN_032446-T1, FUN_032446-T2, FUN_023065-T1, FUN_023146-T1, FUN_023146-T3, FUN_023146-T4, FUN_023146-T2
OG0001202	VIT_205s0020g02540.1	FUN_014299-T1, FUN_014300-T1, FUN_014305-T1
OG0001203	VIT_201s0026g01460.1	FUN_032423-T1, FUN_032420-T1, FUN_023066-T1, FUN_023063-T1
OG0001203	VIT_214s0066g02560.2, VIT_214s0066g02560.1	FUN_030900-T1
OG0001204	VIT_202s0488g00020.2, VIT_202s0488g00020.1	FUN_017211-T1, FUN_040029-T1
OG0001205	VIT_217s0000g03850.1, VIT_217s0000g03850.2	FUN_023867-T1, FUN_033599-T1
OG0001206	VIT_213s0064g00680.1	FUN_001618-T1
OG0001206	VIT_207s0095g00490.1	FUN_018139-T1, FUN_038211-T1, FUN_028985-T1
OG0001207	VIT_218s0001g09730.1, VIT_218s0001g09750.1, VIT_218s0001g09720.1, VIT_218s0001g09790.1, VIT_218s0001g09820.1	FUN_030626-T1, FUN_030631-T1
OG0001217	VIT_214s0060g02070.8, VIT_214s0060g02070.3, VIT_214s0060g02070.2, VIT_214s0060g02070.1, VIT_214s0060g02070.4, VIT_214s0060g02070.5, VIT_214s0060g02070.7, VIT_214s0060g02070.9, VIT_214s0060g02070.6	FUN_034385-T1, FUN_051521-T2, FUN_051521-T4, FUN_051521-T3, FUN_051521-T1
OG0001218	VIT_214s0036g00570.6, VIT_214s0036g00570.3, VIT_214s0036g00570.1, VIT_214s0036g00570.4, VIT_214s0036g00570.2, VIT_214s0036g00570.5	FUN_002697-T1, FUN_002697-T2, FUN_000208-T4, FUN_000208-T3, FUN_000208-T1, FUN_000208-T5, FUN_000208-T2
OG0001219	VIT_208s0040g03300.1, VIT_206s0004g04270.1	FUN_013103-T1, FUN_049294-T1, FUN_049299-T1
OG0001219	VIT_214s0060g02360.1	FUN_051472-T1
OG0001220	VIT_213s0019g02700.1	FUN_003850-T1
OG0001220	VIT_200s0269g00020.1, VIT_200s0174g00110.1	FUN_047283-T1
OG0001221	VIT_205s0020g02050.2, VIT_205s0020g02050.1	FUN_047832-T1, FUN_020199-T1
OG0001222	VIT_206s0061g00890.3, VIT_206s0061g00890.4, VIT_206s0061g00890.1, VIT_206s0061g00890.2	FUN_015600-T2, FUN_015600-T3, FUN_015600-T1
OG0001223	VIT_200s0531g00050.2, VIT_200s0531g00050.1	FUN_046383-T2, FUN_046383-T1
OG0001223	VIT_212s0057g01200.5, VIT_212s0057g01200.1, VIT_212s0057g01200.2, VIT_212s0057g01200.3, VIT_212s0057g01200.6	FUN_041198-T2
OG0001224	VIT_213s0156g00090.1	FUN_033030-T1
OG0001225	VIT_217s0000g06750.1	FUN_045388-T1
OG0001225	VIT_205s0049g01320.1	FUN_015088-T1
OG0001227	VIT_217s0000g08550.1	FUN_010803-T1, FUN_047388-T1
OG0001227	VIT_206s0004g06280.1	FUN_049048-T1
OG0001228	VIT_219s0085g00795.1, VIT_219s0085g00740.2, VIT_219s0085g00740.1	FUN_001800-T1, FUN_006336-T1, FUN_039346-T1, FUN_039343-T1
OG0001229	VIT_201s0011g01180.8, VIT_201s0011g01180.6, VIT_201s0011g01180.5, VIT_201s0011g01180.7, VIT_201s0011g01180.2, VIT_201s0011g01180.9, VIT_201s0011g01180.1, VIT_201s0011g01180.4, VIT_201s0011g01180.3	FUN_042762-T1
OG0001230	VIT_212s0134g00550.1	FUN_027399-T1
OG0001231	VIT_203s0063g02080.1	FUN_050969-T1
OG0001231	VIT_218s0001g11910.1, VIT_218s0001g11910.3	FUN_001581-T1
OG0001232	VIT_204s0023g01720.2, VIT_204s0023g01720.1, VIT_204s0023g01720.7, VIT_204s0023g01720.8, VIT_204s0023g01720.4, VIT_204s0023g01720.5, VIT_204s0023g01720.6, VIT_204s0023g01720.3	FUN_009494-T1, FUN_030652-T1
OG0001233	VIT_218s0001g05800.2, VIT_218s0001g05800.3, VIT_218s0001g05800.5, VIT_218s0001g05800.4, VIT_218s0001g05800.1	FUN_038395-T1, FUN_038395-T2, FUN_048625-T2, FUN_048625-T1
OG0001234	VIT_207s0031g02240.1	FUN_004189-T1
OG0001234	VIT_218s0122g00910.1	FUN_025624-T1, FUN_025624-T2, FUN_042611-T1
OG0001235	VIT_200s0253g00110.1, VIT_200s0253g00090.1, VIT_200s0253g00080.1	FUN_029512-T1
OG0001235	VIT_203s0063g01240.1, VIT_203s0063g01170.1, VIT_203s0063g01140.1, VIT_203s0063g01130.1	FUN_046008-T1, FUN_046005-T1, FUN_046007-T1, FUN_046004-T1, FUN_046011-T1, FUN_009917-T1, FUN_046003-T1, FUN_009921-T1, FUN_033352-T1
OG0001236	VIT_200s0525g00050.2, VIT_200s0525g00050.3, VIT_200s0525g00050.1	FUN_014302-T1
OG0001236	VIT_203s0088g00990.2, VIT_203s0088g00990.4, VIT_203s0088g00990.3, VIT_203s0088g00990.1, VIT_203s0088g00990.5	FUN_052095-T1, FUN_005617-T1
