"","x"
"1","Dm_00009749-RA"
"2","Dm_00008368-RA"
"3","Dm_00012190-RA"
"4","Dm_00010589-RA"
"5","Dm_00005516-RA"
"6","Dm_00005515-RA"
"7","Dm_00005083-RA"
"8","Dm_00001218-RA"
"9","Dm_00001623-RA"
"10","Dm_00001639-RA"
"11","Dm_00002176-RA"
"12","Dm_00002180-RA"
"13","Dm_00002158-RA"
"14","Dm_00001804-RA"
"15","Dm_00001802-RA"
"16","Dm_00001389-RA"
"17","Dm_00004129-RA"
"18","Dm_00019875-RA"
"19","Dm_00012208-RA"
"20","Dm_00009997-RA"
"21","Dm_00008277-RA"
"22","Dm_00007263-RA"
"23","Dm_00007265-RA"
"24","Dm_00011696-RA"
"25","Dm_00011413-RA"
"26","Dm_00000934-RA"
"27","Dm_00000096-RA"
"28","Dm_00000113-RA"
"29","Dm_00000842-RA"
"30","Dm_00000575-RA"
"31","Dm_00000749-RA"
"32","Dm_00000295-RA"
"33","Dm_00000322-RA"
"34","Dm_00020111-RA"
"35","Dm_00003436-RA"
"36","Dm_00015353-RA"
"37","Dm_00015786-RA"
"38","Dm_00010227-RA"
"39","Dm_00010708-RA"
"40","Dm_00014774-RA"
"41","Dm_00017798-RA"
"42","Dm_00016591-RA"
"43","Dm_00017277-RA"
"44","Dm_00012207-RA"
"45","Dm_00017304-RA"
"46","Dm_00015417-RA"
"47","Dm_00016302-RA"
"48","Dm_00014550-RA"
"49","Dm_00015481-RA"
"50","Dm_00013023-RA"
"51","Dm_00011109-RA"
"52","Dm_00010262-RA"
"53","Dm_00002439-RA"
"54","Dm_00002664-RA"
"55","Dm_00003030-RA"
"56","Dm_00002798-RA"
"57","Dm_00002564-RA"
"58","Dm_00005491-RA"
"59","Dm_00016951-RA"
"60","Dm_00005226-RA"
"61","Dm_00005694-RA"
"62","Dm_00006410-RA"
"63","Dm_00006808-RA"
"64","Dm_00018343-RA"
"65","Dm_00014799-RA"
"66","Dm_00011243-RA"
"67","Dm_00005393-RA"
"68","Dm_00004586-RA"
"69","Dm_00015394-RA"
"70","Dm_00013030-RA"
"71","Dm_00013251-RA"
"72","Dm_00009387-RA"
"73","Dm_00008588-RA"
