"","x"
"1","Dm_00009413-RA"
"2","Dm_00009367-RA"
"3","Dm_00010119-RA"
"4","Dm_00008976-RA"
"5","Dm_00016627-RA"
"6","Dm_00012636-RA"
"7","Dm_00012260-RA"
"8","Dm_00010398-RA"
"9","Dm_00012073-RA"
"10","Dm_00005520-RA"
"11","Dm_00006857-RA"
"12","Dm_00006102-RA"
"13","Dm_00012014-RA"
"14","Dm_00010933-RA"
"15","Dm_00012193-RA"
"16","Dm_00011599-RA"
"17","Dm_00015325-RA"
"18","Dm_00012338-RA"
"19","Dm_00014668-RA"
"20","Dm_00005598-RA"
"21","Dm_00005597-RA"
"22","Dm_00005355-RA"
"23","Dm_00004943-RA"
"24","Dm_00005767-RA"
"25","Dm_00005528-RA"
"26","Dm_00019791-RA"
"27","Dm_00001319-RA"
"28","Dm_00001225-RA"
"29","Dm_00001337-RA"
"30","Dm_00002233-RA"
"31","Dm_00002000-RA"
"32","Dm_00001997-RA"
"33","Dm_00001996-RA"
"34","Dm_00001629-RA"
"35","Dm_00001973-RA"
"36","Dm_00001555-RA"
"37","Dm_00001474-RA"
"38","Dm_00001366-RA"
"39","Dm_00001873-RA"
"40","Dm_00002072-RA"
"41","Dm_00002159-RA"
"42","Dm_00001915-RA"
"43","Dm_00001393-RA"
"44","Dm_00001408-RA"
"45","Dm_00001860-RA"
"46","Dm_00018382-RA"
"47","Dm_00003855-RA"
"48","Dm_00004428-RA"
"49","Dm_00003873-RA"
"50","Dm_00004018-RA"
"51","Dm_00004017-RA"
"52","Dm_00004019-RA"
"53","Dm_00003786-RA"
"54","Dm_00003793-RA"
"55","Dm_00004057-RA"
"56","Dm_00004143-RA"
"57","Dm_00004253-RA"
"58","Dm_00003526-RA"
"59","Dm_00004207-RA"
"60","Dm_00003557-RA"
"61","Dm_00003746-RA"
"62","Dm_00003807-RA"
"63","Dm_00004101-RA"
"64","Dm_00004100-RA"
"65","Dm_00004483-RA"
"66","Dm_00004350-RA"
"67","Dm_00004026-RA"
"68","Dm_00004033-RA"
"69","Dm_00019763-RA"
"70","Dm_00012032-RA"
"71","Dm_00014286-RA"
"72","Dm_00013980-RA"
"73","Dm_00010905-RA"
"74","Dm_00011123-RA"
"75","Dm_00013061-RA"
"76","Dm_00007566-RA"
"77","Dm_00007203-RA"
"78","Dm_00017893-RA"
"79","Dm_00016479-RA"
"80","Dm_00010187-RA"
"81","Dm_00009177-RA"
"82","Dm_00009176-RA"
"83","Dm_00010528-RA"
"84","Dm_00010529-RA"
"85","Dm_00008308-RA"
"86","Dm_00017664-RA"
"87","Dm_00017167-RA"
"88","Dm_00015108-RA"
"89","Dm_00016891-RA"
"90","Dm_00016062-RA"
"91","Dm_00016061-RA"
"92","Dm_00015419-RA"
"93","Dm_00016664-RA"
"94","Dm_00009478-RA"
"95","Dm_00008587-RA"
"96","Dm_00009690-RA"
"97","Dm_00007552-RA"
"98","Dm_00007244-RA"
"99","Dm_00007812-RA"
"100","Dm_00021016-RA"
"101","Dm_00020999-RA"
"102","Dm_00019708-RA"
"103","Dm_00006641-RA"
"104","Dm_00006642-RA"
"105","Dm_00005879-RA"
"106","Dm_00006739-RA"
"107","Dm_00018749-RA"
"108","Dm_00018416-RA"
"109","Dm_00015290-RA"
"110","Dm_00012866-RA"
"111","Dm_00011905-RA"
"112","Dm_00010445-RA"
"113","Dm_00008166-RA"
"114","Dm_00000948-RA"
"115","Dm_00000960-RA"
"116","Dm_00000991-RA"
"117","Dm_00001003-RA"
"118","Dm_00000785-RA"
"119","Dm_00000106-RA"
"120","Dm_00000157-RA"
"121","Dm_00000864-RA"
"122","Dm_00000603-RA"
"123","Dm_00000608-RA"
"124","Dm_00000748-RA"
"125","Dm_00000764-RA"
"126","Dm_00000758-RA"
"127","Dm_00000239-RA"
"128","Dm_00001118-RA"
"129","Dm_00001084-RA"
"130","Dm_00001097-RA"
"131","Dm_00000682-RA"
"132","Dm_00000722-RA"
"133","Dm_00000433-RA"
"134","Dm_00001263-RA"
"135","Dm_00000624-RA"
"136","Dm_00000296-RA"
"137","Dm_00000524-RA"
"138","Dm_00017058-RA"
"139","Dm_00020338-RA"
"140","Dm_00020586-RA"
"141","Dm_00019636-RA"
"142","Dm_00019618-RA"
"143","Dm_00003990-RA"
"144","Dm_00004670-RA"
"145","Dm_00003997-RA"
"146","Dm_00004700-RA"
"147","Dm_00004711-RA"
"148","Dm_00004972-RA"
"149","Dm_00004047-RA"
"150","Dm_00004725-RA"
"151","Dm_00004724-RA"
"152","Dm_00012969-RA"
"153","Dm_00012773-RA"
"154","Dm_00013393-RA"
"155","Dm_00013596-RA"
"156","Dm_00019103-RA"
"157","Dm_00019216-RA"
"158","Dm_00018071-RA"
"159","Dm_00018315-RA"
"160","Dm_00017675-RA"
"161","Dm_00007589-RA"
"162","Dm_00007828-RA"
"163","Dm_00009427-RA"
"164","Dm_00008505-RA"
"165","Dm_00009677-RA"
"166","Dm_00009682-RA"
"167","Dm_00021120-RA"
"168","Dm_00017857-RA"
"169","Dm_00008480-RA"
"170","Dm_00008766-RA"
"171","Dm_00008514-RA"
"172","Dm_00009004-RA"
"173","Dm_00010456-RA"
"174","Dm_00009590-RA"
"175","Dm_00016611-RA"
"176","Dm_00003700-RA"
"177","Dm_00003670-RA"
"178","Dm_00003015-RA"
"179","Dm_00003261-RA"
"180","Dm_00002516-RA"
"181","Dm_00003395-RA"
"182","Dm_00003835-RA"
"183","Dm_00020832-RA"
"184","Dm_00012181-RA"
"185","Dm_00012806-RA"
"186","Dm_00013410-RA"
"187","Dm_00014080-RA"
"188","Dm_00014261-RA"
"189","Dm_00015326-RA"
"190","Dm_00011106-RA"
"191","Dm_00011804-RA"
"192","Dm_00009506-RA"
"193","Dm_00012381-RA"
"194","Dm_00010261-RA"
"195","Dm_00003068-RA"
"196","Dm_00003075-RA"
"197","Dm_00002641-RA"
"198","Dm_00002369-RA"
"199","Dm_00002387-RA"
"200","Dm_00002378-RA"
"201","Dm_00002541-RA"
"202","Dm_00002759-RA"
"203","Dm_00002757-RA"
"204","Dm_00002827-RA"
"205","Dm_00002782-RA"
"206","Dm_00002361-RA"
"207","Dm_00002904-RA"
"208","Dm_00020227-RA"
"209","Dm_00005819-RA"
"210","Dm_00005935-RA"
"211","Dm_00005488-RA"
"212","Dm_00006072-RA"
"213","Dm_00006082-RA"
"214","Dm_00010180-RA"
"215","Dm_00008894-RA"
"216","Dm_00009477-RA"
"217","Dm_00010056-RA"
"218","Dm_00011239-RA"
"219","Dm_00009136-RA"
"220","Dm_00016825-RA"
"221","Dm_00015698-RA"
"222","Dm_00009030-RA"
"223","Dm_00005275-RA"
"224","Dm_00006213-RA"
"225","Dm_00017411-RA"
"226","Dm_00019115-RA"
"227","Dm_00019056-RA"
"228","Dm_00019001-RA"
"229","Dm_00007613-RA"
"230","Dm_00006202-RA"
"231","Dm_00007106-RA"
"232","Dm_00007734-RA"
"233","Dm_00018336-RA"
"234","Dm_00018361-RA"
"235","Dm_00018104-RA"
"236","Dm_00018387-RA"
"237","Dm_00020951-RA"
"238","Dm_00017591-RA"
"239","Dm_00019298-RA"
"240","Dm_00018794-RA"
"241","Dm_00019135-RA"
"242","Dm_00016099-RA"
"243","Dm_00016246-RA"
"244","Dm_00016184-RA"
"245","Dm_00010126-RA"
"246","Dm_00005296-RA"
"247","Dm_00004593-RA"
"248","Dm_00004656-RA"
"249","Dm_00005200-RA"
"250","Dm_00019668-RA"
"251","Dm_00019608-RA"
"252","Dm_00018695-RA"
"253","Dm_00018547-RA"
"254","Dm_00019521-RA"
"255","Dm_00012576-RA"
"256","Dm_00014784-RA"
"257","Dm_00012078-RA"
"258","Dm_00013079-RA"
"259","Dm_00012498-RA"
"260","Dm_00014543-RA"
"261","Dm_00015199-RA"
"262","Dm_00020511-RA"
"263","Dm_00009230-RA"
"264","Dm_00009232-RA"
"265","Dm_00009233-RA"
"266","Dm_00009894-RA"
"267","Dm_00009298-RA"
"268","Dm_00009374-RA"
"269","Dm_00015917-RA"
"270","Dm_00015617-RA"
"271","Dm_00016349-RA"
"272","Dm_00007779-RA"
"273","Dm_00007095-RA"
"274","Dm_00007071-RA"
"275","Dm_00007891-RA"
"276","Dm_00021089-RA"
"277","Dm_00019961-RA"
"278","Dm_00020813-RA"
