"","LT_NP_Time5_1","LT_NP_Time5_2","LT_NP_Time5_3","LT_NP_Time5_4","LT_NP_Time60_1","LT_NP_Time60_2","LT_NP_Time60_3","LT_NP_Time60_4","LT_NP_Time1440_1","LT_NP_Time1440_2","LT_NP_Time1440_3","LT_NP_Time1440_4","LT_P_Time5_1","LT_P_Time5_2","LT_P_Time5_3","LT_P_Time5_4","LT_P_Time60_1","LT_P_Time60_2","LT_P_Time60_3","LT_P_Time60_4","LT_P_Time1440_1","LT_P_Time1440_2","LT_P_Time1440_3","LT_P_Time1440_4"
"Dm_00009413-RA",42.6335726393722,41.4421231516765,38.0075946946443,52.0726922723275,57.8045388964828,40.6576941228474,57.8603024171126,62.4498432400881,45.5432678745677,28.9572068051594,58.7822281389679,42.1737716188768,41.66102133565,41.5288475688035,40.7945284545185,38.7787011379721,83.3475860612185,75.9845182059607,70.7534971108354,80.4551863368302,53.7195501635727,61.3280957466533,39.4149545806783,28.5405706010601
"Dm_00009749-RA",51.769338204952,48.2947576885679,37.0203844428354,52.0726922723275,45.290154186935,90.9853263073449,62.4016633626418,63.4122552078292,60.6397828524885,56.5354990005494,47.6286771587534,74.9755939891142,39.6137966999915,51.5050511747172,51.5169573836517,45.7002999680907,58.8594283647077,42.2136212255337,62.3028452310869,48.4430875478802,89.6953701216018,95.5815806620082,70.0710303656504,82.9736176237006
"Dm_00009367-RA",79.3369114905611,98.3842529939407,106.988911039794,93.8074235788254,93.4109430105534,99.1168651319144,98.9007494804135,110.142702974813,106.436773667862,143.062390763585,120.729653177726,110.901399442231,95.6053904852508,103.938121289519,103.650146314955,102.581644200219,133.422025117761,122.982349837055,122.948699897517,115.866800041421,98.48584196655,97.0173554788195,74.4504697635035,95.331390461273
"Dm_00009953-RA",29.8114455297866,23.4947469836276,27.0248806432698,34.4598698860991,22.943038634171,12.5269652162286,20.1838264245742,19.9967819963981,20.424696734834,24.9928273020721,26.3766408315881,25.772860433758,32.6532329387527,32.2486581679536,24.895754525114,22.8057807607753,33.7123964700844,29.2681107163701,28.9973348814899,39.80265380396,35.3246738954403,55.3798857912923,36.2867835822118,31.7771301537577
"Dm_00009307-RA",36.7033388511889,28.38948593855,28.258893458031,42.8833936360344,35.4574233437188,26.1527870303721,30.1075410833231,31.2249216200441,27.4020776069822,25.6822846069569,20.3476943557966,34.3638139116774,24.9761405550334,40.8328333637398,29.2093753586733,25.1129803708149,94.2190103300731,97.3727529602312,77.8785565388586,62.8910259393532,98.48584196655,124.912409062582,56.9327121720909,98.5679500139706
"Dm_00009351-RA",113.796378097572,109.96846852059,132.039371179446,111.420245965054,93.7089045512569,118.236969935632,121.943278520921,111.105114942554,79.921077154583,72.0482883604562,83.6477135363988,79.4012366898606,97.1329271471473,134.78523885321,112.148842081233,97.4348143009001,76.4294069810383,74.5773974984429,70.5877980543697,63.4576117586267,50.6266063662761,44.5090193211498,78.8280322587576,70.3216120995193
"Dm_00010119-RA",57.3790188153957,60.3684471107099,70.3387304413872,65.8566402267672,51.5473465417089,37.14135300952,39.3584615279196,54.6436128350771,60.6397828524885,75.1508462324376,66.9213058812865,50.2440612496495,73.7000868837051,67.5133778911834,59.034982264998,70.0146343200457,77.8569677436152,88.3671804321173,78.3756537082556,91.0786704482075,75.5329432602962,58.6616568011467,55.055809573011,48.842625977072
"Dm_00008368-RA",184.318077200293,111.763206137395,331.579243326329,100.699397556045,138.552116427137,84.8317293590221,68.9614069506284,61.1666272831,856.188063747793,21.5455407776484,1576.72022708139,817.442240020204,377.815306510772,133.634727372239,188.9365925099,38.1575320121922,12.5186097641356,13.2269346506672,10.2733415008707,20.8220288582994,92.9511004345456,134.142390027797,111.988521745102,393.389101996056
"Dm_00008976-RA",22.5989990306447,22.0263252971509,27.5184857691743,27.1850084657004,29.4981925296484,25.4934730716232,16.9880539073499,19.9967819963981,33.3645667159089,48.2620113419324,32.7070346311693,33.0621542938108,26.6139202635602,20.8804261519124,28.1001585729009,26.7990108550745,41.1796373820249,33.770896980427,42.4189584552081,28.1876445088543,30.9294379729661,50.6623399646267,51.9276385745445,37.0733185127173
"Dm_00007301-RA",42.793849228242,48.2947576885679,48.3733023386382,32.9283201133836,35.0104810326635,30.3284421024483,27.079967119637,25.8781884659269,40.4688090584599,51.7092978663561,43.1069673019098,46.0787504724765,45.0389419844864,38.0487765434848,51.8866963122425,49.7822685089298,29.9787760141142,24.7653244523131,31.3171216720091,23.5133114998483,28.9759997851998,37.7403666133251,28.1535389861988,48.2541606038543
"Dm_00012190-RA",50.1665723162538,52.8631807131622,47.0158882424009,44.41494340875,62.1249812366838,79.5572176890311,76.3621433063056,87.1517504121093,65.5873801981936,50.5027475828078,48.3822954682274,48.4217377846363,36.1335148193721,41.064838098761,51.1472184550609,44.9016539492308,51.8314369181754,43.0578936500444,48.8812216573687,42.2106435358722,55.5102018356918,50.6623399646267,82.5837143595165,46.1945317975922
"Dm_00016627-RA",69.2394863917624,81.2526666517122,86.6276995962348,79.2577007380279,81.3435006120608,65.7116245553047,60.0468836131082,58.7071300322061,81.698786939336,88.7676280039114,66.1676875718125,85.9095347791934,74.0071705790539,73.3134962667146,81.8355495280975,76.3150640243844,99.8194410140285,88.6486045736209,105.715998025089,98.4442860987624,77.8119544793569,47.99590101912,60.6865173702508,51.4907201565518
"Dm_00015351-RA",29.1703391743073,16.3157965164081,19.867606317655,17.2299349430496,15.494000116583,7.69199618540356,9.58731755167273,11.228139623646,17.506882915572,21.3731764514272,20.4984180176914,15.6199154143988,17.8108543302287,19.2563930067636,23.04705988216,19.8774120249559,9.55367587262979,9.56842081112098,8.11925376681718,7.79055501500997,6.34867411024041,14.9730802324605,11.8870497941728,12.9462382107902
"Dm_00015956-RA",275.675732856091,241.310630477675,337.379103555706,364.508845906293,509.66321537337,197.794187624663,412.422853275466,406.351719712902,194.986080008943,58.6038709152036,172.578592869534,117.149365607991,365.020152537906,418.304537243311,229.484628345358,339.690773355051,470.436177452253,410.034974170684,460.311978861594,558.370324893987,446.523412420242,786.394378236351,613.747149899134,326.304049449234
"Dm_00012636-RA",9.06824103868891,3.79386321657082,1.1548718709121,5.24318406940293,10.6929309131502,6.07586383258635,6.64412880229668,6.88880585002867,4.30626186823134,1.55560528057884,2.6346797546533,4.43144810264201,2.4329831737556,2.77039174136223,1.6132941917512,2.25335312067907,7.29998569674969,14.2163093625371,10.1410805139998,8.05117032723028,9.46683353881078,9.59848282748441,8.81330897107962,6.13407478061569
"Dm_00012260-RA",2.24387224417749,0,3.08503203690295,225.137816589181,239.263117184926,255.594044674981,581.630598134812,653.905464748525,6.08935057932939,1.55127893599068,11.7564456277936,3.64464693002639,1.94486340387555,8.12016572574371,3.45089666684748,2.57341494965947,1334.33006354396,541.74147239435,1040.09297743493,1261.78661952198,575.124759781523,690.607686886227,520.527654144831,8.82698059826602
"Dm_00010398-RA",260.930286680068,182.247447088278,107.976121291603,147.794553067047,388.541849077389,314.93230096238,348.171005823904,326.043787738063,156.293331536121,103.246231406491,169.413395969743,72.8929386005277,132.967240086018,118.090410125816,119.548920244359,93.7077995462209,602.430641807437,421.854788113834,438.439703408127,688.685063326881,269.086110364805,361.199921772095,308.4376604488,115.339213150676
"Dm_00010589-RA",164.123227002696,128.079002653803,130.681957083209,104.145384544655,145.405231863318,150.982896553493,175.599289893795,177.083802064359,138.532725679744,115.311734241974,103.396432059826,102.310445964312,89.6684390418412,108.114206519902,121.644107506374,99.8307523574796,95.2073216272417,94.5585115451956,82.1867320069657,96.3195892764869,116.717931719035,157.525008473009,189.567162507072,131.816243600773
"Dm_00009648-RA",24.5223180970825,15.5000066905877,21.7186255397968,17.2299349430496,26.3695963522615,20.6585040407981,24.220591709489,30.58331364155,21.4395884980556,18.9600758843306,21.2520363271653,19.0042304208519,19.1415503434067,24.1284924422099,17.6242222628282,12.8670747482974,15.2639189229372,17.4482967732206,15.907109420703,18.2723926715688,29.138786300847,57.0207712962195,36.2867835822118,25.8924764215803
"Dm_00010572-RA",105.461995476342,102.952676018535,100.818846965988,71.9828393176292,66.5944043472366,79.776989008614,82.0808941266016,85.5477304658741,69.0126398990664,96.8687513363072,80.4864354518175,97.1038074928459,88.8495491875778,66.5853589510984,113.263358458316,111.455488854217,42.6071981446018,43.6207419330515,61.1429518358273,34.703381430499,53.068404100984,40.4068055588318,55.6814437727043,62.9657949342976
"Dm_00010599-RA",0.972986279754352,0.326315930328161,0.524585017619051,0.526864608437433,0.310592130413942,0.708665806274425,0,0.142602719953458,0,0,0,0.301274325193688,0.228398616477238,0,0,0,0.219624732704133,0,0.264329762836274,0.162182357837929,4.43038153120236,36.4779103279718,0.65928706329481,40.0883208523984
"Dm_00012073-RA",146.973631993625,86.8000374672909,41.5862318574517,178.042661078179,569.553485054778,105.050690760654,187.70958574854,160.936667938926,52.0132028651052,12.927324466589,36.3244025166442,29.4175073637844,84.7550999162609,81.201657257437,30.3185921444458,61.4070050056675,360.953248199243,737.331250739323,279.368609201097,586.557969402842,487.545614363334,390.325639484553,782.668383816327,87.9755732960514
"Dm_00018975-RA",14.0772049940485,10.5670561402238,12.278365806233,8.80223771998357,10.226993553875,6.16458551430199,8.85415687665543,7.96758411813596,9.04986596952894,6.4069198971025,7.24236238824177,11.8351838762976,11.0227692445441,8.93930484368323,11.0368672386378,9.18576029358622,5.10464981234908,4.37721481211805,3.05134812481507,5.63400190504587,5.07574867248565,9.27508480553207,9.38451299539961,11.5686407720874
"Dm_00017385-RA",0.320553177739641,0,0.123401281476118,0,0.29796154070352,0.219771319582959,0,0.320803989247028,0.253722940805391,0.689457304884749,4.37098619494889,0.520663847146627,0.102361231782924,0,0,0,0.3294370990562,0,0.662796225862627,0.708232274091816,20.9994605184875,150.346134388953,5.00507359754646,107.394930612237
"Dm_00018931-RA",28.529232818828,35.2421204754414,32.454537028219,27.5678959088793,27.8594040557791,25.2737017520403,32.4623208328568,37.1063280895729,26.5140473141634,18.442982905667,20.4984180176914,26.553856204478,20.6769688201506,23.2004735021249,33.1532572636419,24.2255959054151,18.4484775471472,23.9210520278025,23.0321688487263,22.238493406483,16.7670111116606,18.4599619304308,20.0202943901858,20.007822689403
"Dm_00018806-RA",47.6021468943367,54.494760364803,43.0670472351652,44.0320559655711,37.841115669347,22.6364459170448,31.28493095809,35.7161774695024,49.0953890458432,42.401624250412,48.5330191301222,55.7110316446891,44.5271358255718,58.2331884903334,51.0239721455307,59.8984514144878,27.8923410534249,33.770896980427,33.9683065754596,36.4031388883193,30.7666514573189,35.0739276678185,24.399733788039,46.7829971708099
"Dm_00005516-RA",220.380309696003,112.905311893544,165.234315896522,75.811713749418,102.349789231659,195.156931789667,99.5735436945659,65.230144480229,353.943502423521,174.26033380962,115.303601349514,383.729255347064,173.195204176707,76.3295578219908,60.0843013443387,123.257702244035,53.9178718788647,51.5006178951512,35.6252971401162,40.5108860780518,942.045566050289,956.744958037247,706.341011453744,269.517140933723
"Dm_00005520-RA",32.3758709517037,21.5368514016587,20.4846127250356,27.1850084657004,44.8432118758797,34.2843258549416,29.0983497620944,29.3000976845619,19.156082030807,22.4073624087543,28.0346011124308,15.3595834908255,23.8501670054212,32.7126676379961,24.5260155965232,20.4985811507358,57.8711170675391,55.1591317346974,52.3609018431475,64.8740763068103,46.0685839281548,32.2023780341959,50.6763701751579,21.1847534358385
"Dm_00005515-RA",194.896332065702,131.015846026757,232.981619426911,120.992432044526,129.613270206031,68.5686517098831,89.3134319287407,73.2502442114047,520.51261306226,265.958155359292,176.346684416904,619.850310028059,237.478057736383,90.2498419232657,70.1870478291538,163.988649205887,73.7939101885887,80.7687286115212,41.0933660034828,55.9503496532534,1507.24034837733,1056.41644582029,427.933792590222,382.208259904919
"Dm_00006859-RA",1.28221271095856,0.489473895492242,3.4552358813313,4.21176187496767,5.95923081407039,3.07679847416142,7.73713346275343,8.23396905734038,3.04467528966469,2.58546489331781,4.97388084252805,2.34298731215982,2.86611448992186,1.85603788016999,2.95791142872641,2.39593805657951,10.4321748034463,4.78421040556049,9.77624433147374,9.77360538246705,8.3021122980067,21.7417329402851,12.5126839938661,4.41349029913301
"Dm_00006857-RA",10.2577016876685,11.7473734918138,16.2889691548476,13.0181730680819,15.0470578055277,17.1421629274708,14.4650756042782,19.034370028657,13.1935929218803,14.8233320550221,12.0578929515831,8.07028963077271,16.7872420123995,15.3123125114024,11.4619067863149,14.9967974652569,25.3666566273274,21.3882347542704,29.1630339379556,17.7058068522954,15.9530785334246,20.5110688115897,20.6459285898791,13.240470897399
