"","x"
"1","Dm_00009953-RA"
"2","Dm_00009307-RA"
"3","Dm_00015956-RA"
"4","Dm_00009648-RA"
"5","Dm_00010599-RA"
"6","Dm_00017385-RA"
"7","Dm_00006859-RA"
"8","Dm_00006404-RA"
"9","Dm_00005783-RA"
"10","Dm_00004895-RA"
"11","Dm_00021005-RA"
"12","Dm_00021072-RA"
"13","Dm_00011712-RA"
"14","Dm_00011360-RA"
"15","Dm_00011381-RA"
"16","Dm_00010505-RA"
"17","Dm_00009547-RA"
"18","Dm_00011642-RA"
"19","Dm_00005285-RA"
"20","Dm_00004988-RA"
"21","Dm_00004981-RA"
"22","Dm_00004617-RA"
"23","Dm_00003959-RA"
"24","Dm_00004465-RA"
"25","Dm_00016979-RA"
"26","Dm_00020357-RA"
"27","Dm_00001791-RA"
"28","Dm_00001320-RA"
"29","Dm_00001309-RA"
"30","Dm_00001931-RA"
"31","Dm_00002039-RA"
"32","Dm_00001335-RA"
"33","Dm_00001622-RA"
"34","Dm_00001627-RA"
"35","Dm_00001571-RA"
"36","Dm_00001438-RA"
"37","Dm_00001746-RA"
"38","Dm_00001744-RA"
"39","Dm_00001367-RA"
"40","Dm_00001862-RA"
"41","Dm_00002064-RA"
"42","Dm_00001755-RA"
"43","Dm_00001770-RA"
"44","Dm_00002092-RA"
"45","Dm_00002165-RA"
"46","Dm_00001819-RA"
"47","Dm_00001913-RA"
"48","Dm_00001920-RA"
"49","Dm_00001589-RA"
"50","Dm_00001597-RA"
"51","Dm_00001611-RA"
"52","Dm_00001386-RA"
"53","Dm_00001382-RA"
"54","Dm_00001848-RA"
"55","Dm_00020677-RA"
"56","Dm_00003515-RA"
"57","Dm_00004196-RA"
"58","Dm_00004333-RA"
"59","Dm_00003547-RA"
"60","Dm_00004133-RA"
"61","Dm_00002614-RA"
"62","Dm_00002613-RA"
"63","Dm_00003655-RA"
"64","Dm_00019678-RA"
"65","Dm_00019863-RA"
"66","Dm_00013565-RA"
"67","Dm_00013551-RA"
"68","Dm_00012810-RA"
"69","Dm_00012017-RA"
"70","Dm_00010373-RA"
"71","Dm_00007360-RA"
"72","Dm_00006842-RA"
"73","Dm_00007129-RA"
"74","Dm_00006920-RA"
"75","Dm_00007562-RA"
"76","Dm_00018126-RA"
"77","Dm_00017932-RA"
"78","Dm_00018077-RA"
"79","Dm_00018080-RA"
