"","p-value","R-squared","p.valor_beta0","p.valor_Time","p.valor_Time2","p.valor_Time3","p.valor_Time4","p.valor_Time5","p.valor_Time6"
"Dm_00008770-RA",1.17589375176571e-09,0.691803593770072,3.23749921022828e-23,NA,0.0130282704612935,0.0120760857865031,0.0114810403892441,0.0111238660730732,0.0109070381106393
"Dm_00009413-RA",1.32970944519639e-13,0.786264376127274,4.92288836265312e-18,0.000273880708559832,0.000580165865360656,0.000884831989687039,0.0010876892965296,0.00120878416387277,0.00128134611465488
"Dm_00010290-RA",3.31678175059126e-15,0.786659219284668,1.28739563076747e-19,5.12975790192395e-05,9.0791051215485e-06,6.24735480669733e-06,5.78048305117264e-06,5.76081066546693e-06,NA
"Dm_00009774-RA",1.18585762766533e-07,0.652821149037826,3.03907264004589e-15,0.00510599538235543,0.0119306748442588,0.0170985342344902,0.0201412924256387,0.0218539092997412,0.0228513396039333
"Dm_00009771-RA",6.55466696851793e-10,0.623353114095769,NA,0.000133008664828415,0.000420252111055812,0.000614742816814099,0.000734492095867568,NA,NA
"Dm_00008773-RA",1.86936124747546e-08,0.626778247165141,4.57991849453306e-34,NA,NA,0.0193889136938393,0.0191987046471894,0.0175702177934327,NA
"Dm_00008876-RA",7.91151005475503e-07,0.609030312363247,2.95032973757326e-21,NA,0.00160057022436732,0.00243268435500679,0.00298016708302562,0.00336951160955738,NA
"Dm_00009129-RA",4.00695984542798e-16,0.775444175196413,2.77216862642433e-25,NA,6.87387079427427e-05,0.000143060944469265,0.000197057958679069,0.000234660407119771,NA
"Dm_00007971-RA",9.58806953890862e-08,0.686467303433351,6.44916775685629e-20,6.78960551340101e-05,8.81621483277981e-05,0.000118522811411463,0.000139054895783368,0.000151305067577169,0.00015863908618522
"Dm_00009483-RA",3.5666151962447e-15,0.735652576555649,6.96586172605637e-25,0.00431203872538817,NA,NA,0.0330531455507327,0.0340199703147007,0.0346227268419219
"Dm_00009192-RA",3.69917676435172e-11,0.662594655198375,2.12857127243781e-13,NA,0.000668456905784529,0.00198915760327081,0.0031563243708195,0.00398582388927859,NA
"Dm_00016139-RA",3.89415387123071e-08,0.707073609590417,2.76460834717123e-14,0.000596384059585937,0.000364624072412441,0.000370423540451813,0.000389046247543997,0.000403183097473328,0.00041262921766897
"Dm_00015341-RA",4.82775676021468e-13,0.703005414412973,8.25471511588097e-20,NA,0.00268910445100254,0.00611535606228033,0.00850036292511188,0.0100545065679293,NA
"Dm_00016305-RA",2.33136257827878e-08,0.708200978092243,4.69148286611939e-22,0.0228074337938427,0.0292910454153445,0.0343379436885692,0.0369770271636674,0.0383623233270569,0.0391352530175394
"Dm_00015350-RA",2.05682007612293e-06,0.615706307538529,5.4535114842275e-25,NA,0.00341563738298175,0.0044941372870027,0.00504260513506401,0.00532906318134446,0.00548866762444659
"Dm_00016618-RA",2.49184645366621e-09,0.703274355878643,7.26351881703902e-23,0.00173869987328647,0.000254444169186505,0.000129933269868139,9.8758605583787e-05,8.69059775711184e-05,NA
"Dm_00011011-RA",3.41283786089402e-13,0.731982684145881,9.29435129200186e-28,NA,0.000273167837792371,0.00057204266018174,0.000799338413241626,0.00096494410028083,NA
"Dm_00011170-RA",4.22208631188441e-10,0.683347720087167,1.03067138352356e-31,NA,0.00831779246816317,0.00958352027420629,0.0100570492109559,0.010423641578707,NA
"Dm_00011173-RA",6.07749810804711e-12,0.750924873460666,1.49104883519037e-16,0.0175354956427402,NA,NA,0.0286116509806648,0.0301048186251157,0.0314941832153004
"Dm_00012261-RA",3.968984197125e-14,0.756558713929797,NA,0.0332200141196595,0.0279905765264293,0.0313368213775927,0.0346084953889293,0.0368239286229963,0.0382313997365258
"Dm_00012260-RA",6.91127447109932e-180,0.974414745972285,NA,2.64351323483416e-13,3.17189770233733e-13,4.71084004949066e-13,6.00801541551999e-13,6.89350521831058e-13,7.46868645238226e-13
"Dm_00010496-RA",1.03487674129601e-12,0.737934374963737,NA,0.000458387444414499,0.000292954878543245,0.000355202964346863,0.00041481199990521,0.000455637645494549,0.000482017478376804
"Dm_00011719-RA",2.67716023383134e-10,0.710670115474759,5.35182367904191e-13,0.00333295208999459,0.00578744651059564,0.00768100458356415,0.00884257910019738,0.00951985601382086,0.0099241772687899
"Dm_00010398-RA",7.84043103922915e-37,0.900953944606462,1.93742289769916e-17,1.00996742306294e-07,1.11650705753572e-07,1.50165188611759e-07,1.79215524266933e-07,1.97769046357413e-07,2.09359168831679e-07
"Dm_00010752-RA",5.7890096204101e-17,0.794582217978001,7.56281582641595e-32,NA,NA,0.00091096242692185,0.00110419212804427,0.00121711959083124,0.00128999614298661
"Dm_00009648-RA",1.23391692558132e-07,0.620944416668693,1.3285815612986e-15,NA,0.00109004521293034,0.00220165642880062,0.00299084110973975,0.00350490995586744,NA
"Dm_00011892-RA",8.66889219846143e-13,0.714404353615541,1.47424313174952e-23,0.000485144337442555,NA,NA,0.0157096112587676,0.0183796460993234,0.0202181773643921
"Dm_00011074-RA",4.14938488593321e-24,0.840674455830784,8.42244934540087e-22,1.97961744233398e-07,1.03618733919141e-07,NA,7.69557392993581e-08,7.37009231675441e-08,7.20260186145171e-08
"Dm_00011159-RA",2.7780765017069e-13,0.769767854338909,1.7511662769226e-18,0.0258051185676963,0.00683061005630251,0.00468136584299641,0.00397932771830198,0.00365597077181272,NA
"Dm_00010526-RA",1.79633026939347e-06,0.607398657941321,8.36968551563764e-09,0.013088123202413,0.0216025236572083,0.0249964777309057,0.0271606111784269,0.028323734868741,NA
"Dm_00012073-RA",4.24481469899424e-07,0.63914542958785,3.57090822935577e-08,0.00310454911966613,0.0177475993842271,0.0297126305922229,0.0366302736725629,0.0404393151257794,0.0426189491690629
"Dm_00019259-RA",2.99265318325348e-09,0.6825161753156,8.74699573960264e-25,NA,NA,0.0467041963766184,0.0400332935136878,0.0384306079114847,0.0380465958482946
"Dm_00017728-RA",2.78044036674619e-05,0.60173529164556,1.81120456358369e-10,0.00621488255277928,0.0136442749941147,0.018812271821978,0.0219972922262455,0.0238593245508499,0.0249722382378084
"Dm_00018648-RA",3.47491515398719e-11,0.705313727797612,8.28064224827109e-21,0.000230714995259095,NA,0.00132392086788459,0.00206718141226201,0.00289435870594515,NA
"Dm_00018647-RA",6.49024364014815e-13,0.753893779839474,4.9526223563574e-11,0.0100174852668306,0.00404456487231957,0.00393114005259781,0.00412785275546195,0.0042935791866948,0.00440645435644327
"Dm_00018838-RA",9.17836271301001e-11,0.74342385208927,2.2188910974297e-24,0.0055785939051889,0.0199538214855466,0.031438018119614,0.0383596773627693,0.0423069532830039,0.0446254364661178
