"","beta0","betaTime","betaTime2","betaTime3","betaTime4","betaTime5","betaTime6"
"Dm_00000779-RA",3.5988291354723,0.0182712215953909,-0.000142929841035706,2.90155500558445e-07,-2.225086443407e-10,6.86275729288412e-14,-7.16404925570011e-18
"Dm_00000781-RA",2.63184929634112,0,1.08682163122917e-05,-1.33078925522656e-08,5.06322864742821e-12,-5.91040855620805e-16,0
"Dm_00000811-RA",4.37898540477895,0.000845892849336618,-8.52772118766936e-07,3.08327679684924e-10,-3.53704645888006e-14,0,0
"Dm_00000925-RA",3.45922461013707,0,4.15868149885382e-06,-4.39726999401452e-09,1.53262990860944e-12,-1.69914070082492e-16,0
"Dm_00000924-RA",5.08642258861937,0.00166217169253877,0,-1.53417716118689e-09,7.52098722760526e-13,-9.6048036849099e-17,0
"Dm_00000932-RA",5.18942360627657,-0.0494382430079188,0.00042221905353474,-8.79322497949279e-07,6.82758985004873e-10,-2.11967638786275e-13,2.22094187962914e-17
"Dm_00000934-RA",3.03842989452491,0,2.89803672728786e-05,-7.11739655891652e-08,5.79515968303003e-11,-1.8333586834394e-14,1.93831399541667e-18
"Dm_00000941-RA",1.28963120660493,0.0732304777492642,-0.00044938990805706,8.30614160428606e-07,-6.09084788445067e-10,1.8357736886459e-13,-1.89192532252225e-17
"Dm_00000344-RA",1.78429013883567,0.0212610258360296,0,-7.71354585933791e-08,8.15783993886801e-11,-2.83418056615895e-14,3.13215988691055e-18
"Dm_00000355-RA",-2.37129190333879,0,2.5442284486106e-05,-2.92393492511061e-08,1.0644635898446e-11,-1.2085660530356e-15,0
"Dm_00000356-RA",4.63255718570309,0,-3.50589439363318e-06,4.23980184806634e-09,-1.58850133046104e-12,1.83249443096986e-16,0
"Dm_00000369-RA",4.69319942179827,0,0,-6.90894203938148e-09,8.17089724727943e-12,-2.99235052913504e-15,3.40288773941578e-19
"Dm_00000365-RA",2.31963914372837,0,5.22103657303182e-05,-1.29317255823347e-07,1.0562355618501e-10,-3.34568059885104e-14,3.5392297295836e-18
"Dm_00000378-RA",3.95500179355473,-0.0137800609240747,0.000104191659879466,-2.11350455366042e-07,1.62531720627446e-10,-5.02461356457387e-14,5.25347846349787e-18
"Dm_00000396-RA",0.931883682802372,0,0.000126352595597354,-3.18857407842821e-07,2.62822489544553e-10,-8.36766312245043e-14,8.87882758903636e-18
"Dm_00000393-RA",3.66758132486345,-0.0192686173651661,0.000169802151336425,-3.58381396080596e-07,2.79910433205687e-10,-8.71536401852931e-14,9.14626857774678e-18
"Dm_00000386-RA",3.20440801802912,0,2.52710943963808e-06,-3.23258354117386e-09,1.24682519154728e-12,-1.462174721934e-16,0
"Dm_00000389-RA",0,0.0656775220681229,-0.000432920844234131,8.38406809758965e-07,-6.31121187029905e-10,1.92993211504325e-13,-2.00566836169526e-17
"Dm_00000092-RA",1.42153453754456,0.0385414373476086,-0.00025648136040059,4.98697879579857e-07,-3.76359318579625e-10,1.15271678831141e-13,-1.19912932926121e-17
"Dm_00000086-RA",2.92233696739464,0,4.13798098881244e-06,-5.30320734122873e-09,2.05098268402235e-12,-2.41376809135897e-16,0
"Dm_00000083-RA",5.1525662303265,-0.0241647544762598,0.000205428139783504,-4.23586042023483e-07,3.27137011677111e-10,-1.01275995777642e-13,1.0594671747683e-17
"Dm_00000084-RA",3.00571882250596,0,6.70373408899127e-06,-7.81597803980931e-09,2.89747626235293e-12,-3.33484682605582e-16,0
"Dm_00000106-RA",3.42562120645589,0.0257519888146495,-0.000184511485320101,3.65529446308366e-07,-2.77736970713724e-10,8.53146347292389e-14,-8.88779555087206e-18
"Dm_00000113-RA",2.0385722152203,0,7.56892057060056e-05,-1.9952251867921e-07,1.68157903605898e-10,-5.41569094891311e-14,5.78323830193321e-18
"Dm_00000118-RA",7.07911137055386,-0.0630692682185422,0.000495992768505399,-1.01188900722816e-06,7.79359171816205e-10,-2.41062053514642e-13,2.52093779047186e-17
"Dm_00000119-RA",4.86334564263433,0,1.32943486921132e-06,-1.63740273293119e-09,6.20037110551074e-13,-7.20037101022243e-17,0
"Dm_00000137-RA",5.3321530418298,0.0013974440000311,-2.01702149911514e-07,0,0,0,0
"Dm_00000138-RA",6.97445986607178,0,4.09440011954164e-05,-1.01708409570689e-07,8.31223998663451e-11,-2.63516050740623e-14,2.78976883233995e-18
"Dm_00000134-RA",3.73471624936639,0.0194554965502214,-5.58729422060919e-05,5.03047999183054e-08,-1.68936758923868e-11,1.85111486228615e-15,0
"Dm_00000141-RA",0,0.0164193821551681,0,-7.96609764450551e-08,8.80914962184525e-11,-3.13010344687389e-14,3.50242174398897e-18
"Dm_00000148-RA",4.15152153957827,0.00162434303618334,-1.81380397425703e-06,7.11047227430149e-10,-8.54617356004241e-14,0,0
"Dm_00000140-RA",3.60944136786093,0,4.62846191670285e-05,-1.11659079063614e-07,9.02309824070348e-11,-2.84424529344977e-14,3.0013896191805e-18
"Dm_00000163-RA",2.2105378411528,0.04162229621355,-0.000304302867594213,6.07939554930545e-07,-4.63898584084374e-10,1.42807758743355e-13,-1.48947061274555e-17
"Dm_00000167-RA",4.15841592437956,0,-4.85673634794562e-06,5.80866638402312e-09,-2.19034779522628e-12,2.54800313850672e-16,0
"Dm_00000156-RA",1.65692831685326,0.0288382694844323,-0.000186360292195362,3.61084196221591e-07,-2.72553691305641e-10,8.35191351599975e-14,-8.69149888444636e-18
"Dm_00000842-RA",0,0,0.000249333527071484,-6.26134483949358e-07,5.16614167504328e-10,-1.64658438970685e-13,1.74843348168228e-17
