target_id	length	eff_length	est_counts	tpm
Dm_00009740-RA	1218	1019.62	18	5.46478
Dm_00009741-RA	2091	1892.62	48	7.85085
Dm_00010362-RA	240	62.4826	91	450.839
Dm_00010363-RA	1167	968.622	0	0
Dm_00010361-RA	534	336.009	0	0
Dm_00009129-RA	2028	1829.62	82	13.8737
Dm_00009128-RA	915	716.622	9	3.88769
Dm_00009306-RA	1404	1205.62	2	0.513521
Dm_00009305-RA	1164	965.622	64	20.5169
Dm_00009307-RA	1806	1607.62	91	17.5225
Dm_00009499-RA	183	23.1589	73	975.763
Dm_00009501-RA	870	671.622	0	0
Dm_00009500-RA	498	300.164	338	348.576
Dm_00010493-RA	3159	2960.62	1	0.104558
Dm_00010494-RA	1440	1241.62	559	139.367
Dm_00009313-RA	1662	1463.62	15.9113	3.36525
Dm_00009314-RA	420	223.435	0	0
Dm_00009349-RA	687	488.726	88	55.7387
Dm_00009351-RA	1443	1244.62	125.997	31.3372
Dm_00009352-RA	3111	2912.62	1.00339	0.106641
Dm_00009350-RA	648	449.771	0	0
Dm_00009554-RA	933	734.622	40	16.8552
Dm_00010117-RA	876	677.622	49	22.3845
Dm_00010120-RA	1881	1682.62	61	11.2223
Dm_00010119-RA	4431	4232.62	88	6.43594
Dm_00010118-RA	1494	1295.62	48	11.4684
Dm_00007975-RA	1485	1286.62	229	55.0964
Dm_00007974-RA	942	743.622	168	69.9352
Dm_00007970-RA	447	250.013	47	58.1935
Dm_00007971-RA	1302	1103.62	172.907	48.4987
Dm_00007973-RA	762	563.622	0	0
Dm_00007972-RA	1257	1058.62	17.0934	4.99836
Dm_00008368-RA	1161	962.622	179	57.5621
Dm_00008369-RA	585	386.936	2	1.60003
Dm_00008843-RA	1494	1295.62	159	37.989
Dm_00008840-RA	2103	1904.62	3.23915	0.526456
Dm_00008839-RA	1515	1316.62	44.7608	10.5239
Dm_00008841-RA	1482	1283.62	5	1.20579
Dm_00008842-RA	942	743.622	13	5.41166
Dm_00008381-RA	606	407.816	33	25.0489
Dm_00008383-RA	846	647.622	49.4059	23.6155
Dm_00008384-RA	387	191.739	11	17.7591
Dm_00008382-RA	384	188.835	37.5941	61.6277
Dm_00009073-RA	546	348.009	0	0
Dm_00010371-RA	240	62.4826	132	653.964
Dm_00008977-RA	2196	1997.62	145.089	22.4833
Dm_00008976-RA	996	797.622	83	32.2122
Dm_00008269-RA	1308	1109.62	2	0.557948
Dm_00008270-RA	723	524.676	0	0
Dm_00009303-RA	801	602.622	133	68.3197
Dm_00009304-RA	408	211.85	0	0
Dm_00009862-RA	462	264.73	0	0
Dm_00010316-RA	594	395.897	0	0
Dm_00008332-RA	1092	893.622	18	6.23531
Dm_00008333-RA	789	590.622	18	9.43413
Dm_00009851-RA	1779	1580.62	83	16.2551
Dm_00009850-RA	864	665.622	6	2.79038
Dm_00009852-RA	1932	1733.62	75	13.392
Dm_00008652-RA	2698	2499.62	10	1.23841
Dm_00008653-RA	456	258.834	3	3.58788
Dm_00010127-RA	3123	2924.62	34	3.59872
Dm_00010128-RA	624	425.816	10	7.26971
Dm_00010221-RA	816	617.622	0	0
Dm_00009485-RA	1305	1106.62	7	1.95811
Dm_00009484-RA	597	398.897	2	1.55206
Dm_00009483-RA	705	506.676	246	150.295
Dm_00009766-RA	960	761.622	0	0
Dm_00009765-RA	2610	2411.62	7	0.89852
Dm_00010378-RA	711	512.676	0	0
Dm_00010377-RA	426	229.344	0	0
Dm_00010379-RA	912	713.622	49	21.2553
Dm_00010380-RA	804	605.622	0	0
