"","x"
"1","Dm_00010290-RA"
"2","Dm_00009774-RA"
"3","Dm_00011074-RA"
"4","Dm_00016992-RA"
"5","Dm_00006224-RA"
"6","Dm_00006175-RA"
"7","Dm_00012445-RA"
"8","Dm_00010089-RA"
"9","Dm_00013162-RA"
"10","Dm_00014995-RA"
"11","Dm_00014449-RA"
"12","Dm_00005483-RA"
"13","Dm_00004620-RA"
"14","Dm_00005369-RA"
"15","Dm_00004470-RA"
"16","Dm_00018389-RA"
"17","Dm_00019791-RA"
"18","Dm_00001307-RA"
"19","Dm_00001309-RA"
"20","Dm_00001225-RA"
"21","Dm_00002000-RA"
"22","Dm_00002185-RA"
"23","Dm_00001555-RA"
"24","Dm_00001478-RA"
"25","Dm_00001744-RA"
"26","Dm_00001361-RA"
"27","Dm_00001834-RA"
"28","Dm_00002166-RA"
"29","Dm_00001386-RA"
"30","Dm_00003487-RA"
"31","Dm_00003868-RA"
"32","Dm_00004019-RA"
"33","Dm_00003532-RA"
"34","Dm_00003830-RA"
"35","Dm_00003556-RA"
"36","Dm_00003746-RA"
"37","Dm_00004025-RA"
"38","Dm_00004028-RA"
"39","Dm_00004311-RA"
"40","Dm_00019790-RA"
"41","Dm_00013971-RA"
"42","Dm_00012924-RA"
"43","Dm_00012778-RA"
"44","Dm_00007701-RA"
"45","Dm_00007129-RA"
"46","Dm_00017568-RA"
"47","Dm_00015938-RA"
"48","Dm_00017485-RA"
"49","Dm_00014734-RA"
"50","Dm_00016567-RA"
"51","Dm_00015780-RA"
"52","Dm_00015742-RA"
"53","Dm_00010333-RA"
"54","Dm_00008435-RA"
"55","Dm_00017562-RA"
"56","Dm_00017582-RA"
"57","Dm_00009575-RA"
"58","Dm_00009258-RA"
"59","Dm_00007552-RA"
"60","Dm_00007812-RA"
"61","Dm_00007814-RA"
"62","Dm_00006755-RA"
"63","Dm_00007174-RA"
"64","Dm_00006084-RA"
"65","Dm_00007000-RA"
"66","Dm_00006739-RA"
"67","Dm_00006649-RA"
"68","Dm_00007169-RA"
"69","Dm_00018599-RA"
"70","Dm_00018575-RA"
"71","Dm_00014164-RA"
"72","Dm_00015290-RA"
"73","Dm_00012960-RA"
"74","Dm_00012267-RA"
"75","Dm_00013952-RA"
"76","Dm_00013761-RA"
"77","Dm_00013965-RA"
"78","Dm_00000953-RA"
"79","Dm_00000976-RA"
"80","Dm_00001016-RA"
"81","Dm_00000113-RA"
"82","Dm_00000134-RA"
"83","Dm_00000156-RA"
"84","Dm_00000571-RA"
"85","Dm_00000608-RA"
"86","Dm_00000751-RA"
"87","Dm_00000758-RA"
"88","Dm_00000243-RA"
"89","Dm_00000239-RA"
"90","Dm_00000050-RA"
"91","Dm_00001071-RA"
"92","Dm_00000889-RA"
"93","Dm_00000418-RA"
"94","Dm_00000623-RA"
"95","Dm_00000270-RA"
"96","Dm_00004670-RA"
"97","Dm_00004346-RA"
"98","Dm_00003997-RA"
"99","Dm_00005049-RA"
"100","Dm_00013083-RA"
"101","Dm_00013084-RA"
"102","Dm_00012223-RA"
"103","Dm_00013105-RA"
"104","Dm_00013360-RA"
"105","Dm_00013596-RA"
"106","Dm_00015959-RA"
"107","Dm_00015603-RA"
"108","Dm_00018072-RA"
"109","Dm_00018183-RA"
"110","Dm_00018025-RA"
"111","Dm_00006661-RA"
"112","Dm_00007209-RA"
"113","Dm_00007507-RA"
"114","Dm_00007503-RA"
"115","Dm_00008505-RA"
"116","Dm_00009682-RA"
"117","Dm_00015893-RA"
"118","Dm_00014489-RA"
"119","Dm_00015526-RA"
"120","Dm_00016820-RA"
"121","Dm_00008092-RA"
"122","Dm_00007997-RA"
"123","Dm_00008555-RA"
"124","Dm_00008626-RA"
"125","Dm_00008627-RA"
"126","Dm_00006768-RA"
"127","Dm_00006863-RA"
"128","Dm_00007599-RA"
"129","Dm_00017245-RA"
"130","Dm_00017206-RA"
"131","Dm_00017304-RA"
"132","Dm_00016105-RA"
"133","Dm_00009517-RA"
"134","Dm_00009590-RA"
"135","Dm_00016415-RA"
"136","Dm_00003640-RA"
"137","Dm_00003700-RA"
"138","Dm_00003261-RA"
"139","Dm_00003835-RA"
"140","Dm_00003502-RA"
"141","Dm_00012896-RA"
"142","Dm_00013410-RA"
"143","Dm_00014502-RA"
"144","Dm_00014080-RA"
"145","Dm_00013119-RA"
"146","Dm_00015333-RA"
"147","Dm_00014598-RA"
"148","Dm_00014046-RA"
"149","Dm_00015326-RA"
"150","Dm_00011118-RA"
"151","Dm_00011513-RA"
"152","Dm_00003077-RA"
"153","Dm_00002712-RA"
"154","Dm_00002986-RA"
"155","Dm_00002547-RA"
"156","Dm_00002107-RA"
"157","Dm_00002759-RA"
"158","Dm_00002352-RA"
"159","Dm_00002357-RA"
"160","Dm_00017096-RA"
"161","Dm_00020217-RA"
"162","Dm_00017586-RA"
"163","Dm_00011239-RA"
"164","Dm_00016383-RA"
"165","Dm_00015698-RA"
"166","Dm_00009030-RA"
"167","Dm_00009027-RA"
"168","Dm_00010206-RA"
"169","Dm_00019296-RA"
"170","Dm_00006413-RA"
"171","Dm_00007024-RA"
"172","Dm_00007613-RA"
"173","Dm_00006713-RA"
"174","Dm_00018434-RA"
"175","Dm_00017741-RA"
"176","Dm_00018794-RA"
"177","Dm_00019384-RA"
"178","Dm_00016161-RA"
"179","Dm_00016339-RA"
"180","Dm_00010549-RA"
"181","Dm_00010235-RA"
"182","Dm_00005607-RA"
"183","Dm_00004152-RA"
"184","Dm_00004916-RA"
"185","Dm_00005200-RA"
"186","Dm_00012385-RA"
"187","Dm_00013234-RA"
"188","Dm_00011906-RA"
"189","Dm_00013079-RA"
"190","Dm_00012425-RA"
"191","Dm_00011828-RA"
"192","Dm_00011829-RA"
"193","Dm_00013145-RA"
"194","Dm_00012646-RA"
"195","Dm_00012974-RA"
"196","Dm_00012820-RA"
"197","Dm_00013993-RA"
"198","Dm_00007071-RA"
"199","Dm_00006298-RA"
"200","Dm_00007891-RA"
"201","Dm_00020939-RA"
