"","x"
"1","Dm_00008773-RA"
"2","Dm_00008876-RA"
"3","Dm_00015350-RA"
"4","Dm_00018648-RA"
"5","Dm_00006760-RA"
"6","Dm_00006155-RA"
"7","Dm_00006917-RA"
"8","Dm_00011580-RA"
"9","Dm_00015695-RA"
"10","Dm_00015239-RA"
"11","Dm_00005287-RA"
"12","Dm_00005289-RA"
"13","Dm_00006044-RA"
"14","Dm_00004643-RA"
"15","Dm_00001933-RA"
"16","Dm_00001329-RA"
"17","Dm_00002224-RA"
"18","Dm_00001548-RA"
"19","Dm_00001585-RA"
"20","Dm_00001421-RA"
"21","Dm_00001433-RA"
"22","Dm_00001737-RA"
"23","Dm_00002078-RA"
"24","Dm_00001663-RA"
"25","Dm_00020676-RA"
"26","Dm_00020739-RA"
"27","Dm_00020687-RA"
"28","Dm_00004067-RA"
"29","Dm_00004066-RA"
"30","Dm_00004353-RA"
"31","Dm_00012774-RA"
"32","Dm_00013090-RA"
"33","Dm_00013238-RA"
"34","Dm_00013229-RA"
"35","Dm_00007846-RA"
"36","Dm_00008260-RA"
"37","Dm_00015696-RA"
"38","Dm_00010636-RA"
"39","Dm_00010274-RA"
"40","Dm_00017438-RA"
"41","Dm_00017577-RA"
"42","Dm_00013986-RA"
"43","Dm_00007251-RA"
"44","Dm_00007120-RA"
"45","Dm_00007168-RA"
"46","Dm_00015001-RA"
"47","Dm_00011681-RA"
"48","Dm_00012028-RA"
"49","Dm_00012266-RA"
"50","Dm_00011069-RA"
"51","Dm_00013656-RA"
"52","Dm_00013526-RA"
"53","Dm_00001032-RA"
"54","Dm_00001035-RA"
"55","Dm_00000369-RA"
"56","Dm_00000204-RA"
"57","Dm_00000671-RA"
"58","Dm_00000687-RA"
"59","Dm_00000283-RA"
"60","Dm_00000544-RA"
"61","Dm_00004667-RA"
"62","Dm_00004701-RA"
"63","Dm_00004972-RA"
"64","Dm_00004042-RA"
"65","Dm_00004045-RA"
"66","Dm_00012743-RA"
"67","Dm_00011632-RA"
"68","Dm_00014805-RA"
"69","Dm_00019151-RA"
"70","Dm_00015562-RA"
"71","Dm_00018220-RA"
"72","Dm_00006776-RA"
"73","Dm_00011296-RA"
"74","Dm_00010628-RA"
"75","Dm_00011187-RA"
"76","Dm_00008484-RA"
"77","Dm_00007864-RA"
"78","Dm_00009964-RA"
"79","Dm_00011169-RA"
"80","Dm_00010832-RA"
"81","Dm_00003666-RA"
"82","Dm_00003096-RA"
"83","Dm_00002524-RA"
"84","Dm_00015241-RA"
"85","Dm_00014769-RA"
"86","Dm_00011441-RA"
"87","Dm_00012231-RA"
"88","Dm_00002697-RA"
"89","Dm_00002711-RA"
"90","Dm_00002371-RA"
"91","Dm_00002265-RA"
"92","Dm_00002273-RA"
"93","Dm_00002110-RA"
"94","Dm_00003022-RA"
"95","Dm_00002998-RA"
"96","Dm_00002894-RA"
"97","Dm_00004608-RA"
"98","Dm_00008693-RA"
"99","Dm_00008188-RA"
"100","Dm_00009068-RA"
"101","Dm_00006420-RA"
"102","Dm_00018933-RA"
"103","Dm_00006803-RA"
"104","Dm_00018281-RA"
"105","Dm_00018104-RA"
"106","Dm_00016845-RA"
"107","Dm_00013012-RA"
"108","Dm_00004549-RA"
"109","Dm_00005602-RA"
"110","Dm_00004918-RA"
"111","Dm_00019640-RA"
"112","Dm_00018478-RA"
"113","Dm_00015928-RA"
"114","Dm_00014767-RA"
"115","Dm_00012363-RA"
"116","Dm_00012269-RA"
"117","Dm_00011448-RA"
"118","Dm_00010954-RA"
"119","Dm_00014340-RA"
"120","Dm_00007628-RA"
"121","Dm_00009571-RA"
"122","Dm_00018225-RA"
"123","Dm_00006673-RA"
