"","x"
"214","Dm_00018749-RA"
"215","Dm_00018599-RA"
"216","Dm_00018575-RA"
"217","Dm_00015888-RA"
"218","Dm_00019080-RA"
"219","Dm_00014164-RA"
"220","Dm_00015290-RA"
"221","Dm_00011541-RA"
"222","Dm_00012960-RA"
"223","Dm_00012699-RA"
"224","Dm_00010445-RA"
"225","Dm_00010479-RA"
"226","Dm_00012267-RA"
"227","Dm_00014204-RA"
"228","Dm_00013952-RA"
"229","Dm_00013761-RA"
"230","Dm_00013965-RA"
"231","Dm_00000487-RA"
"232","Dm_00000501-RA"
"233","Dm_00000952-RA"
"234","Dm_00000953-RA"
"235","Dm_00000976-RA"
"236","Dm_00000991-RA"
"237","Dm_00001016-RA"
"238","Dm_00000779-RA"
"239","Dm_00000941-RA"
"240","Dm_00000356-RA"
"241","Dm_00000389-RA"
"242","Dm_00000092-RA"
"243","Dm_00000106-RA"
"244","Dm_00000113-RA"
"245","Dm_00000134-RA"
"246","Dm_00000163-RA"
"247","Dm_00000167-RA"
"248","Dm_00000156-RA"
"249","Dm_00000571-RA"
"250","Dm_00000608-RA"
"251","Dm_00000745-RA"
"252","Dm_00000751-RA"
"253","Dm_00000764-RA"
"254","Dm_00000758-RA"
"255","Dm_00000761-RA"
"256","Dm_00000759-RA"
"257","Dm_00000243-RA"
"258","Dm_00000239-RA"
"259","Dm_00001113-RA"
"260","Dm_00001189-RA"
"261","Dm_00001202-RA"
"262","Dm_00000006-RA"
"263","Dm_00000036-RA"
"264","Dm_00000050-RA"
"265","Dm_00001071-RA"
"266","Dm_00001084-RA"
"267","Dm_00001079-RA"
"268","Dm_00001083-RA"
"269","Dm_00001097-RA"
"270","Dm_00000700-RA"
"271","Dm_00000722-RA"
"272","Dm_00000723-RA"
"273","Dm_00000889-RA"
"274","Dm_00000900-RA"
"275","Dm_00000408-RA"
"276","Dm_00000422-RA"
"277","Dm_00000418-RA"
"278","Dm_00000441-RA"
"279","Dm_00001257-RA"
"280","Dm_00000623-RA"
"281","Dm_00000624-RA"
"282","Dm_00000262-RA"
"283","Dm_00000270-RA"
"284","Dm_00000296-RA"
"285","Dm_00000524-RA"
"286","Dm_00000566-RA"
"287","Dm_00000560-RA"
"288","Dm_00020222-RA"
"289","Dm_00020427-RA"
"290","Dm_00018840-RA"
"291","Dm_00017058-RA"
"292","Dm_00020338-RA"
"293","Dm_00020586-RA"
"294","Dm_00019636-RA"
"295","Dm_00003991-RA"
"296","Dm_00003990-RA"
"297","Dm_00004670-RA"
"298","Dm_00004346-RA"
"299","Dm_00003997-RA"
"300","Dm_00005049-RA"
"301","Dm_00004691-RA"
"302","Dm_00003473-RA"
"303","Dm_00004221-RA"
"304","Dm_00004712-RA"
"305","Dm_00004700-RA"
"306","Dm_00004725-RA"
"307","Dm_00004724-RA"
"308","Dm_00004360-RA"
"309","Dm_00004172-RA"
"310","Dm_00012773-RA"
"311","Dm_00013083-RA"
"312","Dm_00013084-RA"
"313","Dm_00011438-RA"
"314","Dm_00012223-RA"
"315","Dm_00013105-RA"
"316","Dm_00013393-RA"
"317","Dm_00013683-RA"
"318","Dm_00013360-RA"
"319","Dm_00013596-RA"
"320","Dm_00015827-RA"
"321","Dm_00015959-RA"
"322","Dm_00015603-RA"
"323","Dm_00019103-RA"
"324","Dm_00019216-RA"
"325","Dm_00018072-RA"
"326","Dm_00018071-RA"
"327","Dm_00017785-RA"
"328","Dm_00018183-RA"
"329","Dm_00018315-RA"
"330","Dm_00018025-RA"
"331","Dm_00007589-RA"
"332","Dm_00006661-RA"
"333","Dm_00007209-RA"
"334","Dm_00007507-RA"
"335","Dm_00007503-RA"
"336","Dm_00008505-RA"
"337","Dm_00009678-RA"
"338","Dm_00009677-RA"
"339","Dm_00009682-RA"
"340","Dm_00015893-RA"
"341","Dm_00014489-RA"
"342","Dm_00015526-RA"
"343","Dm_00021120-RA"
"344","Dm_00017826-RA"
"345","Dm_00016820-RA"
"346","Dm_00017857-RA"
"347","Dm_00017384-RA"
"348","Dm_00008092-RA"
"349","Dm_00007997-RA"
"350","Dm_00008480-RA"
"351","Dm_00008555-RA"
"352","Dm_00008626-RA"
"353","Dm_00008627-RA"
"354","Dm_00006768-RA"
"355","Dm_00008766-RA"
"356","Dm_00006863-RA"
"357","Dm_00007599-RA"
"358","Dm_00007135-RA"
"359","Dm_00017245-RA"
"360","Dm_00017206-RA"
"361","Dm_00017304-RA"
"362","Dm_00016105-RA"
"363","Dm_00009517-RA"
"364","Dm_00010456-RA"
"365","Dm_00010306-RA"
"366","Dm_00009590-RA"
"367","Dm_00016415-RA"
"368","Dm_00015682-RA"
"369","Dm_00016447-RA"
"370","Dm_00016611-RA"
"371","Dm_00020000-RA"
"372","Dm_00020080-RA"
"373","Dm_00020013-RA"
"374","Dm_00019983-RA"
"375","Dm_00019782-RA"
"376","Dm_00003429-RA"
"377","Dm_00003640-RA"
"378","Dm_00002448-RA"
"379","Dm_00003700-RA"
"380","Dm_00003123-RA"
"381","Dm_00003670-RA"
"382","Dm_00003695-RA"
"383","Dm_00002281-RA"
"384","Dm_00003014-RA"
"385","Dm_00003015-RA"
"386","Dm_00003259-RA"
"387","Dm_00003249-RA"
"388","Dm_00003261-RA"
"389","Dm_00003404-RA"
"390","Dm_00003395-RA"
"391","Dm_00003835-RA"
"392","Dm_00003448-RA"
"393","Dm_00003502-RA"
"394","Dm_00020832-RA"
"395","Dm_00012180-RA"
"396","Dm_00012181-RA"
"397","Dm_00012975-RA"
"398","Dm_00012896-RA"
"399","Dm_00013410-RA"
"400","Dm_00014502-RA"
"401","Dm_00014080-RA"
"402","Dm_00013119-RA"
"403","Dm_00015333-RA"
"404","Dm_00014598-RA"
"405","Dm_00014046-RA"
"406","Dm_00014261-RA"
"407","Dm_00015211-RA"
"408","Dm_00015326-RA"
"409","Dm_00011106-RA"
"410","Dm_00009268-RA"
"411","Dm_00009269-RA"
"412","Dm_00011804-RA"
"413","Dm_00012381-RA"
