"","x"
"1","Dm_00007971-RA"
"2","Dm_00012073-RA"
"3","Dm_00018803-RA"
"4","Dm_00015273-RA"
"5","Dm_00016188-RA"
"6","Dm_00005516-RA"
"7","Dm_00005515-RA"
"8","Dm_00005580-RA"
"9","Dm_00010505-RA"
"10","Dm_00013505-RA"
"11","Dm_00005301-RA"
"12","Dm_00004988-RA"
"13","Dm_00003959-RA"
"14","Dm_00001218-RA"
"15","Dm_00001931-RA"
"16","Dm_00002057-RA"
"17","Dm_00001335-RA"
"18","Dm_00001627-RA"
"19","Dm_00002189-RA"
"20","Dm_00001535-RA"
"21","Dm_00001579-RA"
"22","Dm_00001479-RA"
"23","Dm_00001495-RA"
"24","Dm_00001840-RA"
"25","Dm_00002092-RA"
"26","Dm_00002154-RA"
"27","Dm_00001819-RA"
"28","Dm_00001911-RA"
"29","Dm_00002130-RA"
"30","Dm_00001389-RA"
"31","Dm_00020683-RA"
"32","Dm_00020436-RA"
"33","Dm_00020682-RA"
"34","Dm_00004334-RA"
"35","Dm_00004116-RA"
"36","Dm_00004115-RA"
"37","Dm_00004484-RA"
"38","Dm_00004130-RA"
"39","Dm_00019759-RA"
"40","Dm_00013287-RA"
"41","Dm_00013551-RA"
"42","Dm_00017932-RA"
"43","Dm_00018077-RA"
"44","Dm_00018047-RA"
"45","Dm_00016202-RA"
"46","Dm_00010503-RA"
"47","Dm_00008439-RA"
"48","Dm_00017526-RA"
"49","Dm_00016470-RA"
"50","Dm_00007247-RA"
"51","Dm_00013381-RA"
"52","Dm_00000344-RA"
"53","Dm_00000396-RA"
"54","Dm_00000138-RA"
"55","Dm_00000141-RA"
"56","Dm_00000842-RA"
"57","Dm_00000003-RA"
"58","Dm_00000435-RA"
"59","Dm_00020418-RA"
"60","Dm_00019621-RA"
"61","Dm_00020117-RA"
"62","Dm_00003948-RA"
"63","Dm_00012968-RA"
"64","Dm_00012386-RA"
"65","Dm_00015353-RA"
"66","Dm_00015487-RA"
"67","Dm_00019032-RA"
"68","Dm_00016578-RA"
"69","Dm_00018368-RA"
"70","Dm_00007112-RA"
"71","Dm_00008473-RA"
"72","Dm_00008471-RA"
"73","Dm_00008107-RA"
"74","Dm_00008038-RA"
"75","Dm_00017659-RA"
"76","Dm_00017594-RA"
"77","Dm_00010047-RA"
"78","Dm_00016522-RA"
"79","Dm_00019981-RA"
"80","Dm_00003660-RA"
"81","Dm_00002840-RA"
"82","Dm_00003312-RA"
"83","Dm_00003357-RA"
"84","Dm_00003105-RA"
"85","Dm_00021040-RA"
"86","Dm_00013010-RA"
"87","Dm_00013127-RA"
"88","Dm_00012692-RA"
"89","Dm_00014550-RA"
"90","Dm_00013407-RA"
"91","Dm_00011520-RA"
"92","Dm_00002935-RA"
"93","Dm_00002439-RA"
"94","Dm_00002387-RA"
"95","Dm_00002855-RA"
"96","Dm_00002856-RA"
"97","Dm_00003034-RA"
"98","Dm_00002564-RA"
"99","Dm_00002365-RA"
"100","Dm_00020021-RA"
"101","Dm_00006186-RA"
"102","Dm_00006197-RA"
"103","Dm_00010005-RA"
"104","Dm_00009237-RA"
"105","Dm_00009238-RA"
"106","Dm_00008687-RA"
"107","Dm_00010072-RA"
"108","Dm_00005964-RA"
"109","Dm_00004744-RA"
"110","Dm_00019015-RA"
"111","Dm_00006411-RA"
"112","Dm_00006808-RA"
"113","Dm_00007043-RA"
"114","Dm_00006445-RA"
"115","Dm_00006308-RA"
"116","Dm_00016838-RA"
"117","Dm_00015232-RA"
"118","Dm_00011243-RA"
"119","Dm_00010488-RA"
"120","Dm_00004547-RA"
"121","Dm_00005035-RA"
"122","Dm_00004788-RA"
"123","Dm_00005205-RA"
"124","Dm_00019559-RA"
"125","Dm_00014714-RA"
"126","Dm_00011640-RA"
"127","Dm_00013894-RA"
"128","Dm_00015011-RA"
"129","Dm_00008745-RA"
"130","Dm_00007666-RA"
"131","Dm_00007897-RA"
"132","Dm_00015386-RA"
"133","Dm_00015917-RA"
"134","Dm_00007460-RA"
"135","Dm_00007087-RA"
"136","Dm_00006967-RA"
"137","Dm_00006301-RA"
"138","Dm_00008210-RA"
"139","Dm_00008322-RA"
"140","Dm_00020970-RA"
