"","LT_Time5_1","LT_Time5_2","LT_Time5_3","LT_Time5_4","LT_Time60_1","LT_Time60_2","LT_Time60_3","LT_Time60_4","LT_Time180_1","LT_Time180_2","LT_Time180_3","LT_Time180_4","LT_Time720_1","LT_Time720_2","LT_Time720_3","LT_Time720_4","LT_Time1440_1","LT_Time1440_2","LT_Time1440_3","LT_Time2880_1","LT_Time2880_2","LT_Time2880_3","LT_Time2880_4","LT_Time4320_1","LT_Time4320_2","LT_Time4320_3","LT_Time4320_4"
"Dm_00008770-RA",26.2672599552132,29.4342285473773,32.4185867575973,32.3778317769259,23.857358837649,34.7514109111511,28.1987037447927,28.7568399943765,17.2447810576461,23.548885899562,20.3015931556296,26.1645599201435,30.0540496550873,20.8588243781295,30.9677788993938,32.5129636813042,28.8675805096236,24.7161801702945,16.2380674177841,37.6401980252378,24.2089570462744,38.409997830534,48.1783896027951,46.7373731738943,42.0466227697808,45.5161757086739,51.3386859556862
"Dm_00009413-RA",39.0174262838386,38.4578606567922,37.388683682107,36.0028307544952,77.7156023938865,69.5028218223023,65.7969754045163,74.2449323491176,57.9912991319072,55.7001045478224,55.6656586525326,50.2525674656724,24.3968167788356,31.2882365671942,48.4050205565909,28.495917975506,50.1384293061884,55.9858929615004,36.5356516900141,45.8946274167373,32.6898018714024,34.7519027990546,22.089008951462,20.5150845944817,19.1121012589913,27.8336326276063,33.5860562326919
"Dm_00010290-RA",11.2163117327005,18.9066577530599,15.8139447598036,11.9460193578989,23.0382220535237,19.0489215364828,21.418687543859,23.659036540828,23.6543456985411,20.1079528000826,36.5101231750435,20.9731789836071,13.4359280810978,10.4294121890647,11.5295422979281,14.1851926485999,14.585724889073,17.2264286035386,17.9778603554038,14.1976185533792,11.7189855765405,13.6475083866733,13.7404071430354,11.105910457163,10.193120671462,9.49618054353627,10.7955180747938
"Dm_00009774-RA",45.1528446675381,75.1969342451245,54.5581094213223,75.6306604865598,124.81596748109,169.123533100936,151.317634302658,89.9304814369594,39.5256486188525,104.410813737327,197.121920640145,106.734792055188,59.4009452006431,73.0058853234532,59.2675645397629,48.581146504497,103.619420566123,45.5002407680421,111.926678986869,29.3857686337382,54.8941955953738,41.9273968992643,47.308743581084,36.0942089857798,44.5949029376464,49.8822357286905,54.2174907756312
"Dm_00009771-RA",1.05452503469834,3.00787736980498,0.225913496568622,2.88352191397559,7.88419154720588,2.83159644461231,5.08501215070033,3.92138727196044,18.9234765588329,2.68822898396826,18.6643679011433,4.56841522415204,12.7287739715664,114.723534079712,6.00298483280556,59.6280221954421,3.19062731948471,25.2779115378012,3.47958587523944,42.5928556601375,0.616788714554761,171.508378591286,56.8748498199062,21.4405771325786,57.3363037769739,49.7730842281901,80.8464353601226
"Dm_00008773-RA",56.6567541369745,70.0405730397445,64.8371735151946,66.8153220638344,53.5510672621906,61.7802860642687,57.4760464306431,47.0566472635252,48.0717348067126,55.7001045478224,54.0284333980464,68.5262283622805,56.2187517077515,49.5397078980575,60.7921321163484,57.7450320208492,54.088729796979,45.8747283463799,44.0747544196996,51.8378165786169,60.4452940263666,62.7503993861472,44.6998055159507,33.7804776405375,36.9500624340498,44.5338122041701,34.5456578393402
"Dm_00008876-RA",53.8766426818607,51.5636120537996,50.0398394899498,39.6278297320646,65.0189822399446,54.0577503062351,53.3155819437064,41.3052792646499,29.3008669298058,29.2479313455747,36.6738457004921,43.8152551043673,30.0540496550873,7.82205914179855,32.4923464759793,13.8085946136813,39.6549395421672,31.2697127912059,33.0560658147747,15.1881500803591,45.796562055691,11.9591568336828,21.2193629297509,21.5948258889281,16.5638210911258,14.2988465655546,10.7955180747938
"Dm_00009129-RA",47.3577606491801,45.3330089306322,31.4019760230385,45.6420325812137,28.976963738432,36.2959180627578,36.0573588867841,35.68462417484,41.3569528019654,39.7857889627303,48.4618675327931,37.1702875056007,52.3294041053284,96.4720627488488,66.9856878962272,76.7004664450845,46.0361941811366,63.8501321065941,47.554340294939,97.7324439953542,53.6606181662642,97.7836941107002,68.3541773064928,65.2472239358326,95.5605062949565,95.8350174393661,115.392093199463
"Dm_00007971-RA",93.8304871965115,106.115979971268,64.1005825596326,109.90337809267,40.752055010233,44.2758716793926,40.3719146510147,44.8149208730545,60.8560693090234,71.0226871689635,81.6728180975213,74.5295412772912,83.0142352261178,174.692654166834,102.241313104768,108.437889239813,57.583226384986,64.9735948416075,100.274125821671,56.4602970378566,89.7237917147452,97.0660040047165,79.1377879757104,91.6097246347669,68.8035645323687,74.9870808437864,96.200061066496
"Dm_00009483-RA",63.9425634676176,107.853888545864,107.986651359801,103.97156158392,124.304006991012,84.1756397625661,112.486632424583,113.458805068722,123.15520631434,106.668926083861,127.703569849928,100.089824456422,132.944972591915,239.876480348489,132.160951795259,168.715919643525,101.340401052205,182.188206861337,142.663020884817,262.490854649684,92.2099128259368,302.918407799047,280.895665012686,233.686865869471,393.709285935221,272.878751251042,325.065044252125
