"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"Dm_00001342-RA",0.000108240386835944,0.00169011801154544,23.3408533391607,70.4284547754391,4,5.31713837550882,1.49847776117955,0.00853013040620249,1.48994763077335,0.106831657251578,1.48994763077335
"Dm_00020338-RA",0.00010835252273588,0.00169011801154544,23.3386049751542,18.3193939867307,4,4.56900448305829,0.389774340143207,0.0368025048027704,0.352971835340436,0.13846477920192,0.352971835340436
"Dm_00020646-RA",0.000108781583624905,0.0016950375914468,23.3300234288419,79.831928684352,4,6.86207427255783,1.69855167413515,0.00234629138367803,1.69620538275147,0.123869919874392,1.69620538275147
"Dm_00014752-RA",0.00010965642084866,0.00170688574915993,23.3126296248368,80.258316568081,4,4.49563600341308,1.70762375676768,0.0366515469035193,1.67097220986416,0.144350260688341,1.67097220986416
"Dm_00007678-RA",0.000110538549602209,0.00171882257733904,23.2952297665762,13.4951925834258,4,3.87332575805032,0.287131757094166,0.0540125165776873,0.233119240516478,0.227742994050781,0.233119240516478
"Dm_00001079-RA",0.000110964084751685,0.00172364211647618,23.2868853716474,21.5288979782454,4,5.48217992825218,0.458061659111605,0.00792309374032514,0.450138565371279,0.10421309807945,0.450138565371279
"Dm_00001947-RA",0.000111540022309984,0.00172596609762624,23.2756421555103,117.257900883465,4,2.91940257835775,2.49484895496733,0.107404475874644,2.38744447909269,0.450646443858913,2.38744447909269
"Dm_00016664-RA",0.000111495401144731,0.00172596609762624,23.2765111698532,23.4192284145856,4,4.49403166100354,0.498281455629481,0.0359235715326261,0.462357884096855,0.144489336964701,0.462357884096855
"Dm_00000083-RA",0.000111474004524374,0.00172596609762624,23.2769279997236,24.2463126199806,4,6.96193624278151,0.515878991914482,0.00129290687798232,0.5145860850365,0.127724499182364,0.5145860850365
"Dm_00004916-RA",0.000111576671010709,0.00172596609762624,23.2749286660433,8.47784281676798,4,9.21967085575017,0.180379634399319,0.000179379255654939,0.180200255143664,0.375483497166365,0.375483497166365
"Dm_00008827-RA",0.000111704742647902,0.00172615660348758,23.2724371490903,5.17574000676045,4,5.87242219459722,0.110122127803414,0.00347438846905264,0.106647739334361,0.10308626712212,0.106647739334361
"Dm_00004711-RA",0.00011216027020909,0.00173140160389021,23.2635981963404,15.7664010426609,4,3.7298257556741,0.335455341333212,0.0809457810509158,0.254509560282296,0.253078176886264,0.254509560282296
"Dm_00010061-RA",0.000112630898211676,0.00173686861854448,23.254503584147,39.3365884575737,4,3.71368226140086,0.836948690586675,0.0423812887090108,0.794567401877664,0.256155649527961,0.794567401877664
"Dm_00013111-RA",0.00011287756617944,0.00173770627768585,23.2497519242282,46.0982656935918,4,6.01491508968732,0.980814163693443,0.00404231649651852,0.976771847196924,0.103895675077986,0.976771847196924
"Dm_00007737-RA",0.000112918279444581,0.00173770627768585,23.2489686400501,46.4949249602907,4,4.39911094660684,0.989253722559377,0.0221804189360843,0.967073303623293,0.153554891744059,0.967073303623293
"Dm_00005516-RA",0.000113636788727639,0.00174696061186243,23.2351911471123,44.491197241968,4,7.27303524523912,0.946621217914212,0.00107629639670129,0.945544921517511,0.142105497438466,0.945544921517511
"Dm_00001920-RA",0.000113834366487672,0.00174819574980862,23.2314177286578,10.2192810240239,4,6.11002846461953,0.217431511149444,0.00365689884109915,0.213774612308345,0.104912105263724,0.213774612308345
"Dm_00005692-RA",0.000114737356927726,0.0017602504799447,23.2142543982705,6.72697927528043,4,5.54461430278097,0.143127218622988,0.00460356128606302,0.138523657336925,0.103634427486204,0.138523657336925
"Dm_00005054-RA",0.000115150272163257,0.00176476963874459,23.2064506554775,8.40610918796518,4,6.10894642113163,0.178853386977982,0.00343928905126692,0.175414097926716,0.104898496023991,0.175414097926716
"Dm_00007457-RA",0.000115651278917201,0.00177062820453111,23.1970192696924,7.12181697301236,4,5.07539748817488,0.151528020702391,0.00728819715215473,0.144239823550236,0.112562516503757,0.144239823550236
"Dm_00002792-RA",0.000115965528198284,0.00177180118493116,23.1911242420506,14.8978833293426,4,5.56970817088283,0.316976241049843,0.00668447473176872,0.310291766318075,0.103464767942017,0.310291766318075
"Dm_00016286-RA",0.000115919797186338,0.00177180118493116,23.1919811272731,15.241781399024,4,7.36388678842623,0.324293221255829,0.000835986707430899,0.323457234548399,0.147054303421228,0.323457234548399
"Dm_00013576-RA",0.000118490559713886,0.00180483271343562,23.144324586782,19.8199453025866,4,4.33412080393418,0.421700963884822,0.0569967650155357,0.364704198869286,0.160678453378981,0.364704198869286
"Dm_00017178-RA",0.000118323620779857,0.00180483271343562,23.1473879829993,13.0397798573124,4,5.85786346961643,0.277442124623668,0.00354899085516336,0.273893133768505,0.103054272832871,0.273893133768505
"Dm_00004565-RA",0.000118407183905009,0.00180483271343562,23.1458540303834,43.0908902612537,4,6.1391384507081,0.916827452367101,0.0034318860158295,0.913395566351271,0.105295493391267,0.913395566351271
"Dm_00006983-RA",0.000119069770541508,0.00181180450848466,23.1337289521082,139.926370900631,4,3.15651529120766,2.97715682767299,0.13441367467805,2.84274315299494,0.386597465538481,2.84274315299494
"Dm_00005338-RA",0.000119636344188243,0.00181856999442923,23.1234138715471,24.4412798501619,4,4.54810314072979,0.520027230854508,0.0212639212205274,0.498763309633981,0.140057687748462,0.498763309633981
"Dm_00005374-RA",0.000120447381964605,0.00182231698112942,23.1087321262962,225.101844454082,4,4.42754688357896,4.78940094583153,0.0630251037414872,4.72637584209005,0.150668738348939,4.72637584209005
"Dm_00001526-RA",0.000120158273284978,0.00182231698112942,23.1139544075367,76.0003959386618,4,7.04558626827491,1.61702970082259,0.00153797064408218,1.61549173017851,0.131225555345699,1.61549173017851
"Dm_00000386-RA",0.000120493866912125,0.00182231698112942,23.1078936119887,4.79943463201458,4,5.17415337952094,0.102115630468395,0.0068241341579339,0.0952914963104614,0.10981912277381,0.10981912277381
"Dm_00020048-RA",0.000120471534593984,0.00182231698112942,23.1082964113078,32.8674712440525,4,5.47456716669994,0.699307898809628,0.00615811495554013,0.693149783854088,0.104300591623,0.693149783854088
"Dm_00017790-RA",0.000120423439704216,0.00182231698112942,23.1091641318103,14.4956299348776,4,6.71845028264827,0.308417658188886,0.00195444190270464,0.306463216286181,0.118909717407328,0.306463216286181
