Orthogroup	D_spatulata.proteins	D_muscipula.proteins
OG0000013	Ds_00003727-RA, Ds_00002949-RA	Dm_00019593-RA
OG0000013	Ds_00002982-RA, Ds_00010231-RA, Ds_00007837-RA, Ds_00002197-RA, Ds_00017475-RA, Ds_00017528-RA, Ds_00007059-RA, Ds_00005135-RA, Ds_00018060-RA, Ds_00010439-RA, Ds_00011318-RA, Ds_00002970-RA, Ds_00017544-RA, Ds_00002979-RA, Ds_00013854-RA, Ds_00002948-RA, Ds_00006651-RA, Ds_00007047-RA, Ds_00002218-RA, Ds_00017749-RA	Dm_00012914-RA, Dm_00020238-RA, Dm_00013662-RA, Dm_00020287-RA, Dm_00014988-RA, Dm_00013988-RA, Dm_00021054-RA, Dm_00020941-RA, Dm_00015437-RA, Dm_00017135-RA, Dm_00010616-RA, Dm_00020728-RA, Dm_00017113-RA, Dm_00015655-RA, Dm_00018928-RA, Dm_00016617-RA, Dm_00020296-RA, Dm_00018994-RA, Dm_00010329-RA
OG0000013	Ds_00016283-RA, Ds_00002097-RA	Dm_00015653-RA
OG0000013	Ds_00002757-RA	Dm_00018572-RA, Dm_00017981-RA, Dm_00018891-RA, Dm_00015909-RA, Dm_00015202-RA, Dm_00017427-RA, Dm_00020417-RA, Dm_00015927-RA, Dm_00020153-RA, Dm_00017114-RA, Dm_00007033-RA, Dm_00016008-RA, Dm_00014956-RA, Dm_00009270-RA, Dm_00018306-RA, Dm_00017376-RA, Dm_00010778-RA, Dm_00013871-RA, Dm_00012673-RA, Dm_00020940-RA, Dm_00021006-RA, Dm_00013953-RA, Dm_00013496-RA, Dm_00015172-RA, Dm_00020495-RA, Dm_00019806-RA, Dm_00015438-RA, Dm_00010671-RA, Dm_00020257-RA, Dm_00018571-RA, Dm_00015473-RA, Dm_00020532-RA, Dm_00016750-RA, Dm_00017490-RA, Dm_00021009-RA, Dm_00014510-RA, Dm_00009915-RA, Dm_00018462-RA, Dm_00020235-RA, Dm_00018799-RA, Dm_00020727-RA, Dm_00013048-RA, Dm_00019255-RA, Dm_00016574-RA, Dm_00006135-RA, Dm_00018617-RA, Dm_00017459-RA, Dm_00018999-RA, Dm_00020533-RA, Dm_00016151-RA, Dm_00006611-RA, Dm_00016968-RA
OG0000013	Ds_00013865-RA, Ds_00016661-RA, Ds_00017474-RA, Ds_00007048-RA, Ds_00007851-RA, Ds_00011334-RA, Ds_00010326-RA, Ds_00008961-RA, Ds_00017098-RA, Ds_00015155-RA, Ds_00007835-RA	Dm_00015106-RA, Dm_00009424-RA, Dm_00020827-RA, Dm_00020289-RA, Dm_00018235-RA, Dm_00015821-RA, Dm_00019066-RA, Dm_00013719-RA, Dm_00020214-RA, Dm_00016950-RA, Dm_00014528-RA, Dm_00019424-RA, Dm_00020653-RA, Dm_00020963-RA, Dm_00018901-RA, Dm_00020675-RA, Dm_00021063-RA
OG0000015	Ds_00013984-RA, Ds_00015603-RA	Dm_00012726-RA
OG0000015	Ds_00013983-RA	Dm_00007752-RA
OG0000015	Ds_00009995-RA, Ds_00016103-RA, Ds_00016102-RA, Ds_00004166-RA	Dm_00001315-RA
OG0000018	Ds_00006436-RA, Ds_00006435-RA	Dm_00020011-RA
OG0000018	Ds_00015426-RA	Dm_00012812-RA
OG0000019	Ds_00013591-RA	Dm_00014686-RA, Dm_00017033-RA
