Orthogroup	D_spatulata.proteins	D_muscipula.proteins
OG0000295	Ds_00002400-RA	Dm_00015056-RA
OG0000295	Ds_00003456-RA	Dm_00013889-RA
OG0000296	Ds_00012248-RA	Dm_00005188-RA
OG0000297	Ds_00006068-RA	Dm_00006116-RA
OG0000297	Ds_00016377-RA, Ds_00016375-RA, Ds_00004895-RA	Dm_00007968-RA
OG0000298	Ds_00012811-RA	Dm_00012021-RA
OG0000298	Ds_00012836-RA	Dm_00014690-RA
OG0000300	Ds_00001934-RA, Ds_00006100-RA	Dm_00007263-RA
OG0000301	Ds_00014589-RA	Dm_00006222-RA, Dm_00009188-RA
OG0000302	Ds_00011067-RA	Dm_00019668-RA
OG0000302	Ds_00006710-RA	Dm_00008092-RA
OG0000302	Ds_00003824-RA	Dm_00001686-RA, Dm_00001435-RA
OG0000303	Ds_00008984-RA	Dm_00002850-RA
OG0000303	Ds_00008507-RA, Ds_00012101-RA	Dm_00012297-RA, Dm_00012106-RA
OG0000304	Ds_00017798-RA, Ds_00006592-RA, Ds_00005766-RA, Ds_00014352-RA, Ds_00002647-RA	Dm_00003720-RA
OG0000308	Ds_00009977-RA	Dm_00001180-RA
OG0000309	Ds_00011241-RA	Dm_00018400-RA
OG0000313	Ds_00015470-RA	Dm_00009065-RA
OG0000314	Ds_00008768-RA, Ds_00010276-RA	Dm_00020898-RA, Dm_00006997-RA
OG0000315	Ds_00003348-RA, Ds_00003347-RA	Dm_00019004-RA
OG0000315	Ds_00009504-RA	Dm_00008452-RA
OG0000316	Ds_00009824-RA	Dm_00002256-RA
OG0000316	Ds_00007937-RA	Dm_00012303-RA
OG0000317	Ds_00007242-RA, Ds_00009632-RA	Dm_00003620-RA, Dm_00004391-RA
OG0000318	Ds_00007027-RA	Dm_00005871-RA, Dm_00010653-RA, Dm_00018451-RA
OG0000319	Ds_00006895-RA	Dm_00010310-RA, Dm_00018644-RA
OG0000321	Ds_00006963-RA	Dm_00004723-RA
OG0000321	Ds_00014160-RA	Dm_00002472-RA
OG0000321	Ds_00007828-RA	Dm_00014714-RA
OG0000322	Ds_00011799-RA	Dm_00007385-RA, Dm_00007207-RA
OG0000322	Ds_00011797-RA	Dm_00004798-RA
OG0000323	Ds_00006563-RA	Dm_00013088-RA, Dm_00000936-RA
OG0000323	Ds_00014812-RA, Ds_00015051-RA	Dm_00001236-RA, Dm_00000120-RA
OG0000325	Ds_00009803-RA	Dm_00001140-RA
OG0000325	Ds_00003081-RA, Ds_00017068-RA	Dm_00016822-RA, Dm_00019810-RA
OG0000326	Ds_00013206-RA	Dm_00009995-RA, Dm_00009994-RA, Dm_00003688-RA
OG0000326	Ds_00003958-RA	Dm_00004473-RA
OG0000326	Ds_00003708-RA	Dm_00004903-RA
OG0000327	Ds_00000569-RA	Dm_00003392-RA
OG0000327	Ds_00003627-RA, Ds_00010932-RA	Dm_00017836-RA
OG0000327	Ds_00002360-RA	Dm_00008930-RA
OG0000327	Ds_00006770-RA	Dm_00002653-RA
OG0000329	Ds_00016932-RA	Dm_00006010-RA
OG0000330	Ds_00007533-RA	Dm_00000655-RA
OG0000331	Ds_00008749-RA, Ds_00013684-RA	Dm_00006123-RA
OG0000332	Ds_00008519-RA, Ds_00007758-RA	Dm_00019951-RA, Dm_00012440-RA, Dm_00019801-RA, Dm_00017820-RA
OG0000335	Ds_00006490-RA, Ds_00008589-RA	Dm_00013058-RA
OG0000335	Ds_00005765-RA	Dm_00001281-RA, Dm_00003124-RA
OG0000336	Ds_00007811-RA, Ds_00007812-RA	Dm_00008527-RA
OG0000336	Ds_00017897-RA, Ds_00005025-RA	Dm_00013584-RA
OG0000336	Ds_00003019-RA	Dm_00008366-RA
OG0000337	Ds_00004397-RA	Dm_00015744-RA, Dm_00015296-RA, Dm_00018254-RA
OG0000338	Ds_00016605-RA, Ds_00006734-RA	Dm_00010813-RA
OG0000338	Ds_00009783-RA	Dm_00002736-RA, Dm_00005600-RA
OG0000338	Ds_00007862-RA	Dm_00020377-RA
OG0000339	Ds_00001519-RA	Dm_00018377-RA
OG0000339	Ds_00000284-RA	Dm_00006106-RA
OG0000340	Ds_00013796-RA	Dm_00003330-RA
OG0000342	Ds_00009078-RA	Dm_00013986-RA
OG0000342	Ds_00007632-RA	Dm_00012035-RA
OG0000342	Ds_00000765-RA	Dm_00008210-RA
OG0000343	Ds_00010877-RA	Dm_00007266-RA
OG0000344	Ds_00011566-RA, Ds_00008311-RA, Ds_00008312-RA, Ds_00008313-RA, Ds_00010136-RA	Dm_00002936-RA, Dm_00002935-RA
OG0000344	Ds_00008752-RA	Dm_00012808-RA
OG0000345	Ds_00001691-RA	Dm_00001528-RA
OG0000345	Ds_00011179-RA	Dm_00009781-RA
OG0000346	Ds_00010753-RA	Dm_00020511-RA, Dm_00011367-RA
OG0000346	Ds_00003847-RA	Dm_00000311-RA
OG0000347	Ds_00001258-RA	Dm_00003875-RA
OG0000348	Ds_00000882-RA	Dm_00009785-RA
OG0000348	Ds_00004257-RA	Dm_00009021-RA
OG0000349	Ds_00005441-RA	Dm_00007959-RA
OG0000349	Ds_00008696-RA	Dm_00017301-RA
OG0000349	Ds_00015379-RA	Dm_00005172-RA
OG0000350	Ds_00000555-RA	Dm_00001656-RA
OG0000350	Ds_00000290-RA, Ds_00017039-RA	Dm_00008693-RA
OG0000351	Ds_00013667-RA	Dm_00005528-RA
OG0000351	Ds_00001389-RA	Dm_00001473-RA
OG0000351	Ds_00001573-RA	Dm_00020897-RA
OG0000352	Ds_00011986-RA	Dm_00000134-RA
OG0000352	Ds_00017864-RA	Dm_00001251-RA
OG0000352	Ds_00004494-RA	Dm_00011971-RA
OG0000353	Ds_00016869-RA	Dm_00000756-RA
OG0000354	Ds_00003544-RA, Ds_00003546-RA	Dm_00018530-RA, Dm_00016625-RA, Dm_00018867-RA, Dm_00017327-RA, Dm_00015970-RA, Dm_00015786-RA
OG0000362	Ds_00010002-RA, Ds_00005195-RA	Dm_00014459-RA, Dm_00019016-RA
OG0000362	Ds_00009530-RA	Dm_00004806-RA
OG0000363	Ds_00011624-RA, Ds_00011629-RA	Dm_00003744-RA
OG0000363	Ds_00012120-RA	Dm_00010037-RA
OG0000363	Ds_00000994-RA	Dm_00010753-RA
OG0000364	Ds_00007473-RA	Dm_00006053-RA
OG0000366	Ds_00012155-RA	Dm_00014040-RA
OG0000366	Ds_00009404-RA, Ds_00006744-RA	Dm_00009975-RA
OG0000367	Ds_00010107-RA	Dm_00003532-RA
OG0000367	Ds_00011990-RA, Ds_00017563-RA	Dm_00001245-RA
OG0000368	Ds_00000361-RA	Dm_00012697-RA
OG0000368	Ds_00017983-RA, Ds_00004980-RA, Ds_00007859-RA	Dm_00005604-RA
OG0000370	Ds_00016457-RA	Dm_00001007-RA
OG0000370	Ds_00015244-RA	Dm_00009521-RA
OG0000370	Ds_00009120-RA, Ds_00008421-RA	Dm_00009900-RA
OG0000371	Ds_00010290-RA	Dm_00014543-RA
OG0000371	Ds_00005963-RA	Dm_00007194-RA
OG0000372	Ds_00013765-RA, Ds_00003846-RA	Dm_00000312-RA, Dm_00001861-RA
OG0000375	Ds_00012542-RA, Ds_00002880-RA	Dm_00007769-RA
OG0000375	Ds_00001468-RA, Ds_00013192-RA	Dm_00003452-RA
OG0000375	Ds_00010344-RA	Dm_00016395-RA, Dm_00019912-RA
OG0000377	Ds_00006331-RA	Dm_00003998-RA
OG0000377	Ds_00003057-RA, Ds_00003055-RA	Dm_00019032-RA
OG0000378	Ds_00001951-RA	Dm_00008423-RA, Dm_00013171-RA
OG0000378	Ds_00005456-RA	Dm_00017665-RA
OG0000379	Ds_00003196-RA	Dm_00018817-RA
OG0000379	Ds_00012327-RA	Dm_00004454-RA, Dm_00006527-RA
OG0000380	Ds_00003219-RA	Dm_00010109-RA, Dm_00019915-RA
OG0000380	Ds_00006812-RA, Ds_00000972-RA, Ds_00006811-RA, Ds_00000971-RA	Dm_00010065-RA, Dm_00021091-RA, Dm_00019914-RA
OG0000381	Ds_00008956-RA	Dm_00017194-RA
OG0000381	Ds_00007779-RA	Dm_00008202-RA
OG0000381	Ds_00013738-RA	Dm_00001965-RA
OG0000382	Ds_00002411-RA	Dm_00006014-RA
OG0000382	Ds_00013048-RA	Dm_00006243-RA
OG0000383	Ds_00012892-RA, Ds_00009631-RA, Ds_00007245-RA	Dm_00005399-RA, Dm_00004394-RA
OG0000384	Ds_00010026-RA	Dm_00020415-RA
OG0000384	Ds_00015976-RA, Ds_00014321-RA	Dm_00001577-RA, Dm_00000036-RA
OG0000385	Ds_00008553-RA	Dm_00001589-RA
OG0000387	Ds_00004307-RA, Ds_00000894-RA	Dm_00019118-RA, Dm_00016663-RA
OG0000388	Ds_00012319-RA	Dm_00010450-RA, Dm_00011527-RA
OG0000388	Ds_00003192-RA	Dm_00019218-RA
OG0000389	Ds_00003069-RA	Dm_00013881-RA
OG0000389	Ds_00006928-RA	Dm_00013157-RA, Dm_00000539-RA
OG0000389	Ds_00007086-RA	Dm_00000965-RA
OG0000390	Ds_00004625-RA, Ds_00003179-RA	Dm_00006095-RA
OG0000391	Ds_00012003-RA, Ds_00012002-RA, Ds_00012004-RA, Ds_00012006-RA, Ds_00012057-RA, Ds_00012007-RA, Ds_00012008-RA, Ds_00012009-RA, Ds_00005800-RA, Ds_00012005-RA, Ds_00014320-RA	Dm_00001584-RA, Dm_00001583-RA
OG0000392	Ds_00003044-RA	Dm_00000166-RA, Dm_00003055-RA
OG0000392	Ds_00013139-RA	Dm_00008716-RA
OG0000394	Ds_00012488-RA, Ds_00008392-RA	Dm_00012359-RA
OG0000395	Ds_00016500-RA	Dm_00006809-RA
OG0000395	Ds_00001305-RA	Dm_00015456-RA
OG0000396	Ds_00015710-RA	Dm_00001062-RA
OG0000397	Ds_00007437-RA	Dm_00015189-RA, Dm_00013394-RA
OG0000397	Ds_00005936-RA	Dm_00000371-RA
OG0000398	Ds_00013937-RA	Dm_00018548-RA
OG0000399	Ds_00012258-RA	Dm_00012462-RA
OG0000400	Ds_00003886-RA	Dm_00014340-RA, Dm_00000604-RA
OG0000400	Ds_00004646-RA	Dm_00006244-RA, Dm_00014085-RA
OG0000401	Ds_00011008-RA	Dm_00005633-RA
OG0000404	Ds_00001054-RA	Dm_00006434-RA
OG0000404	Ds_00009451-RA	Dm_00017843-RA
OG0000405	Ds_00013293-RA, Ds_00001298-RA	Dm_00006683-RA
OG0000406	Ds_00011226-RA	Dm_00019188-RA, Dm_00016678-RA
OG0000406	Ds_00008020-RA	Dm_00013122-RA
OG0000406	Ds_00015607-RA, Ds_00003008-RA	Dm_00013478-RA
OG0000406	Ds_00009567-RA	Dm_00018951-RA
OG0000407	Ds_00004439-RA	Dm_00007275-RA
OG0000407	Ds_00011185-RA	Dm_00014961-RA
OG0000407	Ds_00018044-RA	Dm_00003911-RA
OG0000407	Ds_00014045-RA	Dm_00004119-RA
OG0000408	Ds_00012867-RA	Dm_00001042-RA
OG0000408	Ds_00014274-RA	Dm_00009615-RA
OG0000408	Ds_00009925-RA	Dm_00000627-RA
OG0000409	Ds_00014279-RA, Ds_00009914-RA	Dm_00014642-RA
OG0000409	Ds_00012871-RA, Ds_00007278-RA	Dm_00001047-RA
OG0000410	Ds_00002276-RA	Dm_00005472-RA
OG0000410	Ds_00007925-RA	Dm_00009018-RA
OG0000411	Ds_00014670-RA	Dm_00016235-RA
OG0000412	Ds_00002237-RA	Dm_00015020-RA
OG0000412	Ds_00010561-RA	Dm_00001992-RA
OG0000412	Ds_00010819-RA	Dm_00016817-RA
OG0000413	Ds_00000040-RA	Dm_00018215-RA
OG0000413	Ds_00016143-RA	Dm_00011833-RA
OG0000413	Ds_00006903-RA	Dm_00003536-RA, Dm_00009817-RA
OG0000414	Ds_00013335-RA	Dm_00004969-RA
OG0000415	Ds_00016712-RA	Dm_00002276-RA, Dm_00009550-RA
OG0000415	Ds_00003041-RA	Dm_00003060-RA
OG0000415	Ds_00013347-RA	Dm_00020242-RA, Dm_00020241-RA
OG0000416	Ds_00014021-RA	Dm_00018076-RA
OG0000417	Ds_00002836-RA	Dm_00003571-RA
OG0000418	Ds_00013210-RA	Dm_00007427-RA
OG0000418	Ds_00017606-RA	Dm_00008812-RA
OG0000418	Ds_00001847-RA	Dm_00009695-RA
OG0000419	Ds_00014415-RA	Dm_00008046-RA, Dm_00015000-RA
OG0000419	Ds_00006406-RA	Dm_00019043-RA, Dm_00008019-RA
OG0000420	Ds_00001895-RA	Dm_00012136-RA
OG0000421	Ds_00012946-RA, Ds_00001413-RA	Dm_00007836-RA
OG0000421	Ds_00015855-RA	Dm_00005157-RA
OG0000421	Ds_00012565-RA	Dm_00002043-RA
OG0000422	Ds_00008001-RA	Dm_00007254-RA, Dm_00005888-RA
OG0000423	Ds_00002933-RA	Dm_00003830-RA
OG0000423	Ds_00012941-RA	Dm_00010161-RA, Dm_00011998-RA
OG0000423	Ds_00001343-RA	Dm_00004267-RA, Dm_00008010-RA
OG0000424	Ds_00002356-RA	Dm_00010029-RA, Dm_00011771-RA
OG0000425	Ds_00015808-RA, Ds_00015807-RA	Dm_00012655-RA, Dm_00006822-RA
OG0000425	Ds_00009000-RA	Dm_00007155-RA, Dm_00019597-RA
OG0000425	Ds_00008999-RA, Ds_00007768-RA, Ds_00009002-RA, Ds_00015806-RA, Ds_00015475-RA, Ds_00015476-RA	Dm_00018593-RA, Dm_00015375-RA
OG0000426	Ds_00015226-RA	Dm_00001467-RA
OG0000426	Ds_00015124-RA	Dm_00002902-RA
OG0000427	Ds_00001975-RA	Dm_00011906-RA
OG0000427	Ds_00017080-RA	Dm_00004422-RA
OG0000428	Ds_00003189-RA, Ds_00003188-RA	Dm_00021064-RA, Dm_00016097-RA
OG0000432	Ds_00016915-RA, Ds_00012830-RA, Ds_00015745-RA, Ds_00008928-RA, Ds_00011813-RA, Ds_00015670-RA, Ds_00017722-RA, Ds_00015824-RA	Dm_00020996-RA
OG0000433	Ds_00010130-RA, Ds_00011569-RA	Dm_00006970-RA, Dm_00015921-RA
OG0000434	Ds_00001021-RA	Dm_00019767-RA
OG0000437	Ds_00011211-RA	Dm_00020483-RA
OG0000437	Ds_00006855-RA	Dm_00000065-RA
OG0000437	Ds_00010147-RA	Dm_00016402-RA
OG0000437	Ds_00000266-RA	Dm_00015528-RA
OG0000438	Ds_00002512-RA	Dm_00003400-RA, Dm_00001651-RA
OG0000439	Ds_00013888-RA	Dm_00015665-RA
OG0000439	Ds_00010514-RA	Dm_00006067-RA
OG0000440	Ds_00011298-RA	Dm_00009533-RA
OG0000440	Ds_00000130-RA	Dm_00019222-RA
OG0000440	Ds_00014503-RA	Dm_00005318-RA
OG0000441	Ds_00001700-RA	Dm_00004122-RA, Dm_00003588-RA
OG0000441	Ds_00004442-RA	Dm_00009195-RA, Dm_00015371-RA
OG0000441	Ds_00005274-RA	Dm_00009953-RA, Dm_00003915-RA
OG0000442	Ds_00011766-RA, Ds_00004496-RA, Ds_00005294-RA	Dm_00002098-RA
OG0000442	Ds_00012259-RA, Ds_00009511-RA	Dm_00017121-RA
OG0000443	Ds_00001690-RA	Dm_00001525-RA
OG0000443	Ds_00014076-RA	Dm_00002665-RA
OG0000443	Ds_00005830-RA	Dm_00016872-RA
OG0000444	Ds_00000796-RA	Dm_00014761-RA
OG0000445	Ds_00008308-RA	Dm_00018301-RA
OG0000446	Ds_00016054-RA	Dm_00010015-RA
OG0000446	Ds_00006067-RA	Dm_00016714-RA, Dm_00006114-RA
OG0000448	Ds_00011095-RA	Dm_00020551-RA
OG0000448	Ds_00015949-RA	Dm_00004087-RA
OG0000448	Ds_00009579-RA	Dm_00012155-RA
OG0000449	Ds_00006114-RA	Dm_00004254-RA
OG0000450	Ds_00014850-RA	Dm_00014182-RA
OG0000450	Ds_00000485-RA, Ds_00011495-RA	Dm_00002306-RA, Dm_00002310-RA
OG0000453	Ds_00010361-RA	Dm_00014651-RA
OG0000453	Ds_00014901-RA	Dm_00010945-RA
OG0000453	Ds_00015500-RA, Ds_00015494-RA	Dm_00009890-RA
OG0000454	Ds_00015688-RA	Dm_00009161-RA
OG0000455	Ds_00000058-RA	Dm_00005846-RA, Dm_00007189-RA
OG0000456	Ds_00008534-RA	Dm_00003202-RA
OG0000456	Ds_00017614-RA	Dm_00008105-RA
OG0000457	Ds_00007885-RA	Dm_00001141-RA
OG0000457	Ds_00011872-RA	Dm_00001086-RA
OG0000458	Ds_00001594-RA	Dm_00012338-RA, Dm_00005708-RA
OG0000458	Ds_00008484-RA, Ds_00008590-RA, Ds_00006488-RA	Dm_00007245-RA, Dm_00012575-RA
OG0000459	Ds_00015223-RA	Dm_00002905-RA
OG0000459	Ds_00016324-RA	Dm_00017881-RA, Dm_00006517-RA
OG0000460	Ds_00004936-RA	Dm_00001895-RA
OG0000461	Ds_00005678-RA	Dm_00002037-RA, Dm_00018775-RA
OG0000461	Ds_00011667-RA	Dm_00006498-RA
OG0000461	Ds_00002817-RA	Dm_00007486-RA
OG0000462	Ds_00010279-RA	Dm_00004504-RA, Dm_00007000-RA
OG0000462	Ds_00011335-RA, Ds_00005984-RA	Dm_00016936-RA
OG0000463	Ds_00005662-RA	Dm_00012486-RA
OG0000463	Ds_00003862-RA	Dm_00000980-RA
OG0000463	Ds_00009725-RA	Dm_00000294-RA
OG0000463	Ds_00010770-RA	Dm_00009459-RA, Dm_00017982-RA
OG0000466	Ds_00006536-RA, Ds_00000984-RA	Dm_00003693-RA, Dm_00015737-RA
OG0000467	Ds_00001167-RA	Dm_00008316-RA, Dm_00011281-RA
OG0000469	Ds_00004676-RA	Dm_00018151-RA
OG0000470	Ds_00003939-RA	Dm_00002607-RA, Dm_00002606-RA
OG0000470	Ds_00014445-RA	Dm_00009094-RA
OG0000471	Ds_00002085-RA, Ds_00017766-RA	Dm_00001377-RA
OG0000472	Ds_00014170-RA, Ds_00008053-RA	Dm_00006370-RA
OG0000472	Ds_00005010-RA	Dm_00010688-RA
OG0000473	Ds_00005220-RA	Dm_00019370-RA
OG0000474	Ds_00010402-RA	Dm_00007082-RA
OG0000475	Ds_00007700-RA	Dm_00002274-RA
OG0000475	Ds_00002101-RA	Dm_00002663-RA
OG0000476	Ds_00017200-RA	Dm_00004889-RA, Dm_00018668-RA
OG0000477	Ds_00014999-RA, Ds_00009684-RA	Dm_00014102-RA
OG0000477	Ds_00001709-RA	Dm_00003595-RA
OG0000477	Ds_00014039-RA	Dm_00004130-RA
OG0000480	Ds_00002401-RA	Dm_00014226-RA, Dm_00012243-RA
OG0000481	Ds_00014397-RA	Dm_00017096-RA
OG0000481	Ds_00000773-RA	Dm_00002997-RA
OG0000481	Ds_00003453-RA	Dm_00010280-RA
OG0000483	Ds_00010305-RA	Dm_00003094-RA
OG0000483	Ds_00005956-RA	Dm_00015987-RA
OG0000484	Ds_00010284-RA	Dm_00010826-RA
OG0000484	Ds_00004120-RA	Dm_00007333-RA
OG0000485	Ds_00009103-RA	Dm_00003889-RA
OG0000485	Ds_00008409-RA	Dm_00011429-RA
OG0000485	Ds_00014111-RA	Dm_00013524-RA
OG0000489	Ds_00000993-RA	Dm_00009352-RA
OG0000490	Ds_00004543-RA	Dm_00005742-RA
OG0000491	Ds_00009714-RA	Dm_00000304-RA, Dm_00001850-RA
OG0000492	Ds_00010110-RA, Ds_00008251-RA, Ds_00011600-RA	Dm_00017157-RA, Dm_00006197-RA
OG0000492	Ds_00005817-RA	Dm_00020429-RA
OG0000493	Ds_00011856-RA, Ds_00006785-RA	Dm_00003360-RA
OG0000494	Ds_00000064-RA	Dm_00003407-RA
OG0000494	Ds_00011208-RA	Dm_00011889-RA
OG0000494	Ds_00015204-RA	Dm_00001445-RA
OG0000495	Ds_00011323-RA	Dm_00006789-RA, Dm_00006304-RA
OG0000495	Ds_00002601-RA, Ds_00004233-RA	Dm_00011258-RA
OG0000496	Ds_00001005-RA, Ds_00006554-RA	Dm_00000938-RA
OG0000496	Ds_00018052-RA	Dm_00006703-RA
OG0000497	Ds_00012967-RA	Dm_00003067-RA, Dm_00010095-RA
OG0000497	Ds_00015000-RA	Dm_00012261-RA
OG0000497	Ds_00001324-RA	Dm_00012260-RA, Dm_00013892-RA
OG0000498	Ds_00000259-RA, Ds_00013051-RA, Ds_00010904-RA	Dm_00018455-RA
OG0000498	Ds_00013405-RA	Dm_00019711-RA
OG0000499	Ds_00017755-RA	Dm_00015350-RA
OG0000499	Ds_00000102-RA	Dm_00007856-RA
OG0000499	Ds_00008090-RA	Dm_00009256-RA
OG0000501	Ds_00009761-RA	Dm_00000955-RA, Dm_00003250-RA
OG0000502	Ds_00011868-RA	Dm_00003355-RA
OG0000503	Ds_00012442-RA	Dm_00007623-RA, Dm_00018050-RA, Dm_00014940-RA, Dm_00012753-RA, Dm_00014755-RA, Dm_00015127-RA, Dm_00007624-RA, Dm_00007387-RA, Dm_00012754-RA, Dm_00014941-RA, Dm_00009472-RA
OG0000503	Ds_00004320-RA	Dm_00007454-RA
OG0000503	Ds_00014962-RA	Dm_00018440-RA
OG0000504	Ds_00015445-RA	Dm_00008373-RA
OG0000504	Ds_00013806-RA	Dm_00003323-RA, Dm_00020637-RA
OG0000508	Ds_00014578-RA, Ds_00005224-RA	Dm_00011011-RA
OG0000508	Ds_00012232-RA	Dm_00016294-RA, Dm_00018737-RA
OG0000509	Ds_00006001-RA	Dm_00005361-RA
OG0000509	Ds_00013720-RA	Dm_00017698-RA, Dm_00007707-RA
OG0000510	Ds_00006471-RA	Dm_00001123-RA
OG0000510	Ds_00006470-RA, Ds_00001123-RA	Dm_00001122-RA, Dm_00001124-RA
OG0000511	Ds_00012627-RA	Dm_00020353-RA
OG0000511	Ds_00004524-RA	Dm_00013070-RA
OG0000512	Ds_00011851-RA	Dm_00001070-RA, Dm_00002762-RA
OG0000513	Ds_00000573-RA	Dm_00003396-RA
OG0000513	Ds_00002507-RA	Dm_00003399-RA
OG0000514	Ds_00015033-RA	Dm_00014119-RA
OG0000514	Ds_00011973-RA	Dm_00014118-RA
OG0000515	Ds_00012141-RA	Dm_00017488-RA
OG0000516	Ds_00014546-RA	Dm_00016140-RA
OG0000516	Ds_00001816-RA	Dm_00004435-RA
OG0000517	Ds_00010184-RA, Ds_00015083-RA	Dm_00001923-RA
OG0000519	Ds_00000710-RA, Ds_00010387-RA	Dm_00003721-RA
OG0000520	Ds_00008395-RA	Dm_00012566-RA
OG0000520	Ds_00012928-RA	Dm_00018335-RA, Dm_00017456-RA
OG0000520	Ds_00013474-RA	Dm_00001132-RA
OG0000520	Ds_00001352-RA	Dm_00005064-RA
OG0000521	Ds_00016886-RA	Dm_00015210-RA
OG0000521	Ds_00005642-RA, Ds_00005643-RA, Ds_00005645-RA, Ds_00005646-RA, Ds_00005651-RA, Ds_00005649-RA, Ds_00005648-RA, Ds_00005650-RA, Ds_00018008-RA, Ds_00005676-RA	Dm_00000457-RA
OG0000522	Ds_00015819-RA	Dm_00015195-RA
OG0000522	Ds_00004339-RA, Ds_00004336-RA	Dm_00015194-RA, Dm_00005959-RA
OG0000522	Ds_00004340-RA	Dm_00012636-RA
OG0000522	Ds_00004337-RA, Ds_00004338-RA	Dm_00012635-RA, Dm_00008734-RA
OG0000522	Ds_00000989-RA, Ds_00006417-RA	Dm_00004210-RA
OG0000523	Ds_00008417-RA	Dm_00016699-RA
OG0000523	Ds_00015243-RA	Dm_00016237-RA
OG0000528	Ds_00009606-RA, Ds_00015149-RA	Dm_00016319-RA
OG0000529	Ds_00004898-RA	Dm_00018788-RA, Dm_00010607-RA
OG0000530	Ds_00006263-RA	Dm_00003554-RA
OG0000530	Ds_00006159-RA	Dm_00005027-RA
OG0000531	Ds_00005193-RA	Dm_00010004-RA, Dm_00006283-RA
OG0000531	Ds_00005741-RA	Dm_00005723-RA
OG0000532	Ds_00000317-RA	Dm_00017385-RA
OG0000532	Ds_00007822-RA	Dm_00010622-RA
OG0000532	Ds_00014094-RA	Dm_00009870-RA
OG0000532	Ds_00006443-RA	Dm_00009378-RA
OG0000533	Ds_00004592-RA	Dm_00004572-RA
OG0000534	Ds_00008714-RA, Ds_00002082-RA, Ds_00017764-RA	Dm_00017005-RA, Dm_00000782-RA
OG0000534	Ds_00009897-RA	Dm_00003966-RA
OG0000535	Ds_00005885-RA	Dm_00001599-RA
OG0000535	Ds_00006522-RA	Dm_00001600-RA
OG0000535	Ds_00003969-RA	Dm_00005489-RA
OG0000536	Ds_00005856-RA	Dm_00000483-RA
OG0000536	Ds_00002022-RA	Dm_00020970-RA
OG0000536	Ds_00013711-RA	Dm_00006684-RA
OG0000537	Ds_00000008-RA	Dm_00006912-RA, Dm_00018576-RA
OG0000537	Ds_00012195-RA, Ds_00014380-RA	Dm_00018070-RA, Dm_00005300-RA, Dm_00015672-RA, Dm_00016755-RA
OG0000538	Ds_00012326-RA	Dm_00006528-RA
OG0000538	Ds_00003198-RA	Dm_00013268-RA
OG0000539	Ds_00008180-RA	Dm_00013517-RA
OG0000539	Ds_00008177-RA, Ds_00008178-RA	Dm_00014008-RA
OG0000540	Ds_00016646-RA	Dm_00020120-RA
OG0000540	Ds_00013724-RA	Dm_00015999-RA
OG0000541	Ds_00010959-RA	Dm_00014801-RA
OG0000541	Ds_00013030-RA	Dm_00014172-RA, Dm_00012765-RA
OG0000542	Ds_00011245-RA	Dm_00007518-RA, Dm_00007519-RA
OG0000542	Ds_00000199-RA	Dm_00015339-RA
OG0000542	Ds_00000239-RA	Dm_00015320-RA
OG0000543	Ds_00006591-RA	Dm_00018213-RA
OG0000543	Ds_00009087-RA	Dm_00015482-RA
OG0000544	Ds_00017483-RA	Dm_00001420-RA
OG0000544	Ds_00008031-RA	Dm_00019103-RA
OG0000544	Ds_00006840-RA	Dm_00000026-RA
OG0000545	Ds_00007720-RA	Dm_00008517-RA
OG0000547	Ds_00016304-RA	Dm_00005106-RA
OG0000548	Ds_00009022-RA	Dm_00012564-RA
OG0000548	Ds_00009094-RA	Dm_00011089-RA
OG0000550	Ds_00015994-RA	Dm_00000016-RA, Dm_00006155-RA
OG0000551	Ds_00013950-RA	Dm_00005642-RA
OG0000551	Ds_00015954-RA	Dm_00016160-RA, Dm_00017136-RA
OG0000552	Ds_00017387-RA	Dm_00011424-RA
OG0000552	Ds_00010735-RA	Dm_00012434-RA
OG0000554	Ds_00010610-RA	Dm_00012969-RA
OG0000555	Ds_00015430-RA	Dm_00009198-RA, Dm_00010697-RA
OG0000555	Ds_00007099-RA	Dm_00012183-RA, Dm_00016528-RA, Dm_00017660-RA, Dm_00018274-RA, Dm_00014171-RA
OG0000555	Ds_00005780-RA, Ds_00013628-RA, Ds_00013520-RA, Ds_00013070-RA, Ds_00007394-RA	Dm_00019578-RA, Dm_00016669-RA, Dm_00014578-RA, Dm_00004583-RA, Dm_00010766-RA, Dm_00005797-RA
OG0000555	Ds_00015387-RA	Dm_00018758-RA, Dm_00011946-RA, Dm_00004121-RA, Dm_00005757-RA
OG0000555	Ds_00006402-RA, Ds_00013466-RA, Ds_00013257-RA, Ds_00008684-RA, Ds_00017171-RA, Ds_00011337-RA, Ds_00011025-RA, Ds_00007358-RA, Ds_00012105-RA	Dm_00010151-RA
OG0000558	Ds_00014666-RA, Ds_00003153-RA	Dm_00010993-RA
OG0000558	Ds_00001099-RA	Dm_00017089-RA, Dm_00016797-RA
OG0000560	Ds_00013944-RA, Ds_00014929-RA, Ds_00008005-RA	Dm_00006002-RA, Dm_00012271-RA
OG0000561	Ds_00005945-RA, Ds_00012741-RA	Dm_00000354-RA
OG0000561	Ds_00005944-RA	Dm_00004053-RA
OG0000562	Ds_00004033-RA	Dm_00004900-RA
OG0000562	Ds_00010327-RA	Dm_00009334-RA
OG0000562	Ds_00006534-RA	Dm_00011112-RA
