Orthogroup	A_vesiculosa.proteins	A_hypochondriacus.proteins
OG0001158	Av_00002005-RA, Av_00000306-RA, Av_00007713-RA	AH006127-RA
OG0001159	Av_00016641-RA, Av_00014857-RA	AH003277-RA
OG0001159	Av_00001821-RA, Av_00013734-RA	AH004048-RA
OG0001160	Av_00021609-RA, Av_00007413-RA	AH023721-RA, AH023722-RA
OG0001160	Av_00022948-RA	AH004290-RA, AH004943-RA
OG0001161	Av_00017768-RA	AH001620-RA
OG0001162	Av_00024066-RA	AH016893-RA
OG0001162	Av_00001910-RA	AH003595-RA
OG0001163	Av_00000983-RA	AH001668-RA
OG0001164	Av_00003625-RA, Av_00007131-RA, Av_00003623-RA	AH017026-RA
OG0001165	Av_00019116-RA, Av_00010199-RA, Av_00004209-RA	AH008325-RA, AH016691-RA
OG0001167	Av_00020003-RA, Av_00004440-RA, Av_00004113-RA	AH013303-RA
OG0001169	Av_00012479-RA, Av_00014820-RA, Av_00022748-RA	AH006416-RA
OG0001169	Av_00007414-RA, Av_00003759-RA	AH023725-RA
OG0001170	Av_00011152-RA, Av_00009930-RA	AH001817-RA
OG0001171	Av_00009785-RA	AH002354-RA
OG0001172	Av_00003063-RA	AH009743-RA
OG0001172	Av_00004757-RA	AH000090-RA, AH001173-RA
OG0001173	Av_00008957-RA, Av_00022076-RA, Av_00005951-RA, Av_00005620-RA	AH015023-RA
OG0001173	Av_00024745-RA	AH008168-RA, AH009928-RA
OG0001174	Av_00024102-RA	AH015288-RA
OG0001175	Av_00023515-RA	AH000334-RA
OG0001176	Av_00010612-RA, Av_00005980-RA	AH021471-RA, AH014932-RA
OG0001177	Av_00024804-RA	AH003150-RA, AH018700-RA
OG0001178	Av_00015006-RA	AH022370-RA
OG0001178	Av_00016580-RA, Av_00014052-RA	AH018244-RA, AH011465-RA
OG0001179	Av_00006761-RA, Av_00008043-RA	AH013358-RA
OG0001179	Av_00000940-RA, Av_00011362-RA	AH014557-RA
OG0001180	Av_00010811-RA	AH005365-RA
OG0001180	Av_00004035-RA, Av_00009043-RA	AH014071-RA
OG0001182	Av_00015227-RA, Av_00003212-RA, Av_00013904-RA	AH009218-RA
OG0001182	Av_00002073-RA, Av_00012914-RA	AH012348-RA, AH019533-RA
OG0001183	Av_00001636-RA, Av_00009423-RA	AH012097-RA
OG0001183	Av_00000034-RA, Av_00003237-RA	AH009641-RA
OG0001184	Av_00023365-RA	AH003172-RA
OG0001185	Av_00023435-RA	AH014366-RA
OG0001186	Av_00004004-RA, Av_00003805-RA, Av_00007375-RA	AH013962-RA
OG0001187	Av_00015879-RA, Av_00025027-RA	AH018784-RA
OG0001188	Av_00010452-RA, Av_00010451-RA, Av_00018545-RA	AH017993-RA
OG0001188	Av_00011431-RA, Av_00014658-RA, Av_00008623-RA	AH009666-RA
OG0001189	Av_00005533-RA, Av_00005443-RA, Av_00003011-RA	AH018210-RA
OG0001190	Av_00013119-RA, Av_00008540-RA, Av_00021433-RA	AH000448-RA, AH000447-RA
OG0001191	Av_00008502-RA, Av_00025013-RA	AH022626-RA
OG0001192	Av_00022080-RA	AH021523-RA, AH015039-RA
OG0001193	Av_00003815-RA, Av_00005059-RA, Av_00022735-RA, Av_00023823-RA	AH021851-RA
OG0001193	Av_00024076-RA	AH000382-RA, AH001500-RA
OG0001194	Av_00011564-RA	AH009883-RA, AH008232-RA, AH009884-RA
OG0001195	Av_00017672-RA	AH016309-RA, AH023167-RA
OG0001196	Av_00018794-RA, Av_00013209-RA, Av_00001582-RA	AH006827-RA, AH020348-RA
OG0001197	Av_00014284-RA, Av_00012852-RA, Av_00014079-RA	AH012810-RA
OG0001197	Av_00003588-RA, Av_00008272-RA, Av_00013606-RA	AH023431-RA
OG0001198	Av_00005805-RA, Av_00020529-RA	AH022726-RA, AH017490-RA
OG0001199	Av_00000207-RA, Av_00007846-RA	AH010076-RA
OG0001200	Av_00006448-RA, Av_00007512-RA, Av_00000901-RA	AH013970-RA
OG0001201	Av_00006193-RA, Av_00008454-RA	AH004686-RA
OG0001202	Av_00013233-RA	AH011829-RA, AH011828-RA, AH011830-RA
OG0001203	Av_00007539-RA, Av_00006433-RA	AH014538-RA, AH014539-RA
OG0001203	Av_00001393-RA	AH015747-RA, AH019376-RA
OG0001204	Av_00000097-RA	AH018315-RA
OG0001204	Av_00003004-RA, Av_00005438-RA	AH018316-RA
OG0001205	Av_00011574-RA	AH005407-RA
OG0001205	Av_00019272-RA	AH017184-RA
OG0001216	Av_00002801-RA	AH021831-RA
OG0001218	Av_00016239-RA, Av_00001345-RA, Av_00016141-RA	AH007870-RA
OG0001219	Av_00019688-RA, Av_00013354-RA, Av_00006131-RA	AH008153-RA, AH022509-RA
OG0001220	Av_00005717-RA	AH023011-RA
OG0001221	Av_00013245-RA, Av_00017870-RA	AH007028-RA, AH007029-RA
OG0001222	Av_00012653-RA, Av_00008465-RA, Av_00017382-RA	AH001435-RA
OG0001223	Av_00011547-RA	AH009790-RA
OG0001223	Av_00006212-RA, Av_00012758-RA	AH001215-RA, AH000140-RA
OG0001224	Av_00007018-RA, Av_00011881-RA, Av_00017847-RA	AH010879-RA, AH006895-RA
OG0001225	Av_00009730-RA	AH002585-RA
OG0001225	Av_00011246-RA	AH017546-RA
OG0001225	Av_00022195-RA, Av_00023248-RA	AH017928-RA, AH020551-RA
OG0001227	Av_00001711-RA	AH021035-RA
OG0001227	Av_00013304-RA, Av_00007356-RA	AH013791-RA
OG0001228	Av_00006759-RA, Av_00006757-RA	AH002109-RA, AH003237-RA, AH002106-RA, AH002107-RA, AH016801-RA
OG0001229	Av_00018380-RA	AH021934-RA
OG0001230	Av_00005637-RA	AH015137-RA
OG0001232	Av_00019191-RA	AH005742-RA, AH003837-RA
OG0001233	Av_00013992-RA, Av_00011486-RA, Av_00000080-RA	AH008731-RA
OG0001234	Av_00018995-RA	AH003599-RA
OG0001234	Av_00004863-RA, Av_00024064-RA, Av_00024150-RA	AH016847-RA, AH023758-RA
OG0001236	Av_00004617-RA, Av_00019036-RA	AH002449-RA
OG0001237	Av_00017986-RA	AH008879-RA
OG0001237	Av_00015383-RA	AH005662-RA
OG0001238	Av_00003162-RA, Av_00008674-RA	AH023636-RA
OG0001239	Av_00007847-RA, Av_00023084-RA	AH010071-RA
OG0001241	Av_00020690-RA, Av_00003659-RA, Av_00007488-RA	AH015103-RA, AH021614-RA
OG0001243	Av_00003606-RA, Av_00007115-RA, Av_00001101-RA, Av_00021245-RA	AH015902-RA
OG0001244	Av_00014634-RA	AH009503-RA
OG0001244	Av_00015204-RA, Av_00021527-RA	AH009104-RA
OG0001245	Av_00019450-RA, Av_00004051-RA	AH020829-RA, AH015569-RA
OG0001246	Av_00023141-RA, Av_00010765-RA, Av_00022717-RA	AH022222-RA
OG0001248	Av_00017345-RA, Av_00008496-RA, Av_00007324-RA, Av_00013271-RA	AH022691-RA, AH022690-RA, AH013929-RA
OG0001249	Av_00016211-RA	AH007798-RA
OG0001250	Av_00022131-RA, Av_00013162-RA	AH020410-RA, AH006748-RA
OG0001250	Av_00005710-RA, Av_00017276-RA, Av_00015631-RA, Av_00011995-RA	AH016402-RA, AH023037-RA
OG0001252	Av_00017710-RA, Av_00011177-RA	AH013588-RA, AH022210-RA
OG0001253	Av_00000681-RA, Av_00011851-RA, Av_00006993-RA, Av_00016551-RA, Av_00006537-RA	AH010969-RA
OG0001255	Av_00000404-RA, Av_00015361-RA	AH005586-RA
OG0001256	Av_00011395-RA, Av_00015959-RA, Av_00008826-RA	AH002195-RA
OG0001257	Av_00002571-RA	AH008377-RA
OG0001257	Av_00024054-RA, Av_00019253-RA	AH009332-RA
OG0001259	Av_00024647-RA, Av_00017843-RA, Av_00016489-RA, Av_00020984-RA	AH011511-RA, AH018403-RA
OG0001259	Av_00009965-RA, Av_00020222-RA	AH019896-RA, AH007252-RA
OG0001260	Av_00007591-RA, Av_00005225-RA, Av_00002744-RA	AH005380-RA, AH004118-RA
OG0001261	Av_00010499-RA, Av_00015925-RA, Av_00011232-RA	AH017491-RA, AH002897-RA
OG0001262	Av_00009108-RA, Av_00005782-RA, Av_00015593-RA	AH022777-RA
OG0001262	Av_00002737-RA	AH005524-RA
OG0001263	Av_00004062-RA	AH016821-RA
OG0001271	Av_00000721-RA, Av_00003496-RA, Av_00022192-RA, Av_00023246-RA, Av_00020568-RA, Av_00006743-RA, Av_00009737-RA, Av_00021283-RA	AH013611-RA
OG0001272	Av_00023533-RA	AH013380-RA, AH013379-RA
OG0001273	Av_00009703-RA, Av_00002316-RA, Av_00004152-RA, Av_00015427-RA, Av_00018162-RA	AH002602-RA
OG0001274	Av_00019398-RA, Av_00019380-RA	AH020953-RA, AH018827-RA
OG0001274	Av_00019397-RA, Av_00019381-RA, Av_00023717-RA	AH023783-RA
OG0001275	Av_00018789-RA, Av_00012090-RA, Av_00023645-RA	AH006951-RA, AH020239-RA
OG0001275	Av_00021760-RA	AH013311-RA
OG0001276	Av_00023906-RA, Av_00002125-RA	AH007151-RA, AH019878-RA
OG0001276	Av_00021039-RA, Av_00006922-RA, Av_00006660-RA	AH010428-RA
OG0001277	Av_00014081-RA	AH021608-RA
OG0001278	Av_00020979-RA, Av_00013413-RA	AH000211-RA
OG0001279	Av_00020948-RA, Av_00022216-RA, Av_00023827-RA, Av_00020018-RA, Av_00002925-RA	AH012651-RA
OG0001280	Av_00020238-RA, Av_00021008-RA	AH004486-RA
OG0001280	Av_00003351-RA	AH004893-RA
OG0001281	Av_00019950-RA	AH022074-RA, AH012983-RA
OG0001281	Av_00016204-RA, Av_00006661-RA	AH007613-RA
OG0001282	Av_00000697-RA, Av_00013143-RA, Av_00021469-RA	AH006683-RA
OG0001282	Av_00010668-RA	AH019158-RA, AH015663-RA
OG0001283	Av_00002129-RA	AH019863-RA, AH007129-RA
OG0001284	Av_00005968-RA	AH014962-RA
OG0001284	Av_00010604-RA	AH014961-RA
OG0001285	Av_00014699-RA	AH008738-RA
OG0001285	Av_00007286-RA, Av_00023174-RA	AH002185-RA, AH000898-RA
OG0001286	Av_00003180-RA, Av_00015258-RA	AH008835-RA
OG0001287	Av_00014239-RA, Av_00011681-RA	AH001607-RA, AH000948-RA
OG0001288	Av_00011950-RA	AH010488-RA, AH010489-RA
OG0001289	Av_00007212-RA	AH015607-RA
OG0001290	Av_00019430-RA	AH023736-RA
OG0001290	Av_00007154-RA	AH002377-RA
OG0001291	Av_00019728-RA, Av_00003079-RA, Av_00002482-RA	AH008183-RA, AH010160-RA
OG0001291	Av_00022074-RA, Av_00008959-RA	AH015016-RA
OG0001292	Av_00012546-RA, Av_00002858-RA, Av_00013427-RA, Av_00016402-RA	AH000248-RA, AH009372-RA
OG0001293	Av_00007832-RA, Av_00020045-RA, Av_00017197-RA	AH010124-RA
OG0001294	Av_00017709-RA	AH002512-RA
OG0001294	Av_00017159-RA, Av_00018115-RA	AH022234-RA
OG0001295	Av_00021427-RA, Av_00024771-RA	AH007897-RA
OG0001295	Av_00005914-RA	AH021651-RA, AH015225-RA
OG0001297	Av_00008044-RA, Av_00006760-RA	AH013365-RA
OG0001298	Av_00002053-RA, Av_00022957-RA, Av_00020842-RA	AH012231-RA
OG0001298	Av_00018578-RA, Av_00010372-RA, Av_00014538-RA	AH018561-RA, AH003212-RA
OG0001299	Av_00018102-RA, Av_00022240-RA	AH013339-RA, AH022213-RA
OG0001299	Av_00011115-RA, Av_00009910-RA	AH014212-RA, AH021131-RA
OG0001300	Av_00008035-RA, Av_00006766-RA, Av_00023782-RA	AH013338-RA
OG0001301	Av_00004111-RA	AH022228-RA
OG0001302	Av_00000422-RA, Av_00011668-RA, Av_00015339-RA, Av_00014226-RA	AH003682-RA, AH005673-RA
OG0001303	Av_00008332-RA	AH018983-RA
OG0001303	Av_00023332-RA	AH008663-RA
OG0001304	Av_00017573-RA	AH022242-RA
OG0001304	Av_00003610-RA, Av_00007121-RA	AH015897-RA
OG0001305	Av_00001488-RA	AH018101-RA
OG0001305	Av_00021966-RA	AH019677-RA, AH019678-RA, AH011990-RA
OG0001307	Av_00011982-RA	AH002122-RA, AH000485-RA
OG0001308	Av_00005114-RA, Av_00009699-RA	AH002776-RA, AH017643-RA
OG0001308	Av_00002307-RA, Av_00001419-RA, Av_00000810-RA	AH017766-RA, AH002622-RA
OG0001309	Av_00021205-RA	AH014344-RA
OG0001310	Av_00003067-RA, Av_00024268-RA	AH008261-RA, AH009796-RA
OG0001311	Av_00006594-RA	AH010330-RA
OG0001311	Av_00016506-RA	AH003311-RA
OG0001311	Av_00017460-RA, Av_00021755-RA	AH006969-RA
OG0001311	Av_00020425-RA	AH021901-RA
OG0001312	Av_00012636-RA, Av_00002354-RA	AH010129-RA
OG0001312	Av_00024108-RA, Av_00021824-RA, Av_00024567-RA	AH001369-RA, AH001368-RA
OG0001313	Av_00007329-RA	AH013841-RA
OG0001313	Av_00013277-RA	AH013838-RA
OG0001314	Av_00004364-RA, Av_00008198-RA, Av_00003546-RA	AH016986-RA, AH015909-RA
OG0001315	Av_00002072-RA, Av_00012913-RA	AH012344-RA
OG0001316	Av_00022915-RA, Av_00022453-RA, Av_00018636-RA	AH012772-RA
OG0001316	Av_00003564-RA, Av_00007078-RA, Av_00013624-RA	AH023506-RA, AH023776-RA
OG0001317	Av_00010185-RA, Av_00019127-RA	AH020963-RA
OG0001317	Av_00003702-RA	AH021475-RA
OG0001318	Av_00008499-RA	AH013833-RA, AH020607-RA
OG0001318	Av_00012630-RA, Av_00002956-RA, Av_00024241-RA	AH012543-RA, AH021764-RA
OG0001319	Av_00003973-RA, Av_00004937-RA	AH001546-RA
OG0001320	Av_00007443-RA	AH010153-RA, AH007996-RA, AH007994-RA, AH010156-RA, AH010154-RA
OG0001320	Av_00017574-RA	AH022241-RA
OG0001321	Av_00009987-RA, Av_00006877-RA, Av_00024790-RA	AH008409-RA
OG0001323	Av_00012910-RA	AH019507-RA
OG0001323	Av_00010898-RA	AH009207-RA
OG0001324	Av_00018846-RA	AH000875-RA
OG0001325	Av_00022956-RA, Av_00001466-RA	AH013066-RA
OG0001326	Av_00005185-RA	AH017456-RA
OG0001326	Av_00002776-RA	AH005374-RA
OG0001326	Av_00006380-RA, Av_00016989-RA	AH004010-RA
OG0001329	Av_00018897-RA, Av_00009510-RA	AH007262-RA
OG0001329	Av_00021333-RA	AH011539-RA, AH018434-RA
OG0001335	Av_00009612-RA, Av_00002192-RA	AH012970-RA, AH022063-RA
OG0001335	Av_00017059-RA, Av_00023905-RA, Av_00002126-RA, Av_00013512-RA	AH019874-RA, AH019873-RA, AH007142-RA
OG0001336	Av_00019215-RA	AH023796-RA, AH019392-RA
OG0001339	Av_00021041-RA, Av_00006925-RA, Av_00014838-RA, Av_00006654-RA	AH010403-RA, AH007115-RA, AH002684-RA, AH017696-RA
OG0001340	Av_00024652-RA, Av_00008514-RA, Av_00013291-RA, Av_00007344-RA	AH022637-RA
OG0001341	Av_00002306-RA, Av_00009698-RA, Av_00003433-RA	AH017764-RA, AH002620-RA
OG0001341	Av_00016155-RA	AH010772-RA
OG0001344	Av_00013625-RA	AH023779-RA
OG0001345	Av_00024654-RA	AH023102-RA
OG0001346	Av_00021028-RA, Av_00006914-RA	AH010533-RA
OG0001346	Av_00012337-RA, Av_00009795-RA, Av_00008755-RA	AH014296-RA, AH021071-RA
OG0001348	Av_00016419-RA, Av_00024769-RA, Av_00011743-RA	AH018838-RA
OG0001349	Av_00016076-RA, Av_00016131-RA, Av_00020339-RA, Av_00016754-RA	AH007880-RA, AH010749-RA
OG0001350	Av_00001111-RA, Av_00011022-RA	AH013041-RA
OG0001350	Av_00000765-RA	AH013042-RA
OG0001351	Av_00010138-RA	AH000203-RA
OG0001352	Av_00000628-RA, Av_00018499-RA	AH021941-RA, AH020102-RA
OG0001353	Av_00022732-RA, Av_00022504-RA, Av_00003807-RA	AH012682-RA
OG0001354	Av_00013178-RA, Av_00014475-RA	AH006792-RA, AH020379-RA
OG0001356	Av_00021928-RA	AH014878-RA
OG0001356	Av_00015028-RA, Av_00009248-RA, Av_00017720-RA, Av_00011001-RA	AH002972-RA, AH017352-RA
OG0001357	Av_00021547-RA	AH000633-RA
OG0001357	Av_00000289-RA	AH003712-RA
OG0001358	Av_00019439-RA	AH016807-RA
OG0001359	Av_00021474-RA	AH008449-RA
OG0001360	Av_00023486-RA, Av_00007293-RA	AH000727-RA, AH002414-RA
OG0001361	Av_00001915-RA, Av_00018985-RA	AH004967-RA
OG0001361	Av_00003771-RA	AH016802-RA
OG0001362	Av_00014832-RA, Av_00016593-RA	AH003982-RA, AH005913-RA
OG0001363	Av_00000086-RA, Av_00014700-RA, Av_00011491-RA	AH008751-RA, AH008752-RA
OG0001364	Av_00011552-RA	AH008286-RA, AH007873-RA, AH008285-RA
OG0001365	Av_00024416-RA, Av_00008443-RA, Av_00006178-RA	AH000303-RA, AH001381-RA
OG0001367	Av_00006070-RA	AH003213-RA
OG0001367	Av_00009147-RA	AH012230-RA
OG0001368	Av_00012213-RA, Av_00012214-RA, Av_00005751-RA	AH016496-RA, AH022919-RA
OG0001369	Av_00017380-RA	AH000395-RA
OG0001370	Av_00017189-RA	AH010137-RA, AH010138-RA
OG0001371	Av_00004084-RA	AH013431-RA, AH022312-RA
OG0001372	Av_00010989-RA, Av_00023213-RA	AH014446-RA
OG0001372	Av_00006051-RA	AH011401-RA, AH018314-RA
OG0001374	Av_00003611-RA, Av_00007123-RA	AH015891-RA
OG0001375	Av_00005452-RA, Av_00003027-RA	AH012226-RA, AH003216-RA, AH018557-RA
OG0001376	Av_00002146-RA, Av_00014736-RA	AH019805-RA
OG0001376	Av_00016195-RA, Av_00006669-RA	AH010499-RA
OG0001377	Av_00003803-RA, Av_00012154-RA	AH020681-RA, AH013974-RA
OG0001378	Av_00018035-RA, Av_00025009-RA, Av_00015657-RA	AH012632-RA
OG0001378	Av_00001606-RA, Av_00009378-RA	AH019506-RA, AH012337-RA
OG0001379	Av_00004093-RA	AH013393-RA, AH022340-RA
OG0001379	Av_00017133-RA, Av_00023647-RA	AH014318-RA
OG0001380	Av_00011031-RA, Av_00009831-RA	AH020970-RA
OG0001380	Av_00014717-RA	AH016009-RA, AH017022-RA
OG0001381	Av_00008892-RA	AH020930-RA
OG0001383	Av_00016741-RA	AH018291-RA, AH006875-RA, AH018292-RA, AH007859-RA
OG0001384	Av_00006090-RA, Av_00023356-RA	AH003149-RA
OG0001384	Av_00014765-RA	AH005942-RA, AH012336-RA
OG0001385	Av_00017980-RA, Av_00008360-RA, Av_00021991-RA	AH009325-RA, AH009327-RA, AH021896-RA
OG0001386	Av_00016936-RA, Av_00004744-RA	AH000240-RA
OG0001387	Av_00014389-RA	AH004826-RA
OG0001387	Av_00020462-RA, Av_00000666-RA, Av_00019632-RA, Av_00017454-RA	AH007647-RA, AH006903-RA, AH020283-RA
OG0001388	Av_00008960-RA, Av_00022073-RA	AH015012-RA, AH021506-RA, AH017041-RA, AH008193-RA
OG0001388	Av_00000175-RA, Av_00007889-RA, Av_00024636-RA	AH010193-RA
OG0001389	Av_00012704-RA, Av_00018510-RA	AH000188-RA
OG0001390	Av_00000380-RA	AH013770-RA
OG0001390	Av_00002349-RA	AH003084-RA
OG0001391	Av_00022653-RA, Av_00020965-RA, Av_00002768-RA, Av_00005196-RA	AH005119-RA
OG0001391	Av_00017728-RA	AH017402-RA, AH017401-RA, AH002942-RA, AH017403-RA
OG0001392	Av_00013017-RA, Av_00024027-RA	AH011983-RA
OG0001394	Av_00014805-RA, Av_00016801-RA	AH008516-RA
OG0001395	Av_00009273-RA, Av_00015007-RA	AH013557-RA
OG0001396	Av_00024297-RA, Av_00002623-RA, Av_00005375-RA	AH005194-RA, AH004539-RA
OG0001397	Av_00007598-RA, Av_00020879-RA	AH005438-RA, AH004090-RA
OG0001398	Av_00020424-RA, Av_00023045-RA	AH007832-RA, AH007833-RA, AH010694-RA
OG0001400	Av_00015480-RA, Av_00023098-RA	AH004404-RA, AH004764-RA
OG0001400	Av_00007086-RA	AH023435-RA
OG0001401	Av_00019665-RA, Av_00019387-RA	AH009355-RA
OG0001402	Av_00017304-RA	AH021033-RA, AH022921-RA
OG0001402	Av_00016993-RA, Av_00024202-RA, Av_00016716-RA, Av_00005222-RA	AH004095-RA
OG0001403	Av_00007635-RA	AH005509-RA, AH004175-RA
OG0001404	Av_00023956-RA	AH010253-RA
OG0001404	Av_00010552-RA, Av_00001717-RA	AH011635-RA, AH019875-RA, AH011638-RA, AH011636-RA
OG0001405	Av_00017673-RA, Av_00001749-RA	AH017627-RA
OG0001405	Av_00001748-RA, Av_00018283-RA, Av_00004705-RA	AH000005-RA
OG0001406	Av_00012415-RA, Av_00013861-RA, Av_00011275-RA	AH002769-RA, AH017651-RA
OG0001406	Av_00007522-RA, Av_00015498-RA	AH004662-RA
OG0001407	Av_00002850-RA, Av_00012542-RA, Av_00013424-RA	AH015970-RA
OG0001419	Av_00017783-RA	AH012694-RA
OG0001422	Av_00012018-RA, Av_00015621-RA	AH016429-RA
OG0001423	Av_00006577-RA	AH011144-RA
OG0001424	Av_00000554-RA, Av_00014741-RA, Av_00002150-RA	AH019975-RA, AH011839-RA
OG0001425	Av_00004207-RA	AH016757-RA
OG0001425	Av_00011876-RA, Av_00016570-RA	AH010887-RA
OG0001426	Av_00007346-RA, Av_00013297-RA	AH022654-RA
OG0001427	Av_00017495-RA, Av_00008460-RA	AH022962-RA, AH000419-RA, AH001427-RA
OG0001428	Av_00013232-RA, Av_00017888-RA	AH011825-RA, AH018566-RA, AH018559-RA
OG0001431	Av_00013307-RA, Av_00007360-RA, Av_00008434-RA, Av_00013308-RA, Av_00007361-RA, Av_00008433-RA, Av_00006164-RA	AH013772-RA, AH022710-RA
OG0001432	Av_00009088-RA	AH016575-RA, AH016573-RA, AH016569-RA, AH016571-RA, AH004522-RA
OG0001432	Av_00012672-RA, Av_00013174-RA, Av_00021732-RA	AH020387-RA, AH006768-RA
OG0001433	Av_00020074-RA, Av_00015453-RA	AH014848-RA, AH021419-RA
OG0001433	Av_00015127-RA, Av_00006647-RA, Av_00021049-RA	AH011235-RA
OG0001434	Av_00009157-RA	AH020035-RA
OG0001437	Av_00013236-RA	AH015944-RA
OG0001438	Av_00002793-RA	AH019101-RA
OG0001438	Av_00011822-RA, Av_00014881-RA	AH007454-RA, AH011142-RA
OG0001439	Av_00006700-RA	AH010769-RA
OG0001441	Av_00000356-RA	AH003547-RA
OG0001441	Av_00008681-RA, Av_00014701-RA	AH008754-RA
OG0001442	Av_00024397-RA, Av_00015364-RA, Av_00000402-RA	AH005590-RA
OG0001443	Av_00006847-RA, Av_00007935-RA, Av_00023580-RA, Av_00015982-RA, Av_00023579-RA	AH016745-RA
OG0001444	Av_00008862-RA, Av_00018328-RA, Av_00004333-RA, Av_00004553-RA, Av_00011096-RA, Av_00009892-RA	AH002318-RA, AH002317-RA, AH002321-RA, AH002314-RA
OG0001445	Av_00022821-RA	AH015628-RA
OG0001446	Av_00018530-RA, Av_00004747-RA, Av_00016939-RA, Av_00010157-RA, Av_00014258-RA	AH000260-RA, AH001280-RA
OG0001447	Av_00012733-RA, Av_00013094-RA	AH021332-RA, AH001020-RA, AH001021-RA
OG0001447	Av_00010605-RA, Av_00010602-RA	AH021489-RA
OG0001448	Av_00002445-RA, Av_00015773-RA	AH008128-RA
OG0001448	Av_00020695-RA	AH015147-RA, AH021588-RA
OG0001449	Av_00022609-RA, Av_00017323-RA, Av_00008493-RA	AH001793-RA, AH000577-RA
OG0001450	Av_00021458-RA, Av_00020981-RA	AH021387-RA, AH000246-RA
OG0001451	Av_00018092-RA	AH011798-RA
OG0001452	Av_00008734-RA, Av_00020696-RA, Av_00014118-RA	AH010136-RA, AH015142-RA, AH021581-RA
OG0001453	Av_00015726-RA, Av_00002537-RA, Av_00003059-RA, Av_00023501-RA	AH009773-RA
OG0001454	Av_00023931-RA, Av_00017221-RA, Av_00002369-RA	AH008058-RA, AH010067-RA
OG0001454	Av_00005910-RA	AH015235-RA, AH021658-RA
OG0001455	Av_00012745-RA	AH001156-RA
OG0001455	Av_00002504-RA	AH008249-RA
OG0001456	Av_00010408-RA, Av_00014566-RA	AH018685-RA
OG0001457	Av_00018690-RA, Av_00021171-RA, Av_00015768-RA	AH015153-RA, AH023831-RA, AH021576-RA, AH009976-RA
OG0001458	Av_00006300-RA	AH014445-RA, AH020926-RA
OG0001459	Av_00018258-RA, Av_00010090-RA	AH023208-RA, AH016284-RA
OG0001460	Av_00006044-RA	AH011357-RA
OG0001460	Av_00013036-RA, Av_00024011-RA	AH018176-RA, AH011929-RA, AH019717-RA
OG0001461	Av_00008625-RA, Av_00015211-RA	AH009678-RA
OG0001462	Av_00002104-RA, Av_00012952-RA	AH012076-RA
OG0001463	Av_00014681-RA, Av_00008643-RA	AH009203-RA
OG0001464	Av_00024378-RA, Av_00020889-RA	AH005018-RA
OG0001465	Av_00023158-RA	AH011455-RA, AH018235-RA
OG0001465	Av_00017975-RA, Av_00008353-RA	AH009349-RA
OG0001466	Av_00005463-RA, Av_00024499-RA, Av_00023357-RA	AH018689-RA
OG0001467	Av_00014672-RA	AH009221-RA
OG0001468	Av_00013668-RA, Av_00006488-RA	AH010216-RA, AH007551-RA
OG0001469	Av_00000150-RA, Av_00011557-RA, Av_00003062-RA, Av_00015859-RA	AH009745-RA, AH008274-RA, AH009744-RA
OG0001470	Av_00021601-RA, Av_00023831-RA	AH012628-RA, AH021832-RA
OG0001471	Av_00022412-RA	AH015219-RA
OG0001471	Av_00020316-RA, Av_00000841-RA	AH002039-RA
OG0001473	Av_00024867-RA, Av_00015713-RA	AH008582-RA
OG0001474	Av_00003888-RA, Av_00005732-RA, Av_00012019-RA, Av_00015620-RA	AH016426-RA, AH022975-RA
OG0001475	Av_00006694-RA	AH007885-RA
OG0001475	Av_00011390-RA	AH002230-RA
OG0001476	Av_00001155-RA	AH012454-RA
OG0001477	Av_00016381-RA, Av_00012484-RA	AH017105-RA, AH017104-RA
OG0001478	Av_00012721-RA, Av_00016892-RA	AH012730-RA
OG0001478	Av_00020543-RA	AH022520-RA
OG0001479	Av_00005955-RA, Av_00005617-RA	AH015014-RA
OG0001480	Av_00006306-RA	AH020487-RA
OG0001480	Av_00008118-RA, Av_00006553-RA	AH011063-RA
OG0001481	Av_00007015-RA, Av_00011872-RA, Av_00001194-RA, Av_00014920-RA	AH010912-RA
OG0001481	Av_00013190-RA, Av_00021884-RA, Av_00014458-RA	AH020333-RA
OG0001482	Av_00018286-RA	AH022169-RA
OG0001483	Av_00006952-RA, Av_00011787-RA	AH013026-RA
OG0001484	Av_00016113-RA, Av_00016099-RA	AH010675-RA, AH007812-RA
OG0001485	Av_00018651-RA, Av_00008392-RA, Av_00023804-RA, Av_00021302-RA, Av_00021298-RA	AH021118-RA, AH006775-RA, AH021115-RA
OG0001487	Av_00000031-RA, Av_00017415-RA, Av_00010266-RA	AH009625-RA
OG0001488	Av_00002162-RA, Av_00009587-RA, Av_00000547-RA, Av_00014744-RA	AH011703-RA, AH020042-RA
OG0001489	Av_00021844-RA	AH018698-RA
OG0001490	Av_00014621-RA, Av_00008583-RA	AH009445-RA
OG0001490	Av_00013976-RA, Av_00003286-RA	AH009444-RA
OG0001491	Av_00009195-RA, Av_00009427-RA, Av_00001641-RA, Av_00002102-RA	AH012082-RA, AH012083-RA, AH001581-RA
OG0001492	Av_00018874-RA	AH009490-RA, AH011908-RA
OG0001493	Av_00002143-RA, Av_00013524-RA	AH019793-RA
OG0001493	Av_00016622-RA, Av_00014842-RA, Av_00001331-RA, Av_00021048-RA, Av_00006649-RA, Av_00022989-RA	AH011227-RA, AH007411-RA
