Orthogroup	A_vesiculosa.proteins	A_hypochondriacus.proteins
OG0000072	Av_00011117-RA	AH008033-RA, AH020159-RA, AH008035-RA, AH011844-RA
OG0000077	Av_00007275-RA	AH000842-RA
OG0000078	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA	AH022838-RA
OG0000079	Av_00009274-RA	AH008309-RA
OG0000085	Av_00009790-RA, Av_00008760-RA	AH014594-RA, AH021106-RA
OG0000085	Av_00021920-RA, Av_00004097-RA	AH013377-RA, AH013378-RA
OG0000085	Av_00005421-RA, Av_00002984-RA	AH021680-RA
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	AH015892-RA, AH017005-RA
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	AH006703-RA, AH020455-RA
OG0000087	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA	AH004659-RA
OG0000088	Av_00002335-RA, Av_00019465-RA	AH007982-RA
OG0000088	Av_00003725-RA	AH002003-RA, AH000992-RA, AH014780-RA
OG0000089	Av_00004150-RA	AH002040-RA
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA	AH019224-RA, AH019223-RA
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	AH003790-RA, AH010641-RA
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	AH005307-RA
OG0000091	Av_00024182-RA, Av_00022189-RA	AH020558-RA, AH020560-RA
OG0000091	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA	AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA
OG0000092	Av_00005802-RA	AH016633-RA
OG0000092	Av_00005801-RA	AH021997-RA, AH012260-RA
OG0000095	Av_00016560-RA	AH013260-RA
OG0000095	Av_00022745-RA, Av_00014819-RA	AH006304-RA
OG0000095	Av_00015892-RA, Av_00013399-RA	AH010162-RA
OG0000096	Av_00015889-RA	AH005894-RA
OG0000097	Av_00021109-RA	AH021560-RA, AH010510-RA, AH010508-RA, AH010504-RA, AH009815-RA, AH023774-RA, AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA, AH009811-RA
OG0000098	Av_00009967-RA	AH016758-RA
OG0000098	Av_00020806-RA, Av_00006102-RA	AH003177-RA
OG0000102	Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	AH010958-RA, AH012445-RA
OG0000103	Av_00007835-RA, Av_00000217-RA	AH010123-RA
OG0000103	Av_00018171-RA	AH011687-RA
OG0000104	Av_00018015-RA	AH021778-RA, AH012562-RA
OG0000104	Av_00015686-RA	AH012563-RA
OG0000105	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA	AH021428-RA, AH014857-RA
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	AH012640-RA, AH021838-RA
OG0000106	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	Av_00000247-RA, Av_00006353-RA	AH004190-RA, AH005485-RA
OG0000107	Av_00007784-RA	AH001713-RA
OG0000108	Av_00010829-RA, Av_00005367-RA	AH010687-RA, AH001829-RA
OG0000108	Av_00003730-RA	AH012760-RA, AH014759-RA
OG0000109	Av_00018758-RA, Av_00008820-RA	AH001741-RA
OG0000109	Av_00021187-RA, Av_00001943-RA	AH003764-RA
OG0000109	Av_00011101-RA, Av_00009901-RA	AH008949-RA
OG0000110	Av_00020501-RA, Av_00008377-RA	AH019974-RA, AH007045-RA
OG0000112	Av_00022328-RA	AH015562-RA
OG0000113	Av_00023507-RA	AH016269-RA, AH023225-RA
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	AH018586-RA
OG0000113	Av_00014535-RA, Av_00010366-RA, Av_00003020-RA, Av_00005449-RA	AH018584-RA
OG0000114	Av_00003668-RA, Av_00015326-RA	AH015161-RA
OG0000115	Av_00020585-RA	AH020498-RA
OG0000115	Av_00020146-RA	AH002718-RA, AH002719-RA, AH011596-RA, AH021864-RA, AH006630-RA
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	AH022502-RA
OG0000118	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA	AH012040-RA, AH019634-RA
OG0000118	Av_00007265-RA	AH002266-RA
OG0000118	Av_00013942-RA	AH009602-RA
OG0000120	Av_00014461-RA, Av_00022346-RA	AH020337-RA, AH006837-RA
OG0000120	Av_00021880-RA	AH020344-RA
OG0000120	Av_00010880-RA	AH009707-RA
OG0000120	Av_00020803-RA	AH018632-RA
OG0000121	Av_00001370-RA	AH010321-RA
OG0000121	Av_00015288-RA	AH003861-RA
OG0000121	Av_00013289-RA	AH022634-RA
OG0000121	Av_00012522-RA	AH003011-RA
OG0000122	Av_00015184-RA, Av_00024977-RA, Av_00014604-RA	AH015608-RA
OG0000122	Av_00015160-RA, Av_00024373-RA	AH003330-RA
OG0000124	Av_00010170-RA	AH001376-RA
OG0000125	Av_00006820-RA	AH012890-RA
OG0000125	Av_00020356-RA	AH010561-RA
OG0000125	Av_00016779-RA	AH010563-RA
OG0000127	Av_00014440-RA, Av_00001249-RA	AH010397-RA
OG0000127	Av_00002562-RA, Av_00018470-RA, Av_00006317-RA	AH022171-RA, AH012869-RA
OG0000127	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA	AH002969-RA, AH017357-RA
OG0000129	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA	AH019249-RA
OG0000131	Av_00008767-RA	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA
OG0000134	Av_00001044-RA, Av_00022546-RA, Av_00018234-RA	AH001790-RA, AH001791-RA
OG0000135	Av_00015825-RA	AH022214-RA
OG0000135	Av_00023049-RA	AH016059-RA
OG0000135	Av_00017571-RA, Av_00013077-RA, Av_00018331-RA	AH013502-RA
OG0000135	Av_00017962-RA, Av_00001097-RA	AH015896-RA
OG0000137	Av_00012426-RA, Av_00009313-RA, Av_00015913-RA, Av_00010531-RA, Av_00010516-RA	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA
OG0000138	Av_00011570-RA	AH005424-RA
OG0000139	Av_00011998-RA, Av_00005008-RA, Av_00005715-RA	AH023020-RA
OG0000140	Av_00019737-RA	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA
OG0000143	Av_00008537-RA	AH016191-RA, AH008728-RA
OG0000143	Av_00017945-RA, Av_00002008-RA	AH008727-RA
OG0000144	Av_00016136-RA	AH010736-RA
OG0000144	Av_00016294-RA	AH004163-RA
OG0000145	Av_00008637-RA, Av_00011445-RA	AH009242-RA
OG0000146	Av_00013344-RA, Av_00023979-RA, Av_00020548-RA, Av_00020547-RA, Av_00006138-RA	AH013670-RA, AH013668-RA
OG0000146	Av_00011999-RA	AH019053-RA, AH016411-RA, AH023019-RA, AH023024-RA, AH008823-RA
OG0000147	Av_00021851-RA	AH021952-RA
OG0000147	Av_00012705-RA, Av_00020525-RA	AH000183-RA
OG0000148	Av_00022736-RA	AH022555-RA, AH013718-RA, AH013719-RA, AH013714-RA
OG0000148	Av_00019670-RA, Av_00006146-RA	AH022552-RA
OG0000149	Av_00001613-RA	AH016220-RA
OG0000149	Av_00011501-RA	AH022324-RA
OG0000152	Av_00023873-RA	AH000407-RA
OG0000152	Av_00022456-RA	AH022508-RA
