	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
A_coerulea.proteins	15030	11293	11585	10184	11497	9976	10225	12173	11990	11599	12058	12462
A_hypochondriacus.proteins	11293	13360	11081	10121	12047	9933	10166	11447	11387	11923	11439	11591
A_thaliana.proteins	11585	11081	14648	10027	11215	9797	10056	11749	11542	11299	11608	11816
A_vesiculosa.proteins	10184	10121	10027	11256	10150	9917	10061	10258	10233	10256	10229	10350
B_vulgaris.proteins	11497	12047	11215	10150	13284	9958	10226	11616	11411	12087	11502	11659
D_muscipula.proteins	9976	9933	9797	9917	9958	11089	9917	10069	10012	10098	10049	10151
D_spatulata.proteins	10225	10166	10056	10061	10226	9917	11253	10328	10235	10318	10280	10378
G_max.proteins	12173	11447	11749	10258	11616	10069	10328	16330	12138	11741	12192	12586
L_sativa.proteins	11990	11387	11542	10233	11411	10012	10235	12138	17260	11595	12221	12362
P_amilis.proteins	11599	11923	11299	10256	12087	10098	10318	11741	11595	15372	11690	11972
S_lycopersicum.proteins	12058	11439	11608	10229	11502	10049	10280	12192	12221	11690	14641	12442
V_vinifera.proteins	12462	11591	11816	10350	11659	10151	10378	12586	12362	11972	12442	15855
