	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
Number of genes	43550	23879	48455	25123	25326	21135	18111	80374	62656	58732	35768	55564
Number of genes in orthogroups	39672	22059	45597	23388	24657	20358	17534	75103	58445	53383	30892	50248
Number of unassigned genes	3878	1820	2858	1735	669	777	577	5271	4211	5349	4876	5316
Percentage of genes in orthogroups	91.1	92.4	94.1	93.1	97.4	96.3	96.8	93.4	93.3	90.9	86.4	90.4
Percentage of unassigned genes	8.9	7.6	5.9	6.9	2.6	3.7	3.2	6.6	6.7	9.1	13.6	9.6
Number of orthogroups containing species	15030	13360	14648	11256	13284	11089	11253	16330	17260	15372	14641	15855
Percentage of orthogroups containing species	44.8	39.9	43.7	33.6	39.6	33.1	33.6	48.7	51.5	45.9	43.7	47.3
Number of species-specific orthogroups	1654	294	2105	135	258	88	131	2703	3704	1804	977	1453
Number of genes in species-specific orthogroups	6929	903	9132	433	1172	494	547	11778	16951	20563	4419	5316
Percentage of genes in species-specific orthogroups	15.9	3.8	18.8	1.7	4.6	2.3	3.0	14.7	27.1	35.0	12.4	9.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	18487	20157	18869	22261	20233	22428	22264	17187	16257	18145	18876	17662
'1	6422	8514	4464	5663	9044	7805	8033	1902	3669	6497	8202	5593
'2	3924	3146	3981	3226	2257	2279	2062	4606	6148	4135	3490	3569
'3	1832	953	2286	1145	800	594	643	2460	2875	1955	1332	2090
'4	1023	357	1320	563	397	181	240	2104	1620	991	641	1461
'5	532	152	799	302	216	64	96	1284	900	501	312	880
'6	368	83	527	144	151	36	55	918	545	310	169	670
'7	234	48	367	82	104	29	29	638	377	199	105	435
'8	170	21	232	47	65	16	17	506	270	118	72	264
'9	114	18	157	22	49	9	11	376	184	90	64	214
'10	89	14	117	15	36	2	12	292	105	56	30	155
11-15	173	31	259	20	94	15	28	699	300	165	121	350
16-20	62	11	66	9	31	11	12	262	95	75	52	98
21-50	80	12	64	13	34	31	12	272	140	183	42	74
51-100	7	0	9	2	5	8	3	11	27	68	8	2
101-150	0	0	0	1	1	1	0	0	5	15	1	0
151-200	0	0	0	0	0	3	0	0	0	6	0	0
201-500	0	0	0	2	0	4	0	0	0	6	0	0
501-1000	0	0	0	0	0	0	0	0	0	1	0	0
'1001+	0	0	0	0	0	1	0	0	0	1	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	55.2	60.1	56.3	66.4	60.4	66.9	66.4	51.3	48.5	54.1	56.3	52.7
'1	19.2	25.4	13.3	16.9	27.0	23.3	24.0	5.7	10.9	19.4	24.5	16.7
'2	11.7	9.4	11.9	9.6	6.7	6.8	6.2	13.7	18.3	12.3	10.4	10.6
'3	5.5	2.8	6.8	3.4	2.4	1.8	1.9	7.3	8.6	5.8	4.0	6.2
'4	3.1	1.1	3.9	1.7	1.2	0.5	0.7	6.3	4.8	3.0	1.9	4.4
'5	1.6	0.5	2.4	0.9	0.6	0.2	0.3	3.8	2.7	1.5	0.9	2.6
'6	1.1	0.2	1.6	0.4	0.5	0.1	0.2	2.7	1.6	0.9	0.5	2.0
'7	0.7	0.1	1.1	0.2	0.3	0.1	0.1	1.9	1.1	0.6	0.3	1.3
'8	0.5	0.1	0.7	0.1	0.2	0.0	0.1	1.5	0.8	0.4	0.2	0.8
'9	0.3	0.1	0.5	0.1	0.1	0.0	0.0	1.1	0.5	0.3	0.2	0.6
'10	0.3	0.0	0.3	0.0	0.1	0.0	0.0	0.9	0.3	0.2	0.1	0.5
11-15	0.5	0.1	0.8	0.1	0.3	0.0	0.1	2.1	0.9	0.5	0.4	1.0
16-20	0.2	0.0	0.2	0.0	0.1	0.0	0.0	0.8	0.3	0.2	0.2	0.3
21-50	0.2	0.0	0.2	0.0	0.1	0.1	0.0	0.8	0.4	0.5	0.1	0.2
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
