Number of species	12
Number of genes	498673
Number of genes in orthogroups	461336
Number of unassigned genes	37337
Percentage of genes in orthogroups	92.5
Percentage of unassigned genes	7.5
Number of orthogroups	33517
Number of species-specific orthogroups	15306
Number of genes in species-specific orthogroups	78637
Percentage of genes in species-specific orthogroups	15.8
Mean orthogroup size	13.8
Median orthogroup size	6.0
G50 (assigned genes)	26
G50 (all genes)	24
O50 (assigned genes)	5244
O50 (all genes)	5991
Number of orthogroups with all species present	7871
Number of single-copy orthogroups	17
Date	2023-03-24
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	19966	59.6	77231	16.7
'1	7255	21.6	127437	27.6
'2	3623	10.8	103218	22.4
'3	1402	4.2	57066	12.4
'4	587	1.8	31016	6.7
'5	286	0.9	18496	4.0
'6	151	0.5	11704	2.5
'7	70	0.2	6244	1.4
'8	52	0.2	5264	1.1
'9	23	0.1	2578	0.6
'10	25	0.1	3160	0.7
11-15	43	0.1	6854	1.5
16-20	20	0.1	4179	0.9
21-50	11	0.0	3688	0.8
51-100	3	0.0	3201	0.7
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	15306
2	3138
3	1331
4	663
5	557
6	409
7	354
8	486
9	801
10	726
11	1875
12	7871
