"Dm_00001511-RA",2	"Dm_00001511-RA",1
"Dm_00001519-RA",1	"Dm_00001519-RA",4
"Dm_00001520-RA",1	"Dm_00001520-RA",3
"Dm_00001545-RA",2	"Dm_00001545-RA",5
"Dm_00001549-RA",1	"Dm_00001549-RA",4
"Dm_00001554-RA",2	"Dm_00001554-RA",2
"Dm_00001556-RA",1	"Dm_00001556-RA",1
"Dm_00001572-RA",1	"Dm_00001572-RA",4
"Dm_00001594-RA",1	"Dm_00001594-RA",4
"Dm_00001622-RA",1	"Dm_00001622-RA",4
"Dm_00001624-RA",2	"Dm_00001624-RA",8
"Dm_00001629-RA",2	"Dm_00001629-RA",2
"Dm_00001645-RA",2	"Dm_00001645-RA",2
"Dm_00001680-RA",1	"Dm_00001680-RA",4
"Dm_00001688-RA",1	"Dm_00001688-RA",3
"Dm_00001702-RA",1	"Dm_00001702-RA",1
"Dm_00001717-RA",2	"Dm_00001717-RA",1
"Dm_00001740-RA",2	"Dm_00001740-RA",5
"Dm_00001760-RA",2	"Dm_00001760-RA",2
"Dm_00001782-RA",1	"Dm_00001782-RA",6
"Dm_00001804-RA",2	"Dm_00001804-RA",3
"Dm_00001837-RA",1	"Dm_00001837-RA",8
"Dm_00001839-RA",1	"Dm_00001839-RA",8
"Dm_00001846-RA",2	"Dm_00001846-RA",8
"Dm_00001860-RA",2	"Dm_00001860-RA",2
"Dm_00001873-RA",2	"Dm_00001873-RA",2
"Dm_00001876-RA",2	"Dm_00001876-RA",1
"Dm_00001881-RA",1	"Dm_00001881-RA",6
"Dm_00001897-RA",2	"Dm_00001897-RA",2
"Dm_00001903-RA",2	"Dm_00001903-RA",7
"Dm_00001938-RA",1	"Dm_00001938-RA",4
"Dm_00001947-RA",2	"Dm_00001947-RA",7
"Dm_00001952-RA",1	"Dm_00001952-RA",4
"Dm_00001972-RA",1	"Dm_00001972-RA",7
"Dm_00001973-RA",2	"Dm_00001973-RA",2
"Dm_00001996-RA",2	"Dm_00001996-RA",2
"Dm_00001997-RA",2	"Dm_00001997-RA",2
"Dm_00002000-RA",2	"Dm_00002000-RA",2
"Dm_00002003-RA",2	"Dm_00002003-RA",4
"Dm_00002018-RA",1	"Dm_00002018-RA",7
"Dm_00002032-RA",2	"Dm_00002032-RA",2
"Dm_00002065-RA",1	"Dm_00002065-RA",4
"Dm_00002066-RA",2	"Dm_00002066-RA",8
"Dm_00002092-RA",1	"Dm_00002092-RA",3
"Dm_00002107-RA",2	"Dm_00002107-RA",5
"Dm_00002119-RA",2	"Dm_00002119-RA",8
"Dm_00002127-RA",2	"Dm_00002127-RA",7
"Dm_00002135-RA",1	"Dm_00002135-RA",6
"Dm_00002143-RA",2	"Dm_00002143-RA",5
"Dm_00002154-RA",2	"Dm_00002154-RA",3
"Dm_00002157-RA",2	"Dm_00002157-RA",1
"Dm_00002158-RA",2	"Dm_00002158-RA",8
"Dm_00002159-RA",2	"Dm_00002159-RA",2
"Dm_00002165-RA",2	"Dm_00002165-RA",2
"Dm_00002176-RA",2	"Dm_00002176-RA",3
"Dm_00002188-RA",2	"Dm_00002188-RA",7
"Dm_00002192-RA",1	"Dm_00002192-RA",6
"Dm_00002200-RA",2	"Dm_00002200-RA",1
"Dm_00002233-RA",1	"Dm_00002233-RA",4
"Dm_00002278-RA",2	"Dm_00002278-RA",1
"Dm_00002293-RA",2	"Dm_00002293-RA",2
"Dm_00002296-RA",2	"Dm_00002296-RA",3
"Dm_00002311-RA",2	"Dm_00002311-RA",2
"Dm_00002312-RA",2	"Dm_00002312-RA",2
"Dm_00002337-RA",1	"Dm_00002337-RA",3
"Dm_00002352-RA",2	"Dm_00002352-RA",5
"Dm_00002355-RA",2	"Dm_00002355-RA",7
"Dm_00002359-RA",1	"Dm_00002359-RA",4
"Dm_00002361-RA",2	"Dm_00002361-RA",2
"Dm_00002363-RA",2	"Dm_00002363-RA",1
"Dm_00002369-RA",2	"Dm_00002369-RA",2
"Dm_00002374-RA",1	"Dm_00002374-RA",6
"Dm_00002377-RA",2	"Dm_00002377-RA",2
"Dm_00002397-RA",2	"Dm_00002397-RA",2
"Dm_00002420-RA",2	"Dm_00002420-RA",7
"Dm_00002422-RA",1	"Dm_00002422-RA",6
"Dm_00002431-RA",1	"Dm_00002431-RA",4
"Dm_00002439-RA",1	"Dm_00002439-RA",3
"Dm_00002447-RA",2	"Dm_00002447-RA",3
"Dm_00002453-RA",1	"Dm_00002453-RA",8
"Dm_00002458-RA",1	"Dm_00002458-RA",7
"Dm_00002524-RA",2	"Dm_00002524-RA",5
"Dm_00002541-RA",2	"Dm_00002541-RA",2
"Dm_00002548-RA",2	"Dm_00002548-RA",7
"Dm_00002583-RA",2	"Dm_00002583-RA",4
"Dm_00002586-RA",1	"Dm_00002586-RA",6
"Dm_00002597-RA",2	"Dm_00002597-RA",1
"Dm_00002622-RA",2	"Dm_00002622-RA",8
"Dm_00002642-RA",2	"Dm_00002642-RA",2
"Dm_00002654-RA",2	"Dm_00002654-RA",3
