Orthogroup	A_hypochondriacus.proteins	S_lycopersicum.proteins
OG0002035	AH023510-RA	Solyc05g054860.1.1
OG0002035	AH020365-RA	Solyc06g005230.2.1, Solyc11g072910.1.1
OG0002036	AH012816-RA, AH021922-RA	Solyc10g084540.2.1, Solyc09g005910.3.1
OG0002037	AH008413-RA	Solyc02g086610.3.1
OG0002037	AH015883-RA	Solyc11g011930.2.1, Solyc01g005560.3.1
OG0002038	AH012151-RA	Solyc03g033270.3.1, Solyc03g033260.3.1, Solyc04g064720.3.1
OG0002039	AH001114-RA	Solyc07g052695.1.1
OG0002040	AH013270-RA, AH013268-RA	Solyc08g066590.3.1
OG0002041	AH004387-RA, AH005065-RA, AH005064-RA	Solyc11g022590.1.1
OG0002042	AH000142-RA	Solyc07g045440.1.1, Solyc12g006110.2.1
OG0002043	AH009926-RA	Solyc07g064290.3.1, Solyc05g045660.3.1, Solyc12g005840.2.1, Solyc07g052410.3.1, Solyc10g006380.2.1
OG0002044	AH019289-RA	Solyc03g095680.2.1, Solyc03g095690.3.1
OG0002045	AH013744-RA	Solyc06g076400.3.1
OG0002045	AH016438-RA, AH022988-RA	Solyc03g096670.3.1, Solyc05g052980.3.1
OG0002046	AH007914-RA, AH010267-RA	Solyc11g007910.2.1
OG0002047	AH003037-RA	Solyc10g084930.2.1, Solyc09g011320.3.1
OG0002048	AH006583-RA	Solyc10g077060.2.1
OG0002048	AH020511-RA	Solyc10g077050.2.1
OG0002049	AH010265-RA, AH007913-RA	Solyc08g075090.3.1, Solyc07g008370.3.1
OG0002050	AH015281-RA	Solyc12g088800.2.1, Solyc04g078800.3.1
OG0002051	AH013090-RA	Solyc06g083410.3.1, Solyc09g082490.3.1
OG0002052	AH012127-RA, AH019594-RA	Solyc06g036130.3.1, Solyc03g025190.4.1, Solyc03g025220.3.1, Solyc03g025210.3.1, Solyc03g025200.3.1, Solyc03g025230.3.1
OG0002053	AH006212-RA, AH006211-RA, AH003511-RA	Solyc11g005710.2.1
OG0002054	AH012135-RA, AH019590-RA, AH019589-RA, AH019588-RA	Solyc06g036100.3.1, Solyc03g025350.3.1
OG0002055	AH008899-RA	Solyc12g088010.2.1, Solyc04g076540.3.1
OG0002056	AH023731-RA	Solyc01g099420.2.1
OG0002057	AH017992-RA	Solyc08g081250.3.1
OG0002058	AH003544-RA	Solyc11g005380.2.1
OG0002058	AH008518-RA	Solyc04g071360.3.1, Solyc12g056510.2.1
OG0002059	AH008414-RA	Solyc04g078610.3.1
OG0002060	AH008643-RA	Solyc06g059960.3.1, Solyc04g057880.3.1, Solyc06g059965.1.1
OG0002062	AH016484-RA, AH022930-RA, AH022934-RA, AH022932-RA	Solyc02g089680.3.1, Solyc02g089690.3.1, Solyc02g065600.3.1, Solyc03g046270.3.1
OG0002063	AH022922-RA	Solyc01g101090.3.1
OG0002065	AH016647-RA, AH016377-RA	Solyc08g074920.1.1, Solyc08g074930.1.1, Solyc08g074940.3.1, Solyc08g005830.1.1, Solyc08g005840.1.1, Solyc08g005810.1.1, Solyc08g005820.1.1, Solyc08g005850.1.1
OG0002066	AH022905-RA, AH016505-RA	Solyc02g063060.3.1
OG0002067	AH018330-RA	Solyc08g077200.3.1
OG0002067	AH009319-RA	Solyc10g024410.2.1
OG0002068	AH007902-RA	Solyc02g086900.3.1
OG0002068	AH004415-RA	Solyc05g005610.3.1
OG0002069	AH014863-RA, AH014862-RA	Solyc01g104170.3.1, Solyc10g024330.2.1
OG0002070	AH015744-RA	Solyc02g087620.3.1
OG0002071	AH022857-RA, AH004133-RA, AH022858-RA	Solyc05g008910.3.1
OG0002072	AH004398-RA, AH004757-RA	Solyc05g005790.3.1
OG0002073	AH022223-RA, AH013325-RA, AH013324-RA	Solyc12g099210.2.1, Solyc12g099200.2.1, Solyc12g099190.1.1
OG0002086	AH002547-RA, AH000327-RA, AH001336-RA, AH017851-RA	Solyc06g084230.3.1, Solyc09g065330.3.1, Solyc01g097870.3.1
OG0002087	AH010592-RA	Solyc01g005830.3.1
OG0002088	AH020343-RA, AH006834-RA	Solyc05g054070.3.1, Solyc11g012110.2.1, Solyc04g014720.3.1
OG0002089	AH009271-RA	Solyc06g050640.1.1
OG0002091	AH017739-RA	Solyc09g072580.3.1
OG0002091	AH007208-RA, AH007357-RA	Solyc09g090120.3.1
OG0002092	AH011846-RA	Solyc09g082550.3.1, Solyc06g084140.3.1
OG0002092	AH017814-RA	Solyc09g065560.3.1
OG0002093	AH014729-RA	Solyc04g072290.3.1
OG0002094	AH018600-RA	Solyc08g007340.3.1, Solyc08g007360.3.1
OG0002095	AH012741-RA	Solyc03g071560.3.1, Solyc11g008210.2.1
OG0002096	AH020155-RA	Solyc01g080705.1.1
OG0002097	AH019058-RA	Solyc10g081460.2.1
OG0002097	AH019051-RA	Solyc02g037510.3.1
OG0002098	AH015110-RA	Solyc02g078900.3.1
OG0002099	AH020096-RA, AH020095-RA	Solyc09g075830.3.1
OG0002100	AH022180-RA, AH012842-RA	Solyc09g074630.3.1
OG0002102	AH016975-RA	Solyc02g066910.3.1, Solyc02g088900.3.1
OG0002103	AH008649-RA	Solyc01g067750.3.1
OG0002104	AH020937-RA, AH014416-RA, AH017868-RA	Solyc06g007670.3.1, Solyc09g020130.3.1, Solyc06g082870.3.1
OG0002105	AH017916-RA, AH002534-RA	Solyc10g078430.2.1
OG0002106	AH000219-RA	Solyc11g066380.2.1
OG0002108	AH007370-RA, AH010631-RA, AH011811-RA	Solyc01g102350.3.1, Solyc10g038130.2.1
OG0002109	AH021775-RA, AH012560-RA	Solyc06g073990.2.1, Solyc11g068765.1.1, Solyc10g083140.1.1, Solyc01g007870.3.1
OG0002110	AH020554-RA	Solyc09g097865.1.1
OG0002111	AH005331-RA	Solyc10g044510.2.1
OG0002111	AH006445-RA	Solyc02g083720.3.1
OG0002113	AH003685-RA	Solyc11g005170.2.1
OG0002114	AH016779-RA	Solyc04g081810.3.1, Solyc01g006660.2.1
OG0002114	AH007817-RA, AH007816-RA	Solyc01g096560.2.1
OG0002116	AH020197-RA	Solyc01g066070.3.1
OG0002116	AH022088-RA	Solyc06g009200.3.1
OG0002117	AH007346-RA	Solyc11g018500.2.1, Solyc11g018490.2.1
OG0002118	AH003525-RA	Solyc04g054910.3.1
OG0002118	AH008771-RA	Solyc12g056980.1.1, Solyc04g072900.1.1
OG0002119	AH006191-RA	Solyc00g052940.3.1
OG0002120	AH002388-RA, AH005925-RA	Solyc11g043210.2.1, Solyc01g108050.3.1, Solyc01g106050.3.1
OG0002121	AH008761-RA	Solyc12g057010.2.1, Solyc04g073960.3.1
OG0002121	AH003545-RA	Solyc04g055080.3.1, Solyc05g051900.3.1, Solyc05g051920.3.1, Solyc05g051910.2.1, Solyc05g051940.3.1
OG0002122	AH008658-RA, AH002773-RA	Solyc06g059850.2.1, Solyc04g063350.3.1, Solyc06g059840.3.1
OG0002122	AH006233-RA	Solyc05g056480.3.1, Solyc04g025710.2.1
OG0002123	AH006025-RA	Solyc11g009050.2.1
OG0002124	AH020929-RA	Solyc12g008640.2.1, Solyc05g051780.3.1
OG0002125	AH003570-RA, AH003583-RA, AH005957-RA	Solyc04g054480.3.1
OG0002126	AH008814-RA	Solyc04g074990.3.1
OG0002126	AH005851-RA, AH003921-RA	Solyc04g014260.2.1, Solyc05g051420.2.1
OG0002127	AH009365-RA, AH009346-RA	Solyc08g077710.3.1
OG0002128	AH004303-RA, AH004973-RA	Solyc02g083400.3.1, Solyc02g062040.3.1, Solyc03g033330.3.1
OG0002129	AH017065-RA	Solyc08g074370.3.1
OG0002130	AH010413-RA, AH007342-RA	Solyc04g009440.3.1, Solyc04g009435.1.1
OG0002131	AH002755-RA	Solyc06g071310.3.1, Solyc03g114000.3.1
OG0002131	AH008384-RA	Solyc12g088320.2.1, Solyc04g077780.3.1
OG0002132	AH018508-RA, AH011586-RA	Solyc08g075700.3.1, Solyc12g096150.2.1
OG0002134	AH003442-RA	Solyc05g025510.3.1, Solyc07g044850.3.1
OG0002135	AH008062-RA, AH010058-RA	Solyc07g063110.3.1, Solyc12g013850.2.1, Solyc10g007040.3.1
OG0002136	AH015213-RA	Solyc02g078440.3.1
OG0002137	AH014565-RA	Solyc07g041490.2.1
OG0002138	AH018285-RA	Solyc08g007330.3.1
OG0002139	AH008780-RA	Solyc06g064560.3.1
OG0002140	AH023209-RA	Solyc06g068130.3.1
OG0002140	AH014110-RA, AH020716-RA	Solyc07g008210.3.1
OG0002141	AH013954-RA	Solyc02g014560.3.1
OG0002141	AH016258-RA	Solyc06g018050.3.1
OG0002142	AH007784-RA, AH010226-RA, AH001551-RA	Solyc05g026050.3.1
OG0002144	AH012026-RA	Solyc03g007310.3.1
OG0002144	AH009577-RA	Solyc01g095700.3.1
OG0002145	AH021307-RA, AH014724-RA	Solyc09g056380.1.1, Solyc02g070650.2.1, Solyc02g070640.3.1, Solyc06g065590.3.1, Solyc08g016180.3.1
OG0002146	AH020878-RA, AH014509-RA	Solyc07g020710.3.1, Solyc12g007180.2.1
OG0002147	AH005434-RA, AH005435-RA	Solyc05g010030.3.1
OG0002147	AH002925-RA, AH017443-RA	Solyc05g010040.2.1, Solyc06g069300.1.1, Solyc03g114390.1.1
OG0002148	AH009672-RA	Solyc01g094770.3.1, Solyc10g012420.3.1
OG0002149	AH009509-RA	Solyc01g096340.3.1
OG0002150	AH016029-RA	Solyc08g068990.2.1
OG0002150	AH014383-RA	Solyc07g006710.1.1
OG0002151	AH021304-RA, AH014717-RA	Solyc08g016660.2.1, Solyc02g070430.3.1
OG0002153	AH014556-RA	Solyc12g009050.2.1
OG0002155	AH009684-RA, AH009683-RA	Solyc01g094660.3.1
OG0002156	AH016280-RA, AH023213-RA	Solyc06g053240.3.1
OG0002157	AH005157-RA	Solyc12g089010.2.1, Solyc10g076910.2.1, Solyc12g036165.1.1
OG0002158	AH021148-RA	Solyc07g018010.3.1, Solyc05g014590.3.1
OG0002159	AH014711-RA	Solyc03g119220.3.1
OG0002159	AH014303-RA	Solyc07g042560.3.1
OG0002160	AH015229-RA	Solyc02g078210.3.1
OG0002161	AH006408-RA, AH003351-RA	Solyc09g011690.3.1, Solyc10g084970.2.1
OG0002162	AH021607-RA, AH002285-RA, AH002286-RA	Solyc08g063130.3.1, Solyc12g013690.2.1, Solyc12g013720.1.1
OG0002164	AH016550-RA	Solyc03g034450.3.1, Solyc03g036460.2.1, Solyc03g042528.1.1, Solyc00g032030.2.1, Solyc03g034457.1.1, Solyc03g042520.2.1
OG0002165	AH014140-RA, AH023163-RA	Solyc06g050790.3.1
OG0002165	AH016311-RA	Solyc05g052300.3.1, Solyc06g050800.3.1
OG0002166	AH006800-RA, AH020368-RA	Solyc03g063880.3.1, Solyc10g079110.2.1
OG0002166	AH011009-RA	Solyc11g065890.2.1
OG0002167	AH021746-RA, AH012514-RA	Solyc12g017370.2.1
OG0002168	AH022602-RA, AH013856-RA	Solyc10g081720.2.1, Solyc01g006825.1.1
OG0002169	AH001185-RA	Solyc09g031650.3.1
OG0002170	AH012407-RA, AH012406-RA	Solyc10g085010.2.1, Solyc10g086710.2.1, Solyc03g025670.3.1, Solyc03g025680.3.1
OG0002171	AH013645-RA, AH022503-RA	Solyc11g066150.2.1, Solyc05g054590.3.1, Solyc04g011400.3.1
OG0002172	AH015041-RA, AH021524-RA	Solyc10g005380.3.1, Solyc02g080110.3.1
OG0002174	AH000316-RA, AH001354-RA	Solyc10g009220.3.1
OG0002175	AH006128-RA	Solyc03g044370.3.1
OG0002176	AH018222-RA, AH011436-RA, AH014984-RA	Solyc02g069610.3.1
OG0002177	AH010241-RA	Solyc00g006810.3.1
OG0002179	AH011757-RA, AH019999-RA	Solyc08g015860.3.1, Solyc12g017570.2.1
OG0002179	AH000717-RA	Solyc01g105810.4.1
OG0002180	AH009251-RA	Solyc01g094330.3.1
OG0002181	AH011456-RA, AH009749-RA, AH015308-RA, AH023593-RA	Solyc11g072220.2.1, Solyc00g007260.3.1
OG0002182	AH015834-RA, AH007040-RA, AH007041-RA	Solyc02g081940.3.1
OG0002183	AH015400-RA	Solyc02g077190.2.1
OG0002184	AH016881-RA	Solyc10g079510.2.1
OG0002185	AH008424-RA, AH016944-RA	Solyc02g064990.3.1, Solyc02g090900.3.1, Solyc04g078810.3.1
OG0002186	AH015745-RA, AH004171-RA	Solyc04g007630.2.1
OG0002187	AH019705-RA	Solyc03g082740.3.1
OG0002188	AH008665-RA	Solyc06g059750.3.1, Solyc06g059755.1.1, Solyc06g059760.3.1
OG0002189	AH023222-RA	Solyc01g005030.3.1
OG0002190	AH016582-RA, AH017473-RA	Solyc03g114910.3.1
OG0002191	AH004148-RA, AH005359-RA	Solyc05g026540.3.1
OG0002191	AH015559-RA	Solyc11g011220.2.1
OG0002192	AH020726-RA, AH014085-RA	Solyc04g008720.3.1, Solyc02g021360.3.1
OG0002193	AH002784-RA	Solyc06g071150.3.1, Solyc03g113490.3.1
OG0002194	AH005062-RA, AH015776-RA, AH002818-RA, AH017584-RA	Solyc06g069860.3.1, Solyc05g007560.3.1, Solyc02g087930.3.1
OG0002195	AH015116-RA, AH021601-RA	Solyc02g086860.3.1
OG0002195	AH002489-RA	Solyc03g114290.3.1, Solyc06g071440.3.1
OG0002196	AH004759-RA	Solyc02g086970.3.1
OG0002196	AH004767-RA, AH002484-RA	Solyc03g114150.3.1
OG0002197	AH004347-RA, AH005021-RA, AH015797-RA	Solyc05g013130.3.1, Solyc04g005570.3.1, Solyc01g010940.3.1
OG0002198	AH019582-RA	Solyc07g015900.2.1, Solyc12g005530.1.1, Solyc10g054935.1.1, Solyc07g044790.3.1, Solyc10g050050.1.1, Solyc10g055180.1.1, Solyc04g057850.1.1, Solyc10g055080.2.1, Solyc10g055060.2.1, Solyc02g036280.3.1, Solyc10g074640.2.1, Solyc12g016220.2.1, Solyc04g057840.1.1, Solyc10g079020.1.1, Solyc10g054960.1.1, Solyc10g055120.1.1, Solyc04g048910.1.1, Solyc02g036270.3.1, Solyc04g005550.2.1, Solyc04g005540.3.1, Solyc12g044180.2.1, Solyc12g044200.2.1, Solyc12g044190.2.1, Solyc01g067165.1.1, Solyc07g044793.1.1, Solyc03g094100.1.1, Solyc10g055170.1.1, Solyc10g055140.2.1, Solyc04g048920.1.1, Solyc01g067150.1.1, Solyc07g044797.1.1, Solyc10g054970.1.1, Solyc10g054990.2.1, Solyc10g054940.1.1, Solyc10g055050.2.1, Solyc10g055110.2.1
OG0002199	AH004139-RA, AH005344-RA	Solyc05g008210.3.1, Solyc05g008220.3.1, Solyc00g080750.3.1
OG0002200	AH002477-RA	Solyc03g116900.3.1
OG0002212	AH022688-RA, AH013810-RA	Solyc06g006110.3.1
OG0002213	AH013040-RA, AH022236-RA	Solyc09g091470.3.1
OG0002214	AH001249-RA, AH012778-RA, AH021994-RA	Solyc11g069440.1.1, Solyc11g065670.1.1, Solyc06g075180.1.1
OG0002215	AH003073-RA, AH018941-RA, AH018940-RA, AH018938-RA	Solyc10g018520.1.1
OG0002216	AH012745-RA	Solyc09g008320.3.1
OG0002216	AH000212-RA	Solyc11g066270.2.1
OG0002217	AH016644-RA	Solyc01g087380.3.1, Solyc01g087400.3.1, Solyc01g087360.2.1, Solyc01g087330.3.1, Solyc01g087320.3.1, Solyc01g087420.3.1, Solyc01g087430.3.1
OG0002218	AH017844-RA, AH002541-RA	Solyc09g082210.3.1
OG0002219	AH013652-RA	Solyc05g054540.3.1, Solyc05g054550.3.1
OG0002220	AH004141-RA	Solyc01g068330.3.1
OG0002221	AH007539-RA, AH010868-RA	Solyc01g067710.3.1
OG0002222	AH001833-RA	Solyc06g060810.3.1
OG0002223	AH000487-RA, AH008341-RA	Solyc04g076970.3.1
OG0002223	AH003067-RA, AH018810-RA	Solyc10g085210.2.1, Solyc09g005610.3.1
OG0002224	AH012520-RA, AH021753-RA	Solyc01g067070.3.1
OG0002225	AH016642-RA, AH004725-RA	Solyc01g087540.3.1
OG0002225	AH006782-RA	Solyc04g015620.3.1, Solyc04g015610.3.1
OG0002226	AH012984-RA, AH013945-RA	Solyc06g009820.3.1, Solyc06g009830.3.1
OG0002227	AH013400-RA	Solyc11g066590.2.1, Solyc11g066600.2.1
OG0002228	AH010869-RA, AH007538-RA	Solyc01g098200.3.1
OG0002228	AH007032-RA	Solyc01g067720.3.1
OG0002229	AH020598-RA	Solyc09g091650.3.1
OG0002231	AH011100-RA, AH007487-RA, AH007488-RA	Solyc03g063150.3.1, Solyc11g008860.2.1, Solyc01g056310.3.1, Solyc01g005510.3.1
OG0002232	AH012707-RA	Solyc10g085800.2.1
OG0002233	AH012795-RA, AH021959-RA	Solyc09g007280.3.1
OG0002234	AH000129-RA	Solyc01g095710.3.1
OG0002235	AH015355-RA	Solyc06g011375.1.1, Solyc06g011374.1.1
OG0002236	AH011818-RA	Solyc01g058010.3.1
OG0002237	AH007736-RA	Solyc01g081620.3.1, Solyc10g045380.2.1, Solyc08g075790.3.1
OG0002238	AH017116-RA	Solyc08g066010.2.1
OG0002239	AH008589-RA	Solyc01g101030.3.1, Solyc10g006770.3.1
OG0002240	AH021892-RA, AH012737-RA, AH021893-RA	Solyc09g008400.3.1, Solyc10g083920.2.1, Solyc05g055530.3.1
OG0002241	AH007150-RA, AH019877-RA	Solyc01g065540.3.1, Solyc05g054390.3.1, Solyc12g099380.2.1
OG0002242	AH013742-RA	Solyc01g006770.2.1
OG0002243	AH016444-RA, AH022992-RA	Solyc06g051270.3.1, Solyc03g096730.3.1
OG0002244	AH013775-RA	Solyc04g078550.3.1
OG0002244	AH006136-RA	Solyc02g093050.3.1
OG0002245	AH023751-RA	Solyc04g082600.3.1
OG0002246	AH010636-RA	Solyc11g005910.2.1
OG0002247	AH023663-RA, AH002027-RA	Solyc01g111520.3.1
OG0002247	AH000813-RA	Solyc12g089330.2.1
OG0002250	AH005381-RA	Solyc05g009430.3.1
OG0002250	AH021605-RA, AH015112-RA	Solyc02g078920.3.1
OG0002251	AH005797-RA	Solyc04g051860.3.1
OG0002253	AH023571-RA	Solyc06g011280.3.1, Solyc11g028100.2.1, Solyc11g028090.2.1
OG0002254	AH008886-RA, AH005658-RA, AH003646-RA	Solyc05g051390.3.1, Solyc11g010630.3.1, Solyc04g014380.3.1
OG0002255	AH008660-RA	Solyc04g063380.3.1
OG0002256	AH016850-RA	Solyc04g082320.3.1
OG0002257	AH014646-RA	Solyc10g049630.2.1
OG0002258	AH016878-RA	Solyc12g094680.2.1, Solyc04g082510.3.1
OG0002259	AH005715-RA	Solyc02g092230.3.1, Solyc03g043930.3.1
OG0002260	AH008774-RA	Solyc04g072810.3.1
OG0002261	AH001758-RA	Solyc01g110180.3.1
OG0002261	AH008953-RA	Solyc12g089240.2.1, Solyc04g081020.3.1
OG0002262	AH016055-RA, AH017102-RA	Solyc08g062490.3.1
OG0002263	AH002267-RA, AH000809-RA	Solyc01g111570.3.1
OG0002264	AH021063-RA, AH014288-RA, AH021058-RA, AH021061-RA	Solyc07g005810.3.1, Solyc12g009960.2.1
OG0002265	AH015207-RA, AH021638-RA	Solyc03g006470.3.1, Solyc02g078480.3.1, Solyc10g009010.3.1
OG0002265	AH008097-RA, AH010019-RA	Solyc10g006920.3.1
OG0002266	AH023146-RA	Solyc06g050510.3.1
OG0002268	AH009872-RA	Solyc12g014490.2.1, Solyc07g064970.3.1
OG0002269	AH014796-RA	Solyc02g076810.3.1
OG0002270	AH012687-RA	Solyc01g067480.3.1
OG0002271	AH014818-RA, AH010144-RA	Solyc03g006130.3.1, Solyc02g076660.3.1, Solyc02g021590.3.1
OG0002272	AH009747-RA, AH008272-RA	Solyc07g065230.1.1
OG0002274	AH003352-RA	Solyc10g084980.2.1
OG0002274	AH022697-RA	Solyc09g014870.1.1
OG0002275	AH008155-RA	Solyc10g006470.3.1
OG0002276	AH016216-RA	Solyc08g068160.2.1
OG0002277	AH019183-RA, AH015334-RA	Solyc08g067970.3.1
OG0002278	AH014429-RA	Solyc07g014690.3.1
OG0002278	AH002355-RA	Solyc07g014680.3.1
OG0002279	AH019318-RA	Solyc01g017183.1.1
OG0002279	AH023771-RA	Solyc01g018060.1.1, Solyc11g020830.1.1, Solyc03g062780.1.1, Solyc02g011877.1.1
OG0002280	AH003600-RA	Solyc05g051992.1.1, Solyc05g051994.1.1
OG0002281	AH013193-RA	Solyc06g007340.3.1, Solyc06g007330.3.1
OG0002281	AH003052-RA	Solyc01g065960.2.1, Solyc09g018440.2.1, Solyc09g018430.3.1
OG0002282	AH015359-RA, AH018988-RA	Solyc06g065680.3.1
OG0002283	AH018901-RA	Solyc03g118570.3.1
OG0002284	AH013348-RA	Solyc04g072260.2.1
OG0002285	AH000904-RA, AH001666-RA	Solyc09g009800.3.1
OG0002286	AH021014-RA	Solyc07g006300.3.1
OG0002287	AH014045-RA, AH015370-RA, AH019241-RA	Solyc05g023800.3.1
OG0002288	AH020683-RA	Solyc12g009800.2.1, Solyc07g007670.3.1
OG0002289	AH012019-RA	Solyc03g007240.3.1
OG0002290	AH019208-RA	Solyc12g006920.2.1, Solyc06g065690.3.1
OG0002291	AH019667-RA, AH011998-RA	Solyc03g083400.3.1
OG0002292	AH005305-RA	Solyc10g044470.2.1, Solyc01g103140.3.1
OG0002293	AH014375-RA, AH020995-RA	Solyc12g096480.1.1, Solyc12g096490.1.1, Solyc08g006520.1.1, Solyc07g006600.1.1
OG0002294	AH014107-RA	Solyc07g008250.3.1, Solyc12g009560.2.1
OG0002294	AH023210-RA, AH016283-RA	Solyc06g049010.2.1, Solyc08g060810.3.1
OG0002295	AH012432-RA	Solyc09g048990.3.1
OG0002295	AH011297-RA, AH018047-RA	Solyc08g081910.3.1, Solyc12g056110.2.1, Solyc08g008210.3.1
OG0002296	AH020782-RA, AH020783-RA, AH014054-RA	Solyc12g006700.2.1
OG0002297	AH000070-RA, AH001126-RA	Solyc07g044880.3.1, Solyc12g006290.2.1
OG0002298	AH007962-RA, AH010299-RA	Solyc07g062080.3.1
OG0002300	AH012547-RA, AH021767-RA, AH012546-RA	Solyc10g082000.2.1, Solyc01g007260.3.1
OG0002300	AH007783-RA, AH010225-RA	Solyc05g055200.3.1, Solyc11g006650.2.1
OG0002302	AH008298-RA	Solyc07g065610.1.1
OG0002302	AH023052-RA	Solyc09g007510.2.1, Solyc10g084250.1.1
OG0002303	AH011800-RA	Solyc04g076560.3.1
OG0002305	AH008702-RA	Solyc01g006040.3.1
OG0002306	AH012441-RA	Solyc10g074940.2.1
OG0002307	AH007688-RA, AH011469-RA	Solyc11g061700.2.1, Solyc12g100120.2.1
OG0002308	AH008137-RA, AH009994-RA	Solyc07g063550.3.1, Solyc10g006850.3.1
OG0002309	AH021817-RA, AH012610-RA, AH012635-RA	Solyc10g007700.3.1, Solyc07g056150.3.1, Solyc12g011130.2.1
OG0002310	AH015395-RA	Solyc06g048970.3.1
OG0002311	AH023505-RA	Solyc09g007370.3.1
OG0002312	AH023026-RA, AH003100-RA, AH016404-RA	Solyc05g052830.3.1, Solyc03g096380.3.1, Solyc05g052820.3.1, Solyc03g096390.3.1
OG0002313	AH021664-RA, AH015242-RA	Solyc06g068970.3.1, Solyc03g118830.3.1
OG0002314	AH019739-RA	Solyc03g080100.3.1, Solyc06g073070.2.1
OG0002315	AH002948-RA	Solyc03g118190.3.1, Solyc06g068830.2.1, Solyc12g042210.2.1
OG0002316	AH016458-RA	Solyc05g054420.3.1, Solyc06g051810.3.1
OG0002317	AH002309-RA, AH000783-RA	Solyc01g111860.3.1
OG0002318	AH002370-RA	Solyc01g006880.3.1
OG0002319	AH006243-RA	Solyc02g094190.3.1, Solyc02g068140.3.1
OG0002319	AH023730-RA, AH023729-RA, AH023728-RA	Solyc03g019650.3.1
OG0002320	AH019905-RA, AH017728-RA	Solyc04g012070.2.1, Solyc09g089860.3.1, Solyc03g005480.3.1
OG0002321	AH012268-RA, AH019473-RA	Solyc01g096580.3.1, Solyc01g096590.3.1
OG0002322	AH010417-RA	Solyc04g050790.3.1
OG0002322	AH017902-RA, AH002576-RA	Solyc06g083080.3.1
OG0002323	AH000552-RA, AH001841-RA	Solyc02g085690.3.1
OG0002324	AH013013-RA, AH021906-RA	Solyc09g064240.3.1, Solyc08g078370.3.1
OG0002325	AH019865-RA, AH013561-RA, AH007136-RA	Solyc03g111730.3.1
OG0002325	AH004475-RA	Solyc05g013920.3.1
OG0002326	AH004253-RA, AH005245-RA	Solyc03g118010.3.1, Solyc03g118020.3.1
OG0002327	AH023437-RA	Solyc02g087010.2.1
OG0002327	AH004766-RA, AH004402-RA	Solyc05g005760.3.1
OG0002328	AH017453-RA	Solyc03g114640.3.1
OG0002329	AH003025-RA, AH017183-RA	Solyc06g069180.3.1
OG0002330	AH021554-RA	Solyc03g005800.3.1
OG0002331	AH004184-RA	Solyc04g007510.3.1
OG0002331	AH020167-RA	Solyc03g118920.3.1
OG0002332	AH019175-RA	Solyc02g067330.1.1, Solyc03g061620.1.1, Solyc02g087970.1.1
OG0002333	AH015979-RA, AH023446-RA	Solyc02g087190.1.1
OG0002333	AH004634-RA	Solyc05g006230.1.1, Solyc08g007150.1.1
OG0002334	AH016610-RA	Solyc03g046440.2.1, Solyc02g089420.1.1
OG0002335	AH023577-RA, AH000256-RA, AH001420-RA	Solyc09g008680.3.1
OG0002336	AH005130-RA	Solyc01g009670.3.1
OG0002336	AH017721-RA	Solyc03g097830.3.1
OG0002337	AH002017-RA, AH010268-RA	Solyc01g103480.3.1, Solyc10g038120.2.1
OG0002338	AH015984-RA	Solyc02g067670.3.1
OG0002339	AH015867-RA, AH017225-RA	Solyc03g019950.3.1
OG0002340	AH002758-RA	Solyc02g093500.3.1
OG0002340	AH004455-RA, AH004858-RA	Solyc06g073100.3.1
OG0002341	AH007834-RA, AH014248-RA	Solyc02g081570.3.1, Solyc03g031920.3.1
OG0002342	AH005091-RA, AH004597-RA	Solyc05g007160.3.1, Solyc04g005710.2.1
OG0002343	AH016592-RA	Solyc02g065720.3.1, Solyc02g089240.3.1
OG0002344	AH009281-RA	Solyc01g081420.2.1, Solyc01g081430.3.1
OG0002345	AH015786-RA, AH015787-RA	Solyc02g067310.3.1, Solyc02g067320.2.1
OG0002345	AH004384-RA	Solyc05g007580.1.1
OG0002346	AH020367-RA, AH006801-RA	Solyc05g008060.3.1, Solyc04g007690.3.1
OG0002347	AH022750-RA, AH016604-RA	Solyc12g035250.2.1, Solyc02g086513.1.1
OG0002349	AH009032-RA	Solyc10g038190.2.1, Solyc01g090240.3.1
OG0002350	AH018020-RA	Solyc10g050750.2.1, Solyc05g018020.1.1
OG0002350	AH019171-RA, AH016561-RA, AH016562-RA, AH018022-RA	Solyc02g030270.1.1
OG0002368	AH022229-RA	Solyc07g009350.3.1
OG0002369	AH017690-RA	Solyc01g079510.3.1
OG0002370	AH016097-RA, AH017150-RA	Solyc11g008080.2.1
OG0002370	AH000217-RA	Solyc11g066360.2.1
OG0002371	AH019092-RA	Solyc09g098260.2.1
OG0002372	AH014742-RA, AH021327-RA	Solyc06g009330.3.1, Solyc02g071140.3.1
OG0002373	AH002550-RA	Solyc11g007810.2.1
OG0002374	AH012838-RA	Solyc09g005970.1.1
OG0002374	AH019787-RA	Solyc04g010210.1.1, Solyc04g010200.1.1, Solyc05g054890.3.1
OG0002375	AH018889-RA	Solyc01g006870.3.1, Solyc10g081770.2.1
OG0002376	AH007624-RA	Solyc01g099950.1.1
OG0002376	AH012950-RA	Solyc09g075330.3.1, Solyc06g009180.2.1
OG0002377	AH019857-RA, AH017689-RA, AH002694-RA	Solyc01g079480.3.1, Solyc06g009640.2.1
OG0002378	AH017664-RA, AH002724-RA	Solyc01g079240.3.1
OG0002379	AH015619-RA	Solyc09g015340.2.1, Solyc09g015320.2.1
