Orthogroup	A_hypochondriacus.proteins	S_lycopersicum.proteins
OG0000031	AH006620-RA, AH020546-RA, AH017304-RA	Solyc09g091530.2.1, Solyc09g091540.1.1, Solyc09g091550.3.1, Solyc04g055260.3.1, Solyc00g032947.1.1, Solyc12g036673.1.1, Solyc01g081340.3.1
OG0000031	AH005774-RA	Solyc02g084950.3.1
OG0000031	AH010116-RA	Solyc04g080660.3.1
OG0000032	AH008800-RA, AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1
OG0000034	AH015068-RA	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1
OG0000037	AH022157-RA, AH022156-RA	Solyc09g059240.3.1
OG0000038	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA	Solyc06g076160.3.1
OG0000041	AH002675-RA, AH017708-RA	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1
OG0000042	AH016437-RA	Solyc03g096650.2.1
OG0000042	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1
OG0000043	AH015480-RA, AH006791-RA	Solyc04g078360.1.1, Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1
OG0000043	AH023189-RA, AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA	Solyc04g078270.3.1, Solyc04g078290.3.1
OG0000044	AH003991-RA	Solyc02g085580.3.1, Solyc02g062940.3.1
OG0000044	AH006255-RA	Solyc04g008500.3.1
OG0000044	AH016207-RA	Solyc01g007890.2.1
OG0000044	AH013313-RA	Solyc03g121660.3.1, Solyc06g062670.3.1
OG0000044	AH001378-RA	Solyc07g053570.3.1
OG0000044	AH002596-RA, AH017804-RA	Solyc09g065670.3.1
OG0000046	AH000561-RA	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1
OG0000046	AH020861-RA	Solyc12g007110.2.1
OG0000046	AH005447-RA, AH004082-RA	Solyc05g010140.3.1, Solyc01g010030.3.1
OG0000046	AH016482-RA	Solyc02g089760.3.1
OG0000046	AH003338-RA, AH002087-RA, AH000466-RA	Solyc02g089750.4.1
OG0000047	AH003569-RA	Solyc04g078300.3.1
OG0000047	AH011231-RA, AH020493-RA, AH010621-RA	Solyc04g025050.1.1
OG0000047	AH002383-RA	Solyc01g106170.3.1
OG0000047	AH008924-RA	Solyc12g088080.1.1
OG0000047	AH023632-RA, AH004534-RA	Solyc12g087830.2.1
OG0000047	AH009198-RA	Solyc06g035560.2.1
OG0000048	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA, AH021362-RA, AH012468-RA, AH021718-RA, AH012465-RA	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1
OG0000055	AH005218-RA, AH004572-RA	Solyc05g024290.3.1
OG0000055	AH007027-RA	Solyc01g067400.3.1
OG0000055	AH010394-RA	Solyc04g050970.3.1
OG0000056	AH023488-RA	Solyc02g077130.2.1
OG0000056	AH010523-RA	Solyc01g099080.3.1
OG0000058	AH016699-RA	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1
OG0000058	AH012624-RA	Solyc09g009750.2.1
OG0000059	AH014450-RA, AH014451-RA, AH007433-RA, AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA	Solyc02g068660.2.1
OG0000060	AH016857-RA	Solyc10g150000.2.1, Solyc10g045650.2.1, Solyc02g061930.2.1, Solyc03g033760.2.1, Solyc12g027540.2.1
OG0000063	AH001425-RA, AH001424-RA	Solyc07g055190.3.1, Solyc03g025380.3.1
OG0000063	AH012497-RA	Solyc05g050870.3.1, Solyc09g018590.1.1
OG0000063	AH023171-RA, AH016307-RA, AH016306-RA	Solyc09g018600.1.1
