	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
A_coerulea.proteins	0.0	1863.0	3765.0	2602.0	1400.0	1301.0	1162.0	6114.0	4769.0	3033.0	2389.0	3911.0
A_hypochondriacus.proteins	3700.0	0.0	4935.0	3113.0	1678.0	1281.0	1159.0	7587.0	5996.0	4239.0	2172.0	4988.0
A_thaliana.proteins	1789.0	1047.0	0.0	1583.0	785.0	685.0	661.0	4317.0	3196.0	1868.0	1260.0	2405.0
A_vesiculosa.proteins	2584.0	1093.0	3161.0	0.0	1052.0	691.0	743.0	4856.0	4003.0	2578.0	1305.0	3282.0
B_vulgaris.proteins	4065.0	2640.0	5716.0	4043.0	0.0	1729.0	1515.0	8912.0	6902.0	5016.0	2823.0	5473.0
D_muscipula.proteins	3592.0	1877.0	4650.0	4083.0	1423.0	0.0	1170.0	7121.0	5690.0	3826.0	2172.0	4676.0
D_spatulata.proteins	3745.0	2039.0	5056.0	4141.0	1494.0	1393.0	0.0	7629.0	6078.0	4109.0	2353.0	4901.0
G_max.proteins	679.0	277.0	802.0	410.0	339.0	209.0	237.0	0.0	1179.0	674.0	464.0	940.0
L_sativa.proteins	1401.0	806.0	1947.0	1274.0	606.0	566.0	509.0	3381.0	0.0	1463.0	1018.0	2086.0
P_amilis.proteins	2586.0	1620.0	3581.0	2412.0	1238.0	1067.0	929.0	5787.0	4484.0	0.0	1747.0	3642.0
S_lycopersicum.proteins	3632.0	1863.0	5061.0	2982.0	1505.0	1261.0	1114.0	8212.0	6604.0	3848.0	0.0	5392.0
V_vinifera.proteins	2009.0	1444.0	3133.0	2170.0	949.0	994.0	859.0	5572.0	4176.0	2425.0	1877.0	0.0
