	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
A_coerulea.proteins	0.0	6195.0	13699.0	8034.0	6106.0	4808.0	4913.0	17827.0	15516.0	10989.0	8315.0	14500.0
A_hypochondriacus.proteins	4733.0	0.0	4699.0	3630.0	1639.0	1810.0	1829.0	6570.0	5381.0	3937.0	3203.0	4146.0
A_thaliana.proteins	15730.0	7454.0	0.0	11095.0	5538.0	5371.0	4970.0	23969.0	19518.0	13248.0	9565.0	16568.0
A_vesiculosa.proteins	7008.0	4380.0	8093.0	0.0	2244.0	2141.0	2280.0	11486.0	9072.0	6527.0	5021.0	6993.0
B_vulgaris.proteins	5769.0	2112.0	4865.0	2708.0	0.0	1515.0	1809.0	6512.0	5430.0	3968.0	2657.0	4796.0
D_muscipula.proteins	3651.0	1782.0	3198.0	1870.0	1622.0	0.0	1118.0	4474.0	3551.0	2803.0	2238.0	2760.0
D_spatulata.proteins	3561.0	1769.0	3048.0	1899.0	1433.0	1047.0	0.0	4238.0	3551.0	2648.0	2194.0	2865.0
G_max.proteins	29839.0	14231.0	33878.0	22547.0	9758.0	10715.0	9160.0	0.0	37761.0	25312.0	17572.0	32796.0
L_sativa.proteins	16253.0	8016.0	17546.0	11094.0	5965.0	5428.0	5350.0	24822.0	0.0	13577.0	10889.0	17125.0
P_amilis.proteins	10096.0	4792.0	10717.0	6961.0	3994.0	3288.0	3408.0	14419.0	12183.0	0.0	5994.0	10207.0
S_lycopersicum.proteins	7075.0	3511.0	6636.0	4588.0	2293.0	2464.0	2650.0	9101.0	7900.0	5133.0	0.0	5907.0
V_vinifera.proteins	18957.0	6847.0	18293.0	10517.0	5944.0	5007.0	4760.0	25950.0	21284.0	13879.0	8947.0	0.0
