Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000993	Av_00021688-RA, Av_00000353-RA	FUN_029635-T1
OG0000994	Av_00021640-RA, Av_00004018-RA, Av_00004907-RA, Av_00005846-RA, Av_00012146-RA	FUN_026155-T1
OG0000994	Av_00009051-RA, Av_00009052-RA	FUN_008404-T1
OG0000995	Av_00017110-RA, Av_00004489-RA, Av_00012311-RA	FUN_026841-T1, FUN_026841-T4, FUN_026841-T2, FUN_026839-T1, FUN_026841-T3
OG0000996	Av_00012781-RA, Av_00006232-RA	FUN_000065-T1, FUN_000061-T1
OG0000997	Av_00014581-RA	FUN_048029-T1
OG0000997	Av_00015624-RA	FUN_040921-T1
OG0000998	Av_00002555-RA, Av_00009939-RA	FUN_008791-T3, FUN_008791-T1, FUN_008791-T2
OG0000998	Av_00024140-RA	FUN_001186-T1
OG0000999	Av_00004673-RA	FUN_020955-T1, FUN_020955-T2
OG0000999	Av_00007954-RA, Av_00006830-RA	FUN_021603-T2, FUN_021603-T1
OG0001000	Av_00017458-RA	FUN_033109-T1, FUN_033109-T2, FUN_005779-T1
OG0001001	Av_00010277-RA, Av_00017428-RA, Av_00024505-RA, Av_00000024-RA	FUN_037361-T2, FUN_037361-T1
OG0001003	Av_00005700-RA, Av_00017264-RA	FUN_019126-T1, FUN_030323-T1
OG0001004	Av_00013164-RA	FUN_050058-T1
OG0001005	Av_00018553-RA, Av_00010461-RA, Av_00020805-RA, Av_00005481-RA	FUN_040854-T1, FUN_040855-T1
OG0001005	Av_00000046-RA, Av_00011438-RA	FUN_049136-T1
OG0001006	Av_00018163-RA	FUN_006180-T1, FUN_016148-T1
OG0001008	Av_00009429-RA, Av_00001643-RA	FUN_013750-T1
OG0001008	Av_00005499-RA, Av_00024428-RA	FUN_041045-T1, FUN_018192-T1
OG0001010	Av_00000674-RA	FUN_033014-T2, FUN_033014-T1, FUN_003702-T1
OG0001011	Av_00016925-RA, Av_00004732-RA	FUN_023915-T1, FUN_050060-T1
OG0001012	Av_00024005-RA	FUN_018987-T1
OG0001013	Av_00005687-RA, Av_00017258-RA	FUN_019106-T1
OG0001015	Av_00018511-RA	FUN_032830-T1
OG0001017	Av_00019890-RA, Av_00021018-RA, Av_00008453-RA, Av_00006191-RA	FUN_012648-T1
OG0001017	Av_00018418-RA, Av_00002355-RA	FUN_046705-T1
OG0001018	Av_00015933-RA, Av_00010771-RA, Av_00011955-RA, Av_00019832-RA, Av_00008557-RA, Av_00013101-RA	FUN_000841-T1
OG0001019	Av_00011893-RA, Av_00004347-RA, Av_00008166-RA	FUN_052367-T2, FUN_052367-T1
OG0001020	Av_00012248-RA, Av_00017328-RA, Av_00021452-RA, Av_00000885-RA	FUN_031765-T1, FUN_031765-T5, FUN_031765-T4, FUN_031765-T3, FUN_031765-T2, FUN_025266-T3, FUN_025266-T2, FUN_025266-T1
OG0001021	Av_00014750-RA, Av_00002175-RA, Av_00009597-RA	FUN_014225-T1
OG0001021	Av_00001458-RA, Av_00009661-RA, Av_00002258-RA	FUN_013610-T1
OG0001023	Av_00004541-RA	FUN_030310-T1, FUN_024729-T1, FUN_048183-T1, FUN_048182-T1, FUN_037470-T1
OG0001023	Av_00004507-RA	FUN_012765-T1, FUN_028402-T1, FUN_028403-T1
OG0001024	Av_00016982-RA, Av_00018956-RA, Av_00024199-RA, Av_00009152-RA, Av_00020057-RA	FUN_033844-T1, FUN_033841-T1, FUN_023521-T1, FUN_045520-T1
OG0001025	Av_00012454-RA, Av_00009344-RA	FUN_011665-T1, FUN_011665-T2, FUN_011665-T3
OG0001026	Av_00014795-RA	FUN_029197-T1, FUN_029197-T2
OG0001028	Av_00006243-RA, Av_00017583-RA, Av_00009558-RA	FUN_002056-T1, FUN_002056-T2, FUN_002056-T7, FUN_003033-T2, FUN_003033-T1
OG0001029	Av_00016981-RA, Av_00015526-RA, Av_00005241-RA, Av_00002732-RA	FUN_033874-T1, FUN_023504-T1
OG0001029	Av_00011237-RA, Av_00000523-RA	FUN_045493-T1, FUN_011187-T1
OG0001030	Av_00018903-RA, Av_00009516-RA	FUN_007594-T1
OG0001038	Av_00013429-RA, Av_00016404-RA, Av_00012547-RA, Av_00002859-RA	FUN_042060-T1
OG0001039	Av_00006225-RA	FUN_040336-T2, FUN_040336-T1, FUN_040335-T2, FUN_040335-T1, FUN_040335-T3
OG0001039	Av_00012561-RA, Av_00002875-RA	FUN_014308-T1
OG0001040	Av_00007537-RA	FUN_032431-T1, FUN_032431-T3, FUN_032431-T2
OG0001040	Av_00020083-RA	FUN_041951-T1, FUN_041951-T3, FUN_041951-T2
OG0001041	Av_00019671-RA, Av_00013331-RA	FUN_047936-T2, FUN_047936-T1
OG0001042	Av_00024757-RA	FUN_047879-T1
OG0001043	Av_00022612-RA	FUN_024712-T1, FUN_042891-T1, FUN_042889-T1
OG0001044	Av_00013643-RA, Av_00023396-RA, Av_00001161-RA	FUN_039471-T1, FUN_014572-T1
OG0001045	Av_00006907-RA, Av_00006666-RA, Av_00016199-RA	FUN_034258-T3, FUN_034258-T1, FUN_034258-T2
OG0001046	Av_00008442-RA, Av_00006177-RA	FUN_041925-T1, FUN_041927-T1
OG0001046	Av_00003649-RA, Av_00008710-RA, Av_00023120-RA	FUN_036700-T1
OG0001047	Av_00004031-RA	FUN_007879-T1
OG0001047	Av_00017836-RA	FUN_041493-T1
OG0001049	Av_00021069-RA, Av_00008515-RA	FUN_048967-T1
OG0001050	Av_00018303-RA, Av_00011082-RA	FUN_051952-T1, FUN_045708-T1
OG0001050	Av_00000481-RA, Av_00001929-RA	FUN_031096-T1, FUN_025548-T1
OG0001051	Av_00011405-RA, Av_00008845-RA	FUN_013611-T1, FUN_001414-T1
OG0001052	Av_00016125-RA	FUN_048576-T1, FUN_048579-T1, FUN_048577-T1
OG0001052	Av_00006953-RA, Av_00011788-RA, Av_00001262-RA	FUN_021728-T1
OG0001054	Av_00000363-RA, Av_00001842-RA	FUN_019228-T1, FUN_019229-T1, FUN_029546-T1, FUN_029535-T1, FUN_029541-T1, FUN_029546-T2
OG0001055	Av_00011165-RA	FUN_050573-T1
OG0001056	Av_00016226-RA	FUN_034825-T1, FUN_022459-T1
OG0001056	Av_00008301-RA, Av_00013588-RA	FUN_014687-T1, FUN_039347-T1, FUN_039347-T2, FUN_039347-T3
OG0001058	Av_00014960-RA	FUN_033386-T1, FUN_033387-T1
OG0001058	Av_00020738-RA	FUN_032304-T1
OG0001059	Av_00001732-RA	FUN_047499-T1, FUN_010960-T1
OG0001063	Av_00012223-RA	FUN_015144-T1, FUN_014769-T1, FUN_015142-T1, FUN_014768-T1, FUN_015145-T1, FUN_015122-T1, FUN_015139-T1, FUN_015121-T1, FUN_015143-T1
OG0001064	Av_00006806-RA	FUN_024169-T1
OG0001064	Av_00022499-RA, Av_00018136-RA	FUN_000115-T1
OG0001064	Av_00004242-RA	FUN_026479-T1, FUN_050852-T1
OG0001065	Av_00007942-RA, Av_00010045-RA, Av_00015402-RA, Av_00004174-RA	FUN_052161-T1, FUN_005535-T1
OG0001066	Av_00008303-RA, Av_00013585-RA	FUN_004851-T1, FUN_004850-T1, FUN_004850-T2
OG0001067	Av_00010540-RA, Av_00009751-RA, Av_00017685-RA, Av_00001734-RA	FUN_010971-T1, FUN_010971-T2, FUN_047503-T1
OG0001068	Av_00020620-RA, Av_00016693-RA, Av_00002074-RA, Av_00012918-RA	FUN_022160-T1, FUN_022657-T1
OG0001069	Av_00015061-RA, Av_00009205-RA	FUN_013671-T2, FUN_013671-T3, FUN_013671-T1
OG0001069	Av_00016043-RA, Av_00023316-RA	FUN_048156-T1
OG0001070	Av_00012060-RA, Av_00022806-RA	FUN_042265-T2, FUN_042265-T1, FUN_015640-T2, FUN_015640-T1
OG0001071	Av_00016426-RA, Av_00013453-RA	FUN_039447-T1
OG0001072	Av_00011755-RA, Av_00017500-RA	FUN_047572-T1, FUN_011708-T1
OG0001073	Av_00022201-RA, Av_00020149-RA	FUN_003592-T1, FUN_034018-T1
OG0001074	Av_00000013-RA, Av_00022266-RA, Av_00000014-RA	FUN_048309-T1, FUN_048309-T2, FUN_048309-T3, FUN_048310-T1
OG0001075	Av_00012953-RA, Av_00002105-RA	FUN_009041-T4, FUN_009041-T3, FUN_009041-T2, FUN_009038-T1, FUN_009041-T1, FUN_009063-T1, FUN_013758-T1, FUN_013759-T1
OG0001076	Av_00016142-RA	FUN_002692-T1, FUN_000220-T1
OG0001077	Av_00023613-RA	FUN_030376-T1, FUN_042047-T1
OG0001078	Av_00000515-RA, Av_00011231-RA	FUN_011218-T2, FUN_011218-T1
OG0001079	Av_00001767-RA, Av_00013780-RA, Av_00011251-RA, Av_00010510-RA, Av_00015916-RA, Av_00000534-RA	FUN_011113-T1, FUN_045304-T1
OG0001081	Av_00021170-RA, Av_00018689-RA, Av_00015769-RA	FUN_012022-T1
OG0001081	Av_00000192-RA	FUN_045841-T1
OG0001083	Av_00021240-RA, Av_00022833-RA	FUN_029148-T1, FUN_003073-T1
OG0001086	Av_00022479-RA, Av_00017805-RA, Av_00008569-RA	FUN_037842-T2, FUN_037842-T1, FUN_048432-T3, FUN_048432-T2, FUN_048432-T1
OG0001086	Av_00018400-RA, Av_00002381-RA, Av_00017225-RA	FUN_037840-T1, FUN_048431-T1
OG0001086	Av_00022275-RA	FUN_037841-T1
OG0001092	Av_00019544-RA	FUN_018048-T1
OG0001092	Av_00011981-RA, Av_00015639-RA	FUN_019104-T1, FUN_030368-T2, FUN_030368-T1
OG0001093	Av_00001890-RA, Av_00000412-RA	FUN_033216-T1
OG0001094	Av_00022846-RA	FUN_030813-T1, FUN_018843-T1, FUN_018842-T1, FUN_018867-T1, FUN_018867-T2
OG0001095	Av_00019149-RA	FUN_024664-T1, FUN_024665-T2, FUN_024665-T1
OG0001096	Av_00006569-RA	FUN_052528-T1
OG0001096	Av_00001197-RA	FUN_036507-T1
OG0001097	Av_00013330-RA, Av_00019669-RA	FUN_009679-T1
OG0001098	Av_00011727-RA, Av_00019331-RA, Av_00015707-RA, Av_00005105-RA, Av_00013476-RA, Av_00021180-RA	FUN_000758-T1, FUN_000758-T6, FUN_000758-T5, FUN_000758-T3, FUN_010533-T1
OG0001099	Av_00000730-RA	FUN_003495-T1, FUN_034097-T1, FUN_034097-T2
OG0001099	Av_00009334-RA, Av_00010502-RA, Av_00015923-RA	FUN_011195-T1
OG0001100	Av_00007622-RA	FUN_033537-T1
OG0001100	Av_00012813-RA	FUN_039391-T1, FUN_039391-T2
OG0001104	Av_00023779-RA	FUN_003102-T1
OG0001106	Av_00005306-RA	FUN_032354-T1
OG0001107	Av_00024461-RA, Av_00018194-RA	FUN_003895-T1, FUN_003893-T1, FUN_003894-T1
OG0001108	Av_00005966-RA, Av_00007468-RA	FUN_012325-T1, FUN_012326-T1, FUN_035144-T1
OG0001109	Av_00019213-RA, Av_00017036-RA, Av_00008034-RA	FUN_047837-T1, FUN_017373-T1, FUN_020161-T1
OG0001111	Av_00018635-RA	FUN_005265-T1
OG0001111	Av_00011116-RA, Av_00012977-RA, Av_00007229-RA, Av_00011356-RA, Av_00000946-RA	FUN_001864-T1
OG0001112	Av_00020818-RA	FUN_040956-T2
OG0001113	Av_00012307-RA	FUN_021364-T1, FUN_005352-T1
OG0001114	Av_00000050-RA, Av_00011447-RA, Av_00015228-RA, Av_00010893-RA	FUN_037133-T3, FUN_037133-T2, FUN_037133-T1, FUN_049189-T2, FUN_049189-T1
OG0001115	Av_00004681-RA, Av_00014305-RA	FUN_010379-T1
OG0001116	Av_00006228-RA, Av_00012777-RA	FUN_004964-T1, FUN_015091-T1
OG0001117	Av_00007134-RA, Av_00003628-RA	FUN_005349-T3, FUN_005349-T1, FUN_005349-T2
OG0001118	Av_00004730-RA, Av_00016922-RA	FUN_027289-T1
OG0001119	Av_00014335-RA, Av_00013628-RA, Av_00008252-RA	FUN_000925-T2, FUN_000925-T1, FUN_022402-T1
OG0001120	Av_00006423-RA	FUN_047550-T1
OG0001120	Av_00012419-RA	FUN_023214-T1
OG0001122	Av_00010650-RA, Av_00014189-RA, Av_00006012-RA, Av_00005573-RA	FUN_034879-T1, FUN_034879-T4, FUN_034879-T5, FUN_034879-T2, FUN_034879-T3
OG0001123	Av_00025025-RA, Av_00014054-RA	FUN_005693-T1
OG0001124	Av_00019293-RA, Av_00019292-RA, Av_00008883-RA	FUN_001786-T1
OG0001124	Av_00018268-RA	FUN_020842-T1
OG0001125	Av_00022249-RA, Av_00023454-RA	FUN_008961-T1
OG0001126	Av_00012476-RA	FUN_026968-T1
OG0001126	Av_00012474-RA	FUN_038327-T1
OG0001126	Av_00013247-RA, Av_00017864-RA	FUN_038329-T1, FUN_038328-T1
OG0001126	Av_00012477-RA	FUN_047813-T1, FUN_047809-T1
OG0001128	Av_00011141-RA, Av_00009925-RA	FUN_043392-T1
OG0001129	Av_00022310-RA, Av_00011605-RA	FUN_031309-T1
OG0001130	Av_00003349-RA	FUN_025401-T1, FUN_032057-T1
OG0001131	Av_00012194-RA, Av_00003942-RA, Av_00024146-RA, Av_00024254-RA	FUN_016827-T1, FUN_029746-T1
OG0001131	Av_00013756-RA	FUN_011241-T1, FUN_045540-T1
OG0001132	Av_00019931-RA, Av_00023061-RA, Av_00015604-RA, Av_00009121-RA	FUN_029867-T1
OG0001133	Av_00010656-RA, Av_00005566-RA, Av_00006022-RA	FUN_029054-T1, FUN_029054-T2
OG0001133	Av_00007651-RA	FUN_033314-T2, FUN_033314-T1
OG0001134	Av_00016957-RA, Av_00015507-RA, Av_00000889-RA, Av_00024302-RA, Av_00005274-RA, Av_00002700-RA	FUN_023240-T1, FUN_032505-T1
OG0001136	Av_00001386-RA, Av_00020898-RA, Av_00006264-RA	FUN_002046-T1, FUN_016946-T1
OG0001141	Av_00025004-RA	FUN_020922-T1
OG0001142	Av_00016793-RA, Av_00006900-RA, Av_00006678-RA, Av_00016186-RA, Av_00006676-RA, Av_00016189-RA	FUN_034188-T1, FUN_051463-T1
OG0001143	Av_00019875-RA, Av_00000834-RA, Av_00009733-RA, Av_00021289-RA, Av_00024083-RA	FUN_050385-T1, FUN_050391-T1, FUN_025061-T1
OG0001143	Av_00009732-RA	FUN_050381-T1
OG0001144	Av_00021787-RA, Av_00007348-RA	FUN_049000-T1, FUN_023887-T1
OG0001145	Av_00015033-RA, Av_00009243-RA	FUN_047041-T1
OG0001146	Av_00013380-RA	FUN_042082-T1, FUN_008098-T1, FUN_008098-T2
OG0001147	Av_00018034-RA	FUN_018526-T1, FUN_039096-T1
OG0001147	Av_00022169-RA, Av_00025006-RA	FUN_043661-T1, FUN_039094-T1
OG0001148	Av_00010109-RA, Av_00014300-RA	FUN_027916-T1, FUN_027912-T2, FUN_027912-T1
OG0001149	Av_00017624-RA, Av_00013044-RA, Av_00009220-RA, Av_00015049-RA	FUN_045099-T1
OG0001149	Av_00016121-RA, Av_00016088-RA, Av_00001361-RA	FUN_019545-T1
OG0001150	Av_00020598-RA	FUN_033943-T1, FUN_004432-T1
OG0001151	Av_00022861-RA	FUN_024980-T1, FUN_043503-T1
OG0001151	Av_00013035-RA, Av_00018867-RA, Av_00009480-RA	FUN_008781-T1, FUN_044974-T1
OG0001152	Av_00011912-RA, Av_00007038-RA	FUN_002070-T1, FUN_002070-T2
OG0001152	Av_00005062-RA, Av_00022734-RA, Av_00020023-RA	FUN_020539-T2, FUN_020539-T1, FUN_020538-T1, FUN_020538-T2
OG0001153	Av_00002033-RA, Av_00001568-RA, Av_00013554-RA, Av_00002034-RA	FUN_014668-T2, FUN_014668-T1
OG0001154	Av_00002051-RA, Av_00012886-RA	FUN_033077-T1
OG0001155	Av_00000456-RA, Av_00021597-RA, Av_00001969-RA, Av_00017912-RA	FUN_030620-T1
OG0001155	Av_00006860-RA, Av_00007916-RA, Av_00010797-RA, Av_00010226-RA	FUN_024355-T1
OG0001156	Av_00016359-RA, Av_00000438-RA	FUN_052782-T1
OG0001157	Av_00017924-RA, Av_00001984-RA	FUN_030529-T1
OG0001157	Av_00016353-RA	FUN_017806-T1
OG0001157	Av_00000443-RA	FUN_013125-T2, FUN_013125-T1
OG0001158	Av_00002005-RA, Av_00000306-RA, Av_00007713-RA	FUN_029394-T1, FUN_029394-T3, FUN_029394-T2
OG0001159	Av_00016641-RA, Av_00014857-RA	FUN_021693-T1
OG0001159	Av_00001821-RA, Av_00013734-RA	FUN_031397-T1
OG0001160	Av_00021609-RA, Av_00007413-RA	FUN_025650-T1, FUN_025651-T1
OG0001160	Av_00022948-RA	FUN_012796-T1
OG0001161	Av_00017768-RA	FUN_047159-T2, FUN_047159-T4, FUN_047159-T3, FUN_047159-T1, FUN_047157-T1
OG0001162	Av_00024066-RA	FUN_042640-T1, FUN_042640-T4, FUN_042640-T3, FUN_042640-T5, FUN_042640-T6, FUN_042640-T2
OG0001162	Av_00001910-RA	FUN_007797-T1, FUN_007797-T3, FUN_007797-T2
OG0001163	Av_00000983-RA	FUN_047236-T1, FUN_047231-T1
OG0001164	Av_00003625-RA, Av_00007131-RA, Av_00003623-RA	FUN_006127-T4, FUN_006127-T2, FUN_006127-T3, FUN_006127-T1
OG0001165	Av_00019116-RA, Av_00010199-RA, Av_00004209-RA	FUN_024164-T2, FUN_024164-T1, FUN_024164-T3
OG0001166	Av_00010620-RA	FUN_012173-T1, FUN_012229-T1, FUN_035770-T1
OG0001167	Av_00020003-RA, Av_00004440-RA, Av_00004113-RA	FUN_020084-T2
OG0001167	Av_00018113-RA, Av_00004114-RA	FUN_020084-T1
OG0001168	Av_00010980-RA	FUN_036907-T1
OG0001169	Av_00012479-RA, Av_00014820-RA, Av_00022748-RA	FUN_012790-T1
OG0001169	Av_00007414-RA, Av_00003759-RA	FUN_025662-T1
OG0001170	Av_00011152-RA, Av_00009930-RA	FUN_002262-T1
OG0001171	Av_00009785-RA	FUN_002412-T2, FUN_002412-T3, FUN_002412-T1
OG0001172	Av_00003063-RA	FUN_046299-T1, FUN_046299-T2
OG0001173	Av_00008957-RA, Av_00022076-RA, Av_00005951-RA, Av_00005620-RA	FUN_012440-T1, FUN_035277-T1, FUN_035278-T1
OG0001173	Av_00024745-RA	FUN_049865-T1, FUN_045959-T1
OG0001174	Av_00024102-RA	FUN_043394-T1
OG0001175	Av_00023515-RA	FUN_007924-T1, FUN_042644-T1, FUN_042644-T2
OG0001176	Av_00010612-RA, Av_00005980-RA	FUN_012248-T1, FUN_012248-T2, FUN_035799-T1
OG0001176	Av_00002501-RA	FUN_046177-T1
OG0001177	Av_00024804-RA	FUN_018740-T1
OG0001178	Av_00015006-RA	FUN_050313-T1
OG0001178	Av_00016580-RA, Av_00014052-RA	FUN_017345-T1, FUN_041330-T1
OG0001179	Av_00006761-RA, Av_00008043-RA	FUN_050047-T1
OG0001179	Av_00000940-RA, Av_00011362-RA	FUN_049964-T1
OG0001180	Av_00010811-RA	FUN_033322-T1
OG0001180	Av_00004035-RA, Av_00009043-RA	FUN_007862-T1
OG0001182	Av_00015227-RA, Av_00003212-RA, Av_00013904-RA	FUN_037114-T1
OG0001182	Av_00002073-RA, Av_00012914-RA	FUN_022104-T1, FUN_022104-T2
OG0001183	Av_00001636-RA, Av_00009423-RA	FUN_009081-T3, FUN_009081-T2, FUN_009081-T4, FUN_009081-T1, FUN_013787-T1
OG0001183	Av_00000034-RA, Av_00003237-RA	FUN_048062-T1, FUN_037299-T1
OG0001184	Av_00018554-RA, Av_00005480-RA, Av_00023365-RA	FUN_040847-T1
OG0001185	Av_00023435-RA	FUN_026891-T1, FUN_026894-T1
OG0001186	Av_00004004-RA, Av_00003805-RA, Av_00007375-RA	FUN_001787-T1
OG0001187	Av_00015879-RA, Av_00025027-RA	FUN_041898-T1, FUN_041896-T1
OG0001188	Av_00010452-RA, Av_00010451-RA, Av_00018545-RA	FUN_040937-T1, FUN_040937-T2
OG0001188	Av_00011431-RA, Av_00014658-RA, Av_00008623-RA	FUN_048039-T1
OG0001189	Av_00005533-RA, Av_00005443-RA, Av_00003011-RA	FUN_019268-T2, FUN_019268-T1
OG0001190	Av_00013119-RA, Av_00008540-RA, Av_00021433-RA	FUN_015688-T1, FUN_015687-T2, FUN_015687-T1
OG0001191	Av_00008502-RA, Av_00025013-RA	FUN_048893-T1
OG0001192	Av_00022080-RA	FUN_012478-T1, FUN_035305-T1
OG0001193	Av_00003815-RA, Av_00005059-RA, Av_00022735-RA, Av_00023823-RA	FUN_005809-T2, FUN_005809-T1
OG0001193	Av_00024076-RA	FUN_015676-T1
OG0001194	Av_00011564-RA	FUN_046176-T1, FUN_044141-T1
OG0001195	Av_00017672-RA	FUN_029327-T1, FUN_019009-T1
OG0001196	Av_00018794-RA, Av_00013209-RA, Av_00001582-RA	FUN_005713-T1
OG0001197	Av_00014284-RA, Av_00012852-RA, Av_00014079-RA	FUN_002011-T2, FUN_002011-T1
OG0001197	Av_00003588-RA, Av_00008272-RA, Av_00013606-RA	FUN_002888-T1
OG0001199	Av_00000207-RA, Av_00007846-RA	FUN_046642-T1
OG0001201	Av_00006193-RA, Av_00008454-RA	FUN_032446-T1, FUN_032446-T2, FUN_023065-T1, FUN_023146-T1, FUN_023146-T3, FUN_023146-T4, FUN_023146-T2
OG0001202	Av_00013233-RA	FUN_014299-T1, FUN_014300-T1, FUN_014305-T1
OG0001203	Av_00007539-RA, Av_00006433-RA	FUN_032423-T1, FUN_032420-T1, FUN_023066-T1, FUN_023063-T1
OG0001203	Av_00001393-RA	FUN_030900-T1
OG0001204	Av_00003004-RA, Av_00005438-RA	FUN_017211-T1, FUN_040029-T1
OG0001205	Av_00011574-RA	FUN_023867-T1, FUN_033599-T1
OG0001205	Av_00019272-RA	FUN_010507-T1, FUN_046866-T1
OG0001217	Av_00006918-RA, Av_00021033-RA	FUN_034385-T1, FUN_051521-T2, FUN_051521-T4, FUN_051521-T3, FUN_051521-T1
OG0001218	Av_00016239-RA, Av_00001345-RA, Av_00016141-RA	FUN_002697-T1, FUN_002697-T2, FUN_000208-T4, FUN_000208-T3, FUN_000208-T1, FUN_000208-T5, FUN_000208-T2
OG0001219	Av_00019688-RA, Av_00013354-RA, Av_00006131-RA	FUN_013103-T1, FUN_049294-T1, FUN_049299-T1
OG0001220	Av_00005717-RA	FUN_003850-T1
OG0001221	Av_00013245-RA, Av_00017870-RA	FUN_047832-T1, FUN_020199-T1
OG0001222	Av_00012653-RA, Av_00008465-RA, Av_00017382-RA	FUN_015600-T2, FUN_015600-T3, FUN_015600-T1
OG0001223	Av_00011547-RA	FUN_046383-T2, FUN_046383-T1
OG0001223	Av_00006212-RA, Av_00012758-RA	FUN_041198-T2
OG0001224	Av_00007018-RA, Av_00011881-RA, Av_00017847-RA	FUN_003125-T1, FUN_035705-T2, FUN_035705-T1, FUN_033030-T1
OG0001225	Av_00009730-RA	FUN_010711-T1
OG0001225	Av_00011246-RA	FUN_045388-T1
OG0001225	Av_00022195-RA, Av_00023248-RA	FUN_003555-T1
OG0001227	Av_00001711-RA	FUN_010803-T1, FUN_047388-T1
OG0001227	Av_00013304-RA, Av_00007356-RA	FUN_049048-T1
OG0001228	Av_00006759-RA, Av_00006757-RA	FUN_001800-T1, FUN_006336-T1, FUN_039346-T1, FUN_039343-T1
OG0001229	Av_00018380-RA	FUN_042762-T1
OG0001230	Av_00020265-RA	FUN_027399-T1
OG0001230	Av_00005637-RA	FUN_008564-T1, FUN_035491-T2, FUN_035491-T1, FUN_035501-T1
OG0001231	Av_00022544-RA	FUN_001581-T1
OG0001232	Av_00019191-RA	FUN_009494-T1, FUN_030652-T1
OG0001233	Av_00013992-RA, Av_00011486-RA, Av_00000080-RA	FUN_038395-T1, FUN_038395-T2, FUN_048625-T2, FUN_048625-T1
OG0001234	Av_00018995-RA	FUN_004189-T1
OG0001234	Av_00004863-RA, Av_00024064-RA, Av_00024150-RA	FUN_042611-T1
OG0001236	Av_00004617-RA, Av_00019036-RA	FUN_052095-T1, FUN_005617-T1
OG0001237	Av_00015383-RA	FUN_025489-T1, FUN_031176-T1
OG0001238	Av_00003162-RA, Av_00008674-RA	FUN_048610-T1, FUN_038129-T1
OG0001239	Av_00007847-RA	FUN_046633-T1, FUN_011927-T1
OG0001241	Av_00020690-RA, Av_00003659-RA, Av_00007488-RA	FUN_035602-T1, FUN_035602-T3, FUN_035602-T2, FUN_008688-T1
OG0001242	Av_00016319-RA	FUN_031038-T1, FUN_031038-T3, FUN_031038-T2
OG0001243	Av_00001101-RA, Av_00021245-RA	FUN_019399-T1
OG0001244	Av_00014634-RA	FUN_048248-T1
OG0001244	Av_00015204-RA, Av_00021527-RA	FUN_049707-T1
OG0001245	Av_00019450-RA, Av_00004051-RA	FUN_026370-T1
OG0001246	Av_00023141-RA, Av_00010765-RA, Av_00022717-RA	FUN_013715-T1, FUN_011433-T2, FUN_011433-T1
OG0001248	Av_00017345-RA, Av_00008496-RA, Av_00007324-RA, Av_00013271-RA	FUN_020060-T2, FUN_020060-T1, FUN_048828-T2, FUN_048828-T1, FUN_048828-T3
OG0001249	Av_00016211-RA	FUN_021934-T1
OG0001250	Av_00022131-RA, Av_00013162-RA	FUN_004563-T1
OG0001252	Av_00017710-RA, Av_00011177-RA	FUN_025073-T1
OG0001253	Av_00000681-RA, Av_00011851-RA, Av_00006993-RA, Av_00016551-RA, Av_00006537-RA	FUN_036395-T2, FUN_036395-T1, FUN_036396-T1, FUN_036396-T3, FUN_036396-T2, FUN_052709-T1
OG0001255	Av_00000404-RA, Av_00015361-RA	FUN_001118-T1
OG0001256	Av_00011395-RA, Av_00015959-RA, Av_00008826-RA	FUN_045629-T1
OG0001257	Av_00002571-RA	FUN_024435-T1
OG0001257	Av_00024054-RA, Av_00019253-RA	FUN_017397-T1, FUN_049457-T1
OG0001259	Av_00024647-RA, Av_00017843-RA, Av_00016489-RA, Av_00020984-RA	FUN_041592-T1, FUN_017582-T1
OG0001260	Av_00007591-RA, Av_00005225-RA, Av_00002744-RA	FUN_023606-T1, FUN_023606-T2
OG0001261	Av_00010499-RA, Av_00015925-RA, Av_00011232-RA	FUN_045514-T1, FUN_011216-T1
OG0001262	Av_00009108-RA, Av_00005782-RA, Av_00015593-RA	FUN_029726-T1, FUN_016842-T1
OG0001262	Av_00002737-RA	FUN_033813-T1
OG0001262	Av_00000511-RA	FUN_011246-T1
OG0001263	Av_00004062-RA	FUN_025691-T1
OG0001267	Av_00022289-RA, Av_00013991-RA, Av_00024732-RA, Av_00017823-RA, Av_00011766-RA, Av_00010865-RA, Av_00023867-RA, Av_00024812-RA, Av_00021983-RA, Av_00023866-RA, Av_00014952-RA, Av_00024275-RA, Av_00025106-RA, Av_00023926-RA, Av_00023865-RA, Av_00007686-RA, Av_00020942-RA, Av_00019849-RA, Av_00005663-RA, Av_00020658-RA, Av_00017219-RA, Av_00020878-RA, Av_00012637-RA, Av_00010815-RA, Av_00024138-RA, Av_00020893-RA	FUN_028585-T1, FUN_021082-T1, FUN_041426-T1, FUN_008099-T1, FUN_018145-T1, FUN_031474-T1, FUN_031548-T1, FUN_019508-T1
OG0001271	Av_00000721-RA, Av_00003496-RA, Av_00022192-RA, Av_00023246-RA, Av_00020568-RA, Av_00006743-RA, Av_00009737-RA, Av_00021283-RA	FUN_050410-T2, FUN_050410-T1
OG0001272	Av_00023533-RA	FUN_023923-T1, FUN_023924-T1, FUN_003946-T1, FUN_023929-T1, FUN_023963-T1
OG0001273	Av_00004152-RA, Av_00015427-RA, Av_00018162-RA	FUN_016084-T1
OG0001274	Av_00019381-RA, Av_00023717-RA	FUN_006857-T1
OG0001275	Av_00018789-RA, Av_00012090-RA, Av_00023645-RA	FUN_005753-T2, FUN_005753-T1, FUN_033099-T2, FUN_033099-T1
