Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000022	Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA	FUN_020730-T1, FUN_020932-T1, FUN_017707-T1, FUN_017739-T1, FUN_017846-T1, FUN_036951-T1, FUN_017831-T1, FUN_017844-T1, FUN_017842-T1, FUN_017824-T1, FUN_017826-T1, FUN_017737-T1, FUN_017832-T1, FUN_017834-T1, FUN_017722-T1, FUN_019924-T1, FUN_017718-T1, FUN_017719-T1, FUN_017723-T1, FUN_017726-T1, FUN_017704-T1, FUN_017702-T1, FUN_017705-T1, FUN_017730-T1, FUN_017732-T1, FUN_017742-T1, FUN_017751-T1, FUN_017750-T1, FUN_017756-T1, FUN_017759-T1, FUN_017746-T1
OG0000023	Av_00004265-RA	FUN_014378-T2, FUN_014378-T1, FUN_015007-T1, FUN_011960-T1, FUN_011960-T2, FUN_011960-T3, FUN_007934-T1, FUN_007934-T3, FUN_007934-T2, FUN_007934-T4, FUN_007929-T1, FUN_007939-T1, FUN_020168-T1, FUN_020170-T1, FUN_014375-T1, FUN_020167-T1
OG0000023	Av_00008849-RA	FUN_005579-T1
OG0000024	Av_00007869-RA	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1
OG0000024	Av_00004852-RA	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1
OG0000025	Av_00000980-RA, Av_00012375-RA	FUN_050791-T1, FUN_051656-T1
OG0000025	Av_00020768-RA, Av_00004540-RA	FUN_050776-T1
OG0000025	Av_00008810-RA, Av_00007185-RA, Av_00020767-RA	FUN_051671-T1, FUN_051670-T1, FUN_051667-T1
OG0000027	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA, Av_00004078-RA, Av_00023371-RA, Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA, Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA, Av_00009069-RA	FUN_047527-T1
OG0000028	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA	FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1
