Orthogroup	A_hypochondriacus.proteins	D_spatulata.proteins
OG0000669	AH023589-RA	Ds_00000371-RA
OG0000670	AH009922-RA	Ds_00006190-RA
OG0000670	AH001007-RA, AH001008-RA, AH008088-RA, AH009626-RA	Ds_00006187-RA, Ds_00006188-RA
OG0000670	AH022352-RA, AH013522-RA	Ds_00006289-RA
OG0000671	AH003371-RA	Ds_00010842-RA, Ds_00012903-RA
OG0000671	AH008052-RA	Ds_00017466-RA
OG0000672	AH001159-RA	Ds_00005268-RA, Ds_00007998-RA
OG0000673	AH003205-RA, AH018576-RA	Ds_00011316-RA
OG0000674	AH014497-RA	Ds_00000244-RA
OG0000674	AH014985-RA	Ds_00015108-RA
OG0000675	AH014012-RA	Ds_00015355-RA
OG0000676	AH019294-RA	Ds_00013859-RA
OG0000677	AH021347-RA	Ds_00016678-RA, Ds_00004403-RA
OG0000677	AH021348-RA, AH014767-RA	Ds_00007151-RA, Ds_00016467-RA
OG0000678	AH010703-RA, AH007849-RA	Ds_00006990-RA
OG0000679	AH021978-RA, AH012784-RA	Ds_00002005-RA, Ds_00015399-RA, Ds_00010285-RA
OG0000680	AH005454-RA, AH004103-RA	Ds_00009983-RA, Ds_00012377-RA
OG0000684	AH023504-RA, AH009018-RA	Ds_00016916-RA
OG0000684	AH022495-RA, AH013147-RA	Ds_00014724-RA
OG0000684	AH006949-RA	Ds_00013253-RA
OG0000685	AH010676-RA, AH007813-RA	Ds_00006226-RA, Ds_00007014-RA
OG0000686	AH012666-RA, AH021853-RA	Ds_00017157-RA
OG0000686	AH000380-RA	Ds_00008339-RA
OG0000687	AH006910-RA, AH020292-RA	Ds_00002702-RA, Ds_00013242-RA
OG0000688	AH010860-RA	Ds_00006183-RA, Ds_00006286-RA
OG0000689	AH020359-RA, AH006811-RA, AH006810-RA, AH006809-RA	Ds_00011016-RA
OG0000690	AH004182-RA, AH005503-RA	Ds_00006531-RA
OG0000691	AH011238-RA	Ds_00014451-RA, Ds_00003934-RA
OG0000692	AH020276-RA	Ds_00002716-RA
OG0000692	AH017128-RA, AH016116-RA	Ds_00017495-RA
OG0000693	AH018219-RA, AH023436-RA, AH018217-RA, AH011433-RA, AH011497-RA, AH011432-RA, AH011496-RA, AH018220-RA	Ds_00010248-RA, Ds_00008131-RA, Ds_00004903-RA
OG0000693	AH014740-RA	Ds_00013985-RA, Ds_00015602-RA, Ds_00010189-RA
OG0000694	AH002358-RA	Ds_00017420-RA
OG0000695	AH004326-RA, AH004985-RA	Ds_00011234-RA
OG0000697	AH008551-RA	Ds_00008794-RA, Ds_00008792-RA
OG0000698	AH021275-RA, AH014687-RA	Ds_00004290-RA
OG0000699	AH018056-RA	Ds_00011912-RA
OG0000700	AH013409-RA, AH022327-RA	Ds_00002328-RA
OG0000701	AH008966-RA	Ds_00011296-RA, Ds_00000134-RA
OG0000703	AH009687-RA	Ds_00004580-RA, Ds_00015697-RA
OG0000704	AH020939-RA, AH014417-RA	Ds_00015778-RA, Ds_00009826-RA
OG0000705	AH021004-RA	Ds_00009091-RA
OG0000705	AH012899-RA	Ds_00011801-RA
OG0000706	AH012384-RA	Ds_00012975-RA, Ds_00009952-RA
OG0000707	AH000616-RA, AH001917-RA, AH016257-RA	Ds_00004225-RA, Ds_00012191-RA
OG0000707	AH013957-RA, AH003537-RA	Ds_00009652-RA, Ds_00011476-RA
OG0000708	AH018040-RA	Ds_00016430-RA, Ds_00016428-RA
OG0000708	AH011293-RA	Ds_00016429-RA
OG0000709	AH007529-RA	Ds_00006291-RA
OG0000710	AH011932-RA	Ds_00004527-RA
OG0000711	AH017615-RA	Ds_00016169-RA, Ds_00017251-RA
OG0000712	AH004418-RA, AH004778-RA	Ds_00009043-RA
OG0000712	AH001362-RA	Ds_00001173-RA
OG0000712	AH008042-RA	Ds_00013453-RA
OG0000713	AH005109-RA, AH004606-RA	Ds_00010003-RA
OG0000714	AH005008-RA, AH004340-RA	Ds_00010536-RA, Ds_00009150-RA
OG0000714	AH015803-RA	Ds_00006879-RA
OG0000715	AH002876-RA, AH017523-RA	Ds_00005325-RA
OG0000716	AH003375-RA, AH012490-RA, AH021735-RA	Ds_00014319-RA, Ds_00015975-RA, Ds_00006845-RA
OG0000717	AH006089-RA	Ds_00002228-RA, Ds_00012455-RA, Ds_00017516-RA, Ds_00018038-RA, Ds_00005804-RA, Ds_00018012-RA, Ds_00015615-RA, Ds_00010790-RA, Ds_00014353-RA, Ds_00011104-RA, Ds_00017125-RA
OG0000722	AH000215-RA	Ds_00017377-RA
OG0000722	AH001944-RA	Ds_00013183-RA
OG0000723	AH017998-RA	Ds_00017734-RA, Ds_00017733-RA
OG0000723	AH009651-RA	Ds_00008390-RA
OG0000724	AH010811-RA	Ds_00006405-RA, Ds_00004618-RA
OG0000725	AH000802-RA, AH002276-RA	Ds_00010226-RA, Ds_00000059-RA
OG0000725	AH012973-RA	Ds_00000979-RA
OG0000726	AH018030-RA, AH011289-RA	Ds_00001271-RA
OG0000726	AH012077-RA, AH019616-RA	Ds_00015866-RA, Ds_00012555-RA
OG0000728	AH010801-RA	Ds_00015760-RA
OG0000728	AH017797-RA, AH014226-RA, AH010795-RA	Ds_00015759-RA
OG0000728	AH006891-RA	Ds_00016613-RA, Ds_00003167-RA
OG0000728	AH002597-RA	Ds_00007795-RA
OG0000729	AH016869-RA, AH023739-RA	Ds_00007469-RA
OG0000730	AH002373-RA	Ds_00008205-RA
OG0000731	AH015000-RA	Ds_00004500-RA
OG0000731	AH008203-RA	Ds_00011758-RA, Ds_00002969-RA
OG0000731	AH016797-RA	Ds_00015049-RA
OG0000733	AH016800-RA	Ds_00006098-RA
OG0000734	AH023481-RA	Ds_00001228-RA
OG0000735	AH021640-RA	Ds_00015116-RA, Ds_00012895-RA
OG0000736	AH020865-RA	Ds_00000261-RA
OG0000738	AH009530-RA	Ds_00002854-RA
OG0000739	AH018732-RA	Ds_00009898-RA
OG0000739	AH009151-RA	Ds_00001638-RA
OG0000741	AH006244-RA	Ds_00008056-RA
OG0000742	AH002136-RA, AH000498-RA	Ds_00000758-RA, Ds_00002402-RA
OG0000745	AH011893-RA	Ds_00005599-RA
OG0000746	AH012665-RA	Ds_00016980-RA, Ds_00004850-RA, Ds_00002054-RA
OG0000748	AH017252-RA	Ds_00017184-RA
OG0000749	AH022866-RA	Ds_00008468-RA, Ds_00006711-RA
OG0000749	AH002997-RA, AH010547-RA	Ds_00006301-RA, Ds_00006905-RA
OG0000753	AH014842-RA, AH018059-RA	Ds_00000494-RA, Ds_00002956-RA, Ds_00013849-RA
OG0000754	AH019888-RA, AH019890-RA	Ds_00003209-RA, Ds_00005094-RA
OG0000755	AH001770-RA	Ds_00015884-RA
OG0000756	AH002652-RA, AH017736-RA	Ds_00014092-RA
OG0000757	AH022480-RA	Ds_00014740-RA
OG0000758	AH020495-RA	Ds_00005322-RA
OG0000758	AH012428-RA, AH012144-RA, AH019565-RA	Ds_00016244-RA
OG0000759	AH011027-RA	Ds_00014566-RA, Ds_00014933-RA
OG0000760	AH023757-RA	Ds_00001861-RA
OG0000761	AH007311-RA	Ds_00010083-RA
OG0000761	AH007316-RA	Ds_00003229-RA
OG0000763	AH010898-RA, AH007672-RA	Ds_00005525-RA
OG0000763	AH006858-RA, AH020328-RA	Ds_00011034-RA
OG0000764	AH017810-RA, AH002593-RA	Ds_00001089-RA
OG0000764	AH007057-RA, AH019831-RA	Ds_00014673-RA
OG0000765	AH007200-RA	Ds_00003191-RA
OG0000765	AH008489-RA	Ds_00001496-RA
OG0000766	AH018851-RA	Ds_00012690-RA
OG0000767	AH005988-RA	Ds_00001927-RA, Ds_00008013-RA
OG0000767	AH008768-RA	Ds_00008828-RA, Ds_00001583-RA
OG0000768	AH000110-RA	Ds_00013041-RA, Ds_00012210-RA
OG0000768	AH013475-RA, AH022257-RA	Ds_00012791-RA
OG0000770	AH006069-RA, AH003720-RA	Ds_00009475-RA
OG0000771	AH009264-RA	Ds_00011287-RA
OG0000772	AH002838-RA	Ds_00005346-RA
OG0000773	AH014908-RA, AH013319-RA, AH013317-RA, AH021448-RA, AH014896-RA	Ds_00010268-RA, Ds_00004452-RA, Ds_00004453-RA, Ds_00002634-RA, Ds_00009635-RA, Ds_00001000-RA, Ds_00004450-RA, Ds_00004451-RA, Ds_00004454-RA, Ds_00004455-RA, Ds_00004447-RA
OG0000775	AH014966-RA, AH014968-RA, AH014971-RA	Ds_00001180-RA
OG0000776	AH015106-RA, AH021611-RA	Ds_00007722-RA, Ds_00015227-RA
OG0000777	AH004468-RA	Ds_00010720-RA
OG0000777	AH004873-RA, AH004469-RA	Ds_00010719-RA
OG0000778	AH009023-RA, AH014232-RA, AH021136-RA	Ds_00000189-RA
OG0000778	AH015337-RA	Ds_00010457-RA, Ds_00003305-RA
OG0000779	AH014195-RA	Ds_00004956-RA
OG0000779	AH004816-RA	Ds_00010703-RA
OG0000779	AH009785-RA	Ds_00004942-RA
OG0000780	AH014242-RA	Ds_00000198-RA
OG0000780	AH012291-RA	Ds_00012948-RA
OG0000781	AH012037-RA	Ds_00012576-RA
OG0000781	AH009600-RA	Ds_00002820-RA
OG0000782	AH004543-RA, AH005185-RA	Ds_00004798-RA
OG0000784	AH015189-RA, AH015190-RA, AH015191-RA	Ds_00010196-RA, Ds_00010195-RA, Ds_00010194-RA
OG0000785	AH020429-RA	Ds_00000846-RA
OG0000785	AH016449-RA, AH022998-RA	Ds_00015845-RA, Ds_00004605-RA
OG0000786	AH017173-RA	Ds_00003844-RA
OG0000787	AH012042-RA, AH019633-RA	Ds_00005680-RA, Ds_00012569-RA
OG0000787	AH018050-RA, AH011299-RA	Ds_00011917-RA
OG0000788	AH017164-RA	Ds_00009711-RA
OG0000789	AH015777-RA	Ds_00013160-RA
OG0000789	AH004385-RA, AH005061-RA, AH003838-RA	Ds_00010574-RA
OG0000791	AH000888-RA	Ds_00013569-RA, Ds_00013028-RA, Ds_00000018-RA
OG0000797	AH010861-RA	Ds_00006930-RA
OG0000798	AH014634-RA, AH014633-RA, AH021184-RA, AH021186-RA, AH021187-RA, AH013266-RA, AH022398-RA	Ds_00010163-RA, Ds_00008354-RA
OG0000799	AH012092-RA, AH020136-RA, AH011826-RA	Ds_00007098-RA
OG0000800	AH007496-RA	Ds_00006678-RA, Ds_00016799-RA, Ds_00014951-RA
OG0000801	AH015487-RA	Ds_00006729-RA, Ds_00016960-RA, Ds_00016948-RA, Ds_00006730-RA, Ds_00011691-RA
OG0000801	AH015725-RA	Ds_00011690-RA
OG0000802	AH013625-RA	Ds_00001642-RA, Ds_00010061-RA
OG0000804	AH020336-RA, AH006835-RA	Ds_00013536-RA, Ds_00014367-RA
OG0000804	AH021935-RA	Ds_00014183-RA, Ds_00009395-RA, Ds_00001487-RA
OG0000805	AH020409-RA	Ds_00000835-RA
OG0000806	AH007520-RA	Ds_00006201-RA
OG0000806	AH012889-RA	Ds_00004718-RA
OG0000807	AH017272-RA	Ds_00014018-RA
OG0000808	AH004994-RA, AH011442-RA	Ds_00003912-RA
OG0000809	AH000804-RA, AH002275-RA	Ds_00013006-RA, Ds_00008848-RA
OG0000810	AH005817-RA	Ds_00014507-RA
OG0000811	AH008688-RA, AH008690-RA, AH008685-RA	Ds_00001599-RA
OG0000811	AH005856-RA	Ds_00003607-RA
OG0000811	AH010545-RA, AH015476-RA	Ds_00006302-RA, Ds_00006208-RA
OG0000812	AH001767-RA, AH000548-RA	Ds_00011270-RA
OG0000812	AH003780-RA	Ds_00001464-RA, Ds_00014494-RA
OG0000813	AH003922-RA, AH005848-RA	Ds_00010942-RA
OG0000813	AH023555-RA, AH008812-RA	Ds_00008931-RA, Ds_00001606-RA
OG0000814	AH017926-RA	Ds_00017480-RA
OG0000815	AH005736-RA, AH003846-RA	Ds_00001480-RA, Ds_00016598-RA
OG0000815	AH000689-RA	Ds_00016597-RA
OG0000816	AH013890-RA	Ds_00015318-RA, Ds_00001812-RA
OG0000817	AH018933-RA	Ds_00007863-RA, Ds_00015347-RA
OG0000818	AH008753-RA	Ds_00008831-RA
OG0000819	AH000430-RA, AH001272-RA	Ds_00016237-RA
OG0000819	AH009950-RA, AH008145-RA	Ds_00001749-RA, Ds_00010675-RA
OG0000820	AH003270-RA	Ds_00017222-RA
OG0000821	AH022237-RA, AH013520-RA	Ds_00000461-RA, Ds_00012775-RA
OG0000822	AH010211-RA	Ds_00014525-RA, Ds_00013906-RA
OG0000823	AH014547-RA	Ds_00008871-RA
OG0000824	AH013205-RA, AH022442-RA	Ds_00010033-RA
OG0000824	AH012522-RA, AH021755-RA	Ds_00015970-RA, Ds_00014327-RA
OG0000826	AH011375-RA, AH018204-RA	Ds_00007347-RA
OG0000826	AH012571-RA	Ds_00015797-RA
OG0000827	AH017859-RA	Ds_00001105-RA, Ds_00007789-RA
OG0000828	AH009026-RA	Ds_00013662-RA
OG0000829	AH002817-RA, AH017588-RA, AH007008-RA, AH017587-RA, AH017586-RA, AH017589-RA, AH017596-RA	Ds_00012417-RA, Ds_00016177-RA
OG0000835	AH000657-RA	Ds_00002471-RA
OG0000835	AH011074-RA	Ds_00006652-RA
OG0000835	AH006649-RA	Ds_00012658-RA
OG0000837	AH017845-RA, AH017849-RA	Ds_00007790-RA
OG0000837	AH007095-RA	Ds_00014674-RA
OG0000838	AH015274-RA	Ds_00001643-RA
OG0000839	AH020489-RA, AH006669-RA	Ds_00009379-RA, Ds_00012671-RA
OG0000839	AH003706-RA, AH006064-RA	Ds_00009477-RA
OG0000840	AH015521-RA	Ds_00011689-RA
OG0000842	AH021725-RA, AH012476-RA, AH021726-RA, AH021724-RA	Ds_00015979-RA, Ds_00014310-RA
OG0000843	AH008723-RA, AH008722-RA	Ds_00008155-RA, Ds_00001589-RA, Ds_00008156-RA, Ds_00001608-RA, Ds_00001609-RA, Ds_00001607-RA
OG0000844	AH005672-RA	Ds_00003616-RA
OG0000845	AH004963-RA	Ds_00001434-RA
OG0000845	AH002312-RA	Ds_00000075-RA
OG0000846	AH010663-RA, AH007350-RA	Ds_00014422-RA
OG0000847	AH023652-RA	Ds_00000515-RA
OG0000847	AH006439-RA	Ds_00014468-RA
OG0000848	AH003979-RA, AH005908-RA	Ds_00011867-RA, Ds_00006797-RA
OG0000849	AH013323-RA	Ds_00000159-RA
OG0000849	AH003178-RA, AH018613-RA	Ds_00016205-RA
OG0000850	AH006044-RA, AH006043-RA	Ds_00011854-RA, Ds_00006784-RA
OG0000850	AH003715-RA, AH003717-RA	Ds_00005389-RA
OG0000851	AH018409-RA	Ds_00013524-RA
OG0000853	AH022685-RA	Ds_00010114-RA
OG0000853	AH015169-RA	Ds_00015895-RA
OG0000853	AH008110-RA, AH009970-RA	Ds_00015896-RA
OG0000855	AH008109-RA, AH009969-RA	Ds_00010666-RA
OG0000855	AH021571-RA, AH015170-RA	Ds_00010192-RA
OG0000856	AH020948-RA, AH013489-RA	Ds_00007940-RA, Ds_00009827-RA
OG0000857	AH023258-RA, AH016252-RA	Ds_00004218-RA, Ds_00002615-RA
OG0000858	AH020850-RA	Ds_00012129-RA
OG0000859	AH001981-RA, AH000602-RA	Ds_00000670-RA
OG0000859	AH014096-RA	Ds_00009626-RA
OG0000859	AH023212-RA, AH016281-RA	Ds_00002595-RA
OG0000860	AH016008-RA	Ds_00011841-RA
OG0000861	AH018074-RA, AH018073-RA, AH018072-RA	Ds_00011903-RA
OG0000861	AH009585-RA	Ds_00012505-RA
OG0000862	AH022395-RA, AH019562-RA	Ds_00004755-RA
OG0000863	AH023000-RA, AH016452-RA	Ds_00007847-RA
OG0000864	AH001207-RA, AH000128-RA	Ds_00004076-RA
OG0000865	AH001111-RA	Ds_00016099-RA
OG0000866	AH018925-RA	Ds_00007182-RA
OG0000867	AH004268-RA	Ds_00004302-RA, Ds_00005160-RA
OG0000867	AH022164-RA	Ds_00016369-RA
OG0000868	AH002233-RA	Ds_00013021-RA
OG0000868	AH010721-RA	Ds_00006245-RA
OG0000869	AH011103-RA	Ds_00016809-RA
OG0000869	AH011740-RA, AH020011-RA	Ds_00009312-RA
OG0000870	AH002834-RA, AH017574-RA	Ds_00005348-RA
OG0000871	AH004736-RA, AH004632-RA	Ds_00015471-RA
OG0000871	AH015981-RA	Ds_00003290-RA
OG0000872	AH022766-RA, AH016596-RA	Ds_00015248-RA, Ds_00011061-RA
OG0000872	AH017459-RA, AH002908-RA	Ds_00010621-RA
OG0000878	AH011042-RA	Ds_00013926-RA
OG0000878	AH008829-RA	Ds_00003515-RA, Ds_00014780-RA
OG0000880	AH012310-RA, AH012270-RA	Ds_00006314-RA, Ds_00005958-RA
OG0000881	AH023499-RA	Ds_00003266-RA
OG0000882	AH019104-RA	Ds_00014863-RA
OG0000883	AH009293-RA	Ds_00017808-RA
OG0000883	AH021763-RA, AH012539-RA	Ds_00005721-RA, Ds_00009341-RA
OG0000884	AH002178-RA	Ds_00002487-RA, Ds_00000594-RA
OG0000884	AH009347-RA	Ds_00001542-RA
OG0000885	AH017017-RA, AH017016-RA, AH017019-RA, AH017018-RA, AH017038-RA, AH017020-RA, AH017021-RA	Ds_00015842-RA
OG0000885	AH004647-RA, AH016028-RA	Ds_00008953-RA
OG0000886	AH006843-RA	Ds_00016119-RA, Ds_00005306-RA, Ds_00016121-RA, Ds_00016543-RA
OG0000887	AH011981-RA, AH019684-RA	Ds_00005640-RA
OG0000887	AH007691-RA	Ds_00014186-RA
OG0000887	AH004226-RA	Ds_00017639-RA
OG0000889	AH009949-RA	Ds_00010676-RA
OG0000889	AH021555-RA, AH015202-RA	Ds_00013973-RA
OG0000890	AH000249-RA, AH001413-RA	Ds_00001202-RA
OG0000891	AH021652-RA, AH015230-RA	Ds_00015195-RA, Ds_00010839-RA
OG0000893	AH009553-RA	Ds_00002848-RA, Ds_00011644-RA
OG0000894	AH001969-RA	Ds_00011225-RA
OG0000894	AH014035-RA, AH020718-RA	Ds_00007246-RA
OG0000895	AH018045-RA	Ds_00017112-RA
OG0000895	AH012047-RA, AH019629-RA, AH019628-RA, AH012049-RA, AH012046-RA, AH019630-RA	Ds_00005683-RA
OG0000896	AH009663-RA	Ds_00012481-RA
OG0000897	AH014315-RA, AH021089-RA, AH013392-RA, AH022341-RA	Ds_00016993-RA, Ds_00008226-RA, Ds_00008558-RA, Ds_00006523-RA
OG0000898	AH019700-RA, AH011948-RA	Ds_00012602-RA, Ds_00005626-RA, Ds_00017688-RA
OG0000899	AH016676-RA	Ds_00002509-RA
OG0000899	AH009647-RA	Ds_00012490-RA
OG0000900	AH009348-RA, AH014886-RA	Ds_00001541-RA
OG0000901	AH014198-RA	Ds_00000268-RA, Ds_00013055-RA
OG0000902	AH015007-RA	Ds_00015380-RA
OG0000903	AH021948-RA	Ds_00001659-RA
OG0000903	AH015935-RA	Ds_00010827-RA
OG0000904	AH021849-RA, AH012664-RA	Ds_00002056-RA, Ds_00009121-RA
OG0000905	AH014870-RA	Ds_00010256-RA
OG0000905	AH017347-RA	Ds_00017188-RA
OG0000906	AH004807-RA	Ds_00015439-RA
OG0000907	AH007372-RA	Ds_00008411-RA, Ds_00009670-RA
OG0000909	AH014741-RA	Ds_00005943-RA
OG0000911	AH014347-RA	Ds_00000386-RA
OG0000912	AH017607-RA	Ds_00017248-RA, Ds_00012430-RA, Ds_00016171-RA
OG0000913	AH004772-RA	Ds_00009028-RA
OG0000914	AH005560-RA, AH003998-RA	Ds_00008453-RA, Ds_00010519-RA
OG0000914	AH015826-RA, AH015827-RA	Ds_00013608-RA
OG0000915	AH017951-RA	Ds_00013798-RA
OG0000915	AH004841-RA	Ds_00017064-RA
OG0000920	AH019414-RA, AH012149-RA	Ds_00004623-RA
OG0000920	AH019413-RA	Ds_00006420-RA, Ds_00003178-RA
OG0000921	AH006694-RA, AH006691-RA, AH020449-RA, AH006692-RA, AH006690-RA, AH020451-RA, AH006693-RA	Ds_00005777-RA
OG0000922	AH010767-RA	Ds_00006952-RA
OG0000922	AH017761-RA	Ds_00014099-RA
OG0000924	AH020514-RA	Ds_00001369-RA
OG0000925	AH007236-RA	Ds_00002799-RA, Ds_00009357-RA
OG0000926	AH010119-RA, AH008023-RA	Ds_00007535-RA, Ds_00013887-RA
OG0000927	AH013241-RA	Ds_00001259-RA
OG0000927	AH009507-RA	Ds_00002865-RA
OG0000927	AH021792-RA, AH012594-RA	Ds_00015788-RA
OG0000928	AH010474-RA, AH007564-RA	Ds_00003665-RA, Ds_00006320-RA
OG0000929	AH002472-RA	Ds_00014366-RA
OG0000930	AH016746-RA	Ds_00005206-RA
OG0000930	AH013687-RA	Ds_00007493-RA
OG0000930	AH009244-RA	Ds_00003571-RA
OG0000931	AH020923-RA	Ds_00011454-RA, Ds_00011455-RA
OG0000932	AH007497-RA	Ds_00016749-RA, Ds_00016748-RA
OG0000933	AH020094-RA	Ds_00004658-RA, Ds_00003141-RA
OG0000933	AH007560-RA	Ds_00006248-RA, Ds_00003651-RA
OG0000934	AH020388-RA	Ds_00000822-RA
OG0000935	AH005938-RA, AH003615-RA, AH023717-RA	Ds_00017822-RA
OG0000936	AH005683-RA, AH010172-RA	Ds_00012291-RA
OG0000936	AH005852-RA, AH003920-RA	Ds_00003609-RA
OG0000937	AH009402-RA	Ds_00007904-RA, Ds_00015751-RA
OG0000938	AH009012-RA, AH023605-RA	Ds_00013671-RA, Ds_00017404-RA, Ds_00002926-RA
OG0000939	AH021704-RA	Ds_00014300-RA
OG0000939	AH014631-RA, AH021188-RA	Ds_00012163-RA
OG0000942	AH002457-RA	Ds_00013299-RA
OG0000944	AH015606-RA	Ds_00000360-RA, Ds_00011290-RA
OG0000944	AH011878-RA, AH019730-RA	Ds_00004536-RA, Ds_00005597-RA
OG0000945	AH003871-RA, AH005703-RA	Ds_00005363-RA, Ds_00009400-RA
OG0000946	AH009587-RA	Ds_00002827-RA
OG0000946	AH009590-RA	Ds_00011656-RA, Ds_00011653-RA
OG0000946	AH018068-RA	Ds_00016426-RA, Ds_00009666-RA, Ds_00011906-RA
OG0000947	AH009769-RA	Ds_00001693-RA
OG0000947	AH014875-RA	Ds_00004433-RA
OG0000948	AH017013-RA, AH017012-RA	Ds_00005118-RA
OG0000949	AH004913-RA, AH017175-RA, AH003005-RA, AH004500-RA	Ds_00009705-RA, Ds_00003843-RA
OG0000950	AH021127-RA, AH014562-RA	Ds_00000096-RA, Ds_00016020-RA
OG0000950	AH016044-RA, AH017099-RA	Ds_00017725-RA, Ds_00010448-RA, Ds_00010447-RA
OG0000951	AH016017-RA	Ds_00003413-RA
OG0000952	AH006674-RA	Ds_00012676-RA, Ds_00005763-RA
OG0000952	AH005335-RA, AH004155-RA	Ds_00005918-RA
OG0000953	AH008557-RA	Ds_00013868-RA, Ds_00009197-RA
OG0000954	AH018915-RA, AH003110-RA	Ds_00000624-RA
OG0000955	AH012757-RA	Ds_00002021-RA, Ds_00013713-RA, Ds_00002020-RA
OG0000955	AH015201-RA	Ds_00005238-RA
OG0000956	AH012449-RA	Ds_00014303-RA
OG0000956	AH013227-RA	Ds_00010022-RA
OG0000958	AH021674-RA, AH015249-RA	Ds_00011532-RA
OG0000958	AH021015-RA	Ds_00001171-RA
OG0000958	AH010083-RA	Ds_00007566-RA
OG0000960	AH008839-RA	Ds_00003520-RA, Ds_00001614-RA
OG0000960	AH000720-RA, AH002401-RA	Ds_00013551-RA, Ds_00012216-RA
OG0000962	AH012195-RA	Ds_00009293-RA
OG0000963	AH002202-RA, AH002201-RA, AH000879-RA	Ds_00000508-RA
OG0000963	AH009397-RA	Ds_00005457-RA, Ds_00002909-RA
OG0000964	AH002515-RA	Ds_00011373-RA
OG0000964	AH004814-RA	Ds_00010701-RA
OG0000965	AH004666-RA	Ds_00004343-RA
OG0000966	AH008995-RA, AH016516-RA, AH022854-RA, AH016517-RA, AH022853-RA	Ds_00006709-RA
OG0000967	AH005511-RA	Ds_00006575-RA, Ds_00008424-RA
OG0000974	AH013355-RA	Ds_00002355-RA
OG0000974	AH021123-RA	Ds_00008865-RA
OG0000976	AH010567-RA	Ds_00006200-RA
OG0000978	AH010993-RA, AH007703-RA	Ds_00007993-RA
OG0000979	AH020559-RA	Ds_00004629-RA
OG0000980	AH017114-RA	Ds_00000771-RA
OG0000980	AH014460-RA	Ds_00014396-RA
OG0000982	AH007794-RA, AH010320-RA	Ds_00007038-RA
OG0000982	AH018911-RA	Ds_00014884-RA
OG0000982	AH018891-RA	Ds_00010795-RA, Ds_00015290-RA
OG0000983	AH000971-RA, AH001658-RA	Ds_00000155-RA
OG0000984	AH013291-RA, AH022389-RA, AH013293-RA	Ds_00000799-RA
OG0000986	AH006432-RA	Ds_00013577-RA, Ds_00000038-RA
OG0000987	AH016694-RA, AH008329-RA	Ds_00000500-RA
OG0000987	AH001718-RA	Ds_00008902-RA
OG0000988	AH009719-RA	Ds_00000342-RA, Ds_00011292-RA
OG0000989	AH016825-RA	Ds_00017867-RA, Ds_00011984-RA
OG0000990	AH008076-RA	Ds_00012969-RA
OG0000991	AH001725-RA	Ds_00008899-RA
OG0000991	AH023554-RA	Ds_00015999-RA
OG0000992	AH014783-RA, AH021360-RA	Ds_00011162-RA, Ds_00004410-RA, Ds_00011165-RA
OG0000992	AH016563-RA	Ds_00011050-RA
OG0000993	AH007809-RA, AH010674-RA	Ds_00006111-RA
OG0000993	AH005946-RA	Ds_00012828-RA
OG0000994	AH023204-RA, AH016289-RA, AH014028-RA, AH016288-RA, AH014027-RA, AH016293-RA	Ds_00016093-RA
OG0000995	AH020987-RA	Ds_00007969-RA, Ds_00016870-RA
OG0000995	AH021595-RA, AH015124-RA	Ds_00015085-RA
OG0000996	AH023290-RA, AH023288-RA	Ds_00014257-RA
OG0000997	AH009677-RA	Ds_00013291-RA
OG0000998	AH019706-RA	Ds_00012606-RA
OG0000999	AH016268-RA	Ds_00002602-RA
OG0000999	AH001952-RA	Ds_00000656-RA
OG0001000	AH020218-RA, AH006967-RA	Ds_00002747-RA
OG0001001	AH009594-RA	Ds_00002824-RA, Ds_00011658-RA
OG0001002	AH014418-RA, AH014419-RA	Ds_00015777-RA
OG0001002	AH016967-RA	Ds_00009825-RA
OG0001003	AH023088-RA	Ds_00015610-RA, Ds_00006597-RA
OG0001004	AH003252-RA, AH005022-RA	Ds_00004091-RA, Ds_00000833-RA, Ds_00012893-RA, Ds_00017687-RA
OG0001005	AH003175-RA, AH018625-RA, AH018626-RA	Ds_00013287-RA, Ds_00015166-RA
OG0001005	AH009702-RA	Ds_00004591-RA
OG0001006	AH002018-RA, AH000990-RA	Ds_00000691-RA
OG0001007	AH018650-RA, AH003163-RA	Ds_00003569-RA, Ds_00017729-RA
OG0001008	AH018037-RA	Ds_00001269-RA
OG0001010	AH020302-RA	Ds_00002697-RA
OG0001011	AH013367-RA, AH022218-RA	Ds_00004121-RA
OG0001012	AH019262-RA	Ds_00002667-RA, Ds_00014611-RA, Ds_00014609-RA, Ds_00004199-RA, Ds_00001788-RA, Ds_00014610-RA, Ds_00013154-RA
OG0001012	AH014361-RA	Ds_00014607-RA
OG0001013	AH023105-RA, AH016384-RA	Ds_00017676-RA
OG0001015	AH000187-RA	Ds_00014583-RA
OG0001017	AH000283-RA	Ds_00014861-RA, Ds_00001193-RA
OG0001018	AH000257-RA, AH001276-RA	Ds_00012261-RA, Ds_00009509-RA, Ds_00016224-RA
OG0001019	AH007635-RA	Ds_00006066-RA
OG0001020	AH004562-RA, AH004561-RA	Ds_00010599-RA, Ds_00004783-RA
OG0001021	AH017287-RA, AH002744-RA	Ds_00012359-RA, Ds_00001036-RA, Ds_00012085-RA
OG0001022	AH022913-RA	Ds_00000579-RA
OG0001023	AH014316-RA, AH014317-RA, AH000943-RA	Ds_00009877-RA
