Orthogroup	A_hypochondriacus.proteins	D_spatulata.proteins
OG0000071	AH019943-RA	Ds_00005567-RA
OG0000071	AH012735-RA	Ds_00002033-RA
OG0000071	AH006941-RA, AH004025-RA, AH005525-RA	Ds_00013248-RA, Ds_00007141-RA
OG0000071	AH013047-RA	Ds_00006568-RA
OG0000071	AH004886-RA	Ds_00012035-RA, Ds_00010724-RA
OG0000072	AH008033-RA, AH020159-RA, AH008035-RA, AH011844-RA	Ds_00000109-RA
OG0000076	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA	Ds_00004958-RA
OG0000077	AH000842-RA	Ds_00000030-RA, Ds_00000031-RA
OG0000077	AH007662-RA, AH007663-RA	Ds_00006087-RA
OG0000077	AH006889-RA	Ds_00011039-RA
OG0000078	AH022838-RA	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA
OG0000079	AH008309-RA	Ds_00017477-RA, Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA
OG0000085	AH014594-RA, AH021106-RA	Ds_00013315-RA
OG0000085	AH013377-RA, AH013378-RA	Ds_00002345-RA
OG0000085	AH021680-RA	Ds_00006817-RA
OG0000085	AH015892-RA, AH017005-RA	Ds_00003374-RA
OG0000085	AH018522-RA	Ds_00007391-RA
OG0000087	AH006703-RA, AH020455-RA	Ds_00000857-RA
OG0000087	AH004659-RA	Ds_00015816-RA, Ds_00008978-RA
OG0000088	AH007982-RA	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000088	AH002003-RA, AH000992-RA, AH014780-RA	Ds_00011160-RA
OG0000089	AH002040-RA	Ds_00000698-RA
OG0000089	AH019224-RA, AH019223-RA	Ds_00014281-RA, Ds_00009910-RA
OG0000090	AH003790-RA, AH010641-RA	Ds_00003959-RA
OG0000090	AH005307-RA	Ds_00008033-RA, Ds_00010488-RA
OG0000091	AH020558-RA, AH020560-RA	Ds_00005720-RA, Ds_00012613-RA
OG0000091	AH021178-RA, AH000644-RA	Ds_00009911-RA
OG0000091	AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA	Ds_00000663-RA
OG0000092	AH021997-RA, AH012260-RA	Ds_00014224-RA, Ds_00014213-RA
OG0000095	AH013260-RA	Ds_00016626-RA
OG0000095	AH006304-RA	Ds_00005433-RA
OG0000095	AH010162-RA	Ds_00005415-RA
OG0000096	AH005894-RA	Ds_00011884-RA, Ds_00011885-RA
OG0000097	AH017957-RA	Ds_00008970-RA
OG0000097	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA	Ds_00011731-RA
OG0000098	AH016758-RA	Ds_00000511-RA
OG0000098	AH003177-RA	Ds_00001304-RA
OG0000099	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA	Ds_00012557-RA
OG0000101	AH019269-RA	Ds_00017680-RA, Ds_00013692-RA
OG0000102	AH010958-RA, AH012445-RA	Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA
OG0000102	AH021394-RA	Ds_00011502-RA, Ds_00015916-RA
OG0000103	AH010123-RA	Ds_00007541-RA
OG0000103	AH021989-RA	Ds_00008775-RA
OG0000103	AH010272-RA, AH008021-RA, AH015077-RA	Ds_00015206-RA, Ds_00015118-RA
OG0000104	AH021778-RA, AH012562-RA	Ds_00015579-RA
OG0000104	AH012563-RA	Ds_00015800-RA, Ds_00015801-RA
OG0000105	AH005316-RA	Ds_00016593-RA, Ds_00001973-RA
OG0000105	AH021428-RA, AH014857-RA	Ds_00004427-RA, Ds_00011176-RA
OG0000105	AH012640-RA, AH021838-RA	Ds_00008720-RA, Ds_00016969-RA
OG0000105	AH013279-RA	Ds_00015702-RA
OG0000106	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA	Ds_00012991-RA
OG0000107	AH004190-RA, AH005485-RA	Ds_00008559-RA
OG0000108	AH010687-RA, AH001829-RA	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA
OG0000108	AH012760-RA, AH014759-RA	Ds_00004396-RA
OG0000109	AH001741-RA	Ds_00000324-RA
OG0000109	AH003764-RA	Ds_00013208-RA
OG0000109	AH008949-RA	Ds_00000125-RA
OG0000110	AH019974-RA, AH007045-RA	Ds_00010855-RA
OG0000113	AH016269-RA, AH023225-RA	Ds_00004232-RA, Ds_00002603-RA
OG0000113	AH023633-RA	Ds_00016297-RA
OG0000113	AH018586-RA	Ds_00011325-RA
OG0000114	AH015161-RA	Ds_00015893-RA, Ds_00015892-RA
OG0000115	AH020498-RA	Ds_00012650-RA
OG0000115	AH002718-RA, AH002719-RA, AH011596-RA, AH021864-RA, AH006630-RA	Ds_00009366-RA
OG0000115	AH011228-RA	Ds_00003925-RA
OG0000116	AH022502-RA	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA
OG0000117	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA	Ds_00008529-RA
OG0000118	AH022107-RA	Ds_00006827-RA
OG0000118	AH012040-RA, AH019634-RA	Ds_00012570-RA, Ds_00015851-RA, Ds_00005679-RA
OG0000118	AH006465-RA, AH002266-RA, AH009602-RA	Ds_00002816-RA
OG0000120	AH020337-RA, AH006837-RA	Ds_00011028-RA
OG0000120	AH020344-RA	Ds_00011026-RA
OG0000120	AH009707-RA	Ds_00004593-RA
OG0000120	AH018632-RA	Ds_00015941-RA
OG0000121	AH010321-RA	Ds_00007035-RA
OG0000121	AH003861-RA	Ds_00010128-RA
OG0000121	AH003011-RA	Ds_00014897-RA
OG0000122	AH015608-RA	Ds_00007977-RA
OG0000122	AH003330-RA	Ds_00016938-RA, Ds_00018075-RA
OG0000124	AH001376-RA	Ds_00009554-RA
