Orthogroup	A_coerulea.proteins	G_max.proteins
OG0001592	Aqcoe5G297500.1.p, Aqcoe5G297500.2.p	GmISU01.10G114600.1.p, GmISU01.20G064600.1.p, GmISU01.20G064600.2.p, GmISU01.03G187700.1.p, GmISU01.03G187700.3.p, GmISU01.03G187700.2.p, GmISU01.19G189200.5.p, GmISU01.19G189200.4.p, GmISU01.19G189200.3.p, GmISU01.19G189200.2.p, GmISU01.19G189200.1.p, GmISU01.18G111500.3.p, GmISU01.18G111500.4.p, GmISU01.18G111500.2.p
OG0001593	Aqcoe3G142000.1.p, Aqcoe5G398400.1.p	GmISU01.05G147300.1.p, GmISU01.08G123200.1.p, GmISU01.11G221100.1.p, GmISU01.18G013000.1.p, GmISU01.19G045800.1.p
OG0001594	Aqcoe5G460400.1.p, Aqcoe5G460400.3.p, Aqcoe5G460400.2.p	GmISU01.07G051700.11.p, GmISU01.07G051700.8.p, GmISU01.07G051700.12.p, GmISU01.07G051700.9.p, GmISU01.07G051700.4.p, GmISU01.07G051700.6.p, GmISU01.07G051700.3.p, GmISU01.07G051700.5.p, GmISU01.07G051700.10.p, GmISU01.07G051700.7.p, GmISU01.16G022100.1.p, GmISU01.16G022100.6.p, GmISU01.16G022100.5.p, GmISU01.16G022100.9.p, GmISU01.16G022100.11.p, GmISU01.16G022100.10.p, GmISU01.16G022100.3.p, GmISU01.16G022100.8.p
OG0001595	Aqcoe3G264600.1.p	GmISU01.10G158600.1.p, GmISU01.20G157100.2.p, GmISU01.20G157100.5.p, GmISU01.02G078900.1.p, GmISU01.02G078900.2.p, GmISU01.02G078900.5.p, GmISU01.02G078900.3.p, GmISU01.10G094200.3.p, GmISU01.10G094200.1.p, GmISU01.10G094200.2.p, GmISU01.02G078900.6.p
OG0001596	Aqcoe3G424500.1.p, Aqcoe3G424500.2.p	GmISU01.02G203200.1.p, GmISU01.02G203200.2.p, GmISU01.14G174600.1.p, GmISU01.18G041300.2.p, GmISU01.18G041300.1.p, GmISU01.18G041300.3.p, GmISU01.11G192800.1.p
OG0001596	Aqcoe3G424400.1.p	GmISU01.09G131800.1.p, GmISU01.16G185300.1.p
OG0001597	Aqcoe3G038800.1.p, Aqcoe3G038900.1.p	GmISU01.19G039100.1.p, GmISU01.19G039200.1.p, GmISU01.13G025800.3.p, GmISU01.18G237701.1.p
OG0001598	Aqcoe3G235700.2.p, Aqcoe3G235700.3.p, Aqcoe3G235700.1.p	GmISU01.10G244932.1.p, GmISU01.20G071300.2.p, GmISU01.20G071300.1.p, GmISU01.20G071400.1.p, GmISU01.10G244866.1.p, GmISU01.20G071500.1.p, GmISU01.20G071500.2.p, GmISU01.10G244800.1.p, GmISU01.17G141400.1.p, GmISU01.05G091500.1.p, GmISU01.17G141500.1.p, GmISU01.11G038100.2.p, GmISU01.01G159400.1.p
OG0001599	Aqcoe3G409100.1.p, Aqcoe3G409100.2.p	GmISU01.02G078300.14.p, GmISU01.02G078300.15.p, GmISU01.02G078300.3.p, GmISU01.02G078300.8.p, GmISU01.02G078300.9.p, GmISU01.02G078300.10.p, GmISU01.02G078300.1.p, GmISU01.02G078300.13.p, GmISU01.02G078300.2.p, GmISU01.07G147000.2.p, GmISU01.07G147000.4.p, GmISU01.07G147000.3.p, GmISU01.07G147000.6.p, GmISU01.07G147000.7.p, GmISU01.08G045200.2.p, GmISU01.08G045200.1.p, GmISU01.08G045200.5.p, GmISU01.08G045200.4.p, GmISU01.08G045200.6.p, GmISU01.08G045200.3.p, GmISU01.05G207500.1.p, GmISU01.05G207500.5.p, GmISU01.05G207500.3.p, GmISU01.05G207500.2.p, GmISU01.05G207500.4.p
OG0001600	Aqcoe3G356700.1.p, Aqcoe3G056700.1.p	GmISU01.02G101600.2.p, GmISU01.02G101600.1.p, GmISU01.01G048300.1.p, GmISU01.07G192900.2.p, GmISU01.07G192900.1.p, GmISU01.07G192900.3.p, GmISU01.20G022900.3.p, GmISU01.20G022900.1.p, GmISU01.20G022900.2.p
OG0001601	Aqcoe3G122100.1.p	GmISU01.02G031800.1.p, GmISU01.01G028200.1.p
OG0001601	Aqcoe3G290000.1.p	GmISU01.06G166500.1.p, GmISU01.04G147400.1.p, GmISU01.19G006900.1.p, GmISU01.05G006500.1.p
OG0001602	Aqcoe3G321200.1.p	GmISU01.04G142000.1.p, GmISU01.04G142000.3.p, GmISU01.06G172600.1.p, GmISU01.04G142100.1.p
OG0001603	Aqcoe3G410300.2.p, Aqcoe3G410300.1.p	GmISU01.10G229200.3.p, GmISU01.10G229200.4.p, GmISU01.20G088500.7.p, GmISU01.20G088500.6.p, GmISU01.20G088500.4.p, GmISU01.10G229200.2.p, GmISU01.20G088500.1.p, GmISU01.20G088500.5.p, GmISU01.10G229200.1.p, GmISU01.07G088700.1.p, GmISU01.09G142300.1.p
OG0001604	Aqcoe3G169600.1.p	GmISU01.01G013600.3.p, GmISU01.01G013600.2.p, GmISU01.01G013600.4.p, GmISU01.01G013600.5.p, GmISU01.01G013600.1.p, GmISU01.09G167700.2.p, GmISU01.09G167700.3.p, GmISU01.09G167700.4.p, GmISU01.09G167700.1.p
OG0001616	Aqcoe2G185800.1.p	GmISU01.06G128200.1.p
OG0001616	Aqcoe2G060500.2.p, Aqcoe2G060500.1.p	GmISU01.07G104900.1.p
OG0001617	Aqcoe2G410100.1.p, Aqcoe2G410100.2.p	GmISU01.19G210600.2.p, GmISU01.19G210600.1.p, GmISU01.03G209600.2.p, GmISU01.03G209600.1.p, GmISU01.08G308300.1.p, GmISU01.18G120800.1.p
OG0001618	Aqcoe7G302600.1.p, Aqcoe2G177200.1.p, Aqcoe1G473400.1.p	GmISU01.11G130300.3.p, GmISU01.12G060800.1.p, GmISU01.15G039200.1.p, GmISU01.13G292200.1.p, GmISU01.18G228800.1.p, GmISU01.02G085300.1.p
OG0001619	Aqcoe1G416800.1.p, Aqcoe7G117700.1.p, Aqcoe2G117700.1.p, Aqcoe7G118400.1.p, Aqcoe7G118100.1.p	GmISU01.04G050500.1.p, GmISU01.20G013400.1.p, GmISU01.06G048800.1.p, GmISU01.17G193800.1.p, GmISU01.17G193700.1.p, GmISU01.14G094700.1.p, GmISU01.14G094600.1.p
OG0001620	Aqcoe5G349100.1.p, Aqcoe2G263000.1.p, Aqcoe2G263000.2.p	GmISU01.02G086800.3.p, GmISU01.02G086800.1.p, GmISU01.18G227000.2.p, GmISU01.18G227000.1.p
OG0001620	Aqcoe4G313000.1.p	GmISU01.08G184500.2.p, GmISU01.07G012400.2.p, GmISU01.07G012400.1.p
OG0001621	Aqcoe1G021300.1.p, Aqcoe2G013900.1.p	GmISU01.13G170800.2.p, GmISU01.13G170800.1.p, GmISU01.12G200700.2.p, GmISU01.12G200700.1.p, GmISU01.12G200700.3.p
OG0001621	Aqcoe5G306900.1.p	GmISU01.17G171500.1.p
OG0001622	Aqcoe2G341400.1.p, Aqcoe2G341400.3.p, Aqcoe2G341400.2.p, Aqcoe3G271000.1.p	GmISU01.18G039900.1.p, GmISU01.05G016700.1.p, GmISU01.05G016700.2.p, GmISU01.11G194800.1.p, GmISU01.17G074401.1.p
OG0001623	Aqcoe1G463000.1.p, Aqcoe1G463000.2.p, Aqcoe2G206100.1.p, Aqcoe3G141000.1.p	GmISU01.20G124200.1.p, GmISU01.20G124100.2.p, GmISU01.10G196000.1.p, GmISU01.19G039500.2.p, GmISU01.19G039500.1.p
OG0001624	Aqcoe3G365100.1.p	GmISU01.01G081100.1.p
OG0001624	Aqcoe7G372500.1.p, Aqcoe2G202600.1.p, Aqcoe6G162000.1.p	GmISU01.17G097300.1.p, GmISU01.13G137100.1.p, GmISU01.09G080300.1.p, GmISU01.09G080200.1.p
OG0001625	Aqcoe1G443900.1.p, Aqcoe1G443900.2.p, Aqcoe2G124000.1.p, Aqcoe2G124000.3.p, Aqcoe2G124000.2.p	GmISU01.03G156800.3.p, GmISU01.03G156800.2.p, GmISU01.03G156800.5.p, GmISU01.03G156800.4.p, GmISU01.03G156800.1.p, GmISU01.12G081300.3.p, GmISU01.11G146700.5.p, GmISU01.11G146700.4.p, GmISU01.12G081300.6.p, GmISU01.12G081300.5.p, GmISU01.12G081300.7.p, GmISU01.11G146700.9.p, GmISU01.11G146700.7.p, GmISU01.11G146700.2.p, GmISU01.11G146700.8.p
OG0001626	Aqcoe1G050400.1.p	GmISU01.08G104100.1.p, GmISU01.05G129400.1.p, GmISU01.08G104100.2.p, GmISU01.09G086900.3.p
OG0001627	Aqcoe2G213000.3.p, Aqcoe2G213000.2.p, Aqcoe2G213000.1.p	GmISU01.03G147300.5.p, GmISU01.03G147300.14.p, GmISU01.03G147300.9.p, GmISU01.03G147300.10.p, GmISU01.03G147300.1.p, GmISU01.03G147300.4.p, GmISU01.03G147300.3.p, GmISU01.03G147300.11.p, GmISU01.03G147300.8.p, GmISU01.03G147300.13.p, GmISU01.03G147300.2.p, GmISU01.03G147300.6.p, GmISU01.03G147300.12.p, GmISU01.03G147300.7.p, GmISU01.10G054500.1.p, GmISU01.10G054500.4.p, GmISU01.10G054500.3.p, GmISU01.13G118200.1.p
OG0001628	Aqcoe5G293400.1.p	GmISU01.15G167400.3.p, GmISU01.15G167400.2.p
OG0001628	Aqcoe2G252000.2.p, Aqcoe2G252000.1.p	GmISU01.10G113900.1.p, GmISU01.20G064200.5.p, GmISU01.20G064200.6.p, GmISU01.20G064200.3.p, GmISU01.20G064200.1.p, GmISU01.20G064200.2.p, GmISU01.20G064200.4.p, GmISU01.03G187200.1.p, GmISU01.03G187200.2.p
OG0001629	Aqcoe5G465600.1.p	GmISU01.06G066600.1.p
OG0001629	Aqcoe2G150500.1.p	GmISU01.18G233600.2.p
OG0001632	Aqcoe2G145200.2.p, Aqcoe2G145200.1.p	GmISU01.13G048900.1.p, GmISU01.20G140800.1.p, GmISU01.20G140800.5.p, GmISU01.20G140800.4.p, GmISU01.20G140800.6.p, GmISU01.20G140800.3.p, GmISU01.20G140800.2.p, GmISU01.10G176200.6.p, GmISU01.10G176200.1.p, GmISU01.10G176200.9.p, GmISU01.10G176200.5.p, GmISU01.10G176200.10.p, GmISU01.10G176200.3.p, GmISU01.10G176200.11.p, GmISU01.10G176200.7.p, GmISU01.10G176200.4.p, GmISU01.10G176200.2.p, GmISU01.10G176200.8.p
OG0001633	Aqcoe6G134000.1.p	GmISU01.14G079300.1.p, GmISU01.17G208800.1.p, GmISU01.06G038000.1.p, GmISU01.06G038000.3.p, GmISU01.04G038400.2.p, GmISU01.04G038400.3.p
OG0001634	Aqcoe6G012600.2.p, Aqcoe6G012600.1.p	GmISU01.12G136200.1.p, GmISU01.12G136200.2.p
OG0001634	Aqcoe1G498300.2.p, Aqcoe1G498300.1.p	GmISU01.09G226600.1.p, GmISU01.18G165200.1.p, GmISU01.03G001100.1.p, GmISU01.16G189000.1.p
OG0001636	Aqcoe6G181300.1.p	GmISU01.19G158700.1.p, GmISU01.03G156700.2.p, GmISU01.03G156700.1.p, GmISU01.10G065200.1.p, GmISU01.13G127600.2.p, GmISU01.13G127600.1.p
OG0001637	Aqcoe5G172100.1.p, Aqcoe6G098900.1.p	GmISU01.15G065000.3.p, GmISU01.15G065000.1.p, GmISU01.15G065000.4.p, GmISU01.15G065000.2.p, GmISU01.13G211500.1.p
OG0001637	Aqcoe6G197400.1.p	GmISU01.12G021300.1.p, GmISU01.11G089000.1.p
OG0001638	Aqcoe6G020500.1.p	GmISU01.15G043300.8.p, GmISU01.15G043300.7.p, GmISU01.15G043300.1.p, GmISU01.15G043300.4.p, GmISU01.15G043300.5.p, GmISU01.15G043300.2.p, GmISU01.15G043300.3.p, GmISU01.15G043300.6.p, GmISU01.08G173200.2.p, GmISU01.08G173200.5.p, GmISU01.08G173200.1.p, GmISU01.08G173200.4.p, GmISU01.08G173200.3.p, GmISU01.05G142500.7.p, GmISU01.05G142500.6.p, GmISU01.05G142500.1.p, GmISU01.05G142500.5.p, GmISU01.08G117700.2.p, GmISU01.08G117700.1.p, GmISU01.08G117700.3.p
OG0001639	Aqcoe1G402600.4.p, Aqcoe1G402600.3.p, Aqcoe1G402600.1.p, Aqcoe1G402600.2.p, Aqcoe6G133300.1.p, Aqcoe6G133300.3.p, Aqcoe6G133300.2.p	GmISU01.09G062400.1.p, GmISU01.11G183600.1.p, GmISU01.11G183600.3.p, GmISU01.11G183600.4.p, GmISU01.18G049000.3.p, GmISU01.04G121100.2.p, GmISU01.04G121100.3.p, GmISU01.04G121100.1.p, GmISU01.06G191900.2.p, GmISU01.06G191900.1.p
OG0001640	Aqcoe7G150700.4.p, Aqcoe7G150700.3.p, Aqcoe7G150700.1.p, Aqcoe7G150700.2.p, Aqcoe6G315200.2.p, Aqcoe6G315200.1.p	GmISU01.04G045600.2.p, GmISU01.04G045600.1.p, GmISU01.14G087100.1.p, GmISU01.14G087100.2.p, GmISU01.17G201200.1.p, GmISU01.17G201200.3.p, GmISU01.17G201200.2.p, GmISU01.14G087100.3.p
OG0001641	Aqcoe6G235200.1.p	GmISU01.11G073500.1.p, GmISU01.01G125800.1.p
OG0001641	Aqcoe1G234800.1.p	GmISU01.12G089600.1.p, GmISU01.06G259900.1.p, GmISU01.13G269800.1.p, GmISU01.12G161000.1.p
OG0001642	Aqcoe6G084800.1.p	GmISU01.05G150100.1.p, GmISU01.05G150100.2.p, GmISU01.05G150100.6.p, GmISU01.05G150100.4.p, GmISU01.08G125800.1.p, GmISU01.15G050300.1.p, GmISU01.08G166300.3.p, GmISU01.08G166300.2.p, GmISU01.05G094300.2.p, GmISU01.08G065900.2.p, GmISU01.08G065900.1.p
OG0001643	Aqcoe3G007000.1.p	GmISU01.02G206900.1.p, GmISU01.14G178800.1.p
OG0001643	Aqcoe6G277900.1.p	GmISU01.11G042400.1.p, GmISU01.11G042400.2.p, GmISU01.01G155300.1.p, GmISU01.05G086200.1.p
OG0001644	Aqcoe7G187700.1.p, Aqcoe6G282900.1.p, Aqcoe6G282900.2.p	GmISU01.19G031600.1.p
OG0001645	Aqcoe4G222600.1.p, Aqcoe4G222600.2.p, Aqcoe4G013600.1.p, Aqcoe4G222700.3.p, Aqcoe4G222700.1.p, Aqcoe4G222700.2.p, Aqcoe5G213600.1.p	GmISU01.02G231000.1.p, GmISU01.02G231000.2.p, GmISU01.20G038500.1.p
OG0001645	Aqcoe1G344600.1.p	GmISU01.15G103000.2.p, GmISU01.15G103000.1.p
OG0001646	Aqcoe5G061500.1.p, Aqcoe0153s0002.1.p, Aqcoe0153s0002.2.p, Aqcoe0084s0002.1.p, Aqcoe0153s0002.4.p, Aqcoe4G039800.2.p, Aqcoe0153s0002.3.p, Aqcoe4G039800.1.p	GmISU01.02G133600.1.p, GmISU01.13G281400.1.p, GmISU01.02G133400.1.p, GmISU01.10G023800.2.p, GmISU01.10G023800.1.p
OG0001647	Aqcoe7G001200.1.p	GmISU01.07G047600.1.p, GmISU01.16G017900.1.p
OG0001647	Aqcoe4G008700.1.p	GmISU01.09G076900.1.p, GmISU01.09G076900.2.p
OG0001648	Aqcoe4G298000.1.p	GmISU01.08G285700.1.p
OG0001648	Aqcoe1G339100.1.p, Aqcoe5G001400.1.p	GmISU01.08G312700.2.p, GmISU01.18G125900.1.p
OG0001649	Aqcoe1740s0001.1.p, Aqcoe4G160100.1.p, Aqcoe4G160800.2.p, Aqcoe4G160800.1.p, Aqcoe5G469600.2.p, Aqcoe5G469600.1.p	GmISU01.10G171500.4.p, GmISU01.10G171500.2.p, GmISU01.10G171500.3.p, GmISU01.10G171500.1.p, GmISU01.10G084000.2.p, GmISU01.10G084000.1.p, GmISU01.02G141800.3.p, GmISU01.02G141800.2.p, GmISU01.02G141800.1.p, GmISU01.02G141800.4.p
OG0001650	Aqcoe4G246600.1.p, Aqcoe4G246800.1.p, Aqcoe1G075400.1.p	GmISU01.18G118800.1.p, GmISU01.12G163300.1.p, GmISU01.13G267300.1.p, GmISU01.12G163200.1.p, GmISU01.13G267200.1.p
OG0001651	Aqcoe4G304700.2.p, Aqcoe4G304700.1.p	GmISU01.09G014300.1.p, GmISU01.15G112000.1.p, GmISU01.09G014300.2.p, GmISU01.07G230700.9.p, GmISU01.07G230700.6.p, GmISU01.07G230700.7.p, GmISU01.07G230700.8.p, GmISU01.17G004300.1.p, GmISU01.17G004300.2.p, GmISU01.08G296000.1.p
OG0001652	Aqcoe1G392000.1.p, Aqcoe1G392000.2.p	GmISU01.15G107200.1.p, GmISU01.09G010400.1.p, GmISU01.07G228500.1.p, GmISU01.17G006700.1.p
OG0001653	Aqcoe4G228800.2.p, Aqcoe4G228800.1.p	GmISU01.18G016300.1.p, GmISU01.11G217900.3.p, GmISU01.11G217900.4.p, GmISU01.11G217900.2.p, GmISU01.11G217900.1.p, GmISU01.08G126800.1.p, GmISU01.05G150700.1.p
OG0001654	Aqcoe7G331300.1.p	GmISU01.17G086700.1.p
OG0001654	Aqcoe1G500900.1.p	GmISU01.09G228400.1.p, GmISU01.18G161000.2.p
OG0001655	Aqcoe7G044200.1.p	GmISU01.01G175600.1.p, GmISU01.01G175600.3.p, GmISU01.11G023500.2.p, GmISU01.11G023500.1.p, GmISU01.05G044400.1.p, GmISU01.17G120300.1.p, GmISU01.18G172200.1.p, GmISU01.09G221100.1.p
OG0001656	Aqcoe7G105700.2.p, Aqcoe7G105700.5.p, Aqcoe7G105700.4.p, Aqcoe7G105700.3.p, Aqcoe7G105700.10.p, Aqcoe7G105700.9.p, Aqcoe7G105700.12.p, Aqcoe7G105700.11.p, Aqcoe7G105700.6.p, Aqcoe7G105700.7.p, Aqcoe7G105700.8.p, Aqcoe7G105700.1.p	GmISU01.17G041500.2.p, GmISU01.17G041500.1.p, GmISU01.13G086000.1.p
OG0001657	Aqcoe7G036500.1.p, Aqcoe7G036700.1.p, Aqcoe7G036700.2.p, Aqcoe7G036800.1.p, Aqcoe7G036800.2.p	GmISU01.05G175600.1.p, GmISU01.08G012300.1.p, GmISU01.08G012300.2.p, GmISU01.05G175500.1.p, GmISU01.05G175500.2.p
OG0001658	Aqcoe7G315000.1.p	GmISU01.08G202200.2.p, GmISU01.08G202200.1.p, GmISU01.07G021800.2.p, GmISU01.07G021800.1.p, GmISU01.06G057600.4.p, GmISU01.06G057600.1.p, GmISU01.04G057500.1.p, GmISU01.04G057500.3.p
OG0001659	Aqcoe7G070700.2.p, Aqcoe7G070700.1.p	GmISU01.03G022000.3.p, GmISU01.03G022000.1.p, GmISU01.01G107600.1.p, GmISU01.01G107600.3.p, GmISU01.17G124600.4.p, GmISU01.17G124600.5.p, GmISU01.17G124600.2.p, GmISU01.17G124600.6.p, GmISU01.17G124600.1.p, GmISU01.17G124600.3.p, GmISU01.05G048300.1.p
OG0001660	Aqcoe7G258500.1.p, Aqcoe7G314900.1.p	GmISU01.07G021700.1.p, GmISU01.08G202300.1.p, GmISU01.08G202300.3.p, GmISU01.08G202300.2.p, GmISU01.13G327300.2.p, GmISU01.13G327300.1.p, GmISU01.13G327300.3.p, GmISU01.15G003400.2.p, GmISU01.15G003400.1.p
OG0001661	Aqcoe7G362900.2.p, Aqcoe7G362900.1.p	GmISU01.04G057700.1.p, GmISU01.04G057700.2.p, GmISU01.06G057900.2.p, GmISU01.06G057900.1.p, GmISU01.17G186500.1.p, GmISU01.14G102400.1.p, GmISU01.13G128500.1.p, GmISU01.17G070000.1.p, GmISU01.09G082800.1.p, GmISU01.15G178900.1.p
OG0001662	Aqcoe7G302500.3.p, Aqcoe7G302500.1.p, Aqcoe7G302500.2.p	GmISU01.14G114900.8.p, GmISU01.14G114900.1.p, GmISU01.14G114900.9.p, GmISU01.14G114900.3.p, GmISU01.14G114900.6.p, GmISU01.14G114900.11.p, GmISU01.14G114900.10.p, GmISU01.14G114900.4.p, GmISU01.14G114900.2.p, GmISU01.14G114900.7.p, GmISU01.14G114900.12.p, GmISU01.17G171400.2.p, GmISU01.17G171400.8.p, GmISU01.17G171400.4.p, GmISU01.17G171400.9.p, GmISU01.17G171400.3.p, GmISU01.17G171400.1.p, GmISU01.17G171400.7.p, GmISU01.17G171400.10.p, GmISU01.17G171400.5.p, GmISU01.17G171400.6.p
OG0001663	Aqcoe7G118500.1.p	GmISU01.09G060900.8.p, GmISU01.09G060900.7.p, GmISU01.09G060900.10.p, GmISU01.09G060900.6.p, GmISU01.09G060900.4.p, GmISU01.09G060900.1.p, GmISU01.09G060900.5.p, GmISU01.09G060900.2.p, GmISU01.09G060900.3.p, GmISU01.15G157200.2.p, GmISU01.15G157200.1.p, GmISU01.15G157200.3.p
OG0001664	Aqcoe7G055800.1.p, Aqcoe5G421600.1.p, Aqcoe5G421800.1.p	GmISU01.10G203000.5.p, GmISU01.10G203000.4.p, GmISU01.10G203000.1.p, GmISU01.20G117500.1.p, GmISU01.09G117900.1.p, GmISU01.16G170800.1.p, GmISU01.20G117600.2.p
OG0001665	Aqcoe7G394600.2.p, Aqcoe7G394600.1.p	GmISU01.20G200600.1.p, GmISU01.20G200600.6.p, GmISU01.20G200600.4.p, GmISU01.20G200600.5.p, GmISU01.20G200600.2.p, GmISU01.20G200600.3.p, GmISU01.10G249500.5.p, GmISU01.10G249500.6.p, GmISU01.10G249500.7.p, GmISU01.10G249500.3.p, GmISU01.10G249500.4.p, GmISU01.10G249500.1.p, GmISU01.10G249500.2.p
OG0001666	Aqcoe7G033900.10.p, Aqcoe7G033900.11.p, Aqcoe7G033900.8.p, Aqcoe7G033900.1.p, Aqcoe7G033900.7.p, Aqcoe7G033900.4.p, Aqcoe7G033900.3.p, Aqcoe7G033900.12.p, Aqcoe7G033900.9.p, Aqcoe7G033900.13.p, Aqcoe7G033900.5.p, Aqcoe7G033900.6.p, Aqcoe7G033900.2.p, Aqcoe7G033900.14.p	GmISU01.09G108300.4.p, GmISU01.16G153700.3.p, GmISU01.16G153700.4.p, GmISU01.16G153700.1.p, GmISU01.16G153700.2.p, GmISU01.09G108300.1.p, GmISU01.09G108300.2.p, GmISU01.09G108300.3.p
OG0001667	Aqcoe7G032500.1.p, Aqcoe7G032500.2.p, Aqcoe7G032700.1.p	GmISU01.18G178800.3.p, GmISU01.18G178800.2.p, GmISU01.09G215300.1.p, GmISU01.09G215300.2.p, GmISU01.18G178800.1.p, GmISU01.09G215300.3.p, GmISU01.03G011700.6.p, GmISU01.03G011700.5.p, GmISU01.03G011700.4.p, GmISU01.03G011700.3.p, GmISU01.03G011700.2.p, GmISU01.07G066700.2.p, GmISU01.07G066700.1.p
OG0001668	Aqcoe7G109500.1.p, Aqcoe7G109500.2.p	GmISU01.07G037700.1.p, GmISU01.16G007800.1.p, GmISU01.17G043600.1.p, GmISU01.13G083600.1.p, GmISU01.13G083600.2.p, GmISU01.17G043600.2.p
OG0001669	Aqcoe5G093900.1.p, Aqcoe5G093900.2.p, Aqcoe5G093900.3.p	GmISU01.15G139600.1.p, GmISU01.09G038600.1.p
OG0001669	Aqcoe7G432900.1.p, Aqcoe7G432900.2.p	GmISU01.16G007700.3.p, GmISU01.16G007700.1.p, GmISU01.07G037600.1.p, GmISU01.07G037600.2.p, GmISU01.16G072400.2.p
OG0001670	Aqcoe1G137400.1.p, Aqcoe1G137400.2.p	GmISU01.03G143700.2.p, GmISU01.03G143700.4.p, GmISU01.19G147200.3.p, GmISU01.19G147200.2.p, GmISU01.19G147200.4.p, GmISU01.19G147200.1.p, GmISU01.10G052400.2.p, GmISU01.13G115900.1.p
OG0001671	Aqcoe1G257800.1.p	GmISU01.06G246700.1.p, GmISU01.06G246700.2.p, GmISU01.12G101900.1.p, GmISU01.12G101900.2.p, GmISU01.13G257700.1.p, GmISU01.13G257700.2.p, GmISU01.12G172100.2.p, GmISU01.12G172100.1.p
OG0001672	Aqcoe1G199000.3.p, Aqcoe1G199000.2.p, Aqcoe1G199000.1.p	GmISU01.18G091100.3.p, GmISU01.08G276000.5.p, GmISU01.08G276000.4.p, GmISU01.08G276000.1.p, GmISU01.18G091100.1.p, GmISU01.18G091800.2.p, GmISU01.18G091800.1.p, GmISU01.08G275550.1.p
OG0001673	Aqcoe1G029200.1.p, Aqcoe1G029200.2.p	GmISU01.19G177300.2.p, GmISU01.19G177300.1.p, GmISU01.20G197000.2.p, GmISU01.20G197000.1.p, GmISU01.10G118700.1.p, GmISU01.10G118700.2.p
OG0001674	Aqcoe1G048900.1.p	GmISU01.19G097300.1.p, GmISU01.03G093400.2.p, GmISU01.19G097300.2.p, GmISU01.03G093400.1.p
OG0001674	Aqcoe3G003200.1.p	GmISU01.08G049900.1.p, GmISU01.09G138800.1.p, GmISU01.07G092200.1.p
OG0001675	Aqcoe1G081400.1.p	GmISU01.10G161000.2.p, GmISU01.10G161000.1.p, GmISU01.20G154500.1.p, GmISU01.13G043900.1.p
OG0001676	Aqcoe3G265600.1.p, Aqcoe1G354700.1.p	GmISU01.20G204100.1.p, GmISU01.09G199700.1.p, GmISU01.18G196000.1.p
OG0001677	Aqcoe1G185600.1.p, Aqcoe1G185600.2.p	GmISU01.13G189400.1.p, GmISU01.13G189400.2.p, GmISU01.15G083800.1.p, GmISU01.05G118100.2.p, GmISU01.08G091100.6.p, GmISU01.08G091100.2.p, GmISU01.08G215000.1.p, GmISU01.08G091100.10.p, GmISU01.08G091100.5.p, GmISU01.08G091100.4.p, GmISU01.08G091100.7.p, GmISU01.08G091100.8.p, GmISU01.08G091100.1.p, GmISU01.08G091100.3.p
OG0001678	Aqcoe1G178600.8.p, Aqcoe1G178600.3.p, Aqcoe1G178600.2.p, Aqcoe1G178600.5.p, Aqcoe1G178600.9.p, Aqcoe1G178600.6.p, Aqcoe1G178600.1.p, Aqcoe1G178600.10.p, Aqcoe1G178600.7.p, Aqcoe1G178600.4.p	GmISU01.15G120500.2.p, GmISU01.15G120500.1.p, GmISU01.15G120500.3.p, GmISU01.09G022600.1.p, GmISU01.09G022600.2.p, GmISU01.09G022600.3.p, GmISU01.09G022600.4.p, GmISU01.15G120500.5.p, GmISU01.15G120500.6.p, GmISU01.15G120500.4.p, GmISU01.05G139500.2.p, GmISU01.05G139500.1.p, GmISU01.08G114700.3.p, GmISU01.08G114700.2.p, GmISU01.08G114700.1.p
OG0001679	Aqcoe1G149200.1.p	GmISU01.03G039200.3.p, GmISU01.03G039200.2.p, GmISU01.01G096200.1.p, GmISU01.14G051100.1.p, GmISU01.02G222400.1.p
OG0001680	Aqcoe1G204700.3.p, Aqcoe1G204700.2.p, Aqcoe1G204700.5.p, Aqcoe1G204700.4.p, Aqcoe1G204700.1.p, Aqcoe1G204700.6.p	GmISU01.09G076000.1.p, GmISU01.09G076000.3.p, GmISU01.09G076000.2.p, GmISU01.15G172300.1.p
OG0001681	Aqcoe5G278500.2.p, Aqcoe5G278500.1.p	GmISU01.15G045600.3.p, GmISU01.15G045600.2.p, GmISU01.15G045600.1.p, GmISU01.05G099700.2.p, GmISU01.05G099700.1.p, GmISU01.08G071600.1.p, GmISU01.13G058000.3.p, GmISU01.13G058000.1.p, GmISU01.13G058000.2.p, GmISU01.13G058000.4.p, GmISU01.14G139200.1.p, GmISU01.14G139100.3.p, GmISU01.14G139100.1.p, GmISU01.06G099400.1.p, GmISU01.06G099400.2.p, GmISU01.04G209500.1.p
OG0001682	Aqcoe5G204600.1.p, Aqcoe5G204700.1.p	GmISU01.07G140900.4.p, GmISU01.07G140900.3.p, GmISU01.07G140900.2.p, GmISU01.07G140900.1.p, GmISU01.11G112800.1.p
OG0001682	Aqcoe5G204900.1.p	GmISU01.14G073700.1.p, GmISU01.17G214300.1.p, GmISU01.04G033000.1.p
