Orthogroup	A_coerulea.proteins	G_max.proteins
OG0000018	Aqcoe2G373300.1.p, Aqcoe2G373000.1.p, Aqcoe2G373100.1.p, Aqcoe2G372900.1.p, Aqcoe2G371000.1.p, Aqcoe2G370700.1.p, Aqcoe2G370900.1.p, Aqcoe2G371300.1.p, Aqcoe2G371200.1.p, Aqcoe2G371100.1.p, Aqcoe5G029400.1.p, Aqcoe5G029300.1.p	GmISU01.13G093800.1.p
OG0000021	Aqcoe0158s0001.1.p	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p
OG0000021	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p
OG0000022	Aqcoe5G366100.1.p	GmISU01.15G141400.1.p
OG0000022	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p	GmISU01.08G098000.1.p
OG0000023	Aqcoe6G319600.1.p, Aqcoe0082s0005.2.p, Aqcoe0082s0005.1.p, Aqcoe6G319300.1.p, Aqcoe6G271000.2.p, Aqcoe6G271000.1.p, Aqcoe6G270900.1.p, Aqcoe6G271400.1.p, Aqcoe6G271500.2.p, Aqcoe6G271500.1.p, Aqcoe3G372600.3.p, Aqcoe3G372600.4.p, Aqcoe3G372600.2.p, Aqcoe3G372600.1.p, Aqcoe1G409000.1.p	GmISU01.06G165800.1.p, GmISU01.13G189500.1.p, GmISU01.15G083700.1.p, GmISU01.06G042600.1.p, GmISU01.03G052600.2.p, GmISU01.03G052600.1.p
OG0000024	Aqcoe4G120700.1.p, Aqcoe4G120200.1.p, Aqcoe4G120000.1.p, Aqcoe4G120100.1.p, Aqcoe4G120300.1.p, Aqcoe1G386800.1.p, Aqcoe2G430300.1.p, Aqcoe4G121800.1.p, Aqcoe4G121200.1.p, Aqcoe4G121200.2.p, Aqcoe4G121700.1.p, Aqcoe4G121000.1.p	GmISU01.06G198800.2.p, GmISU01.06G198800.1.p
OG0000024	Aqcoe4G119900.1.p	GmISU01.15G203300.1.p, GmISU01.15G203400.1.p, GmISU01.13G226000.1.p, GmISU01.13G240000.1.p, GmISU01.03G185200.1.p
OG0000025	Aqcoe5G229000.1.p, Aqcoe5G228000.1.p	GmISU01.04G006500.1.p, GmISU01.06G006000.1.p, GmISU01.04G006600.1.p, GmISU01.06G006100.1.p
OG0000025	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p	GmISU01.09G178800.1.p, GmISU01.09G177900.1.p, GmISU01.12G030900.1.p, GmISU01.06G005700.1.p, GmISU01.09G180500.1.p, GmISU01.09G180200.1.p, GmISU01.12G032000.1.p, GmISU01.04G006200.2.p, GmISU01.04G006300.1.p, GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p
OG0000026	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p	GmISU01.12G116800.1.p, GmISU01.12G116800.2.p, GmISU01.12G117100.1.p, GmISU01.12G117100.3.p, GmISU01.12G118100.1.p, GmISU01.12G118100.2.p, GmISU01.12G116900.2.p, GmISU01.12G116900.3.p, GmISU01.12G116900.4.p, GmISU01.12G181500.1.p, GmISU01.13G247600.1.p
