target_id	length	eff_length	est_counts	tpm
Dm_00009739-RA	1890	1701.19	86	9.5593
Dm_00009740-RA	1218	1029.19	28	5.14449
Dm_00009741-RA	2091	1902.19	182	18.0925
Dm_00010362-RA	240	64.0481	147	434.002
Dm_00010363-RA	1167	978.191	0	0
Dm_00010361-RA	534	345.511	0	0
Dm_00009129-RA	2028	1839.19	141	14.4968
Dm_00009128-RA	915	726.191	53	13.8008
Dm_00009306-RA	1404	1215.19	6	0.933657
Dm_00009305-RA	1164	975.191	101	19.5845
Dm_00009307-RA	1806	1617.19	346	40.4572
Dm_00009499-RA	183	23.585	117	938.061
Dm_00009501-RA	870	681.191	0	0
Dm_00009500-RA	498	309.644	537	327.938
Dm_00010493-RA	3159	2970.19	19	1.20962
Dm_00010494-RA	1440	1251.19	666	100.654
Dm_00009313-RA	1662	1473.19	93.8565	12.0472
Dm_00009314-RA	420	232.268	13.7234	11.1725
Dm_00009349-RA	687	498.253	142	53.8913
Dm_00009351-RA	1443	1254.19	265	39.9542
Dm_00009352-RA	3111	2922.19	3	0.19413
Dm_00009350-RA	648	459.303	0	0
Dm_00009554-RA	933	744.191	87	22.1063
Dm_00010117-RA	876	687.191	103	28.3427
Dm_00010120-RA	1881	1692.19	78	8.71617
Dm_00010119-RA	4431	4242.19	314	13.9965
Dm_00010118-RA	1494	1305.19	181	26.2232
Dm_00007975-RA	1485	1296.19	283	41.2855
Dm_00007974-RA	942	753.191	331	83.1005
Dm_00007970-RA	447	258.898	80	58.4307
Dm_00007971-RA	1302	1113.19	172	29.2173
Dm_00007973-RA	762	573.253	1	0.329863
Dm_00007972-RA	1257	1068.19	35	6.19583
Dm_00008368-RA	1161	972.191	47	9.1417
Dm_00008369-RA	585	396.476	4	1.90776
Dm_00008843-RA	1494	1305.19	482	69.8319
Dm_00008840-RA	2103	1914.19	175.793	17.3659
Dm_00008839-RA	1515	1326.19	22.207	3.16639
Dm_00008841-RA	1482	1293.19	103	15.061
Dm_00008842-RA	942	753.191	108	27.1144
Dm_00008381-RA	606	417.436	64	28.9915
Dm_00008383-RA	846	657.191	142.713	41.0632
Dm_00008384-RA	387	199.633	47	44.519
Dm_00008382-RA	384	196.693	58.2868	56.0352
Dm_00009073-RA	546	357.476	0	0
Dm_00010371-RA	240	64.0481	107	315.906
Dm_00008977-RA	2196	2007.19	360.42	33.9548
Dm_00008976-RA	996	807.191	120	28.1116
Dm_00008269-RA	1308	1119.19	7	1.1827
Dm_00008270-RA	723	534.253	1.00375	0.35527
Dm_00009303-RA	801	612.253	125	38.6064
Dm_00009304-RA	408	220.36	0	0
Dm_00009862-RA	462	273.818	0	0
Dm_00010316-RA	594	405.436	0	0
Dm_00008332-RA	1092	903.191	33	6.909
Dm_00008333-RA	789	600.253	44	13.8611
Dm_00009851-RA	1779	1590.19	200	23.7827
Dm_00009850-RA	864	675.191	58	16.2436
Dm_00009852-RA	1932	1743.19	173	18.7664
Dm_00008652-RA	2698	2509.19	26	1.95939
Dm_00008653-RA	456	267.872	6	4.23549
Dm_00010127-RA	3123	2934.19	332	21.3959
Dm_00010128-RA	624	435.393	44	19.1096
Dm_00010221-RA	816	627.191	0	0
Dm_00009485-RA	1305	1116.19	24	4.06587
Dm_00009484-RA	597	408.436	3	1.38892
Dm_00009483-RA	705	516.253	327	119.775
Dm_00009766-RA	960	771.191	1	0.245199
Dm_00009765-RA	2610	2421.19	64	4.99841
Dm_00010378-RA	711	522.253	0	0
Dm_00010377-RA	426	238.174	0	0
Dm_00010379-RA	912	723.191	61.7953	16.1578
Dm_00010380-RA	804	615.253	1	0.307345
Dm_00011200-RA	603	414.436	102	46.5397
Dm_00011194-RA	834	645.191	308	90.2699
Dm_00011196-RA	2163	1974.19	44	4.21448
Dm_00011199-RA	1188	999.191	817	154.616
Dm_00011195-RA	414	226.337	2	1.67091
Dm_00011197-RA	1131	942.191	25.589	5.13565
Dm_00011198-RA	1170	981.191	845.411	162.928
Dm_00009322-RA	408	220.36	0	0
Dm_00009173-RA	930	741.191	160	40.8198
Dm_00010234-RA	318	132.839	0	0
Dm_00008901-RA	750	561.253	22	7.41215
Dm_00008900-RA	894	705.191	1	0.268148
Dm_00010652-RA	777	588.253	44	14.1439
Dm_00010647-RA	1941	1752.19	30	3.23758
Dm_00010650-RA	657	468.303	180	72.6819
Dm_00010649-RA	1995	1806.19	253	26.4873
Dm_00010651-RA	1341	1152.19	197	32.3312
Dm_00010648-RA	723	534.253	12	4.24732
Dm_00010646-RA	528	339.545	3	1.67072
Dm_00010164-RA	408	220.36	80	68.6497
Dm_00010421-RA	828	639.191	92	27.2169
Dm_00010420-RA	1392	1203.19	436	68.5224
Dm_00009801-RA	1734	1545.19	0	0
Dm_00009800-RA	1716	1527.19	9	1.11437
Dm_00009798-RA	1611	1422.19	233	30.9798
Dm_00009799-RA	1467	1278.19	19	2.81086
Dm_00009312-RA	519	330.579	0	0
Dm_00007301-RA	1323	1134.19	88	14.6716
Dm_00007300-RA	966	777.191	4	0.973224
Dm_00007299-RA	822	633.191	58	17.321
Dm_00009192-RA	321	135.716	32	44.5862
Dm_00009194-RA	267	86.7739	26	56.6585
Dm_00009195-RA	1416	1227.19	240	36.9811
Dm_00009193-RA	1752	1563.19	928	112.258
Dm_00010289-RA	672	483.303	0	0
Dm_00008947-RA	786	597.253	74	23.429
Dm_00008948-RA	1254	1065.19	28	4.97063
Dm_00009414-RA	570	381.476	334	165.562
Dm_00014138-RA	990	801.191	168	39.651
Dm_00014137-RA	843	654.191	82	23.7023
Dm_00015402-RA	885	696.191	0	0
Dm_00016788-RA	492	303.675	0	0
Dm_00016474-RA	294	110.715	0	0
Dm_00016149-RA	858	669.191	6.05779	1.71177
Dm_00014645-RA	1107	918.191	111	22.8597
Dm_00014644-RA	407	219.36	0	0
Dm_00016366-RA	666	477.303	29.3621	11.6325
Dm_00016532-RA	933	744.191	0	0
Dm_00015810-RA	1704	1515.19	52	6.48958
Dm_00015512-RA	567	378.476	114	56.957
Dm_00016139-RA	741	552.253	54	18.49
Dm_00016783-RA	624	435.393	0	0
Dm_00015341-RA	264	84.1182	240.485	540.604
Dm_00016642-RA	858	669.191	90	25.4316
Dm_00016029-RA	1644	1455.19	205.213	26.6665
Dm_00016643-RA	588	399.476	0	0
Dm_00016275-RA	1719	1530.19	272	33.6127
Dm_00016772-RA	975	786.191	8	1.92417
Dm_00016771-RA	2292	2103.19	170	15.2845
Dm_00013961-RA	444	255.976	5	3.69362
Dm_00016305-RA	1212	1023.19	334	61.7263
Dm_00016708-RA	3150	2961.19	132	8.42923
Dm_00013640-RA	597	408.436	0	0
Dm_00016809-RA	1104	915.191	323	66.7377
Dm_00015837-RA	1077	888.191	105	22.3544
Dm_00015838-RA	408	220.36	10.6071	9.10215
Dm_00015839-RA	522	333.579	6	3.40121
Dm_00015990-RA	1080	891.191	0	0
Dm_00016743-RA	1443	1254.19	177.324	26.7352
Dm_00016742-RA	321	135.716	9.67614	13.4819
Dm_00016468-RA	5718	5529.19	564	19.2885
Dm_00014482-RA	321	135.716	0	0
Dm_00014481-RA	1055	866.191	0	0
Dm_00016789-RA	948	759.191	86.7827	21.6154
Dm_00015909-RA	405	217.447	0	0
Dm_00015496-RA	369	182.015	0	0
Dm_00016839-RA	660	471.303	0	0
Dm_00016689-RA	1410	1221.19	0	0
Dm_00015373-RA	462	273.818	0	0
Dm_00015374-RA	1053	864.191	4	0.875248
Dm_00015650-RA	399	211.512	0	0
Dm_00015652-RA	435	247.102	0	0
Dm_00015651-RA	282	99.7206	0	0
Dm_00015672-RA	669	480.303	0	0
Dm_00015674-RA	783	594.253	70	22.2745
Dm_00015673-RA	606	417.436	126	57.077
Dm_00015675-RA	231	57.2033	0	0
Dm_00015023-RA	1506	1317.19	379	54.409
Dm_00015688-RA	231	57.2033	0	0
Dm_00016330-RA	282	99.7206	0	0
Dm_00016331-RA	876	687.191	1	0.275171
Dm_00016528-RA	645	456.303	0	0
Dm_00014412-RA	1089	900.191	7	1.47043
Dm_00016782-RA	477	288.734	0	0
Dm_00015656-RA	561	372.476	0	0
Dm_00015655-RA	216	45.8352	0	0
Dm_00015654-RA	336	149.977	0	0
Dm_00015657-RA	1185	996.191	0	0
Dm_00015653-RA	507	318.644	0	0
