Orthogroup	S_lycopersicum.proteins	D_muscipula.proteins
OG0000964	Solyc05g013530.3.1	Dm_00020311-RA
OG0000965	Solyc05g006660.3.1, Solyc04g005860.3.1	Dm_00014495-RA, Dm_00002861-RA
OG0000966	Solyc03g034330.1.1, Solyc03g034380.1.1, Solyc03g034390.1.1, Solyc03g034375.1.1	Dm_00019522-RA
OG0000967	Solyc05g011830.3.1, Solyc04g005290.3.1, Solyc01g010140.1.1	Dm_00011550-RA, Dm_00006943-RA
OG0000974	Solyc06g074680.3.1, Solyc11g066710.2.1, Solyc02g080465.1.1	Dm_00003645-RA
OG0000974	Solyc07g041210.3.1	Dm_00017724-RA
OG0000975	Solyc03g117600.3.1	Dm_00004592-RA
OG0000976	Solyc01g080540.3.1	Dm_00019540-RA
OG0000976	Solyc01g098400.3.1	Dm_00000560-RA
OG0000977	Solyc11g068440.2.1	Dm_00003866-RA
OG0000977	Solyc12g055840.2.1, Solyc08g083310.3.1	Dm_00001476-RA
OG0000978	Solyc01g008493.1.1, Solyc11g065700.2.1, Solyc01g008490.3.1	Dm_00005103-RA
OG0000979	Solyc01g080430.3.1	Dm_00014831-RA, Dm_00014833-RA, Dm_00009364-RA
OG0000980	Solyc12g044630.2.1, Solyc06g066410.3.1	Dm_00011741-RA, Dm_00019796-RA
OG0000980	Solyc11g070130.2.1, Solyc11g071205.1.1, Solyc08g066110.3.1, Solyc12g008590.2.1	Dm_00016450-RA
OG0000982	Solyc11g006370.2.1, Solyc04g009800.3.1	Dm_00015959-RA
OG0000982	Solyc01g006840.3.1, Solyc10g081740.2.1	Dm_00012930-RA, Dm_00012895-RA
OG0000983	Solyc04g014570.3.1, Solyc05g054040.3.1, Solyc11g011910.2.1	Dm_00010960-RA, Dm_00018107-RA, Dm_00014815-RA
OG0000984	Solyc03g121460.1.1	Dm_00009043-RA
OG0000986	Solyc02g062160.1.1, Solyc02g083835.1.1	Dm_00004857-RA
OG0000986	Solyc07g065960.1.1, Solyc07g065970.1.1	Dm_00001901-RA
OG0000987	Solyc02g062230.1.1, Solyc02g084005.1.1, Solyc02g084010.1.1, Solyc03g033590.1.1	Dm_00015806-RA, Dm_00006339-RA
OG0000987	Solyc01g110620.1.1, Solyc01g110570.3.1, Solyc04g081270.1.1, Solyc10g054720.1.1	Dm_00003477-RA, Dm_00003439-RA
OG0000988	Solyc01g109980.3.1, Solyc04g080790.3.1	Dm_00005949-RA, Dm_00019999-RA
OG0000989	Solyc04g074540.2.1, Solyc04g074530.3.1	Dm_00017659-RA
OG0000989	Solyc12g094500.2.1, Solyc04g082180.4.1, Solyc04g082170.3.1	Dm_00000137-RA
OG0000990	Solyc02g069380.3.1, Solyc02g062120.3.1	Dm_00013325-RA
OG0000991	Solyc01g110470.3.1	Dm_00003472-RA
OG0000991	Solyc04g081170.3.1	Dm_00003014-RA, Dm_00006960-RA
OG0000992	Solyc02g071920.3.1, Solyc03g005980.3.1	Dm_00009360-RA, Dm_00019428-RA, Dm_00020374-RA, Dm_00017359-RA, Dm_00012214-RA, Dm_00015709-RA, Dm_00011949-RA
OG0000992	Solyc02g091420.3.1	Dm_00019996-RA
OG0000993	Solyc04g054830.3.1	Dm_00011486-RA
OG0000994	Solyc07g008100.3.1	Dm_00004393-RA, Dm_00016226-RA
OG0000994	Solyc08g059700.2.1	Dm_00011800-RA
OG0000995	Solyc07g006830.3.1	Dm_00000757-RA
OG0000995	Solyc02g079040.3.1, Solyc10g009210.3.1	Dm_00003515-RA
OG0000996	Solyc08g068150.3.1	Dm_00013560-RA
OG0000997	Solyc01g094690.3.1	Dm_00014873-RA, Dm_00014477-RA
OG0000997	Solyc03g096290.3.1, Solyc08g008050.3.1, Solyc12g056220.2.1, Solyc08g081190.3.1	Dm_00017381-RA
OG0000998	Solyc04g071060.2.1, Solyc04g071050.3.1, Solyc03g082710.3.1, Solyc06g052080.3.1	Dm_00000439-RA, Dm_00010097-RA
OG0000999	Solyc03g116830.3.1	Dm_00002337-RA
OG0001000	Solyc05g053130.3.1, Solyc09g091020.3.1	Dm_00008681-RA
OG0001001	Solyc01g095580.3.1, Solyc05g050280.3.1, Solyc10g009600.1.1, Solyc10g010650.1.1, Solyc00g254910.1.1, Solyc00g212260.2.1, Solyc10g009620.2.1, Solyc10g009610.2.1, Solyc06g048710.2.1, Solyc10g011650.3.1, Solyc10g009640.2.1, Solyc10g011660.3.1	Dm_00008505-RA, Dm_00006940-RA
OG0001002	Solyc07g008920.3.1	Dm_00002257-RA
OG0001003	Solyc10g076740.2.1	Dm_00011164-RA
OG0001004	Solyc10g079310.2.1, Solyc03g096220.3.1	Dm_00011606-RA
OG0001005	Solyc08g080960.3.1, Solyc08g008030.3.1	Dm_00015404-RA, Dm_00013231-RA
OG0001005	Solyc01g094460.3.1	Dm_00004521-RA
OG0001006	Solyc03g120020.3.1	Dm_00006922-RA
OG0001006	Solyc08g066960.3.1	Dm_00007733-RA
OG0001007	Solyc05g048850.3.1	Dm_00016529-RA, Dm_00009978-RA
OG0001008	Solyc08g081760.2.1, Solyc08g008180.2.1	Dm_00005156-RA
OG0001010	Solyc03g053080.2.1	Dm_00007345-RA
OG0001012	Solyc03g019790.3.1	Dm_00006099-RA
OG0001013	Solyc05g052570.3.1	Dm_00017525-RA
OG0001014	Solyc02g069740.3.1	Dm_00008213-RA
OG0001015	Solyc11g069590.2.1	Dm_00004220-RA
OG0001017	Solyc07g053410.3.1	Dm_00007934-RA, Dm_00004187-RA
OG0001017	Solyc12g014140.2.1, Solyc07g062680.2.1	Dm_00011375-RA, Dm_00014822-RA
OG0001018	Solyc07g052400.3.1, Solyc05g045650.3.1	Dm_00011353-RA, Dm_00004609-RA
OG0001019	Solyc01g028860.3.1	Dm_00006113-RA, Dm_00016715-RA
OG0001020	Solyc05g015930.3.1, Solyc05g015920.3.1	Dm_00012064-RA, Dm_00012644-RA
OG0001021	Solyc05g053240.3.1	Dm_00011601-RA, Dm_00017170-RA
OG0001021	Solyc01g068100.3.1	Dm_00011208-RA
OG0001022	Solyc05g009620.3.1, Solyc12g037950.2.1	Dm_00012597-RA
OG0001023	Solyc01g088590.4.1, Solyc01g088580.1.1	Dm_00008357-RA
OG0001024	Solyc05g012160.3.1, Solyc01g010270.3.1	Dm_00013801-RA
OG0001025	Solyc10g007505.1.1	Dm_00017644-RA
OG0001025	Solyc12g040680.2.1, Solyc06g068990.4.1	Dm_00019056-RA, Dm_00013876-RA
OG0001026	Solyc03g013160.3.1	Dm_00008698-RA
OG0001027	Solyc05g006490.3.1, Solyc04g005060.3.1	Dm_00002854-RA, Dm_00014451-RA
OG0001028	Solyc03g098150.3.1, Solyc06g072340.3.1	Dm_00009829-RA, Dm_00017789-RA
OG0001029	Solyc04g005420.3.1	Dm_00003166-RA, Dm_00006069-RA
OG0001037	Solyc12g098820.2.1	Dm_00010536-RA, Dm_00009590-RA
OG0001038	Solyc09g014230.2.1, Solyc07g008520.3.1, Solyc06g076750.3.1	Dm_00020039-RA
OG0001038	Solyc09g014220.3.1, Solyc09g005380.2.1	Dm_00018508-RA
OG0001039	Solyc06g005150.3.1, Solyc06g005160.3.1	Dm_00006220-RA
OG0001039	Solyc09g007270.3.1	Dm_00003096-RA
OG0001040	Solyc05g006910.3.1	Dm_00005966-RA
OG0001040	Solyc09g014770.3.1	Dm_00008454-RA
OG0001041	Solyc06g005590.3.1, Solyc06g076270.3.1	Dm_00003747-RA
OG0001042	Solyc05g054510.2.1	Dm_00013979-RA
OG0001042	Solyc02g077960.2.1	Dm_00004255-RA
OG0001042	Solyc09g010680.3.1, Solyc10g086440.2.1, Solyc00g024680.2.1	Dm_00020485-RA, Dm_00012326-RA
OG0001043	Solyc12g005680.3.1, Solyc12g005670.2.1	Dm_00018445-RA, Dm_00020552-RA, Dm_00018011-RA, Dm_00006187-RA, Dm_00006186-RA
OG0001043	Solyc09g074800.2.1, Solyc09g074790.2.1, Solyc09g074820.3.1	Dm_00018767-RA, Dm_00017932-RA
OG0001044	Solyc10g086180.2.1, Solyc09g007890.1.1, Solyc09g007910.3.1, Solyc09g007920.3.1, Solyc09g007900.3.1, Solyc00g282510.2.1	Dm_00016102-RA
OG0001045	Solyc01g099810.3.1	Dm_00007566-RA
OG0001046	Solyc09g005350.3.1	Dm_00006893-RA
OG0001046	Solyc02g077670.3.1	Dm_00000719-RA
OG0001047	Solyc02g087550.3.1, Solyc03g077910.3.1	Dm_00008574-RA
OG0001047	Solyc09g010660.3.1, Solyc00g024670.1.1	Dm_00015135-RA
OG0001049	Solyc01g108480.1.1, Solyc01g108460.1.1, Solyc01g108470.2.1, Solyc01g108450.3.1	Dm_00004333-RA
OG0001050	Solyc02g083760.3.1	Dm_00007431-RA
OG0001051	Solyc06g073280.3.1, Solyc11g044840.2.1	Dm_00015949-RA
OG0001052	Solyc10g054780.2.1	Dm_00011371-RA, Dm_00001911-RA, Dm_00003801-RA
OG0001054	Solyc05g051530.3.1	Dm_00014802-RA, Dm_00018716-RA
OG0001055	Solyc10g052510.2.1, Solyc10g052500.2.1, Solyc10g052490.2.1	Dm_00012314-RA
OG0001056	Solyc02g036440.3.1	Dm_00005228-RA
OG0001056	Solyc05g054800.2.1	Dm_00019916-RA
OG0001057	Solyc12g087893.1.1	Dm_00006299-RA
OG0001057	Solyc01g105700.3.1	Dm_00018104-RA
OG0001059	Solyc03g113680.3.1	Dm_00008391-RA
OG0001060	Solyc11g006260.2.1, Solyc11g006950.2.1	Dm_00017103-RA, Dm_00020902-RA, Dm_00017101-RA
OG0001060	Solyc04g072470.3.1	Dm_00017102-RA, Dm_00020903-RA
OG0001063	Solyc01g009540.1.1	Dm_00020993-RA
OG0001064	Solyc03g120650.3.1, Solyc06g066650.3.1, Solyc12g044270.2.1	Dm_00007084-RA, Dm_00013657-RA
OG0001064	Solyc12g007150.2.1, Solyc07g032730.3.1	Dm_00013630-RA, Dm_00013388-RA
OG0001065	Solyc06g068460.3.1, Solyc03g116890.3.1	Dm_00011924-RA, Dm_00005880-RA
OG0001066	Solyc06g065710.3.1	Dm_00016900-RA, Dm_00015058-RA, Dm_00015059-RA
OG0001067	Solyc03g113620.3.1, Solyc06g071230.3.1	Dm_00007133-RA, Dm_00009796-RA
OG0001068	Solyc03g026190.3.1	Dm_00003072-RA, Dm_00016060-RA
OG0001069	Solyc03g083410.3.1, Solyc06g024325.1.1	Dm_00008174-RA, Dm_00000459-RA
OG0001069	Solyc01g095890.3.1	Dm_00003564-RA
OG0001070	Solyc11g066620.2.1	Dm_00003642-RA
OG0001070	Solyc09g008600.3.1	Dm_00013442-RA, Dm_00006131-RA
OG0001071	Solyc09g007310.3.1	Dm_00003100-RA
OG0001072	Solyc07g056540.3.1	Dm_00012642-RA
OG0001073	Solyc01g008970.3.1	Dm_00020851-RA, Dm_00012553-RA, Dm_00003432-RA
OG0001074	Solyc04g007590.2.1	Dm_00007771-RA, Dm_00007770-RA
OG0001075	Solyc09g014610.3.1, Solyc06g036440.2.1, Solyc03g007770.3.1	Dm_00004003-RA, Dm_00004004-RA, Dm_00002046-RA
OG0001076	Solyc04g009960.3.1	Dm_00003502-RA
OG0001077	Solyc06g050610.2.1	Dm_00010638-RA
OG0001078	Solyc03g115000.3.1	Dm_00013731-RA
OG0001079	Solyc02g088180.3.1	Dm_00009107-RA, Dm_00014070-RA
OG0001080	Solyc08g007080.3.1, Solyc08g077210.3.1	Dm_00008140-RA
OG0001081	Solyc07g053200.3.1	Dm_00010512-RA
OG0001081	Solyc10g006760.3.1, Solyc07g063680.3.1	Dm_00006176-RA, Dm_00017565-RA
OG0001082	Solyc07g043550.3.1, Solyc12g006410.2.1	Dm_00011596-RA
OG0001086	Solyc11g017010.2.1	Dm_00006272-RA, Dm_00012178-RA, Dm_00007651-RA
OG0001091	Solyc09g031550.2.1, Solyc09g031565.1.1, Solyc12g036590.1.1, Solyc01g065810.2.1, Solyc01g065795.1.1	Dm_00007492-RA
OG0001092	Solyc06g051400.3.1	Dm_00019254-RA
OG0001093	Solyc04g076880.3.1, Solyc12g088160.2.1	Dm_00017445-RA, Dm_00006638-RA
OG0001095	Solyc02g005410.2.1, Solyc02g005395.1.1, Solyc02g005390.1.1, Solyc09g091725.1.1, Solyc02g005400.2.1, Solyc08g065700.2.1, Solyc09g091870.1.1, Solyc09g091720.1.1	Dm_00015384-RA, Dm_00005899-RA
OG0001095	Solyc09g074430.3.1	Dm_00021116-RA
OG0001096	Solyc11g008560.2.1	Dm_00004496-RA
OG0001096	Solyc07g018290.3.1	Dm_00000743-RA
OG0001096	Solyc11g061750.2.1	Dm_00016028-RA
OG0001097	Solyc06g076300.3.1	Dm_00003749-RA
OG0001098	Solyc03g112590.3.1	Dm_00010864-RA, Dm_00015764-RA
OG0001099	Solyc09g092320.3.1, Solyc05g053780.3.1	Dm_00002560-RA, Dm_00001541-RA
OG0001099	Solyc10g081180.2.1	Dm_00010471-RA
OG0001100	Solyc05g009190.3.1	Dm_00013683-RA
OG0001100	Solyc04g076390.3.1	Dm_00012850-RA
OG0001103	Solyc02g084360.3.1, Solyc04g081090.3.1, Solyc10g054560.2.1, Solyc10g054590.2.1, Solyc10g054570.2.1	Dm_00006958-RA, Dm_00012179-RA
OG0001107	Solyc03g005970.3.1	Dm_00018282-RA, Dm_00008493-RA, Dm_00008494-RA, Dm_00020944-RA, Dm_00018283-RA
OG0001108	Solyc02g032930.3.1, Solyc02g080870.2.1	Dm_00001769-RA, Dm_00011153-RA
OG0001108	Solyc10g053910.2.1	Dm_00020431-RA, Dm_00016966-RA
OG0001109	Solyc12g044910.2.1, Solyc02g071170.3.1	Dm_00020010-RA, Dm_00020569-RA
OG0001111	Solyc08g062810.1.1	Dm_00005020-RA
OG0001112	Solyc08g081360.3.1	Dm_00012357-RA, Dm_00004069-RA
OG0001112	Solyc12g056210.2.1	Dm_00017220-RA, Dm_00012954-RA
OG0001113	Solyc08g006440.3.1, Solyc12g096400.2.1, Solyc08g069020.1.1	Dm_00020464-RA
OG0001114	Solyc01g091630.3.1, Solyc03g026070.3.1	Dm_00018375-RA, Dm_00016202-RA
OG0001115	Solyc03g117180.3.1	Dm_00002325-RA
OG0001115	Solyc04g045600.3.1	Dm_00002166-RA
OG0001116	Solyc08g068320.3.1, Solyc11g071300.2.1	Dm_00017757-RA, Dm_00000644-RA
OG0001117	Solyc12g096420.2.1, Solyc08g006460.3.1	Dm_00014329-RA, Dm_00020976-RA
OG0001118	Solyc11g069163.1.1	Dm_00000470-RA
OG0001119	Solyc05g054920.3.1	Dm_00013353-RA
OG0001120	Solyc06g070980.3.1	Dm_00013052-RA
OG0001120	Solyc03g113100.3.1	Dm_00007451-RA, Dm_00008725-RA
OG0001120	Solyc02g067420.3.1, Solyc02g087750.3.1	Dm_00016697-RA
OG0001121	Solyc09g010640.2.1, Solyc10g086420.1.1	Dm_00019545-RA
OG0001121	Solyc11g066090.1.1	Dm_00010684-RA
OG0001122	Solyc02g071270.2.1	Dm_00019221-RA
OG0001123	Solyc10g078550.3.1	Dm_00008809-RA
OG0001123	Solyc05g052100.3.1, Solyc03g094010.3.1, Solyc06g033860.2.1	Dm_00019509-RA
OG0001124	Solyc07g007390.3.1	Dm_00012919-RA
OG0001124	Solyc06g065910.3.1, Solyc08g029190.3.1	Dm_00008459-RA
OG0001125	Solyc03g007320.3.1	Dm_00018914-RA, Dm_00020108-RA, Dm_00012547-RA
OG0001126	Solyc04g071600.3.1, Solyc04g071590.3.1, Solyc04g071610.3.1, Solyc04g071580.3.1	Dm_00009134-RA, Dm_00020080-RA
OG0001129	Solyc05g015050.3.1, Solyc02g092870.2.1	Dm_00007668-RA
OG0001129	Solyc03g005060.3.1, Solyc02g093980.3.1	Dm_00017374-RA
OG0001130	Solyc05g006340.3.1, Solyc04g005020.3.1	Dm_00006308-RA
OG0001131	Solyc03g070390.3.1, Solyc02g089170.3.1, Solyc02g065740.3.1	Dm_00017594-RA
OG0001132	Solyc11g008103.1.1, Solyc05g009360.3.1, Solyc04g007220.3.1	Dm_00010583-RA, Dm_00001709-RA
OG0001133	Solyc08g005000.3.1	Dm_00012430-RA
OG0001133	Solyc04g007910.3.1	Dm_00000394-RA, Dm_00001951-RA
OG0001134	Solyc02g067410.2.1, Solyc02g087840.3.1, Solyc01g010600.3.1	Dm_00019980-RA
OG0001134	Solyc05g007180.3.1	Dm_00004868-RA, Dm_00020005-RA
OG0001136	Solyc06g072370.3.1	Dm_00020622-RA
OG0001142	Solyc01g067090.3.1	Dm_00000595-RA, Dm_00000596-RA
OG0001143	Solyc09g056385.1.1	Dm_00017692-RA, Dm_00020372-RA, Dm_00014259-RA
OG0001143	Solyc09g056360.3.1	Dm_00001117-RA
OG0001144	Solyc03g071550.2.1, Solyc09g031580.3.1, Solyc06g082050.2.1	Dm_00014716-RA, Dm_00011941-RA
OG0001145	Solyc03g118410.3.1	Dm_00003249-RA
OG0001145	Solyc06g054510.3.1, Solyc01g067730.3.1	Dm_00002101-RA
OG0001146	Solyc00g015733.1.1	Dm_00012120-RA, Dm_00012122-RA
OG0001147	Solyc09g009600.2.1	Dm_00000780-RA
OG0001147	Solyc09g009610.2.1	Dm_00001793-RA, Dm_00000781-RA
OG0001148	Solyc04g008740.3.1	Dm_00016802-RA, Dm_00013183-RA, Dm_00002144-RA
OG0001148	Solyc01g049650.3.1	Dm_00007826-RA
OG0001149	Solyc10g081030.2.1, Solyc10g078150.2.1	Dm_00002838-RA, Dm_00008134-RA
OG0001150	Solyc10g080890.2.1, Solyc10g080900.2.1, Solyc12g100280.2.1, Solyc12g036510.1.1, Solyc12g100220.2.1, Solyc10g006860.3.1, Solyc12g044940.2.1, Solyc12g045030.2.1	Dm_00020048-RA, Dm_00020047-RA
OG0001151	Solyc09g061230.3.1, Solyc06g083440.3.1, Solyc06g007930.3.1	Dm_00016067-RA, Dm_00000925-RA
OG0001151	Solyc03g082600.3.1	Dm_00000173-RA
OG0001151	Solyc01g096270.3.1	Dm_00018812-RA
OG0001152	Solyc09g008840.3.1	Dm_00007512-RA
OG0001153	Solyc12g100290.2.1, Solyc01g006220.2.1	Dm_00011018-RA, Dm_00011017-RA
OG0001154	Solyc12g019860.2.1	Dm_00011379-RA
OG0001155	Solyc02g092050.3.1	Dm_00008472-RA
OG0001155	Solyc04g077490.3.1	Dm_00017929-RA, Dm_00004024-RA
OG0001157	Solyc03g044140.3.1	Dm_00015359-RA
OG0001157	Solyc02g064700.3.1	Dm_00006935-RA, Dm_00003894-RA
OG0001158	Solyc02g093160.3.1	Dm_00017844-RA
OG0001159	Solyc05g056460.3.1	Dm_00003804-RA
OG0001159	Solyc01g104160.3.1	Dm_00017597-RA
OG0001160	Solyc08g075810.3.1, Solyc08g075800.1.1, Solyc10g012100.1.1, Solyc06g008920.3.1	Dm_00000150-RA
OG0001160	Solyc07g043660.3.1, Solyc07g043650.2.1, Solyc07g043630.2.1, Solyc07g043640.3.1, Solyc02g082880.2.1, Solyc02g082870.3.1, Solyc03g032210.3.1	Dm_00004702-RA
OG0001161	Solyc07g066675.1.1	Dm_00004683-RA
OG0001162	Solyc04g082620.3.1	Dm_00000161-RA
OG0001162	Solyc02g082470.3.1	Dm_00002271-RA
OG0001163	Solyc06g073240.3.1	Dm_00012590-RA
OG0001163	Solyc12g088640.2.1, Solyc12g057020.2.1, Solyc04g074110.3.1, Solyc01g102330.3.1	Dm_00002370-RA
OG0001164	Solyc03g119290.3.1, Solyc12g036410.2.1	Dm_00006905-RA
OG0001165	Solyc04g081260.3.1	Dm_00003039-RA
OG0001166	Solyc11g012220.1.1, Solyc11g012200.2.1, Solyc11g012210.1.1, Solyc11g012240.1.1, Solyc11g012250.1.1, Solyc11g012260.2.1	Dm_00020362-RA, Dm_00017671-RA
OG0001168	Solyc01g090780.3.1	Dm_00006060-RA, Dm_00006056-RA, Dm_00006057-RA
OG0001169	Solyc03g032190.3.1, Solyc02g082820.3.1	Dm_00004706-RA
OG0001169	Solyc12g094600.2.1, Solyc04g082430.3.1, Solyc04g081660.2.1	Dm_00020893-RA, Dm_00000153-RA
OG0001171	Solyc01g112090.3.1	Dm_00002065-RA
OG0001172	Solyc07g065250.3.1, Solyc08g082980.2.1	Dm_00003587-RA
OG0001172	Solyc07g047990.1.1, Solyc05g041420.3.1	Dm_00009949-RA
OG0001173	Solyc07g052450.2.1, Solyc07g064270.3.1	Dm_00000841-RA, Dm_00008228-RA
OG0001174	Solyc10g008770.3.1	Dm_00000697-RA
OG0001175	Solyc10g078860.2.1, Solyc10g078880.2.1	Dm_00010727-RA
OG0001176	Solyc11g012020.2.1	Dm_00016992-RA
OG0001176	Solyc10g006110.3.1, Solyc12g014460.2.1, Solyc07g064910.3.1	Dm_00012348-RA
OG0001177	Solyc08g007800.3.1, Solyc12g056440.2.1	Dm_00009412-RA
OG0001178	Solyc03g111720.3.1	Dm_00001437-RA
OG0001178	Solyc06g034020.3.1, Solyc03g093690.3.1	Dm_00019343-RA
OG0001179	Solyc06g062880.2.1	Dm_00012910-RA, Dm_00015319-RA
OG0001179	Solyc07g041230.3.1	Dm_00020013-RA
OG0001180	Solyc07g063180.3.1, Solyc01g005460.3.1	Dm_00011957-RA
OG0001180	Solyc00g052545.1.1, Solyc12g006630.2.1	Dm_00000088-RA
OG0001182	Solyc01g091750.3.1	Dm_00010694-RA
OG0001182	Solyc11g072340.2.1	Dm_00003069-RA, Dm_00018258-RA
OG0001183	Solyc06g036305.1.1	Dm_00006256-RA
OG0001183	Solyc01g095030.3.1	Dm_00011513-RA
OG0001186	Solyc07g007420.3.1, Solyc12g009870.2.1	Dm_00010337-RA
OG0001187	Solyc08g075460.3.1, Solyc08g075470.3.1, Solyc08g075450.3.1, Solyc12g096160.2.1	Dm_00010928-RA
OG0001188	Solyc08g081290.3.1	Dm_00004873-RA
OG0001188	Solyc10g012210.2.1, Solyc05g049960.3.1, Solyc01g094820.3.1	Dm_00004370-RA, Dm_00008376-RA
OG0001189	Solyc08g078530.3.1	Dm_00002084-RA, Dm_00000892-RA
OG0001190	Solyc10g008490.3.1, Solyc07g054300.3.1	Dm_00006515-RA, Dm_00018941-RA
OG0001191	Solyc11g068950.2.1, Solyc06g074120.3.1	Dm_00003292-RA
OG0001192	Solyc10g005360.3.1, Solyc02g080120.2.1	Dm_00007037-RA
OG0001193	Solyc10g085560.2.1, Solyc09g009030.3.1	Dm_00007114-RA, Dm_00004320-RA
OG0001194	Solyc10g006120.2.1, Solyc07g064900.3.1, Solyc12g014450.2.1	Dm_00005461-RA, Dm_00012347-RA
OG0001194	Solyc11g012000.2.1	Dm_00008585-RA
OG0001196	Solyc10g083340.2.1, Solyc10g085620.2.1	Dm_00018133-RA
OG0001197	Solyc05g016240.3.1, Solyc12g006420.2.1	Dm_00000507-RA, Dm_00005544-RA
OG0001197	Solyc12g017260.2.1	Dm_00008318-RA
OG0001198	Solyc01g087590.3.1	Dm_00012692-RA
OG0001201	Solyc05g007030.3.1	Dm_00014746-RA, Dm_00004191-RA
OG0001202	Solyc01g080230.3.1	Dm_00009001-RA
OG0001203	Solyc02g087630.3.1	Dm_00002591-RA
OG0001205	Solyc03g096820.3.1, Solyc06g072920.2.1	Dm_00007247-RA, Dm_00013059-RA, Dm_00000208-RA
OG0001207	Solyc04g078410.3.1	Dm_00001665-RA
OG0001216	Solyc09g009660.3.1, Solyc09g009670.3.1	Dm_00001792-RA
OG0001217	Solyc01g100040.3.1	Dm_00020683-RA
OG0001218	Solyc04g009990.3.1	Dm_00004722-RA, Dm_00003504-RA
OG0001219	Solyc09g010400.3.1	Dm_00004772-RA, Dm_00020556-RA, Dm_00016676-RA
OG0001219	Solyc11g073260.2.1, Solyc11g073250.2.1	Dm_00016217-RA
OG0001221	Solyc07g039220.1.1, Solyc01g057750.1.1, Solyc01g057650.1.1, Solyc01g067780.1.1	Dm_00020649-RA, Dm_00013750-RA
OG0001222	Solyc11g066520.2.1	Dm_00001342-RA
OG0001223	Solyc04g015100.3.1	Dm_00001526-RA
OG0001223	Solyc05g017760.3.1, Solyc07g045350.3.1	Dm_00013418-RA
OG0001224	Solyc01g005990.3.1, Solyc01g073680.3.1	Dm_00007970-RA
OG0001225	Solyc06g069640.3.1	Dm_00020324-RA
OG0001225	Solyc09g097930.3.1	Dm_00001198-RA
OG0001227	Solyc06g071520.1.1, Solyc03g112890.1.1	Dm_00011737-RA
OG0001227	Solyc09g055650.2.1, Solyc06g076840.2.1	Dm_00006039-RA
OG0001228	Solyc02g032100.3.1	Dm_00008396-RA
OG0001230	Solyc02g014430.3.1	Dm_00005110-RA, Dm_00008543-RA, Dm_00012010-RA
OG0001230	Solyc10g005450.2.1, Solyc02g079350.3.1, Solyc02g079330.3.1	Dm_00009935-RA
OG0001231	Solyc04g079880.3.1	Dm_00001145-RA
OG0001232	Solyc02g085300.3.1	Dm_00009209-RA
OG0001233	Solyc04g074290.3.1	Dm_00006121-RA, Dm_00011202-RA
OG0001234	Solyc00g007200.3.1, Solyc02g082430.3.1	Dm_00002275-RA
OG0001234	Solyc08g067760.3.1	Dm_00000162-RA
OG0001236	Solyc01g106570.3.1, Solyc10g048010.2.1	Dm_00018165-RA
OG0001237	Solyc11g010610.2.1	Dm_00008706-RA
OG0001238	Solyc08g074240.3.1, Solyc08g006040.3.1, Solyc12g096300.2.1	Dm_00004942-RA
OG0001239	Solyc08g008540.1.1, Solyc10g007090.3.1	Dm_00017515-RA
OG0001240	Solyc10g085430.2.1, Solyc09g014800.2.1, Solyc09g014595.1.1, Solyc09g014830.2.1, Solyc09g014833.1.1, Solyc09g014860.3.1, Solyc09g014820.3.1, Solyc06g050810.3.1, Solyc09g014910.3.1	Dm_00003538-RA
OG0001241	Solyc02g078800.3.1, Solyc02g078805.1.1	Dm_00002904-RA
OG0001242	Solyc02g084640.3.1	Dm_00003686-RA
OG0001243	Solyc07g042680.3.1, Solyc12g016080.1.1, Solyc12g009340.2.1, Solyc07g042890.3.1	Dm_00020422-RA, Dm_00011092-RA
OG0001244	Solyc05g047610.3.1, Solyc05g047640.3.1	Dm_00004515-RA
OG0001244	Solyc10g018160.2.1, Solyc01g091280.3.1	Dm_00003825-RA, Dm_00004103-RA
OG0001245	Solyc05g018390.3.1	Dm_00001031-RA
OG0001246	Solyc05g018810.3.1	Dm_00012018-RA
OG0001247	Solyc05g056330.3.1, Solyc12g036860.2.1, Solyc06g051665.1.1	Dm_00007591-RA, Dm_00017231-RA, Dm_00014313-RA, Dm_00018684-RA, Dm_00010971-RA, Dm_00019002-RA, Dm_00009350-RA, Dm_00020877-RA, Dm_00007399-RA, Dm_00011489-RA, Dm_00016194-RA, Dm_00018699-RA, Dm_00009433-RA
OG0001248	Solyc06g074010.3.1, Solyc11g068800.2.1	Dm_00016403-RA, Dm_00011846-RA
OG0001249	Solyc01g096940.3.1	Dm_00015478-RA
OG0001250	Solyc04g016280.3.1, Solyc10g079910.2.1, Solyc10g079280.2.1	Dm_00001192-RA
OG0001250	Solyc05g052790.3.1	Dm_00019964-RA, Dm_00015326-RA
OG0001252	Solyc03g112050.3.1	Dm_00001429-RA
OG0001253	Solyc11g065350.2.1, Solyc11g065360.2.1	Dm_00003456-RA, Dm_00007763-RA
OG0001255	Solyc02g062950.3.1, Solyc02g085610.3.1	Dm_00011970-RA
OG0001256	Solyc11g011920.2.1, Solyc05g054050.3.1	Dm_00003466-RA, Dm_00013042-RA
OG0001257	Solyc01g005310.3.1	Dm_00000384-RA
OG0001257	Solyc01g088505.1.1	Dm_00009450-RA
OG0001257	Solyc08g077360.3.1	Dm_00016937-RA
OG0001259	Solyc06g061240.3.1, Solyc08g005100.3.1, Solyc08g076860.3.1	Dm_00018938-RA, Dm_00010992-RA
