Orthogroup	S_lycopersicum.proteins	D_muscipula.proteins
OG0000050	Solyc04g015475.1.1	Dm_00010232-RA, Dm_00016824-RA, Dm_00012378-RA, Dm_00019415-RA, Dm_00019277-RA, Dm_00006632-RA, Dm_00006455-RA, Dm_00005078-RA, Dm_00016957-RA, Dm_00019666-RA, Dm_00016981-RA, Dm_00007900-RA, Dm_00021021-RA, Dm_00007273-RA, Dm_00012803-RA, Dm_00020847-RA, Dm_00021088-RA, Dm_00017831-RA
OG0000050	Solyc02g065260.3.1	Dm_00010704-RA, Dm_00017829-RA
OG0000051	Solyc00g304030.2.1, Solyc05g021247.1.1	Dm_00016762-RA, Dm_00014170-RA, Dm_00018202-RA, Dm_00007687-RA, Dm_00005613-RA, Dm_00019029-RA, Dm_00011734-RA, Dm_00016407-RA, Dm_00020926-RA, Dm_00012246-RA, Dm_00013138-RA, Dm_00017035-RA, Dm_00002397-RA, Dm_00017030-RA, Dm_00012248-RA, Dm_00016219-RA, Dm_00000875-RA, Dm_00005213-RA, Dm_00000437-RA, Dm_00008487-RA, Dm_00002944-RA
OG0000052	Solyc00g012690.1.1	Dm_00014948-RA, Dm_00010000-RA, Dm_00012651-RA, Dm_00017265-RA, Dm_00005710-RA, Dm_00013783-RA
OG0000052	Solyc00g012700.2.1	Dm_00007473-RA, Dm_00013264-RA, Dm_00005457-RA, Dm_00020818-RA, Dm_00011954-RA, Dm_00016444-RA, Dm_00004406-RA, Dm_00015652-RA, Dm_00007474-RA, Dm_00006699-RA, Dm_00014913-RA
OG0000055	Solyc05g024290.3.1	Dm_00019791-RA
OG0000055	Solyc01g067400.3.1	Dm_00013087-RA, Dm_00006640-RA
OG0000055	Solyc09g061330.2.1, Solyc06g083500.3.1	Dm_00000927-RA
OG0000055	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1	Dm_00000848-RA
OG0000055	Solyc10g005300.3.1	Dm_00006448-RA, Dm_00014246-RA
OG0000055	Solyc10g085990.2.1, Solyc11g072660.2.1, Solyc06g075550.3.1	Dm_00011186-RA
