Orthogroup	S_lycopersicum.proteins	A_coerulea.proteins
OG0002148	Solyc01g094770.3.1, Solyc10g012420.3.1	Aqcoe7G029200.6.p, Aqcoe7G029200.1.p, Aqcoe7G029200.5.p, Aqcoe7G029200.2.p, Aqcoe7G029200.4.p, Aqcoe7G029200.3.p
OG0002149	Solyc06g053260.1.1, Solyc03g082530.1.1, Solyc03g082520.1.1, Solyc06g053290.1.1, Solyc03g082510.1.1, Solyc01g096340.3.1	Aqcoe7G001900.1.p
OG0002150	Solyc08g068990.2.1	Aqcoe1G216200.1.p, Aqcoe1G216100.1.p, Aqcoe7G329100.1.p
OG0002151	Solyc08g016660.2.1, Solyc02g070430.3.1, Solyc07g061720.3.1, Solyc07g061730.3.1, Solyc07g056670.3.1, Solyc10g007560.2.1, Solyc10g007570.3.1	Aqcoe7G420000.1.p, Aqcoe1G189900.1.p
OG0002152	Solyc12g056940.2.1	Aqcoe5G316800.2.p, Aqcoe5G316800.1.p, Aqcoe5G316800.3.p, Aqcoe5G316800.4.p
OG0002153	Solyc08g062210.3.1, Solyc12g009050.2.1, Solyc03g121940.3.1, Solyc02g069855.1.1	Aqcoe7G116700.2.p, Aqcoe7G116700.3.p, Aqcoe7G116700.1.p, Aqcoe7G433200.4.p, Aqcoe7G433200.5.p, Aqcoe7G433200.1.p, Aqcoe7G433200.3.p, Aqcoe7G433200.2.p
OG0002154	Solyc08g079430.3.1	Aqcoe7G073400.1.p, Aqcoe7G073400.2.p
OG0002155	Solyc01g094660.3.1	Aqcoe7G031100.2.p, Aqcoe7G031100.4.p, Aqcoe7G031100.3.p, Aqcoe7G031100.1.p
OG0002156	Solyc06g053240.3.1, Solyc03g116610.3.1	Aqcoe7G266100.1.p
OG0002157	Solyc12g089010.2.1	Aqcoe7G396500.1.p
OG0002157	Solyc10g076910.2.1, Solyc12g036165.1.1	Aqcoe1G061700.1.p
OG0002158	Solyc07g018010.3.1, Solyc05g014590.3.1	Aqcoe7G303300.1.p
OG0002159	Solyc03g119220.3.1	Aqcoe3G026400.1.p
OG0002159	Solyc07g042560.3.1	Aqcoe7G439100.3.p, Aqcoe7G439100.1.p, Aqcoe7G439100.2.p
OG0002160	Solyc02g078210.3.1	Aqcoe1G264400.1.p
OG0002161	Solyc09g011690.3.1, Solyc10g084970.2.1	Aqcoe1G301600.1.p, Aqcoe1G093200.1.p, Aqcoe1G093200.2.p
OG0002162	Solyc08g063130.3.1, Solyc12g013690.2.1, Solyc12g013720.1.1	Aqcoe1G230300.2.p, Aqcoe1G230300.1.p, Aqcoe1G230200.1.p
OG0002163	Solyc10g006070.3.1, Solyc07g065170.3.1, Solyc06g007570.3.1	Aqcoe1G392100.1.p
OG0002163	Solyc09g057650.3.1	Aqcoe5G004200.1.p
OG0002164	Solyc03g034450.3.1, Solyc03g036460.2.1, Solyc03g042528.1.1, Solyc00g032030.2.1, Solyc03g034457.1.1, Solyc03g042520.2.1	Aqcoe1G282200.1.p, Aqcoe5G253900.1.p, Aqcoe5G446700.1.p, Aqcoe5G446700.2.p
OG0002165	Solyc06g050790.3.1, Solyc05g052300.3.1, Solyc06g050800.3.1	Aqcoe1G394200.1.p
OG0002166	Solyc03g063880.3.1, Solyc10g079110.2.1, Solyc11g065890.2.1	Aqcoe1G026300.2.p, Aqcoe1G026300.3.p, Aqcoe1G026300.1.p
OG0002167	Solyc12g017370.2.1	Aqcoe1G159000.4.p, Aqcoe1G159000.6.p, Aqcoe1G159000.3.p, Aqcoe1G159000.1.p, Aqcoe1G159000.2.p, Aqcoe1G159000.5.p
OG0002168	Solyc10g081720.2.1, Solyc01g006825.1.1	Aqcoe1G072400.1.p
OG0002169	Solyc09g031650.3.1	Aqcoe1G089900.4.p, Aqcoe1G089900.6.p, Aqcoe1G089900.8.p, Aqcoe1G089900.5.p, Aqcoe1G089900.1.p, Aqcoe1G089900.2.p, Aqcoe1G089900.3.p, Aqcoe1G089900.7.p
OG0002170	Solyc10g085010.2.1, Solyc10g086710.2.1, Solyc03g025670.3.1, Solyc03g025680.3.1	Aqcoe1G090800.1.p
OG0002171	Solyc11g066150.2.1, Solyc05g054590.3.1, Solyc04g011400.3.1	Aqcoe1G467300.2.p, Aqcoe1G467300.1.p, Aqcoe1G467400.3.p, Aqcoe1G467400.1.p, Aqcoe1G467400.2.p
OG0002172	Solyc10g005380.3.1, Solyc02g080110.3.1	Aqcoe1G356000.3.p, Aqcoe1G356000.1.p, Aqcoe1G356000.4.p, Aqcoe1G356000.2.p
OG0002173	Solyc03g025930.3.1, Solyc03g026400.2.1, Solyc03g062800.1.1, Solyc03g025940.2.1, Solyc01g017797.1.1, Solyc03g096620.2.1, Solyc03g025935.1.1, Solyc03g025933.1.1, Solyc03g062810.1.1, Solyc03g026413.1.1, Solyc03g026410.2.1, Solyc06g009250.1.1, Solyc03g026415.1.1, Solyc03g096615.1.1, Solyc01g015180.1.1, Solyc03g025925.1.1, Solyc01g017820.2.1, Solyc01g015130.1.1, Solyc01g016760.1.1, Solyc03g025920.3.1	Aqcoe3G267300.1.p, Aqcoe5G221800.1.p, Aqcoe3G267200.1.p, Aqcoe5G423100.4.p, Aqcoe5G423100.3.p, Aqcoe5G423100.2.p, Aqcoe5G423100.1.p
OG0002174	Solyc10g009220.3.1	Aqcoe5G469500.4.p, Aqcoe5G469500.1.p, Aqcoe5G469500.2.p, Aqcoe5G469500.3.p
OG0002175	Solyc03g044370.3.1	Aqcoe5G146100.1.p, Aqcoe5G146100.13.p, Aqcoe5G146100.14.p, Aqcoe5G146100.10.p, Aqcoe5G146100.9.p, Aqcoe5G146100.5.p, Aqcoe5G146100.6.p, Aqcoe5G146100.2.p, Aqcoe5G146100.3.p, Aqcoe5G146100.4.p, Aqcoe5G146100.12.p, Aqcoe5G146100.11.p, Aqcoe5G146100.8.p, Aqcoe5G146100.7.p
OG0002176	Solyc02g069610.3.1	Aqcoe5G267300.2.p, Aqcoe5G267300.3.p, Aqcoe5G267300.1.p, Aqcoe3G255100.4.p, Aqcoe3G255100.1.p, Aqcoe3G255100.2.p, Aqcoe3G255100.3.p
OG0002177	Solyc00g006810.3.1	Aqcoe5G330100.3.p, Aqcoe5G330100.1.p, Aqcoe5G330100.2.p, Aqcoe5G330200.1.p
OG0002178	Solyc05g015610.3.1	Aqcoe5G353400.1.p
OG0002179	Solyc08g015860.3.1, Solyc12g017570.2.1	Aqcoe5G000200.1.p, Aqcoe5G000200.2.p, Aqcoe5G000200.3.p
OG0002179	Solyc01g105810.4.1	Aqcoe5G169700.1.p
OG0002180	Solyc01g094330.3.1	Aqcoe5G362500.2.p, Aqcoe5G362500.3.p, Aqcoe5G362500.1.p, Aqcoe5G362500.6.p, Aqcoe5G362500.5.p, Aqcoe5G362500.4.p
OG0002181	Solyc11g072220.2.1, Solyc00g007260.3.1	Aqcoe5G428200.10.p, Aqcoe5G428200.1.p, Aqcoe5G428200.7.p, Aqcoe5G428200.4.p, Aqcoe5G428200.3.p, Aqcoe5G428200.8.p, Aqcoe5G428200.2.p, Aqcoe5G428200.6.p, Aqcoe5G428200.9.p, Aqcoe5G428200.5.p
OG0002182	Solyc02g081940.3.1	Aqcoe5G067600.1.p
OG0002183	Solyc02g077190.2.1	Aqcoe5G242800.6.p, Aqcoe5G242800.2.p, Aqcoe5G242800.4.p, Aqcoe5G242800.9.p, Aqcoe5G242800.10.p, Aqcoe5G242800.5.p, Aqcoe5G242800.1.p, Aqcoe5G242800.7.p, Aqcoe5G242800.3.p, Aqcoe5G242800.8.p
OG0002184	Solyc10g079510.2.1	Aqcoe5G119400.2.p, Aqcoe5G119400.1.p
OG0002185	Solyc02g064990.3.1, Solyc02g090900.3.1, Solyc04g078810.3.1	Aqcoe5G151200.2.p, Aqcoe5G151200.1.p
OG0002186	Solyc04g007630.2.1	Aqcoe3G102400.1.p
OG0002187	Solyc03g082720.3.1, Solyc03g082740.3.1, Solyc08g008520.3.1	Aqcoe5G468100.2.p, Aqcoe5G468100.1.p
OG0002188	Solyc06g059750.3.1, Solyc06g059755.1.1, Solyc06g059760.3.1	Aqcoe5G235700.1.p
OG0002189	Solyc01g005030.3.1	Aqcoe5G439900.1.p, Aqcoe5G439900.3.p, Aqcoe5G439900.2.p, Aqcoe5G439900.4.p
OG0002190	Solyc03g070450.1.1, Solyc02g065770.3.1, Solyc03g114910.3.1	Aqcoe3G367100.1.p, Aqcoe3G063300.2.p, Aqcoe3G063300.1.p
OG0002191	Solyc05g026540.3.1, Solyc11g011220.2.1	Aqcoe3G004900.1.p, Aqcoe3G004900.2.p
OG0002192	Solyc04g008720.3.1, Solyc02g021360.3.1	Aqcoe3G443900.1.p, Aqcoe3G443900.2.p
OG0002193	Solyc06g071150.3.1, Solyc03g113490.3.1	Aqcoe3G320400.4.p, Aqcoe3G320400.3.p, Aqcoe3G320400.2.p, Aqcoe3G320400.1.p, Aqcoe3G098900.2.p, Aqcoe3G098900.1.p, Aqcoe3G320500.1.p, Aqcoe3G320500.2.p
OG0002194	Solyc06g069860.3.1, Solyc05g007560.3.1, Solyc02g087930.3.1	Aqcoe3G079300.1.p, Aqcoe3G337700.1.p
OG0002195	Solyc02g086860.3.1, Solyc03g114290.3.1, Solyc06g071440.3.1	Aqcoe3G292400.2.p, Aqcoe3G292400.1.p
OG0002196	Solyc02g086970.3.1	Aqcoe3G117200.2.p
OG0002196	Solyc08g068190.3.1, Solyc05g005700.3.1	Aqcoe3G298300.1.p
OG0002197	Solyc05g013130.3.1, Solyc04g005570.3.1, Solyc01g010940.3.1	Aqcoe3G349200.1.p
OG0002211	Solyc04g071900.3.1, Solyc04g071890.3.1	Aqcoe5G254100.1.p, Aqcoe5G254000.1.p, Aqcoe0306s0001.1.p, Aqcoe5G254200.1.p, Aqcoe5G253300.1.p, Aqcoe5G253500.1.p, Aqcoe5G253100.1.p, Aqcoe5G254300.1.p
OG0002212	Solyc06g006110.3.1	Aqcoe1G422700.1.p
OG0002212	Solyc09g005260.3.1	Aqcoe2G096600.2.p, Aqcoe2G096600.1.p
OG0002213	Solyc09g061840.3.1, Solyc09g091470.3.1	Aqcoe2G389400.1.p
OG0002214	Solyc11g069440.1.1, Solyc11g065670.1.1, Solyc06g075180.1.1	Aqcoe2G207800.1.p, Aqcoe1G143900.1.p
OG0002215	Solyc10g018520.1.1	Aqcoe2G064900.1.p, Aqcoe2G064900.2.p
OG0002216	Solyc09g008320.3.1	Aqcoe1G131200.1.p
OG0002216	Solyc11g066270.2.1	Aqcoe2G207300.1.p
OG0002217	Solyc01g087380.3.1, Solyc01g087400.3.1, Solyc01g087360.2.1, Solyc01g087330.3.1, Solyc01g087320.3.1, Solyc01g087420.3.1, Solyc01g087430.3.1	Aqcoe2G018400.1.p
OG0002218	Solyc09g082210.3.1	Aqcoe2G347700.1.p, Aqcoe5G052400.2.p, Aqcoe5G052400.1.p, Aqcoe5G052400.3.p
OG0002219	Solyc09g009720.1.1	Aqcoe2G182600.1.p
OG0002220	Solyc01g068330.3.1	Aqcoe3G054000.2.p, Aqcoe3G054000.1.p, Aqcoe3G054000.3.p, Aqcoe1G218800.1.p, Aqcoe1G218800.2.p, Aqcoe2G050100.1.p, Aqcoe6G244800.1.p
OG0002221	Solyc06g008820.3.1, Solyc01g098190.3.1, Solyc01g067710.3.1	Aqcoe2G314900.1.p
OG0002222	Solyc06g060810.3.1	Aqcoe2G102600.9.p, Aqcoe2G102600.8.p, Aqcoe2G102600.1.p, Aqcoe2G102600.7.p, Aqcoe2G102600.6.p, Aqcoe2G102600.3.p, Aqcoe2G102600.4.p, Aqcoe2G102600.11.p, Aqcoe2G102600.10.p, Aqcoe2G102600.2.p, Aqcoe2G102600.5.p, Aqcoe2G027500.1.p
OG0002223	Solyc04g076970.3.1	Aqcoe4G247700.1.p, Aqcoe4G247400.1.p, Aqcoe4G246900.1.p, Aqcoe4G247500.1.p, Aqcoe6G259900.1.p, Aqcoe1G417200.1.p, Aqcoe1G417300.1.p
OG0002223	Solyc10g085210.2.1, Solyc09g005610.3.1	Aqcoe2G090600.1.p
OG0002224	Solyc12g099630.2.1, Solyc01g067070.3.1	Aqcoe2G304300.1.p, Aqcoe7G271700.2.p, Aqcoe7G271700.3.p, Aqcoe7G271700.1.p, Aqcoe7G271700.4.p, Aqcoe7G271700.5.p
OG0002225	Solyc01g087540.3.1	Aqcoe2G022000.1.p
OG0002225	Solyc04g015620.3.1, Solyc04g015610.3.1	Aqcoe2G000300.1.p, Aqcoe2G000200.1.p
OG0002226	Solyc06g009840.3.1, Solyc09g075450.3.1, Solyc06g009820.3.1, Solyc06g009830.3.1	Aqcoe2G285600.1.p, Aqcoe2G285600.2.p, Aqcoe3G076900.1.p, Aqcoe3G076900.2.p
OG0002227	Solyc11g066590.2.1, Solyc11g066600.2.1	Aqcoe1G118700.1.p, Aqcoe1G118700.2.p, Aqcoe2G159500.1.p, Aqcoe2G246200.1.p, Aqcoe1G120600.2.p, Aqcoe1G120600.3.p, Aqcoe1G087500.1.p, Aqcoe3G037200.1.p
OG0002228	Solyc01g098200.3.1	Aqcoe5G073300.1.p
OG0002228	Solyc01g067720.3.1	Aqcoe6G075600.1.p, Aqcoe2G315000.1.p, Aqcoe2G315000.2.p
OG0002229	Solyc09g091650.3.1	Aqcoe2G386400.2.p, Aqcoe2G386400.1.p, Aqcoe2G386400.3.p, Aqcoe2G386400.4.p
OG0002230	Solyc11g008150.2.1	Aqcoe2G209500.1.p, Aqcoe2G209500.6.p, Aqcoe2G209500.5.p, Aqcoe2G209500.7.p, Aqcoe2G209500.4.p, Aqcoe2G209500.3.p, Aqcoe2G209500.2.p
OG0002231	Solyc03g063150.3.1, Solyc11g008860.2.1, Solyc01g056310.3.1, Solyc01g005510.3.1	Aqcoe2G234800.1.p, Aqcoe2G234600.1.p, Aqcoe2G234400.1.p
OG0002232	Solyc10g085800.2.1	Aqcoe2G157400.1.p, Aqcoe2G157400.4.p, Aqcoe2G157400.3.p, Aqcoe2G157400.2.p, Aqcoe1G121200.1.p, Aqcoe1G121200.2.p
OG0002233	Solyc09g007280.3.1	Aqcoe1G488500.1.p, Aqcoe1G488400.1.p
OG0002234	Solyc01g095710.3.1	Aqcoe3G077100.2.p, Aqcoe3G077100.1.p, Aqcoe2G285800.1.p
OG0002235	Solyc06g011375.1.1, Solyc06g011374.1.1	Aqcoe2G173300.4.p, Aqcoe2G173300.2.p, Aqcoe2G173300.1.p, Aqcoe2G173300.5.p, Aqcoe2G173300.3.p
OG0002236	Solyc01g058010.3.1, Solyc01g100810.3.1	Aqcoe5G267700.1.p, Aqcoe2G263500.1.p
OG0002237	Solyc01g081620.3.1, Solyc10g045380.2.1, Solyc08g075790.3.1	Aqcoe1G055200.1.p, Aqcoe1G055200.2.p, Aqcoe1G055100.1.p, Aqcoe1G055000.1.p, Aqcoe2G059700.1.p
OG0002238	Solyc08g066010.2.1	Aqcoe7G418300.1.p, Aqcoe2G298400.2.p, Aqcoe2G298400.1.p
OG0002239	Solyc01g101020.3.1, Solyc01g101030.3.1, Solyc10g006770.3.1	Aqcoe2G130100.1.p, Aqcoe5G296400.1.p, Aqcoe5G258100.1.p
OG0002240	Solyc09g008400.3.1, Solyc10g083920.2.1	Aqcoe1G129800.1.p, Aqcoe7G115500.1.p
OG0002240	Solyc05g055530.3.1	Aqcoe2G209600.2.p, Aqcoe2G209600.1.p
OG0002241	Solyc01g065540.3.1, Solyc05g054390.3.1	Aqcoe2G282600.1.p, Aqcoe2G282600.2.p
OG0002241	Solyc12g099380.2.1	Aqcoe7G048400.1.p
OG0002242	Solyc12g099730.2.1, Solyc12g099680.1.1, Solyc11g065390.2.1, Solyc11g065400.2.1, Solyc11g065470.2.1, Solyc11g065460.1.1, Solyc11g065440.2.1, Solyc11g065480.2.1, Solyc11g065450.1.1, Solyc12g099690.1.1, Solyc01g006770.2.1	Aqcoe2G230900.1.p
OG0002243	Solyc09g011220.3.1	Aqcoe1G099100.1.p
OG0002243	Solyc06g051270.3.1, Solyc03g096730.3.1	Aqcoe2G231900.1.p, Aqcoe2G231900.2.p
OG0002244	Solyc04g078550.3.1	Aqcoe5G143700.1.p
OG0002244	Solyc02g093050.3.1	Aqcoe6G312400.1.p
OG0002245	Solyc04g082600.3.1, Solyc02g082490.3.1, Solyc00g007195.1.1	Aqcoe6G170800.1.p, Aqcoe6G170800.2.p
OG0002246	Solyc11g005910.2.1	Aqcoe6G035000.2.p, Aqcoe6G035000.1.p
OG0002247	Solyc01g111520.3.1, Solyc12g089330.2.1	Aqcoe6G224000.3.p, Aqcoe6G224000.2.p, Aqcoe6G224000.1.p
OG0002249	Solyc04g079910.3.1, Solyc03g044950.2.1, Solyc03g044960.2.1	Aqcoe6G109300.1.p, Aqcoe3G068600.1.p, Aqcoe5G199600.1.p
OG0002250	Solyc05g009430.3.1	Aqcoe3G035300.1.p
OG0002250	Solyc02g078920.3.1	Aqcoe6G136200.1.p, Aqcoe1G331900.1.p
OG0002251	Solyc04g051860.3.1	Aqcoe6G050500.1.p
OG0002252	Solyc08g023597.1.1	Aqcoe1G295100.1.p
OG0002253	Solyc06g011280.3.1, Solyc11g028100.2.1, Solyc11g028090.2.1	Aqcoe6G012800.1.p, Aqcoe6G012800.2.p, Aqcoe5G099800.1.p
OG0002254	Solyc05g051390.3.1, Solyc11g010630.3.1, Solyc04g014380.3.1	Aqcoe6G093100.1.p
OG0002255	Solyc04g063380.3.1	Aqcoe6G034200.1.p, Aqcoe6G034200.3.p, Aqcoe6G034200.2.p
OG0002256	Solyc04g082320.3.1	Aqcoe6G139200.1.p
OG0002257	Solyc10g049630.2.1, Solyc01g107300.3.1, Solyc02g092750.3.1	Aqcoe6G293200.1.p, Aqcoe6G293200.2.p, Aqcoe6G293200.3.p
OG0002258	Solyc12g094680.2.1, Solyc04g082510.3.1	Aqcoe6G175300.1.p, Aqcoe5G121100.1.p
OG0002259	Solyc02g092230.3.1, Solyc03g043930.3.1	Aqcoe6G273500.1.p
OG0002260	Solyc04g072810.3.1	Aqcoe6G061800.2.p, Aqcoe6G061800.1.p
OG0002261	Solyc01g110180.3.1, Solyc12g089240.2.1, Solyc04g081020.3.1	Aqcoe6G256000.1.p
OG0002262	Solyc12g056750.2.1, Solyc04g072070.3.1, Solyc04g051690.3.1, Solyc08g062490.3.1	Aqcoe6G048300.1.p
OG0002263	Solyc01g111570.3.1	Aqcoe6G220800.2.p, Aqcoe6G220800.5.p, Aqcoe6G220800.4.p, Aqcoe6G220800.1.p, Aqcoe6G220800.3.p
OG0002264	Solyc07g005810.3.1, Solyc12g009960.2.1	Aqcoe7G353000.1.p, Aqcoe4G242300.1.p
OG0002265	Solyc03g006470.3.1, Solyc02g078480.3.1, Solyc10g009010.3.1, Solyc10g006920.3.1	Aqcoe1G303400.1.p, Aqcoe4G134800.1.p
OG0002266	Solyc06g050510.3.1	Aqcoe7G044700.1.p, Aqcoe4G175400.1.p
OG0002267	Solyc03g096306.1.1, Solyc12g062733.1.1, Solyc09g072730.2.1, Solyc04g014576.1.1, Solyc08g065167.1.1	Aqcoe7G256100.1.p, Aqcoe4G082700.1.p
OG0002268	Solyc12g014490.2.1, Solyc07g064970.3.1	Aqcoe1G334800.2.p, Aqcoe1G334800.3.p, Aqcoe1G334800.1.p
OG0002269	Solyc07g055100.3.1, Solyc12g010890.2.1, Solyc02g076810.3.1	Aqcoe4G270000.1.p, Aqcoe1G225400.1.p, Aqcoe4G043700.1.p
OG0002270	Solyc01g067480.3.1	Aqcoe4G215100.1.p
OG0002271	Solyc03g006130.3.1, Solyc02g076660.3.1, Solyc02g021590.3.1	Aqcoe4G040500.1.p
OG0002272	Solyc07g065220.2.1, Solyc07g048040.1.1, Solyc07g065230.1.1	Aqcoe4G274300.1.p
OG0002273	Solyc07g064820.1.1, Solyc07g051870.1.1, Solyc07g051890.1.1, Solyc07g051920.1.1, Solyc07g051930.2.1, Solyc07g051860.1.1, Solyc07g051880.1.1	Aqcoe1G294100.1.p, Aqcoe4G211200.1.p
OG0002274	Solyc06g005820.3.1, Solyc06g005813.1.1, Solyc06g005817.1.1, Solyc08g006250.1.1	Aqcoe1G092900.1.p, Aqcoe1G092800.1.p, Aqcoe4G267600.1.p
OG0002274	Solyc09g014870.1.1	Aqcoe1G093000.1.p
OG0002275	Solyc10g006470.3.1	Aqcoe4G239100.1.p
OG0002275	Solyc07g064150.3.1, Solyc03g031810.3.1	Aqcoe1G354500.1.p
OG0002276	Solyc08g068160.2.1	Aqcoe7G399500.1.p, Aqcoe7G179100.1.p
OG0002277	Solyc08g067970.3.1	Aqcoe7G186400.3.p, Aqcoe7G186400.1.p, Aqcoe7G186400.2.p
OG0002278	Solyc07g014690.3.1, Solyc07g014680.3.1	Aqcoe7G287400.1.p
OG0002279	Solyc01g017183.1.1, Solyc01g017400.2.1, Solyc09g061450.1.1, Solyc02g085495.1.1	Aqcoe7G307700.1.p
OG0002279	Solyc01g018060.1.1, Solyc11g020830.1.1, Solyc03g062780.1.1, Solyc02g011877.1.1	Aqcoe7G228100.1.p
OG0002280	Solyc05g051992.1.1, Solyc05g051994.1.1, Solyc03g093350.3.1	Aqcoe7G255800.1.p, Aqcoe7G090200.1.p, Aqcoe5G406900.1.p
OG0002281	Solyc06g007340.3.1, Solyc06g007330.3.1, Solyc01g065960.2.1, Solyc09g018440.2.1, Solyc09g018430.3.1	Aqcoe7G366000.1.p, Aqcoe7G312700.1.p, Aqcoe7G312600.1.p, Aqcoe1G152700.1.p
OG0002282	Solyc06g065680.3.1	Aqcoe7G196500.1.p, Aqcoe7G397800.1.p
OG0002283	Solyc12g040810.2.1, Solyc03g118570.3.1	Aqcoe7G394700.1.p, Aqcoe7G394700.2.p
OG0002284	Solyc04g072260.2.1, Solyc04g072265.1.1	Aqcoe7G421400.1.p
OG0002285	Solyc09g009800.3.1	Aqcoe7G152100.1.p, Aqcoe7G152100.2.p, Aqcoe7G152100.3.p
OG0002286	Solyc07g006300.3.1	Aqcoe7G254700.1.p
OG0002286	Solyc03g117800.3.1	Aqcoe7G339800.3.p, Aqcoe7G339800.1.p
OG0002287	Solyc05g023800.3.1	Aqcoe7G212900.1.p, Aqcoe7G212200.1.p
OG0002288	Solyc12g009800.2.1, Solyc07g007670.3.1	Aqcoe7G377700.3.p, Aqcoe7G377700.2.p, Aqcoe7G377700.1.p
OG0002289	Solyc03g007240.3.1	Aqcoe7G012600.2.p, Aqcoe7G012600.1.p, Aqcoe7G012600.5.p, Aqcoe7G012600.4.p, Aqcoe7G012600.3.p, Aqcoe7G012600.6.p
OG0002290	Solyc12g006920.2.1, Solyc06g065690.3.1	Aqcoe7G195900.1.p
OG0002291	Solyc03g083400.3.1	Aqcoe7G010300.1.p
OG0002292	Solyc10g044470.2.1, Solyc01g103140.3.1	Aqcoe7G244300.1.p
OG0002293	Solyc12g096480.1.1, Solyc12g096490.1.1, Solyc08g006520.1.1, Solyc07g006600.1.1	Aqcoe0018s0011.1.p
OG0002294	Solyc07g008250.3.1, Solyc12g009560.2.1, Solyc06g049010.2.1, Solyc08g060810.3.1	Aqcoe1G409200.1.p, Aqcoe7G265200.1.p
OG0002295	Solyc09g048990.3.1, Solyc08g081910.3.1, Solyc12g056110.2.1, Solyc08g008210.3.1	Aqcoe7G022700.1.p
OG0002296	Solyc12g006700.2.1	Aqcoe7G393100.1.p
OG0002296	Solyc12g042880.2.1, Solyc06g067970.2.1	Aqcoe7G280400.2.p, Aqcoe7G280400.1.p, Aqcoe7G280400.3.p
OG0002297	Solyc07g044880.3.1, Solyc12g006290.2.1	Aqcoe1G183400.1.p, Aqcoe1G183400.2.p
OG0002298	Solyc07g062080.3.1, Solyc07g056350.3.1	Aqcoe1G207400.1.p
OG0002300	Solyc10g082000.2.1, Solyc01g007260.3.1, Solyc05g055200.3.1, Solyc11g006650.2.1	Aqcoe1G431900.1.p
OG0002301	Solyc01g102490.3.1	Aqcoe5G160000.3.p, Aqcoe5G160000.2.p, Aqcoe5G160000.1.p, Aqcoe5G160000.4.p, Aqcoe1G035800.3.p, Aqcoe1G035800.2.p, Aqcoe1G035800.1.p
OG0002302	Solyc07g065610.1.1	Aqcoe1G378900.1.p
OG0002302	Solyc09g007510.2.1, Solyc10g084250.1.1	Aqcoe1G494500.1.p
OG0002303	Solyc04g076560.3.1	Aqcoe1G327100.1.p, Aqcoe1G326800.1.p, Aqcoe1G326600.1.p, Aqcoe1G327800.1.p, Aqcoe5G165300.1.p, Aqcoe1G327200.1.p, Aqcoe1G328400.1.p, Aqcoe1G326100.1.p, Aqcoe1G328100.1.p, Aqcoe1G327300.1.p
OG0002304	Solyc07g063390.3.1, Solyc07g063370.2.1	Aqcoe1G319900.1.p, Aqcoe1G319800.1.p, Aqcoe1G320000.1.p, Aqcoe1G320000.2.p, Aqcoe1G320400.1.p, Aqcoe1G320400.2.p, Aqcoe1G320400.3.p
OG0002305	Solyc01g006040.3.1	Aqcoe1G007400.2.p, Aqcoe1G007400.1.p
OG0002306	Solyc10g074940.2.1	Aqcoe1G502300.1.p, Aqcoe1G502300.2.p
OG0002307	Solyc11g061700.2.1, Solyc12g100120.2.1	Aqcoe1G027600.3.p, Aqcoe1G027600.2.p, Aqcoe1G027600.4.p, Aqcoe1G027600.1.p, Aqcoe1G027400.1.p
OG0002308	Solyc07g063550.3.1, Solyc10g006850.3.1	Aqcoe1G302300.2.p, Aqcoe1G302300.3.p, Aqcoe1G302300.1.p
OG0002309	Solyc10g007700.3.1, Solyc07g056150.3.1, Solyc12g011130.2.1	Aqcoe1G244600.1.p
OG0002310	Solyc06g048970.3.1	Aqcoe1G406900.1.p
OG0002311	Solyc09g007370.3.1	Aqcoe1G491100.5.p, Aqcoe1G491100.7.p, Aqcoe1G491100.3.p, Aqcoe1G491100.1.p, Aqcoe1G491100.8.p, Aqcoe1G491100.2.p, Aqcoe1G491100.6.p, Aqcoe1G491100.4.p
OG0002312	Solyc05g052830.3.1, Solyc03g096380.3.1, Solyc05g052820.3.1, Solyc03g096390.3.1	Aqcoe1G089800.1.p
OG0002313	Solyc06g068970.3.1, Solyc03g118830.3.1	Aqcoe3G013300.2.p, Aqcoe3G013300.1.p, Aqcoe3G014100.1.p, Aqcoe5G030300.1.p
OG0002314	Solyc03g080100.3.1, Solyc06g073070.2.1	Aqcoe5G473700.1.p
OG0002315	Solyc03g118190.3.1, Solyc06g068830.2.1, Solyc12g042210.2.1	Aqcoe5G327100.1.p
OG0002316	Solyc05g054420.3.1, Solyc06g051810.3.1	Aqcoe5G391200.1.p
OG0002317	Solyc01g111860.3.1	Aqcoe5G128400.1.p, Aqcoe5G128400.3.p, Aqcoe5G128400.2.p
OG0002318	Solyc01g006880.3.1	Aqcoe5G107400.1.p
OG0002319	Solyc02g094190.3.1, Solyc02g068140.3.1, Solyc03g019650.3.1	Aqcoe5G353900.2.p, Aqcoe5G353900.1.p
OG0002320	Solyc04g012070.2.1, Solyc09g089860.3.1, Solyc03g005480.3.1	Aqcoe5G029000.1.p, Aqcoe5G029000.2.p
OG0002321	Solyc01g096580.3.1, Solyc01g096590.3.1	Aqcoe5G421400.1.p
OG0002322	Solyc04g050790.3.1, Solyc06g083080.3.1	Aqcoe5G011600.2.p, Aqcoe5G011600.1.p, Aqcoe5G011600.3.p, Aqcoe5G011300.1.p
OG0002323	Solyc02g085690.3.1, Solyc04g079970.3.1, Solyc12g089030.2.1	Aqcoe3G102700.1.p, Aqcoe5G198800.1.p
OG0002324	Solyc09g064240.3.1, Solyc08g078370.3.1	Aqcoe5G009300.1.p, Aqcoe5G009300.2.p
OG0002325	Solyc03g111730.3.1, Solyc05g013920.3.1	Aqcoe3G136400.1.p, Aqcoe5G385600.1.p
