Orthogroup	A_hypochondriacus.proteins	P_amilis.proteins
OG0001892	AH014434-RA, AH020950-RA	FUN_013073-T3, FUN_013073-T1
OG0001893	AH022447-RA	FUN_018217-T3, FUN_018217-T2, FUN_018217-T1
OG0001894	AH009195-RA	FUN_049246-T1
OG0001894	AH012326-RA	FUN_025859-T1
OG0001895	AH020899-RA	FUN_026434-T1
OG0001895	AH016176-RA, AH023355-RA	FUN_005030-T1
OG0001896	AH023236-RA	FUN_020949-T1, FUN_020949-T2, FUN_008398-T2, FUN_008398-T1
OG0001896	AH005882-RA	FUN_026080-T4, FUN_026080-T2, FUN_026080-T1, FUN_026080-T3
OG0001897	AH013421-RA, AH022317-RA	FUN_024056-T1
OG0001898	AH014569-RA	FUN_027790-T1, FUN_027790-T3, FUN_027790-T2
OG0001898	AH013371-RA	FUN_050062-T1
OG0001899	AH021056-RA, AH014283-RA	FUN_028762-T1
OG0001900	AH023235-RA	FUN_008472-T1
OG0001901	AH009169-RA	FUN_049417-T1, FUN_037062-T1
OG0001902	AH020702-RA	FUN_026120-T2, FUN_026120-T1
OG0001902	AH020700-RA	FUN_007771-T2, FUN_007771-T4, FUN_007771-T1, FUN_007771-T3
OG0001903	AH009550-RA	FUN_037458-T1, FUN_048176-T1
OG0001903	AH011982-RA	FUN_008865-T1, FUN_013656-T1
OG0001904	AH014526-RA	FUN_026430-T1
OG0001904	AH000560-RA, AH001826-RA	FUN_002277-T1
OG0001905	AH019292-RA	FUN_029217-T1
OG0001905	AH022424-RA, AH013230-RA	FUN_007729-T1
OG0001906	AH013660-RA, AH022498-RA	FUN_049265-T1
OG0001906	AH023454-RA	FUN_001063-T1
OG0001907	AH022335-RA	FUN_000963-T1, FUN_014005-T1, FUN_050110-T1, FUN_050112-T1, FUN_050113-T1, FUN_050114-T1
OG0001908	AH000258-RA	FUN_005175-T1
OG0001908	AH008162-RA	FUN_043755-T1
OG0001909	AH000570-RA, AH001813-RA	FUN_002253-T1, FUN_030448-T1, FUN_003583-T1, FUN_050512-T1
OG0001910	AH021965-RA, AH012791-RA, AH015928-RA	FUN_000869-T1, FUN_005895-T1
OG0001911	AH008231-RA, AH009885-RA	FUN_046175-T1, FUN_046174-T1
OG0001912	AH021751-RA, AH021752-RA	FUN_003964-T1
OG0001913	AH014788-RA, AH021371-RA	FUN_035650-T1, FUN_035648-T1
OG0001914	AH021405-RA	FUN_036772-T1
OG0001914	AH021404-RA, AH014847-RA	FUN_036773-T1
OG0001915	AH012834-RA	FUN_042742-T1
OG0001916	AH021885-RA, AH012726-RA	FUN_014617-T2, FUN_014617-T3, FUN_014617-T1
OG0001917	AH008209-RA	FUN_009935-T1
OG0001917	AH014993-RA	FUN_012370-T1, FUN_035199-T1
OG0001918	AH020957-RA	FUN_027505-T1
OG0001919	AH023321-RA	FUN_025135-T1
OG0001919	AH013641-RA	FUN_033214-T1
OG0001920	AH021819-RA	FUN_020544-T2, FUN_020544-T1, FUN_020544-T3, FUN_039075-T1
OG0001921	AH000041-RA	FUN_011758-T1, FUN_011758-T2, FUN_011758-T3
OG0001921	AH005106-RA	FUN_032463-T1, FUN_032467-T1
OG0001922	AH007184-RA	FUN_015061-T1, FUN_040507-T1
OG0001922	AH018949-RA	FUN_024829-T2, FUN_024829-T1
OG0001923	AH013011-RA	FUN_024911-T2, FUN_024911-T1, FUN_043655-T1, FUN_043647-T1
OG0001924	AH003988-RA, AH005584-RA, AH010848-RA	FUN_030240-T1, FUN_001116-T1
OG0001925	AH016663-RA	FUN_024541-T1
OG0001925	AH001308-RA, AH001647-RA	FUN_047195-T1
OG0001926	AH008719-RA	FUN_053234-T1, FUN_053234-T3, FUN_048611-T2, FUN_048611-T1
OG0001927	AH000709-RA	FUN_052057-T3, FUN_052057-T4, FUN_052057-T2, FUN_052057-T1
OG0001928	AH019362-RA	FUN_030853-T1, FUN_030855-T1, FUN_018367-T1
OG0001929	AH011101-RA	FUN_033331-T1
OG0001929	AH009989-RA	FUN_001562-T1
OG0001930	AH023430-RA	FUN_039264-T2, FUN_039264-T1
OG0001931	AH002796-RA, AH017624-RA, AH014161-RA	FUN_047532-T1, FUN_011016-T1
OG0001932	AH009321-RA	FUN_021988-T5, FUN_021988-T4, FUN_021988-T3, FUN_021988-T2, FUN_021988-T1, FUN_021988-T6, FUN_024929-T1, FUN_013081-T1, FUN_013078-T1
OG0001933	AH004671-RA	FUN_023013-T1
OG0001933	AH002774-RA, AH017645-RA	FUN_010981-T1
OG0001934	AH012105-RA	FUN_009094-T1
OG0001934	AH019419-RA	FUN_013815-T1
OG0001934	AH012161-RA	FUN_015253-T1
OG0001935	AH002493-RA	FUN_047400-T1, FUN_032951-T1, FUN_047399-T1, FUN_047398-T1, FUN_010825-T1
OG0001936	AH007839-RA, AH010696-RA	FUN_022487-T3, FUN_022487-T1, FUN_022487-T2
OG0001937	AH017634-RA, AH002787-RA	FUN_047522-T1, FUN_011002-T1
OG0001938	AH015778-RA	FUN_029208-T1
OG0001938	AH002820-RA	FUN_011073-T1
OG0001939	AH017629-RA	FUN_011012-T1
OG0001939	AH017630-RA	FUN_011011-T1
OG0001940	AH019056-RA, AH018695-RA, AH009866-RA, AH009963-RA, AH009962-RA, AH008243-RA, AH008245-RA, AH008246-RA, AH009358-RA, AH009830-RA	FUN_011213-T1, FUN_011212-T1
OG0001941	AH015141-RA, AH015155-RA, AH021580-RA	FUN_035502-T3, FUN_035502-T1, FUN_035502-T2, FUN_035502-T4
OG0001942	AH012215-RA, AH012236-RA, AH012177-RA, AH012241-RA, AH012255-RA, AH012300-RA, AH012238-RA, AH016640-RA, AH012216-RA, AH012237-RA, AH012299-RA	FUN_011756-T1, FUN_011755-T1, FUN_012711-T1, FUN_011836-T1, FUN_011747-T1, FUN_010649-T1, FUN_011751-T1, FUN_012712-T1, FUN_012706-T1, FUN_012703-T1, FUN_012698-T1, FUN_011746-T1, FUN_011597-T1, FUN_011749-T1, FUN_012185-T1, FUN_010648-T1, FUN_033405-T1, FUN_033420-T1, FUN_043739-T1, FUN_033441-T1, FUN_033409-T1
OG0001943	AH007385-RA	FUN_053224-T2, FUN_053224-T1
OG0001958	AH015713-RA	FUN_004544-T1
OG0001958	AH020473-RA, AH006736-RA	FUN_032766-T1
OG0001959	AH004714-RA	FUN_008829-T1
OG0001959	AH007175-RA	FUN_019166-T1
OG0001960	AH007526-RA, AH010570-RA	FUN_000412-T1
OG0001960	AH012886-RA	FUN_024643-T1
OG0001961	AH022404-RA, AH013257-RA	FUN_048703-T1
OG0001961	AH019541-RA	FUN_022705-T1, FUN_013974-T1
OG0001963	AH000200-RA	FUN_001133-T1, FUN_001133-T2
OG0001964	AH022716-RA, AH013169-RA	FUN_049346-T1
OG0001964	AH014795-RA, AH021386-RA	FUN_035832-T1, FUN_043492-T1
OG0001966	AH011618-RA	FUN_014751-T4, FUN_014751-T2, FUN_014751-T1, FUN_014751-T5, FUN_014751-T3, FUN_031623-T1
OG0001967	AH022029-RA, AH012994-RA	FUN_024861-T1, FUN_043700-T1
OG0001969	AH001351-RA	FUN_015541-T1
OG0001969	AH010017-RA, AH008094-RA	FUN_046547-T1
OG0001970	AH004245-RA, AH004243-RA	FUN_009784-T1, FUN_009780-T1
OG0001970	AH007481-RA	FUN_052575-T2, FUN_052575-T1, FUN_052574-T1
OG0001971	AH008086-RA	FUN_024922-T1, FUN_038122-T1, FUN_038082-T1, FUN_030836-T1, FUN_030835-T1
OG0001971	AH019355-RA, AH019354-RA	FUN_018817-T1
OG0001972	AH013542-RA, AH022047-RA	FUN_010274-T1
OG0001973	AH013155-RA	FUN_049324-T1
OG0001974	AH014943-RA	FUN_026996-T1
OG0001974	AH012720-RA	FUN_015647-T1
OG0001975	AH023262-RA	FUN_004375-T1, FUN_004374-T1
OG0001976	AH022760-RA	FUN_016889-T1
OG0001977	AH019267-RA	FUN_018983-T1
OG0001977	AH021722-RA, AH012475-RA	FUN_004013-T1
OG0001978	AH002650-RA	FUN_010422-T2, FUN_010422-T1, FUN_007812-T1, FUN_051208-T1, FUN_027495-T1, FUN_051209-T1
OG0001979	AH012979-RA, AH022090-RA	FUN_042983-T1
OG0001980	AH000238-RA	FUN_027315-T1
OG0001980	AH014960-RA	FUN_012316-T1
OG0001981	AH017275-RA, AH002735-RA	FUN_044945-T1
OG0001982	AH001759-RA	FUN_050659-T1
OG0001982	AH000543-RA	FUN_002190-T1
OG0001983	AH000808-RA, AH002268-RA	FUN_051974-T1, FUN_045730-T1
OG0001984	AH006332-RA	FUN_020810-T1, FUN_020810-T2
OG0001985	AH008400-RA	FUN_042726-T1
OG0001985	AH006174-RA, AH003901-RA	FUN_030501-T2, FUN_030501-T1, FUN_052780-T1
OG0001987	AH010029-RA	FUN_011954-T1, FUN_046576-T1
OG0001988	AH018478-RA, AH011565-RA	FUN_017804-T1
OG0001989	AH005859-RA	FUN_025457-T1
OG0001990	AH002387-RA, AH000710-RA	FUN_003741-T1
OG0001991	AH003881-RA, AH005693-RA	FUN_001785-T1, FUN_030545-T1, FUN_039245-T1
OG0001992	AH008775-RA	FUN_038203-T1
OG0001993	AH006129-RA	FUN_029382-T1
OG0001994	AH020693-RA	FUN_013162-T1
OG0001994	AH018585-RA	FUN_018447-T1, FUN_005724-T1
OG0001995	AH021635-RA	FUN_008764-T2, FUN_008764-T4, FUN_008764-T1, FUN_008764-T3, FUN_008764-T5
OG0001996	AH001366-RA	FUN_027380-T1
OG0001996	AH021402-RA, AH014839-RA	FUN_043403-T1
OG0001996	AH015880-RA	FUN_036775-T1
OG0001997	AH010110-RA	FUN_011862-T2, FUN_011862-T1
OG0001997	AH010133-RA, AH008010-RA	FUN_046704-T2, FUN_046704-T1
OG0001998	AH009953-RA	FUN_046686-T1
OG0001999	AH014217-RA	FUN_001873-T1
OG0002000	AH009887-RA	FUN_046170-T1, FUN_044126-T2, FUN_044126-T1
OG0002000	AH000184-RA	FUN_018510-T1
OG0002001	AH000414-RA	FUN_015595-T1, FUN_015595-T2
OG0002001	AH007240-RA	FUN_045287-T1, FUN_045287-T2, FUN_045287-T3
OG0002002	AH014808-RA	FUN_035811-T1
OG0002002	AH000702-RA	FUN_052081-T1, FUN_052081-T2
OG0002003	AH014048-RA	FUN_012968-T1
OG0002004	AH023291-RA	FUN_000151-T1
OG0002004	AH002085-RA, AH000465-RA	FUN_004951-T1
OG0002005	AH017156-RA	FUN_033898-T1
OG0002005	AH017155-RA	FUN_005231-T1
OG0002006	AH018466-RA	FUN_017795-T1
OG0002006	AH023681-RA	FUN_025684-T1, FUN_025684-T3, FUN_025684-T2
OG0002007	AH020940-RA, AH014421-RA	FUN_026761-T1
OG0002007	AH008650-RA	FUN_045695-T1
OG0002008	AH009052-RA	FUN_039602-T1
OG0002010	AH013397-RA, AH013398-RA, AH013399-RA	FUN_024004-T2, FUN_024004-T3, FUN_024004-T1, FUN_050118-T1
OG0002012	AH020919-RA, AH014458-RA	FUN_026688-T1
OG0002012	AH001570-RA, AH000500-RA	FUN_006464-T1, FUN_015898-T1
OG0002013	AH012225-RA, AH012213-RA	FUN_015338-T1, FUN_006543-T1, FUN_015337-T1
OG0002014	AH011919-RA	FUN_043099-T2, FUN_043099-T1, FUN_045028-T1, FUN_045028-T2
OG0002014	AH009508-RA	FUN_048241-T2, FUN_048241-T1, FUN_048241-T3, FUN_037544-T1
OG0002015	AH002153-RA, AH002149-RA	FUN_001857-T1
OG0002015	AH023375-RA	FUN_024040-T2, FUN_024040-T1
OG0002016	AH019396-RA	FUN_037227-T1, FUN_037227-T2, FUN_037227-T3
OG0002017	AH020996-RA	FUN_034034-T1
OG0002017	AH014374-RA	FUN_026860-T1
OG0002018	AH009689-RA	FUN_037231-T2, FUN_037231-T1
OG0002019	AH011955-RA	FUN_013707-T1, FUN_038302-T1, FUN_013705-T2, FUN_013705-T1
OG0002020	AH005184-RA, AH004544-RA	FUN_031859-T1, FUN_025304-T1
OG0002021	AH013388-RA, AH022603-RA	FUN_023987-T1, FUN_050081-T1
OG0002022	AH011333-RA, AH018122-RA	FUN_041175-T1, FUN_041175-T3, FUN_041175-T2, FUN_018394-T1
OG0002023	AH002947-RA, AH017399-RA	FUN_011327-T5, FUN_011327-T3, FUN_011327-T2, FUN_011327-T1, FUN_011327-T4, FUN_047064-T1
OG0002024	AH009827-RA, AH008259-RA	FUN_046267-T1, FUN_046267-T2, FUN_042582-T1, FUN_042582-T4, FUN_042582-T2, FUN_042582-T3
OG0002025	AH011721-RA	FUN_000779-T1
OG0002025	AH017873-RA, AH002556-RA	FUN_047258-T1, FUN_047258-T2
OG0002026	AH007253-RA, AH021765-RA, AH012544-RA	FUN_038939-T1
OG0002027	AH018046-RA	FUN_041053-T1
OG0002027	AH005457-RA, AH004106-RA	FUN_033742-T1, FUN_023642-T1, FUN_023642-T3
OG0002029	AH020968-RA	FUN_046499-T1
OG0002029	AH009275-RA	FUN_046498-T1
OG0002030	AH019866-RA	FUN_014982-T1
OG0002030	AH020313-RA	FUN_033002-T1, FUN_033002-T2
OG0002031	AH010894-RA	FUN_000289-T1
OG0002032	AH013798-RA, AH022683-RA	FUN_049045-T4, FUN_049045-T1, FUN_049045-T2, FUN_049045-T3, FUN_006645-T3, FUN_006645-T4, FUN_006645-T1, FUN_006645-T5, FUN_006645-T2
OG0002033	AH022623-RA	FUN_020072-T1, FUN_048904-T1
OG0002033	AH003076-RA, AH018869-RA	FUN_042064-T1
OG0002034	AH016529-RA, AH022876-RA	FUN_016581-T1, FUN_029858-T1
OG0002035	AH023510-RA	FUN_000937-T1
OG0002035	AH020365-RA	FUN_032888-T1
OG0002036	AH012816-RA, AH021922-RA	FUN_014581-T2, FUN_014581-T1
OG0002037	AH008413-RA	FUN_024529-T1
OG0002037	AH015883-RA	FUN_031308-T1
OG0002038	AH012151-RA	FUN_040465-T1, FUN_015238-T1, FUN_015238-T3, FUN_015238-T2
OG0002039	AH001114-RA	FUN_000772-T2, FUN_000772-T1
OG0002039	AH000210-RA, AH000199-RA	FUN_000320-T1
OG0002040	AH013270-RA, AH013268-RA	FUN_049952-T1, FUN_049955-T1, FUN_006089-T1, FUN_049956-T1
OG0002040	AH000969-RA, AH001654-RA	FUN_051731-T1, FUN_051729-T1
OG0002041	AH005065-RA	FUN_032563-T1, FUN_032562-T1
OG0002041	AH005064-RA	FUN_032564-T1
OG0002042	AH008297-RA	FUN_046360-T1, FUN_042599-T1
OG0002042	AH000142-RA	FUN_020255-T1
OG0002043	AH009926-RA	FUN_045961-T1, FUN_049868-T1
OG0002044	AH019289-RA	FUN_029221-T1, FUN_029220-T1, FUN_029220-T2, FUN_029220-T3, FUN_029222-T1
OG0002045	AH013744-RA	FUN_024566-T1
OG0002045	AH016438-RA, AH022988-RA	FUN_030117-T1
OG0002046	AH007914-RA, AH010267-RA	FUN_002084-T3, FUN_002084-T1, FUN_002084-T2
OG0002048	AH006583-RA	FUN_003621-T1, FUN_033998-T1
OG0002048	AH020511-RA	FUN_003622-T1, FUN_034000-T1
OG0002049	AH010265-RA, AH007913-RA	FUN_027260-T1, FUN_046939-T1
OG0002050	AH015281-RA	FUN_036733-T1
OG0002051	AH013090-RA	FUN_042843-T1, FUN_025000-T1
OG0002052	AH009665-RA	FUN_037269-T1
OG0002052	AH012127-RA, AH019594-RA	FUN_022867-T1, FUN_022868-T1, FUN_009663-T2, FUN_009663-T1, FUN_022866-T1, FUN_013844-T1
OG0002053	AH006212-RA, AH006211-RA, AH003511-RA	FUN_020885-T1
OG0002054	AH012135-RA, AH019590-RA, AH019589-RA, AH019588-RA	FUN_013868-T1
OG0002055	AH008899-RA	FUN_038619-T1, FUN_044154-T1, FUN_044154-T2
OG0002056	AH023731-RA	FUN_025647-T4, FUN_025647-T3, FUN_042653-T1, FUN_025647-T1, FUN_024981-T1, FUN_025647-T2
OG0002057	AH017992-RA	FUN_031641-T1
OG0002057	AH002482-RA	FUN_031640-T1, FUN_031640-T2
OG0002058	AH003544-RA	FUN_007612-T1
OG0002058	AH008518-RA	FUN_026955-T1, FUN_001266-T1
OG0002059	AH008414-RA	FUN_024546-T3, FUN_024546-T2, FUN_024546-T1
OG0002060	AH008643-RA	FUN_038792-T3, FUN_038792-T4, FUN_038792-T2, FUN_038792-T1
OG0002061	AH001693-RA	FUN_015271-T1
OG0002061	AH003903-RA	FUN_030482-T1, FUN_030483-T1
OG0002062	AH016484-RA, AH022930-RA, AH022934-RA	FUN_029961-T1, FUN_016465-T1, FUN_016458-T1
OG0002063	AH022922-RA	FUN_016456-T1, FUN_029985-T1
OG0002064	AH017426-RA	FUN_047094-T1, FUN_011301-T2, FUN_011301-T1
OG0002065	AH016377-RA	FUN_019115-T1, FUN_019113-T1, FUN_042672-T1
OG0002066	AH022905-RA, AH016505-RA	FUN_029931-T1, FUN_013077-T1, FUN_013077-T2
OG0002067	AH018330-RA	FUN_017425-T1, FUN_041469-T2, FUN_041469-T1
OG0002067	AH009319-RA	FUN_047859-T1
OG0002068	AH004415-RA	FUN_032229-T2, FUN_032229-T3, FUN_032229-T4, FUN_032229-T5, FUN_032229-T1, FUN_009243-T1, FUN_009243-T2
OG0002069	AH014863-RA, AH014862-RA	FUN_020797-T1, FUN_020794-T1
OG0002070	AH015744-RA	FUN_007999-T1, FUN_007999-T2, FUN_030899-T1
OG0002071	AH022857-RA, AH004133-RA, AH022858-RA	FUN_016635-T1
OG0002072	AH004398-RA, AH004757-RA	FUN_009208-T1, FUN_032279-T1
OG0002073	AH022223-RA, AH013325-RA, AH013324-RA	FUN_021770-T1, FUN_011435-T1
OG0002086	AH002547-RA, AH000327-RA, AH001336-RA, AH017851-RA	FUN_051062-T3, FUN_051062-T2, FUN_051062-T1, FUN_010561-T1
OG0002087	AH010592-RA	FUN_034593-T1, FUN_034593-T2, FUN_015932-T2, FUN_015932-T1, FUN_015935-T1
OG0002088	AH020343-RA, AH006834-RA	FUN_004109-T1, FUN_000207-T1
OG0002089	AH009271-RA	FUN_038321-T1, FUN_047814-T1
OG0002090	AH007414-RA, AH011220-RA	FUN_052415-T1
OG0002091	AH017739-RA	FUN_010418-T1
OG0002091	AH007208-RA, AH007357-RA	FUN_015115-T2, FUN_015115-T1
OG0002092	AH011846-RA	FUN_030699-T1, FUN_014558-T1
OG0002092	AH017814-RA	FUN_050951-T1, FUN_011519-T1, FUN_011519-T2, FUN_011519-T4
OG0002093	AH014729-RA	FUN_039386-T1, FUN_027139-T2, FUN_027139-T1
OG0002094	AH018600-RA	FUN_017096-T1
OG0002096	AH020155-RA	FUN_020186-T1
OG0002097	AH019058-RA	FUN_008080-T1
OG0002097	AH019051-RA, AH019052-RA	FUN_008095-T1
OG0002098	AH015110-RA	FUN_008672-T1
OG0002098	AH015587-RA, AH013824-RA	FUN_024107-T1, FUN_034973-T1, FUN_034972-T1
OG0002099	AH020096-RA, AH020095-RA	FUN_014450-T1
OG0002100	AH022180-RA, AH012842-RA	FUN_042870-T2, FUN_042870-T1
OG0002101	AH018826-RA, AH003244-RA, AH018521-RA	FUN_038673-T1
OG0002102	AH016975-RA	FUN_001522-T1, FUN_027048-T1
OG0002103	AH008649-RA	FUN_039738-T1
OG0002104	AH020937-RA, AH014416-RA, AH017868-RA	FUN_026748-T1
OG0002105	AH017916-RA, AH002534-RA	FUN_010726-T1, FUN_047333-T1
OG0002106	AH000219-RA	FUN_015569-T1
OG0002108	AH007370-RA, AH010631-RA	FUN_052314-T1
OG0002108	AH011811-RA	FUN_014197-T1
OG0002110	AH020554-RA	FUN_003549-T1, FUN_034067-T1
OG0002111	AH005331-RA	FUN_032567-T3, FUN_032567-T4, FUN_032567-T2, FUN_032567-T1, FUN_032567-T5, FUN_032567-T6
OG0002112	AH012777-RA	FUN_039469-T1
OG0002112	AH016287-RA	FUN_038533-T1
OG0002113	AH003685-RA	FUN_004352-T1
OG0002113	AH002287-RA	FUN_045761-T1
OG0002114	AH016779-RA	FUN_042704-T1
OG0002114	AH007817-RA	FUN_021905-T1, FUN_021905-T2
OG0002115	AH004810-RA	FUN_011446-T2, FUN_011446-T1, FUN_011446-T3, FUN_011441-T1
OG0002116	AH020197-RA	FUN_003367-T1
OG0002116	AH017685-RA	FUN_051792-T1
OG0002116	AH022088-RA	FUN_042979-T1, FUN_042977-T1
OG0002117	AH007346-RA	FUN_052256-T1
OG0002118	AH003525-RA	FUN_016940-T1, FUN_029627-T1
OG0002118	AH008771-RA	FUN_038193-T1
OG0002119	AH006191-RA	FUN_003156-T1
OG0002120	AH002388-RA	FUN_052056-T1
OG0002120	AH005925-RA	FUN_031156-T2, FUN_031156-T1, FUN_031156-T3
OG0002121	AH008761-RA	FUN_038185-T1, FUN_048654-T1, FUN_048655-T1
OG0002121	AH003545-RA	FUN_016999-T1, FUN_017001-T1, FUN_016991-T1
OG0002122	AH008658-RA, AH002773-RA	FUN_038831-T2
OG0002122	AH006233-RA	FUN_020828-T1, FUN_020828-T2, FUN_020827-T1
OG0002123	AH006025-RA	FUN_029551-T1
OG0002123	AH008720-RA	FUN_038132-T1, FUN_038144-T1, FUN_048612-T1
OG0002124	AH020929-RA	FUN_026725-T2, FUN_026724-T2, FUN_026725-T3, FUN_026724-T1, FUN_026724-T3, FUN_026725-T1
OG0002125	AH003570-RA, AH003583-RA, AH005957-RA	FUN_029668-T1, FUN_016928-T2, FUN_016928-T1
OG0002126	AH008814-RA	FUN_038039-T1, FUN_048558-T1
OG0002126	AH005851-RA, AH003921-RA	FUN_031197-T1
OG0002128	AH004303-RA	FUN_003877-T2, FUN_003877-T1
OG0002128	AH004973-RA	FUN_028958-T3, FUN_028958-T2, FUN_028958-T1
OG0002129	AH017065-RA	FUN_042872-T1, FUN_006027-T1
OG0002130	AH010413-RA, AH007342-RA	FUN_052255-T1
OG0002131	AH002755-RA	FUN_010915-T1
OG0002131	AH008384-RA	FUN_024460-T1
OG0002132	AH018508-RA, AH011586-RA	FUN_017923-T1, FUN_041839-T1
OG0002133	AH021583-RA, AH015143-RA	FUN_035512-T1, FUN_008585-T1
OG0002134	AH006296-RA, AH003442-RA	FUN_020743-T1, FUN_020737-T1
OG0002135	AH008062-RA, AH010058-RA	FUN_046611-T1
OG0002136	AH015213-RA	FUN_036619-T2, FUN_036619-T1, FUN_036619-T3
OG0002137	AH014565-RA	FUN_027812-T1, FUN_012586-T1, FUN_027819-T1, FUN_027820-T1
OG0002138	AH018285-RA	FUN_040041-T1
OG0002139	AH008780-RA	FUN_048662-T1
OG0002140	AH023209-RA	FUN_007736-T1
OG0002141	AH016258-RA	FUN_020847-T1
OG0002142	AH007784-RA, AH010226-RA	FUN_021818-T1
OG0002142	AH001551-RA	FUN_015875-T1
OG0002143	AH016243-RA, AH023268-RA	FUN_004829-T1
OG0002144	AH012026-RA	FUN_013712-T1, FUN_008958-T1
OG0002144	AH009577-RA	FUN_037404-T1, FUN_048142-T1
OG0002145	AH021307-RA, AH014724-RA	FUN_044337-T1, FUN_034737-T1
OG0002146	AH020878-RA, AH014509-RA	FUN_015468-T1
OG0002146	AH023306-RA	FUN_004986-T1
OG0002147	AH005434-RA, AH005435-RA	FUN_033688-T1, FUN_023812-T1
OG0002147	AH002925-RA, AH017443-RA	FUN_011288-T1
OG0002148	AH009672-RA	FUN_037252-T1
OG0002149	AH009509-RA	FUN_037543-T1, FUN_048240-T1
OG0002150	AH021393-RA	FUN_000910-T1, FUN_043430-T1
OG0002150	AH016029-RA	FUN_005355-T1
OG0002150	AH014383-RA	FUN_032960-T1, FUN_034045-T1, FUN_026853-T1
OG0002151	AH021304-RA, AH014717-RA	FUN_001701-T1
OG0002153	AH014556-RA	FUN_027903-T1
OG0002154	AH003234-RA	FUN_018579-T2, FUN_018579-T1, FUN_018572-T1, FUN_018567-T1
OG0002155	AH009684-RA	FUN_048020-T3, FUN_048020-T1, FUN_048020-T2
OG0002155	AH009683-RA	FUN_037239-T4, FUN_037240-T1, FUN_037239-T3, FUN_037239-T7, FUN_037239-T6, FUN_037239-T2, FUN_037239-T1, FUN_037239-T5, FUN_037241-T1, FUN_037245-T1
OG0002156	AH016280-RA, AH023213-RA	FUN_020989-T1
OG0002157	AH005157-RA	FUN_017375-T1
OG0002158	AH021148-RA	FUN_010281-T1, FUN_001908-T1, FUN_001908-T2
OG0002159	AH014711-RA	FUN_046813-T1
OG0002159	AH014303-RA	FUN_028510-T1
OG0002160	AH015229-RA	FUN_043185-T1, FUN_036648-T1
OG0002161	AH006408-RA, AH003351-RA	FUN_020585-T1
OG0002161	AH016413-RA, AH023015-RA	FUN_003852-T1, FUN_030151-T1
OG0002162	AH021607-RA, AH002285-RA	FUN_051999-T1
OG0002162	AH002286-RA	FUN_051998-T1, FUN_051997-T1
OG0002163	AH008268-RA, AH005280-RA, AH004218-RA	FUN_042572-T1, FUN_046288-T1, FUN_046288-T2
OG0002164	AH016550-RA	FUN_016713-T1
OG0002165	AH014140-RA, AH023163-RA	FUN_029332-T1, FUN_029332-T2, FUN_019013-T3, FUN_019013-T2, FUN_019013-T1, FUN_019012-T1
OG0002165	AH016311-RA	FUN_019011-T1, FUN_029331-T1
OG0002166	AH006800-RA	FUN_043283-T2, FUN_043283-T1
OG0002166	AH020368-RA	FUN_004665-T1
OG0002166	AH011009-RA	FUN_036441-T1
OG0002167	AH021746-RA, AH012514-RA	FUN_014683-T1, FUN_014683-T2
OG0002168	AH022602-RA, AH013856-RA	FUN_048930-T1
OG0002169	AH001185-RA	FUN_048015-T1, FUN_040033-T1
OG0002170	AH012407-RA, AH012406-RA	FUN_013918-T1, FUN_022810-T1, FUN_022799-T1
OG0002171	AH013645-RA, AH022503-RA	FUN_049278-T1, FUN_049278-T2, FUN_013111-T1, FUN_013111-T2
OG0002172	AH015041-RA, AH021524-RA	FUN_035307-T1, FUN_012482-T1
OG0002174	AH000316-RA, AH001354-RA	FUN_048256-T2, FUN_048256-T3, FUN_048256-T1
OG0002175	AH006128-RA	FUN_052820-T1, FUN_052821-T1
OG0002176	AH014984-RA	FUN_041373-T1
OG0002177	AH010241-RA	FUN_033356-T1
OG0002179	AH011757-RA, AH019999-RA	FUN_014181-T1, FUN_014181-T2
OG0002179	AH000717-RA	FUN_003802-T1
OG0002180	AH009251-RA	FUN_037170-T1
OG0002181	AH011456-RA	FUN_025153-T3, FUN_025153-T4, FUN_025153-T2, FUN_025153-T1
OG0002182	AH015834-RA	FUN_020503-T1, FUN_020497-T1
OG0002182	AH007040-RA, AH007041-RA	FUN_032339-T1
OG0002184	AH016881-RA	FUN_042646-T1
OG0002185	AH008424-RA, AH016944-RA	FUN_042744-T1
OG0002186	AH015745-RA, AH004171-RA	FUN_033411-T1
OG0002186	AH022830-RA	FUN_016736-T1
OG0002187	AH019705-RA	FUN_013614-T1
OG0002188	AH008665-RA	FUN_038910-T1, FUN_026917-T1
OG0002189	AH023222-RA	FUN_013133-T1
OG0002190	AH016582-RA	FUN_016818-T1
OG0002190	AH017473-RA	FUN_045537-T1, FUN_011239-T1
OG0002191	AH004148-RA, AH005359-RA	FUN_033345-T1, FUN_033345-T2
OG0002191	AH015559-RA	FUN_029060-T1
OG0002192	AH020726-RA, AH014085-RA	FUN_027909-T1
OG0002193	AH004674-RA, AH003362-RA	FUN_032408-T3, FUN_032408-T4, FUN_032408-T1, FUN_032408-T2
OG0002193	AH002784-RA	FUN_010990-T1
OG0002194	AH005062-RA, AH015776-RA, AH002818-RA, AH017584-RA	FUN_011069-T1, FUN_032566-T1
OG0002195	AH015116-RA, AH021601-RA	FUN_011795-T1
OG0002195	AH002489-RA	FUN_047408-T1
OG0002196	AH004759-RA	FUN_007986-T1
OG0002196	AH004767-RA	FUN_009232-T1
OG0002196	AH002484-RA	FUN_047431-T2
OG0002197	AH004347-RA, AH005021-RA	FUN_032626-T1, FUN_032629-T1
