Orthogroup	A_hypochondriacus.proteins	P_amilis.proteins
OG0000068	AH011897-RA	FUN_045069-T1, FUN_045070-T1
OG0000068	AH021520-RA	FUN_035301-T1
OG0000068	AH021522-RA, AH015036-RA, AH015035-RA	FUN_012468-T3, FUN_012468-T1, FUN_012468-T2
OG0000068	AH020117-RA	FUN_029024-T1
OG0000070	AH004919-RA, AH004504-RA, AH022950-RA	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1
OG0000070	AH013681-RA	FUN_047896-T1, FUN_009640-T1
OG0000070	AH016471-RA	FUN_038597-T1
OG0000071	AH022369-RA, AH013559-RA	FUN_025121-T1, FUN_050310-T1
OG0000071	AH019943-RA	FUN_045262-T1
OG0000071	AH012735-RA	FUN_006200-T1
OG0000071	AH020129-RA	FUN_017402-T1
OG0000071	AH006941-RA, AH004025-RA, AH005525-RA	FUN_005720-T1
OG0000071	AH013047-RA	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2
OG0000071	AH004886-RA	FUN_032036-T1
OG0000072	AH003759-RA, AH005866-RA	FUN_025445-T1
OG0000072	AH008035-RA	FUN_036489-T1
OG0000072	AH011844-RA	FUN_011881-T1
OG0000076	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA	FUN_032437-T1, FUN_004161-T1, FUN_030217-T1, FUN_027898-T1
OG0000077	AH000842-RA	FUN_051935-T1, FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1
OG0000077	AH019349-RA	FUN_018829-T1
OG0000077	AH007662-RA, AH007663-RA	FUN_000256-T1
OG0000077	AH006889-RA	FUN_033024-T1
OG0000085	AH014594-RA, AH021106-RA	FUN_041708-T1, FUN_028183-T1
OG0000085	AH013377-RA	FUN_023955-T1
OG0000085	AH013378-RA	FUN_050067-T1, FUN_023959-T1
OG0000085	AH021680-RA	FUN_007810-T1
OG0000085	AH015892-RA, AH017005-RA	FUN_005979-T1, FUN_044617-T1
OG0000085	AH018522-RA	FUN_041849-T1
OG0000087	AH006703-RA, AH020455-RA	FUN_004476-T1, FUN_032711-T1
OG0000087	AH019163-RA, AH015676-RA	FUN_030789-T1
OG0000087	AH019164-RA, AH015677-RA	FUN_018863-T1, FUN_018862-T1, FUN_018860-T1, FUN_018865-T1, FUN_030787-T1
OG0000087	AH015391-RA, AH008860-RA, AH019285-RA, AH015392-RA	FUN_029231-T1
OG0000087	AH004659-RA	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1
OG0000087	AH017338-RA	FUN_047495-T1, FUN_010957-T1
OG0000088	AH007982-RA	FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2
OG0000089	AH002040-RA	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4
OG0000089	AH019224-RA, AH019223-RA	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4
OG0000089	AH014168-RA	FUN_026304-T1
OG0000090	AH003790-RA, AH010641-RA	FUN_052301-T2, FUN_052301-T1
OG0000090	AH005307-RA, AH004871-RA, AH004467-RA	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2
OG0000091	AH020558-RA	FUN_032283-T1, FUN_034071-T1
OG0000091	AH020560-RA	FUN_034072-T1, FUN_003535-T1
OG0000091	AH008757-RA	FUN_038181-T1
OG0000091	AH019221-RA, AH019219-RA	FUN_018772-T1, FUN_018773-T1
OG0000092	AH002167-RA	FUN_012616-T1
OG0000092	AH016633-RA	FUN_005023-T1, FUN_018581-T1, FUN_044125-T1
OG0000092	AH021997-RA	FUN_014526-T1, FUN_014403-T1
OG0000092	AH012260-RA	FUN_013990-T1, FUN_013969-T1, FUN_013954-T1, FUN_015384-T1, FUN_015430-T1, FUN_013996-T1, FUN_013963-T1, FUN_013953-T1, FUN_015382-T1, FUN_015274-T1, FUN_015383-T1, FUN_015371-T1, FUN_015369-T1
OG0000093	AH013659-RA	FUN_000348-T2, FUN_000348-T1, FUN_000344-T1
OG0000093	AH010915-RA	FUN_035606-T1, FUN_000349-T1
OG0000095	AH013260-RA	FUN_053310-T2, FUN_053310-T1
OG0000095	AH006304-RA	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4
OG0000095	AH010162-RA	FUN_053289-T2, FUN_053289-T1
OG0000096	AH005894-RA	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1
OG0000096	AH001835-RA	FUN_032550-T1
OG0000097	AH017957-RA	FUN_010778-T1
OG0000097	AH006658-RA, AH014154-RA	FUN_052250-T1
OG0000097	AH009806-RA, AH009803-RA, AH009808-RA, AH009820-RA, AH009797-RA, AH009800-RA, AH009810-RA, AH009805-RA, AH009802-RA, AH009809-RA, AH009816-RA, AH009798-RA	FUN_033181-T1, FUN_033164-T1, FUN_033167-T1, FUN_018427-T1, FUN_033280-T1, FUN_033237-T1, FUN_033239-T1, FUN_033190-T1
OG0000097	AH021560-RA	FUN_008459-T1
OG0000097	AH009815-RA	FUN_014137-T1, FUN_011797-T1
OG0000097	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA	FUN_023814-T1
OG0000098	AH016758-RA	FUN_024139-T1
OG0000099	AH005801-RA	FUN_004255-T1
OG0000099	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA	FUN_004319-T1, FUN_000816-T1, FUN_004293-T1
OG0000099	AH013600-RA, AH013598-RA, AH013601-RA, AH013599-RA	FUN_006143-T1, FUN_004278-T1, FUN_004291-T1, FUN_004281-T1, FUN_004285-T1, FUN_004252-T1, FUN_012557-T1, FUN_004277-T1, FUN_013003-T1, FUN_007545-T1, FUN_004218-T1, FUN_004273-T1, FUN_004257-T1, FUN_004271-T1, FUN_004244-T1
OG0000102	AH010958-RA, AH012445-RA	FUN_036782-T1, FUN_036783-T1
OG0000102	AH021394-RA	FUN_036786-T1
OG0000103	AH010123-RA	FUN_046694-T1, FUN_046694-T2
OG0000103	AH010272-RA, AH008021-RA, AH015077-RA	FUN_008761-T1, FUN_008761-T2
OG0000104	AH021778-RA, AH012562-RA	FUN_020265-T1
OG0000104	AH012563-RA	FUN_022997-T1
OG0000104	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA	FUN_048807-T1, FUN_048810-T1, FUN_048813-T1, FUN_048812-T1, FUN_048811-T1, FUN_048808-T1, FUN_033750-T1
OG0000105	AH012640-RA, AH021838-RA	FUN_039134-T1
OG0000105	AH013279-RA	FUN_049962-T1
OG0000107	AH004190-RA, AH005485-RA	FUN_020121-T2, FUN_020121-T1
OG0000107	AH001713-RA	FUN_033480-T2, FUN_033480-T1, FUN_020090-T1
OG0000108	AH010687-RA, AH001829-RA	FUN_005434-T3, FUN_005434-T2, FUN_005434-T1, FUN_005432-T1, FUN_013601-T2, FUN_013601-T3, FUN_013601-T1
OG0000108	AH012760-RA, AH014759-RA	FUN_034902-T1
OG0000109	AH001741-RA	FUN_050760-T1, FUN_002160-T1, FUN_002160-T2
OG0000109	AH003764-RA	FUN_031066-T1, FUN_025571-T1
OG0000109	AH008949-RA	FUN_038539-T1
OG0000110	AH019974-RA, AH007045-RA	FUN_020206-T1
OG0000112	AH015562-RA	FUN_009885-T1
OG0000113	AH023633-RA	FUN_036924-T1
OG0000113	AH018586-RA	FUN_040152-T1, FUN_040153-T1
OG0000113	AH018584-RA	FUN_040158-T1, FUN_040160-T1
OG0000113	AH018579-RA	FUN_040191-T1
OG0000114	AH015161-RA	FUN_035476-T1, FUN_035471-T1
OG0000115	AH020498-RA	FUN_033974-T3, FUN_033974-T2, FUN_033974-T1, FUN_016159-T1
OG0000115	AH002718-RA, AH002719-RA	FUN_044854-T1, FUN_044847-T1, FUN_044852-T1, FUN_044855-T1, FUN_044853-T1, FUN_044851-T1
OG0000115	AH021864-RA, AH006630-RA	FUN_004395-T1, FUN_004390-T1
OG0000115	AH011228-RA	FUN_043606-T1, FUN_043605-T1
OG0000116	AH006915-RA	FUN_024579-T1
OG0000116	AH022502-RA	FUN_020145-T1, FUN_024580-T1, FUN_029945-T1, FUN_011257-T1
OG0000117	AH011627-RA, AH011626-RA	FUN_020513-T1
OG0000117	AH021154-RA	FUN_001316-T1, FUN_001319-T1, FUN_001321-T1, FUN_015683-T1
OG0000117	AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA	FUN_020368-T1, FUN_020378-T1
OG0000118	AH022107-RA	FUN_024743-T1
OG0000118	AH012040-RA	FUN_008995-T1
OG0000118	AH019634-RA	FUN_013730-T1
OG0000118	AH006465-RA	FUN_031123-T1
OG0000118	AH002266-RA	FUN_051972-T1
OG0000119	AH021449-RA	FUN_032783-T1, FUN_032786-T1, FUN_032789-T1, FUN_032784-T1, FUN_032788-T1, FUN_032787-T1
OG0000119	AH017345-RA, AH002923-RA	FUN_035450-T1, FUN_035452-T1
OG0000120	AH020337-RA, AH006837-RA	FUN_004771-T1, FUN_032956-T1
OG0000120	AH010921-RA	FUN_036476-T1
OG0000120	AH020344-RA	FUN_004748-T1
OG0000120	AH009707-RA	FUN_049140-T1, FUN_037205-T1
OG0000120	AH018632-RA	FUN_040842-T1
OG0000121	AH010321-RA	FUN_022170-T1, FUN_042012-T1
OG0000121	AH003861-RA	FUN_009612-T1
OG0000121	AH022634-RA	FUN_049916-T1
OG0000121	AH003011-RA	FUN_008752-T5, FUN_008752-T1, FUN_008752-T2, FUN_008753-T1, FUN_008752-T4, FUN_039944-T1
OG0000121	AH010322-RA, AH013867-RA	FUN_008752-T3
OG0000122	AH015608-RA	FUN_027205-T1
OG0000123	AH004264-RA, AH005234-RA	FUN_020425-T1
OG0000124	AH001904-RA	FUN_046051-T1, FUN_046050-T1
OG0000124	AH001376-RA	FUN_012683-T1
OG0000124	AH019891-RA, AH004745-RA, AH000628-RA	FUN_046055-T1, FUN_046056-T1, FUN_046057-T1, FUN_046063-T1, FUN_046061-T1, FUN_046062-T1, FUN_046064-T1
OG0000124	AH015148-RA	FUN_046942-T1, FUN_013341-T1
OG0000125	AH012890-RA	FUN_042787-T2, FUN_042787-T1, FUN_042787-T3
OG0000125	AH010565-RA	FUN_000422-T1
OG0000125	AH010563-RA	FUN_000424-T1
OG0000127	AH010397-RA	FUN_036806-T1, FUN_051586-T1
OG0000127	AH022171-RA, AH012869-RA	FUN_042852-T1, FUN_024673-T1, FUN_024672-T1, FUN_024676-T1
OG0000127	AH002969-RA, AH017357-RA	FUN_046971-T1, FUN_011383-T1
