"","x"
"214","Dm_00008764-RA"
"215","Dm_00008943-RA"
"216","Dm_00009032-RA"
"217","Dm_00020875-RA"
"218","Dm_00005926-RA"
"219","Dm_00005875-RA"
"220","Dm_00006213-RA"
"221","Dm_00006364-RA"
"222","Dm_00017087-RA"
"223","Dm_00019064-RA"
"224","Dm_00018944-RA"
"225","Dm_00006410-RA"
"226","Dm_00005855-RA"
"227","Dm_00006332-RA"
"228","Dm_00006808-RA"
"229","Dm_00006203-RA"
"230","Dm_00006624-RA"
"231","Dm_00007730-RA"
"232","Dm_00018280-RA"
"233","Dm_00018277-RA"
"234","Dm_00018320-RA"
"235","Dm_00016901-RA"
"236","Dm_00019465-RA"
"237","Dm_00019481-RA"
"238","Dm_00015503-RA"
"239","Dm_00011062-RA"
"240","Dm_00005081-RA"
"241","Dm_00005016-RA"
"242","Dm_00004521-RA"
"243","Dm_00004908-RA"
"244","Dm_00004946-RA"
"245","Dm_00005259-RA"
"246","Dm_00015712-RA"
"247","Dm_00012580-RA"
"248","Dm_00014326-RA"
"249","Dm_00012874-RA"
"250","Dm_00013570-RA"
"251","Dm_00012413-RA"
"252","Dm_00013900-RA"
"253","Dm_00013369-RA"
"254","Dm_00012883-RA"
"255","Dm_00013650-RA"
"256","Dm_00012498-RA"
"257","Dm_00010454-RA"
"258","Dm_00015058-RA"
"259","Dm_00009827-RA"
"260","Dm_00007815-RA"
"261","Dm_00008365-RA"
"262","Dm_00008803-RA"
"263","Dm_00007716-RA"
"264","Dm_00016021-RA"
"265","Dm_00016273-RA"
"266","Dm_00018490-RA"
"267","Dm_00018441-RA"
"268","Dm_00018291-RA"
"269","Dm_00017525-RA"
"270","Dm_00006656-RA"
"271","Dm_00007571-RA"
"272","Dm_00007788-RA"
"273","Dm_00006817-RA"
"274","Dm_00006818-RA"
"275","Dm_00009249-RA"
"276","Dm_00009250-RA"
"277","Dm_00007938-RA"
"278","Dm_00007298-RA"
"279","Dm_00008486-RA"
