"","x"
"1","Dm_00009021-RA"
"2","Dm_00009775-RA"
"3","Dm_00009536-RA"
"4","Dm_00009260-RA"
"5","Dm_00010164-RA"
"6","Dm_00012190-RA"
"7","Dm_00015956-RA"
"8","Dm_00012260-RA"
"9","Dm_00010398-RA"
"10","Dm_00011074-RA"
"11","Dm_00010326-RA"
"12","Dm_00008558-RA"
"13","Dm_00018647-RA"
"14","Dm_00017967-RA"
"15","Dm_00006565-RA"
"16","Dm_00005565-RA"
"17","Dm_00006133-RA"
"18","Dm_00006067-RA"
"19","Dm_00006177-RA"
"20","Dm_00005779-RA"
"21","Dm_00006913-RA"
"22","Dm_00006688-RA"
"23","Dm_00006686-RA"
"24","Dm_00006687-RA"
"25","Dm_00004899-RA"
"26","Dm_00021005-RA"
"27","Dm_00011709-RA"
"28","Dm_00011712-RA"
"29","Dm_00014758-RA"
"30","Dm_00005189-RA"
"31","Dm_00005469-RA"
"32","Dm_00006036-RA"
"33","Dm_00005229-RA"
"34","Dm_00004639-RA"
"35","Dm_00003966-RA"
"36","Dm_00005528-RA"
"37","Dm_00020192-RA"
"38","Dm_00018389-RA"
"39","Dm_00019998-RA"
"40","Dm_00001784-RA"
"41","Dm_00001891-RA"
"42","Dm_00001897-RA"
"43","Dm_00001319-RA"
"44","Dm_00001225-RA"
"45","Dm_00001947-RA"
"46","Dm_00001997-RA"
"47","Dm_00001995-RA"
"48","Dm_00001630-RA"
"49","Dm_00001629-RA"
"50","Dm_00001973-RA"
"51","Dm_00002176-RA"
"52","Dm_00002180-RA"
"53","Dm_00002032-RA"
"54","Dm_00001554-RA"
"55","Dm_00001350-RA"
"56","Dm_00001873-RA"
"57","Dm_00001876-RA"
"58","Dm_00001464-RA"
"59","Dm_00002158-RA"
"60","Dm_00002159-RA"
"61","Dm_00002160-RA"
"62","Dm_00002127-RA"
"63","Dm_00002126-RA"
"64","Dm_00001381-RA"
"65","Dm_00001386-RA"
"66","Dm_00001407-RA"
"67","Dm_00001711-RA"
"68","Dm_00003862-RA"
"69","Dm_00003855-RA"
"70","Dm_00003858-RA"
"71","Dm_00003874-RA"
"72","Dm_00004018-RA"
"73","Dm_00004017-RA"
"74","Dm_00003687-RA"
"75","Dm_00003822-RA"
"76","Dm_00004033-RA"
"77","Dm_00004126-RA"
"78","Dm_00004129-RA"
"79","Dm_00019718-RA"
"80","Dm_00019763-RA"
"81","Dm_00019560-RA"
"82","Dm_00012332-RA"
"83","Dm_00014282-RA"
"84","Dm_00014281-RA"
"85","Dm_00011404-RA"
"86","Dm_00010629-RA"
"87","Dm_00013565-RA"
"88","Dm_00013980-RA"
"89","Dm_00013551-RA"
"90","Dm_00012597-RA"
"91","Dm_00010383-RA"
"92","Dm_00012907-RA"
"93","Dm_00008406-RA"
"94","Dm_00007129-RA"
"95","Dm_00007127-RA"
"96","Dm_00007448-RA"
"97","Dm_00007365-RA"
"98","Dm_00005633-RA"
"99","Dm_00017787-RA"
"100","Dm_00018077-RA"
"101","Dm_00015937-RA"
"102","Dm_00016481-RA"
"103","Dm_00016479-RA"
"104","Dm_00015483-RA"
"105","Dm_00016023-RA"
"106","Dm_00009177-RA"
"107","Dm_00009996-RA"
"108","Dm_00017695-RA"
"109","Dm_00017651-RA"
"110","Dm_00016891-RA"
"111","Dm_00017271-RA"
"112","Dm_00008102-RA"
"113","Dm_00009279-RA"
"114","Dm_00008727-RA"
"115","Dm_00007906-RA"
"116","Dm_00007680-RA"
"117","Dm_00007678-RA"
"118","Dm_00008060-RA"
"119","Dm_00008686-RA"
"120","Dm_00007980-RA"
"121","Dm_00008147-RA"
"122","Dm_00019309-RA"
"123","Dm_00019708-RA"
"124","Dm_00005277-RA"
"125","Dm_00007149-RA"
"126","Dm_00005880-RA"
"127","Dm_00006137-RA"
"128","Dm_00018610-RA"
"129","Dm_00018615-RA"
"130","Dm_00018650-RA"
"131","Dm_00019080-RA"
"132","Dm_00009768-RA"
"133","Dm_00011808-RA"
"134","Dm_00010445-RA"
"135","Dm_00013007-RA"
"136","Dm_00012267-RA"
"137","Dm_00007618-RA"
"138","Dm_00011848-RA"
"139","Dm_00011413-RA"
"140","Dm_00013153-RA"
"141","Dm_00013923-RA"
"142","Dm_00014533-RA"
"143","Dm_00000961-RA"
"144","Dm_00000991-RA"
"145","Dm_00000987-RA"
"146","Dm_00000803-RA"
"147","Dm_00000332-RA"
"148","Dm_00000353-RA"
"149","Dm_00000389-RA"
"150","Dm_00000096-RA"
"151","Dm_00000111-RA"
"152","Dm_00000159-RA"
"153","Dm_00000150-RA"
"154","Dm_00000608-RA"
"155","Dm_00000239-RA"
"156","Dm_00001113-RA"
